county,precinct,office,district,party,candidate,votes,provisional,election_day,mail_in
Washington,NORTH STRABANE 3,President,,DEM,KAMALA D HARRIS,419,0,245,174
Washington,NORTH STRABANE 4,President,,DEM,KAMALA D HARRIS,341,1,178,162
Washington,NORTH STRABANE 5,President,,DEM,KAMALA D HARRIS,506,4,287,215
Washington,NORTH STRABANE 6,President,,DEM,KAMALA D HARRIS,455,1,266,188
Washington,NORTH STRABANE 7,President,,DEM,KAMALA D HARRIS,553,4,322,227
Washington,NORTH STRABANE 8,President,,DEM,KAMALA D HARRIS,593,7,283,303
Washington,NORTH STRABANE 9,President,,DEM,KAMALA D HARRIS,571,4,255,312
Washington,NOTTINGHAM 1,President,,DEM,KAMALA D HARRIS,311,1,174,136
Washington,NOTTINGHAM 2,President,,DEM,KAMALA D HARRIS,420,2,218,200
Washington,PETERS A 1,President,,DEM,KAMALA D HARRIS,330,2,186,142
Washington,PETERS A 2,President,,DEM,KAMALA D HARRIS,454,0,294,160
Washington,PETERS A 3,President,,DEM,KAMALA D HARRIS,703,6,428,269
Washington,PETERS B 1,President,,DEM,KAMALA D HARRIS,444,0,270,174
Washington,PETERS B 2,President,,DEM,KAMALA D HARRIS,616,0,348,268
Washington,PETERS B 3,President,,DEM,KAMALA D HARRIS,678,7,388,283
Washington,PETERS C 1,President,,DEM,KAMALA D HARRIS,461,3,287,171
Washington,PETERS C 2,President,,DEM,KAMALA D HARRIS,411,6,254,151
Washington,PETERS C 3,President,,DEM,KAMALA D HARRIS,462,1,287,174
Washington,PETERS D 1,President,,DEM,KAMALA D HARRIS,736,2,429,305
Washington,PETERS D 2,President,,DEM,KAMALA D HARRIS,583,1,350,232
Washington,PETERS D 3,President,,DEM,KAMALA D HARRIS,293,3,184,106
Washington,ROBINSON 1,President,,DEM,KAMALA D HARRIS,89,0,62,27
Washington,ROBINSON 2,President,,DEM,KAMALA D HARRIS,89,0,51,38
Washington,ROBINSON 3,President,,DEM,KAMALA D HARRIS,147,1,93,53
Washington,ROSCOE,President,,DEM,KAMALA D HARRIS,172,1,122,49
Washington,SMITH 1,President,,DEM,KAMALA D HARRIS,165,4,122,39
Washington,SMITH 2,President,,DEM,KAMALA D HARRIS,127,0,82,45
Washington,SMITH 3,President,,DEM,KAMALA D HARRIS,94,0,72,22
Washington,SMITH 4,President,,DEM,KAMALA D HARRIS,97,0,50,47
Washington,SMITH 5,President,,DEM,KAMALA D HARRIS,102,0,74,28
Washington,SMITH 6,President,,DEM,KAMALA D HARRIS,107,0,67,40
Washington,SMITH 7,President,,DEM,KAMALA D HARRIS,80,0,62,18
Washington,SOMERSET 1,President,,DEM,KAMALA D HARRIS,205,1,131,73
Washington,SOMERSET 2,President,,DEM,KAMALA D HARRIS,238,1,155,82
Washington,SOUTH FRANKLIN 1,President,,DEM,KAMALA D HARRIS,155,1,88,66
Washington,SOUTH FRANKLIN 2,President,,DEM,KAMALA D HARRIS,278,1,174,103
Washington,SOUTH STRABANE 1,President,,DEM,KAMALA D HARRIS,337,2,175,160
Washington,SOUTH STRABANE 2,President,,DEM,KAMALA D HARRIS,388,1,236,151
Washington,SOUTH STRABANE 3,President,,DEM,KAMALA D HARRIS,361,2,158,201
Washington,SOUTH STRABANE 4,President,,DEM,KAMALA D HARRIS,362,1,211,150
Washington,SOUTH STRABANE 5,President,,DEM,KAMALA D HARRIS,479,3,248,228
Washington,SOUTH STRABANE 6,President,,DEM,KAMALA D HARRIS,373,1,226,146
Washington,SPEERS,President,,DEM,KAMALA D HARRIS,298,5,187,106
Washington,STOCKDALE,President,,DEM,KAMALA D HARRIS,85,0,64,21
Washington,TWILIGHT,President,,DEM,KAMALA D HARRIS,27,0,17,10
Washington,UNION 1,President,,DEM,KAMALA D HARRIS,334,3,208,123
Washington,UNION 2,President,,DEM,KAMALA D HARRIS,153,0,97,56
Washington,UNION 4,President,,DEM,KAMALA D HARRIS,53,0,39,14
Washington,UNION 5,President,,DEM,KAMALA D HARRIS,266,0,167,99
Washington,UNION 6,President,,DEM,KAMALA D HARRIS,185,0,132,53
Washington,UNION 7,President,,DEM,KAMALA D HARRIS,275,1,168,106
Washington,WEST BETHLEHEM,President,,DEM,KAMALA D HARRIS,192,0,125,67
Washington,WEST BROWNSVILLE 1,President,,DEM,KAMALA D HARRIS,67,1,45,21
Washington,WEST BROWNSVILLE 2,President,,DEM,KAMALA D HARRIS,99,0,81,18
Washington,WEST FINLEY 1,President,,DEM,KAMALA D HARRIS,32,2,10,20
Washington,WEST FINLEY 2,President,,DEM,KAMALA D HARRIS,58,0,43,15
Washington,WEST MIDDLETOWN,President,,DEM,KAMALA D HARRIS,24,0,17,7
Washington,WEST PIKE RUN 1,President,,DEM,KAMALA D HARRIS,171,0,118,53
Washington,WEST PIKE RUN 2,President,,DEM,KAMALA D HARRIS,139,0,97,42
Washington,WASHINGTON 2 W 1,President,,DEM,KAMALA D HARRIS,180,2,127,51
Washington,WASHINGTON 3 W 1,President,,DEM,KAMALA D HARRIS,160,0,109,51
Washington,WASHINGTON 4,President,,DEM,KAMALA D HARRIS,107,1,79,27
Washington,WASHINGTON 5 W 1,President,,DEM,KAMALA D HARRIS,191,1,139,51
Washington,WASHINGTON 5 W 2,President,,DEM,KAMALA D HARRIS,296,2,196,98
Washington,WASHINGTON 6 W 1,President,,DEM,KAMALA D HARRIS,349,0,275,74
Washington,WASHINGTON 6 W 3,President,,DEM,KAMALA D HARRIS,176,1,127,48
Washington,WASHINGTON 7 W 1,President,,DEM,KAMALA D HARRIS,231,0,170,61
Washington,WASHINGTON 7 W 2,President,,DEM,KAMALA D HARRIS,348,1,239,108
Washington,WASHINGTON 7 W 3,President,,DEM,KAMALA D HARRIS,315,2,216,97
Washington,WASHINGTON 8 W 1,President,,DEM,KAMALA D HARRIS,319,5,231,83
Washington,ALLENPORT,President,,REP,DONALD J TRUMP,170,1,154,15
Washington,AMWELL 1,President,,REP,DONALD J TRUMP,875,4,714,157
Washington,AMWELL 2,President,,REP,DONALD J TRUMP,763,7,687,69
Washington,BEALLSVILLE,President,,REP,DONALD J TRUMP,157,1,147,9
Washington,BENTLEYVILLE,President,,REP,DONALD J TRUMP,742,10,646,86
Washington,BLAINE,President,,REP,DONALD J TRUMP,262,0,245,17
Washington,BUFFALO,President,,REP,DONALD J TRUMP,882,5,762,115
Washington,BURGETTSTOWN,President,,REP,DONALD J TRUMP,447,2,376,69
Washington,CALIFORNIA 1,President,,REP,DONALD J TRUMP,145,1,122,22
Washington,CALIFORNIA 2,President,,REP,DONALD J TRUMP,228,0,204,24
Washington,CALIFORNIA 3,President,,REP,DONALD J TRUMP,256,0,230,26
Washington,CALIFORNIA 4,President,,REP,DONALD J TRUMP,424,0,350,74
Washington,CANONSBURG 1 W 3,President,,REP,DONALD J TRUMP,363,5,315,43
Washington,CANONSBURG 1 W 4,President,,REP,DONALD J TRUMP,740,2,617,121
Washington,CANONSBURG 2 W 1,President,,REP,DONALD J TRUMP,329,0,293,36
Washington,CANONSBURG 2 W 2,President,,REP,DONALD J TRUMP,520,5,444,71
Washington,CANONSBURG 3 W 1,President,,REP,DONALD J TRUMP,308,0,267,41
Washington,CANONSBURG 3 W 3,President,,REP,DONALD J TRUMP,353,4,314,35
Washington,CANTON 1,President,,REP,DONALD J TRUMP,453,3,377,73
Washington,CANTON 2,President,,REP,DONALD J TRUMP,707,2,604,101
Washington,CANTON 4,President,,REP,DONALD J TRUMP,604,5,521,78
Washington,CANTON 5,President,,REP,DONALD J TRUMP,963,4,823,136
Washington,CARROLL 1,President,,REP,DONALD J TRUMP,114,0,101,13
Washington,CARROLL 2,President,,REP,DONALD J TRUMP,469,1,403,65
Washington,CARROLL 3,President,,REP,DONALD J TRUMP,406,1,361,44
Washington,CARROLL 4,President,,REP,DONALD J TRUMP,716,6,596,114
Washington,CARROLL 5,President,,REP,DONALD J TRUMP,413,1,344,68
Washington,CECIL 1,President,,REP,DONALD J TRUMP,554,4,453,97
Washington,CECIL 2,President,,REP,DONALD J TRUMP,419,0,357,62
Washington,CECIL 3,President,,REP,DONALD J TRUMP,748,1,626,121
Washington,CECIL 4,President,,REP,DONALD J TRUMP,643,3,532,108
Washington,CECIL 5,President,,REP,DONALD J TRUMP,907,0,727,180
Washington,CECIL 6,President,,REP,DONALD J TRUMP,1541,12,1102,427
Washington,CECIL 7,President,,REP,DONALD J TRUMP,760,3,535,222
Washington,CECIL 8,President,,REP,DONALD J TRUMP,508,0,434,74
Washington,CENTERVILLE 1,President,,REP,DONALD J TRUMP,252,0,225,27
Washington,CENTERVILLE 2,President,,REP,DONALD J TRUMP,326,3,279,44
Washington,CENTERVILLE 3,President,,REP,DONALD J TRUMP,60,0,50,10
Washington,CENTERVILLE 4,President,,REP,DONALD J TRUMP,307,0,274,33
Washington,CENTERVILLE 5,President,,REP,DONALD J TRUMP,76,0,69,7
Washington,CENTERVILLE 6,President,,REP,DONALD J TRUMP,175,0,161,14
Washington,CHARLEROI 2,President,,REP,DONALD J TRUMP,218,2,174,42
Washington,CHARLEROI 3,President,,REP,DONALD J TRUMP,242,2,192,48
Washington,CHARLEROI 4,President,,REP,DONALD J TRUMP,135,2,107,26
Washington,CHARLEROI 6,President,,REP,DONALD J TRUMP,188,0,170,18
Washington,CHARTIERS 1,President,,REP,DONALD J TRUMP,222,0,179,43
Washington,CHARTIERS 2,President,,REP,DONALD J TRUMP,454,2,389,63
Washington,CHARTIERS 3,President,,REP,DONALD J TRUMP,915,2,734,179
Washington,CHARTIERS 5,President,,REP,DONALD J TRUMP,386,0,321,65
Washington,CHARTIERS 6,President,,REP,DONALD J TRUMP,575,0,491,84
Washington,CHARTIERS 7,President,,REP,DONALD J TRUMP,888,3,705,180
Washington,CLAYSVILLE,President,,REP,DONALD J TRUMP,256,1,240,15
Washington,COAL CENTER,President,,REP,DONALD J TRUMP,31,0,26,5
Washington,COKEBURG,President,,REP,DONALD J TRUMP,174,0,155,19
Washington,CROSS CREEK 1,President,,REP,DONALD J TRUMP,175,0,158,17
Washington,CROSS CREEK 2,President,,REP,DONALD J TRUMP,168,0,153,15
Washington,CROSS CREEK 3,President,,REP,DONALD J TRUMP,264,0,236,28
Washington,DEEMSTON,President,,REP,DONALD J TRUMP,363,0,326,37
Washington,DONEGAL 1,President,,REP,DONALD J TRUMP,532,3,470,59
Washington,DONEGAL 2,President,,REP,DONALD J TRUMP,561,7,495,59
Washington,DONORA 1,President,,REP,DONALD J TRUMP,144,3,117,24
Washington,DONORA 2,President,,REP,DONALD J TRUMP,227,1,204,22
Washington,DONORA 4,President,,REP,DONALD J TRUMP,282,3,244,35
Washington,DONORA 5,President,,REP,DONALD J TRUMP,168,1,139,28
Washington,DONORA 7,President,,REP,DONALD J TRUMP,164,1,149,14
Washington,DUNLEVY,President,,REP,DONALD J TRUMP,143,0,126,17
Washington,EAST BETHLEHEM 1 W,President,,REP,DONALD J TRUMP,181,0,169,12
Washington,EAST BETHLEHEM 2 W,President,,REP,DONALD J TRUMP,244,0,229,15
Washington,EAST BETHLEHEM 3 W,President,,REP,DONALD J TRUMP,110,2,96,12
Washington,EAST BETHLEHEM 4 W,President,,REP,DONALD J TRUMP,193,1,178,14
Washington,EAST FINLEY,President,,REP,DONALD J TRUMP,574,0,512,62
Washington,EAST WASHINGTON,President,,REP,DONALD J TRUMP,479,5,408,66
Washington,ELCO,President,,REP,DONALD J TRUMP,89,0,80,9
Washington,ELLSWORTH,President,,REP,DONALD J TRUMP,259,2,234,23
Washington,FALLOWFIELD 1,President,,REP,DONALD J TRUMP,646,1,544,101
Washington,FALLOWFIELD 2,President,,REP,DONALD J TRUMP,256,0,223,33
Washington,FALLOWFIELD 3,President,,REP,DONALD J TRUMP,391,1,337,53
Washington,FALLOWFIELD 4,President,,REP,DONALD J TRUMP,517,2,454,61
Washington,FINLEYVILLE,President,,REP,DONALD J TRUMP,137,3,122,12
Washington,GREEN HILLS,President,,REP,DONALD J TRUMP,9,0,5,4
Washington,HANOVER 1,President,,REP,DONALD J TRUMP,596,2,531,63
Washington,HANOVER 2,President,,REP,DONALD J TRUMP,470,1,421,48
Washington,HOPEWELL,President,,REP,DONALD J TRUMP,418,0,371,47
Washington,HOUSTON,President,,REP,DONALD J TRUMP,363,0,321,42
Washington,INDEPENDENCE 1,President,,REP,DONALD J TRUMP,404,0,356,48
Washington,INDEPENDENCE 2,President,,REP,DONALD J TRUMP,284,3,261,20
Washington,JEFFERSON,President,,REP,DONALD J TRUMP,481,1,445,35
Washington,LONG BRANCH,President,,REP,DONALD J TRUMP,207,0,189,18
Washington,MARIANNA,President,,REP,DONALD J TRUMP,106,2,102,2
Washington,MIDWAY,President,,REP,DONALD J TRUMP,337,1,313,23
Washington,MONONGAHELA 1,President,,REP,DONALD J TRUMP,282,0,248,34
Washington,MONONGAHELA 2 W 1,President,,REP,DONALD J TRUMP,203,1,182,20
Washington,MONONGAHELA 2 W 3,President,,REP,DONALD J TRUMP,253,2,221,30
Washington,MONONGAHELA 3 W 1,President,,REP,DONALD J TRUMP,153,0,132,21
Washington,MONONGAHELA 3 W 2,President,,REP,DONALD J TRUMP,368,0,316,52
Washington,MORRIS,President,,REP,DONALD J TRUMP,420,2,369,49
Washington,MT PLEASANT 1,President,,REP,DONALD J TRUMP,1039,1,864,174
Washington,MT PLEASANT 2,President,,REP,DONALD J TRUMP,267,1,224,42
Washington,MT PLEASANT 3,President,,REP,DONALD J TRUMP,117,0,107,10
Washington,MT PLEASANT 4,President,,REP,DONALD J TRUMP,119,0,107,12
Washington,MCDONALD,President,,REP,DONALD J TRUMP,512,5,463,44
Washington,NEW EAGLE 1,President,,REP,DONALD J TRUMP,344,1,298,45
Washington,NEW EAGLE 2,President,,REP,DONALD J TRUMP,383,1,343,39
Washington,NORTH BETHLEHEM,President,,REP,DONALD J TRUMP,612,5,526,81
Washington,NORTH CHARLEROI,President,,REP,DONALD J TRUMP,317,4,282,31
Washington,NORTH FRANKLIN 1,President,,REP,DONALD J TRUMP,732,4,592,136
Washington,NORTH FRANKLIN 2,President,,REP,DONALD J TRUMP,470,1,388,81
Washington,NORTH FRANKLIN 3,President,,REP,DONALD J TRUMP,481,4,399,78
Washington,NORTH STRABANE 1,President,,REP,DONALD J TRUMP,706,1,493,212
Washington,NORTH STRABANE 2,President,,REP,DONALD J TRUMP,983,8,725,250
Washington,NORTH STRABANE 3,President,,REP,DONALD J TRUMP,824,2,660,162
Washington,NORTH STRABANE 4,President,,REP,DONALD J TRUMP,576,6,440,130
Washington,NORTH STRABANE 5,President,,REP,DONALD J TRUMP,668,1,525,142
Washington,NORTH STRABANE 6,President,,REP,DONALD J TRUMP,534,2,431,101
Washington,NORTH STRABANE 7,President,,REP,DONALD J TRUMP,744,8,596,140
Washington,NORTH STRABANE 8,President,,REP,DONALD J TRUMP,723,7,546,170
Washington,NORTH STRABANE 9,President,,REP,DONALD J TRUMP,774,5,576,193
Washington,NOTTINGHAM 1,President,,REP,DONALD J TRUMP,761,3,638,120
Washington,NOTTINGHAM 2,President,,REP,DONALD J TRUMP,627,2,502,123
Washington,PETERS A 1,President,,REP,DONALD J TRUMP,417,2,328,87
Washington,PETERS A 2,President,,REP,DONALD J TRUMP,615,3,501,111
Washington,PETERS A 3,President,,REP,DONALD J TRUMP,850,6,667,177
Washington,PETERS B 1,President,,REP,DONALD J TRUMP,740,3,547,190
Washington,PETERS B 2,President,,REP,DONALD J TRUMP,1116,4,835,277
Washington,PETERS B 3,President,,REP,DONALD J TRUMP,1193,5,921,267
Washington,PETERS C 1,President,,REP,DONALD J TRUMP,756,3,611,142
Washington,PETERS C 2,President,,REP,DONALD J TRUMP,592,2,493,97
Washington,PETERS C 3,President,,REP,DONALD J TRUMP,610,2,468,140
Washington,PETERS D 1,President,,REP,DONALD J TRUMP,1282,1,968,313
Washington,PETERS D 2,President,,REP,DONALD J TRUMP,756,4,546,206
Washington,PETERS D 3,President,,REP,DONALD J TRUMP,578,1,448,129
Washington,ROBINSON 1,President,,REP,DONALD J TRUMP,194,1,163,30
Washington,ROBINSON 2,President,,REP,DONALD J TRUMP,195,0,176,19
Washington,ROBINSON 3,President,,REP,DONALD J TRUMP,263,2,239,22
Washington,ROSCOE,President,,REP,DONALD J TRUMP,251,2,234,15
Washington,SMITH 1,President,,REP,DONALD J TRUMP,327,1,284,42
Washington,SMITH 2,President,,REP,DONALD J TRUMP,272,3,248,21
Washington,SMITH 3,President,,REP,DONALD J TRUMP,272,0,249,23
Washington,SMITH 4,President,,REP,DONALD J TRUMP,173,0,153,20
Washington,SMITH 5,President,,REP,DONALD J TRUMP,188,1,166,21
Washington,SMITH 6,President,,REP,DONALD J TRUMP,252,0,230,22
Washington,SMITH 7,President,,REP,DONALD J TRUMP,157,1,148,8
Washington,SOMERSET 1,President,,REP,DONALD J TRUMP,500,0,426,74
Washington,SOMERSET 2,President,,REP,DONALD J TRUMP,656,4,573,79
Washington,SOUTH FRANKLIN 1,President,,REP,DONALD J TRUMP,536,1,470,65
Washington,SOUTH FRANKLIN 2,President,,REP,DONALD J TRUMP,765,1,647,117
Washington,SOUTH STRABANE 1,President,,REP,DONALD J TRUMP,494,4,408,82
Washington,SOUTH STRABANE 2,President,,REP,DONALD J TRUMP,591,7,481,103
Washington,SOUTH STRABANE 3,President,,REP,DONALD J TRUMP,657,7,497,153
Washington,SOUTH STRABANE 4,President,,REP,DONALD J TRUMP,643,1,536,106
Washington,SOUTH STRABANE 5,President,,REP,DONALD J TRUMP,589,2,466,121
Washington,SOUTH STRABANE 6,President,,REP,DONALD J TRUMP,683,2,546,135
Washington,SPEERS,President,,REP,DONALD J TRUMP,456,5,393,58
Washington,STOCKDALE,President,,REP,DONALD J TRUMP,178,1,160,17
Washington,TWILIGHT,President,,REP,DONALD J TRUMP,79,1,71,7
Washington,UNION 1,President,,REP,DONALD J TRUMP,636,4,543,89
Washington,UNION 2,President,,REP,DONALD J TRUMP,327,2,296,29
Washington,UNION 4,President,,REP,DONALD J TRUMP,165,0,156,9
Washington,UNION 5,President,,REP,DONALD J TRUMP,521,3,429,89
Washington,UNION 6,President,,REP,DONALD J TRUMP,341,0,296,45
Washington,UNION 7,President,,REP,DONALD J TRUMP,355,0,290,65
Washington,WEST BETHLEHEM,President,,REP,DONALD J TRUMP,512,0,461,51
Washington,WEST BROWNSVILLE 1,President,,REP,DONALD J TRUMP,102,0,96,6
Washington,WEST BROWNSVILLE 2,President,,REP,DONALD J TRUMP,212,1,200,11
Washington,WEST FINLEY 1,President,,REP,DONALD J TRUMP,157,0,133,24
Washington,WEST FINLEY 2,President,,REP,DONALD J TRUMP,214,0,202,12
Washington,WEST MIDDLETOWN,President,,REP,DONALD J TRUMP,61,0,57,4
