county,precinct,office,district,candidate,party,election_day,mail,provisional,votes
Armstrong,Elderton Boro,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Elderton Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Elderton Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,135,16,1,152
Armstrong,Elderton Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,21,10,0,31
Armstrong,Elderton Boro,AUDITOR GENERAL,,REECE SMITH,LIB,3,1,0,4
Armstrong,Elderton Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,3,0,0,3
Armstrong,Elderton Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Elderton Boro,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Elderton Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Elderton Boro,STATE TREASURER,,STACY GARRITY,REP,139,17,1,157
Armstrong,Elderton Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,24,9,0,33
Armstrong,Elderton Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,0,0,2
Armstrong,Elderton Boro,STATE TREASURER,,TROY BOWMAN,CST,1,0,0,1
Armstrong,Elderton Boro,STATE TREASURER,,CHRIS FOSTER,FWD,0,1,0,1
Armstrong,Elderton Boro,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Elderton Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Elderton Boro,U.S. House,15,GLENN GT THOMPSON,REP,134,17,1,152
Armstrong,Elderton Boro,U.S. House,15,ZACH WOMER,DEM,30,10,0,40
Armstrong,Elderton Boro,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Elderton Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Elderton Boro,State Senate,41,JOE PITTMAN,REP,151,22,1,174
Armstrong,Elderton Boro,State Senate,41,Write-ins,,1,2,0,3
Armstrong,Elderton Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Elderton Boro,State House,63,JOSH BASHLINE,REP,139,18,1,158
Armstrong,Elderton Boro,State House,63,PAT RITCHIE,DEM,27,9,0,36
Armstrong,Elderton Boro,State House,63,Write-ins,,0,0,0,0
Armstrong,Elderton Boro,State House,63,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,Registered Voters,,,,,,,935
Armstrong,Ford City Boro-1st Wd,Ballots Cast,,,,567,121,11,699
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,DONALD J TRUMP,REP,392,50,7,449
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,KAMALA D HARRIS,DEM,167,70,3,240
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,CHASE OLIVER,LIB,3,1,1,5
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,Write-ins,,1,0,0,1
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,DAVE MCCORMICK,REP,359,43,5,407
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,ROBERT P CASEY JR,DEM,182,70,3,255
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,JOHN C THOMAS,LIB,10,3,1,14
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,LEILA HAZOU,GRN,4,2,1,7
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,MARTY SELKER,CST,4,0,1,5
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,Write-ins,,0,1,0,1
Armstrong,Ford City Boro-1st Wd,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,DAVE SUNDAY,REP,369,46,4,419
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,166,67,2,235
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,13,2,3,18
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,4,1,1,6
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,1,1,4
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,TIM DEFOOR,REP,366,47,6,419
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,161,65,1,227
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,REECE SMITH,LIB,9,2,1,12
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,BOB GOODRICH,CST,7,1,2,10
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,1,0,2
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,Write-ins,,1,0,0,1
Armstrong,Ford City Boro-1st Wd,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,STACY GARRITY,REP,374,46,6,426
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,ERIN MCCLELLAND,DEM,159,67,0,226
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,6,3,2,11
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,TROY BOWMAN,CST,5,0,2,7
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,CHRIS FOSTER,FWD,4,1,0,5
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,U.S. House,15,GLENN GT THOMPSON,REP,376,48,6,430
Armstrong,Ford City Boro-1st Wd,U.S. House,15,ZACH WOMER,DEM,164,69,4,237
Armstrong,Ford City Boro-1st Wd,U.S. House,15,Write-ins,,1,0,0,1
Armstrong,Ford City Boro-1st Wd,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,State Senate,41,JOE PITTMAN,REP,490,90,11,591
Armstrong,Ford City Boro-1st Wd,State Senate,41,Write-ins,,12,8,0,20
Armstrong,Ford City Boro-1st Wd,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-1st Wd,State House,60,ABBY MAJOR,REP,503,92,11,606
Armstrong,Ford City Boro-1st Wd,State House,60,Write-ins,,10,8,0,18
Armstrong,Ford City Boro-1st Wd,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,Registered Voters,,,,,,,898
Armstrong,Ford City Boro-2nd Wd,Ballots Cast,,,,570,149,2,721
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,DONALD J TRUMP,REP,417,56,1,474
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,KAMALA D HARRIS,DEM,149,91,1,241
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,JILL STEIN,GRN,1,0,0,1
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,CHASE OLIVER,LIB,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,Write-ins,,2,1,0,3
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,DAVE MCCORMICK,REP,379,50,1,430
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,ROBERT P CASEY JR,DEM,163,97,0,260
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,JOHN C THOMAS,LIB,12,1,0,13
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,MARTY SELKER,CST,2,1,0,3
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,DAVE SUNDAY,REP,371,57,2,430
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,158,87,0,245
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,12,2,0,14
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,4,0,0,4
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,1,0,2
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,TIM DEFOOR,REP,378,54,1,433
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,147,91,1,239
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,REECE SMITH,LIB,11,1,0,12
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,BOB GOODRICH,CST,2,0,0,2
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,STACY GARRITY,REP,385,53,1,439
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,ERIN MCCLELLAND,DEM,145,92,0,237
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,7,1,0,8
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,TROY BOWMAN,CST,5,0,0,5
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,CHRIS FOSTER,FWD,1,0,0,1
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,U.S. House,15,GLENN GT THOMPSON,REP,390,60,1,451
Armstrong,Ford City Boro-2nd Wd,U.S. House,15,ZACH WOMER,DEM,148,87,0,235
Armstrong,Ford City Boro-2nd Wd,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,State Senate,41,JOE PITTMAN,REP,476,105,1,582
Armstrong,Ford City Boro-2nd Wd,State Senate,41,Write-ins,,14,5,0,19
Armstrong,Ford City Boro-2nd Wd,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Ford City Boro-2nd Wd,State House,60,ABBY MAJOR,REP,497,112,1,610
Armstrong,Ford City Boro-2nd Wd,State House,60,Write-ins,,16,5,0,21
Armstrong,Ford City Boro-2nd Wd,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,Registered Voters,,,,,,,253
Armstrong,Ford Cliff Boro,Ballots Cast,,,,189,36,0,225
Armstrong,Ford Cliff Boro,PRESIDENT,,DONALD J TRUMP,REP,153,14,0,167
Armstrong,Ford Cliff Boro,PRESIDENT,,KAMALA D HARRIS,DEM,33,22,0,55
Armstrong,Ford Cliff Boro,PRESIDENT,,JILL STEIN,GRN,2,0,0,2
Armstrong,Ford Cliff Boro,PRESIDENT,,CHASE OLIVER,LIB,1,0,0,1
Armstrong,Ford Cliff Boro,PRESIDENT,,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Ford Cliff Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,U.S. SENATE,,DAVE MCCORMICK,REP,135,10,0,145
Armstrong,Ford Cliff Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,46,23,0,69
Armstrong,Ford Cliff Boro,U.S. SENATE,,JOHN C THOMAS,LIB,3,2,0,5
Armstrong,Ford Cliff Boro,U.S. SENATE,,LEILA HAZOU,GRN,3,0,0,3
Armstrong,Ford Cliff Boro,U.S. SENATE,,MARTY SELKER,CST,1,0,0,1
Armstrong,Ford Cliff Boro,U.S. SENATE,,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,133,17,0,150
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,44,18,0,62
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,4,1,0,5
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,2,0,0,2
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,138,18,0,156
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,37,17,0,54
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,REECE SMITH,LIB,7,1,0,8
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,2,0,0,2
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,STATE TREASURER,,STACY GARRITY,REP,140,17,0,157
Armstrong,Ford Cliff Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,36,17,0,53
Armstrong,Ford Cliff Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,5,0,0,5
Armstrong,Ford Cliff Boro,STATE TREASURER,,TROY BOWMAN,CST,4,0,0,4
Armstrong,Ford Cliff Boro,STATE TREASURER,,CHRIS FOSTER,FWD,0,2,0,2
Armstrong,Ford Cliff Boro,STATE TREASURER,,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,U.S. House,15,GLENN GT THOMPSON,REP,147,18,0,165
Armstrong,Ford Cliff Boro,U.S. House,15,ZACH WOMER,DEM,37,17,0,54
Armstrong,Ford Cliff Boro,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Ford Cliff Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,State Senate,41,JOE PITTMAN,REP,168,29,0,197
Armstrong,Ford Cliff Boro,State Senate,41,Write-ins,,5,0,0,5
Armstrong,Ford Cliff Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Ford Cliff Boro,State House,60,ABBY MAJOR,REP,173,27,0,200
Armstrong,Ford Cliff Boro,State House,60,Write-ins,,6,0,0,6
Armstrong,Ford Cliff Boro,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,Registered Voters,,,,,,,1154
Armstrong,Freeport Boro,Ballots Cast,,,,743,166,4,913
Armstrong,Freeport Boro,PRESIDENT,,DONALD J TRUMP,REP,490,59,2,551
Armstrong,Freeport Boro,PRESIDENT,,KAMALA D HARRIS,DEM,239,106,2,347
Armstrong,Freeport Boro,PRESIDENT,,CHASE OLIVER,LIB,7,1,0,8
Armstrong,Freeport Boro,PRESIDENT,,JILL STEIN,GRN,2,0,0,2
Armstrong,Freeport Boro,PRESIDENT,,Write-ins,,4,0,0,4
Armstrong,Freeport Boro,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Freeport Boro,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,U.S. SENATE,,DAVE MCCORMICK,REP,452,53,2,507
Armstrong,Freeport Boro,U.S. SENATE,,ROBERT P CASEY JR,DEM,251,109,2,362
Armstrong,Freeport Boro,U.S. SENATE,,JOHN C THOMAS,LIB,24,2,0,26
Armstrong,Freeport Boro,U.S. SENATE,,LEILA HAZOU,GRN,6,0,0,6
Armstrong,Freeport Boro,U.S. SENATE,,MARTY SELKER,CST,3,0,0,3
Armstrong,Freeport Boro,U.S. SENATE,,Write-ins,,2,0,0,2
Armstrong,Freeport Boro,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,ATTORNEY GENERAL,,DAVE SUNDAY,REP,466,62,1,529
Armstrong,Freeport Boro,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,231,96,0,327
Armstrong,Freeport Boro,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,19,2,0,21
Armstrong,Freeport Boro,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,8,1,0,9
Armstrong,Freeport Boro,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,3,0,0,3
Armstrong,Freeport Boro,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,3,0,0,3
Armstrong,Freeport Boro,ATTORNEY GENERAL,,Write-ins,,2,0,0,2
Armstrong,Freeport Boro,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,AUDITOR GENERAL,,TIM DEFOOR,REP,457,64,1,522
Armstrong,Freeport Boro,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,235,93,1,329
Armstrong,Freeport Boro,AUDITOR GENERAL,,REECE SMITH,LIB,25,2,0,27
Armstrong,Freeport Boro,AUDITOR GENERAL,,BOB GOODRICH,CST,5,0,0,5
Armstrong,Freeport Boro,AUDITOR GENERAL,,ERIC K ANTON,ASP,4,0,0,4
Armstrong,Freeport Boro,AUDITOR GENERAL,,Write-ins,,2,0,0,2
Armstrong,Freeport Boro,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,STATE TREASURER,,STACY GARRITY,REP,468,61,1,530
Armstrong,Freeport Boro,STATE TREASURER,,ERIN MCCLELLAND,DEM,228,96,0,324
Armstrong,Freeport Boro,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,21,2,0,23
Armstrong,Freeport Boro,STATE TREASURER,,CHRIS FOSTER,FWD,5,0,0,5
Armstrong,Freeport Boro,STATE TREASURER,,TROY BOWMAN,CST,4,0,0,4
Armstrong,Freeport Boro,STATE TREASURER,,Write-ins,,2,0,0,2
Armstrong,Freeport Boro,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,U.S. House,15,GLENN GT THOMPSON,REP,471,64,1,536
Armstrong,Freeport Boro,U.S. House,15,ZACH WOMER,DEM,248,99,1,348
Armstrong,Freeport Boro,U.S. House,15,Write-ins,,4,0,0,4
Armstrong,Freeport Boro,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,State Senate,41,JOE PITTMAN,REP,596,106,1,703
Armstrong,Freeport Boro,State Senate,41,Write-ins,,32,12,0,44
Armstrong,Freeport Boro,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Freeport Boro,State House,60,ABBY MAJOR,REP,620,107,3,730
Armstrong,Freeport Boro,State House,60,Write-ins,,26,13,0,39
Armstrong,Freeport Boro,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,Registered Voters,,,,,,,1307
Armstrong,Gilpin Twp-#1,Ballots Cast,,,,822,222,2,1046
Armstrong,Gilpin Twp-#1,PRESIDENT,,DONALD J TRUMP,REP,627,102,1,730
Armstrong,Gilpin Twp-#1,PRESIDENT,,KAMALA D HARRIS,DEM,184,118,1,303
Armstrong,Gilpin Twp-#1,PRESIDENT,,CHASE OLIVER,LIB,7,1,0,8
Armstrong,Gilpin Twp-#1,PRESIDENT,,JILL STEIN,GRN,2,1,0,3
Armstrong,Gilpin Twp-#1,PRESIDENT,,Write-ins,,1,0,0,1
Armstrong,Gilpin Twp-#1,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Gilpin Twp-#1,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,U.S. SENATE,,DAVE MCCORMICK,REP,596,100,1,697
Armstrong,Gilpin Twp-#1,U.S. SENATE,,ROBERT P CASEY JR,DEM,195,116,1,312
Armstrong,Gilpin Twp-#1,U.S. SENATE,,JOHN C THOMAS,LIB,17,1,0,18
Armstrong,Gilpin Twp-#1,U.S. SENATE,,MARTY SELKER,CST,4,2,0,6
Armstrong,Gilpin Twp-#1,U.S. SENATE,,LEILA HAZOU,GRN,2,1,0,3
Armstrong,Gilpin Twp-#1,U.S. SENATE,,Write-ins,,1,0,0,1
Armstrong,Gilpin Twp-#1,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,DAVE SUNDAY,REP,593,106,1,700
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,183,109,1,293
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,11,1,0,12
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,8,0,0,8
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,7,1,0,8
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,2,1,0,3
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,Write-ins,,1,0,0,1
Armstrong,Gilpin Twp-#1,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,TIM DEFOOR,REP,596,98,1,695
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,175,113,1,289
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,REECE SMITH,LIB,16,6,0,22
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,BOB GOODRICH,CST,10,2,0,12
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,0,0,1
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,Write-ins,,0,0,0,0
Armstrong,Gilpin Twp-#1,AUDITOR GENERAL,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,STATE TREASURER,,STACY GARRITY,REP,589,97,1,687
Armstrong,Gilpin Twp-#1,STATE TREASURER,,ERIN MCCLELLAND,DEM,179,114,1,294
Armstrong,Gilpin Twp-#1,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,15,4,0,19
Armstrong,Gilpin Twp-#1,STATE TREASURER,,TROY BOWMAN,CST,7,1,0,8
Armstrong,Gilpin Twp-#1,STATE TREASURER,,CHRIS FOSTER,FWD,7,1,0,8
Armstrong,Gilpin Twp-#1,STATE TREASURER,,Write-ins,,1,0,0,1
Armstrong,Gilpin Twp-#1,STATE TREASURER,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,U.S. House,15,GLENN GT THOMPSON,REP,600,106,1,707
Armstrong,Gilpin Twp-#1,U.S. House,15,ZACH WOMER,DEM,191,112,1,304
Armstrong,Gilpin Twp-#1,U.S. House,15,Write-ins,,0,0,0,0
Armstrong,Gilpin Twp-#1,U.S. House,15,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,State Senate,41,JOE PITTMAN,REP,712,159,1,872
Armstrong,Gilpin Twp-#1,State Senate,41,Write-ins,,12,8,0,20
Armstrong,Gilpin Twp-#1,State Senate,41,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#1,State House,60,ABBY MAJOR,REP,738,170,2,910
Armstrong,Gilpin Twp-#1,State House,60,Write-ins,,13,8,0,21
Armstrong,Gilpin Twp-#1,State House,60,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#2,Registered Voters,,,,,,,424
Armstrong,Gilpin Twp-#2,Ballots Cast,,,,278,80,2,360
Armstrong,Gilpin Twp-#2,PRESIDENT,,DONALD J TRUMP,REP,201,31,2,234
Armstrong,Gilpin Twp-#2,PRESIDENT,,KAMALA D HARRIS,DEM,72,49,0,121
Armstrong,Gilpin Twp-#2,PRESIDENT,,CHASE OLIVER,LIB,2,0,0,2
Armstrong,Gilpin Twp-#2,PRESIDENT,,JILL STEIN,GRN,2,0,0,2
Armstrong,Gilpin Twp-#2,PRESIDENT,,Write-ins,,1,0,0,1
Armstrong,Gilpin Twp-#2,PRESIDENT,,SHIVA AYYADURAI,,0,0,0,0
Armstrong,Gilpin Twp-#2,PRESIDENT,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#2,U.S. SENATE,,DAVE MCCORMICK,REP,195,30,0,225
Armstrong,Gilpin Twp-#2,U.S. SENATE,,ROBERT P CASEY JR,DEM,73,48,2,123
Armstrong,Gilpin Twp-#2,U.S. SENATE,,JOHN C THOMAS,LIB,2,0,0,2
Armstrong,Gilpin Twp-#2,U.S. SENATE,,LEILA HAZOU,GRN,2,0,0,2
Armstrong,Gilpin Twp-#2,U.S. SENATE,,MARTY SELKER,CST,2,0,0,2
Armstrong,Gilpin Twp-#2,U.S. SENATE,,Write-ins,,2,0,0,2
Armstrong,Gilpin Twp-#2,U.S. SENATE,,Unresolved Write-In,,0,0,0,0
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,DAVE SUNDAY,REP,197,34,2,233
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,67,44,0,111
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,3,0,0,3
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,JUSTIN L MAGILL,CST,2,0,0,2
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,0,0,1
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,Write-ins,,0,0,0,0
Armstrong,Gilpin Twp-#2,ATTORNEY GENERAL,,Unresolved Write-In,,0,0,0,0
