county,precinct,office,district,candidate,party,votes,election_day,mail,provisional
Lancaster,1101 Akron-E,President,,Kamala D Harris,DEM,344,220,122,2
Lancaster,1102 Akron-W,President,,Kamala D Harris,DEM,535,353,172,10
Lancaster,1200 Christia,President,,Kamala D Harris,DEM,186,145,41,0
Lancaster,1301 Columb-1,President,,Kamala D Harris,DEM,380,284,86,10
Lancaster,1304 Columb-4,President,,Kamala D Harris,DEM,290,224,60,6
Lancaster,1305 Columb-5,President,,Kamala D Harris,DEM,284,185,92,7
Lancaster,1306 Columb-6,President,,Kamala D Harris,DEM,515,343,167,5
Lancaster,1307 Columb-7,President,,Kamala D Harris,DEM,328,238,87,3
Lancaster,1309 Columb-9,President,,Kamala D Harris,DEM,240,197,41,2
Lancaster,1400 Denver,President,,Kamala D Harris,DEM,587,405,175,7
Lancaster,1500 E Pete-N,President,,Kamala D Harris,DEM,497,376,118,3
Lancaster,1501 E Pete-S,President,,Kamala D Harris,DEM,443,338,103,2
Lancaster,1502 E Pete-W,President,,Kamala D Harris,DEM,436,358,73,5
Lancaster,1601 Etown 1,President,,Kamala D Harris,DEM,795,525,257,13
Lancaster,1602 Etown 2,President,,Kamala D Harris,DEM,526,366,156,4
Lancaster,1603 Etown 3-1,President,,Kamala D Harris,DEM,288,217,70,1
Lancaster,1604 Etown 3-2,President,,Kamala D Harris,DEM,511,354,155,2
Lancaster,1605 Etown 3-3,President,,Kamala D Harris,DEM,365,245,113,7
Lancaster,1701 Eph-1,President,,Kamala D Harris,DEM,505,336,164,5
Lancaster,1702 Eph-2,President,,Kamala D Harris,DEM,713,432,275,6
Lancaster,1703 Eph-3,President,,Kamala D Harris,DEM,844,566,266,12
Lancaster,1704 Eph-4,President,,Kamala D Harris,DEM,480,303,173,4
Lancaster,1801 Litz 1-1,President,,Kamala D Harris,DEM,326,245,75,6
Lancaster,1802 Litz 1-2,President,,Kamala D Harris,DEM,373,245,124,4
Lancaster,1803 Litz 2-1,President,,Kamala D Harris,DEM,524,346,172,6
Lancaster,1804 Litz 2-2,President,,Kamala D Harris,DEM,483,330,150,3
Lancaster,1805 Litz 3-1,President,,Kamala D Harris,DEM,751,394,349,8
Lancaster,1806 Litz 3-2,President,,Kamala D Harris,DEM,667,470,192,5
Lancaster,1901 Mheim B1,President,,Kamala D Harris,DEM,479,340,132,7
Lancaster,1902 Mheim B2,President,,Kamala D Harris,DEM,474,324,139,11
Lancaster,2001 Mariet-1,President,,Kamala D Harris,DEM,382,268,103,11
Lancaster,2002 Mariet-2,President,,Kamala D Harris,DEM,355,279,72,4
Lancaster,2101 Mville-1,President,,Kamala D Harris,DEM,483,345,130,8
Lancaster,2102 Mville-2,President,,Kamala D Harris,DEM,472,330,136,6
Lancaster,2103 Mville-3,President,,Kamala D Harris,DEM,439,296,138,5
Lancaster,2104 Mville-4,President,,Kamala D Harris,DEM,504,390,78,36
Lancaster,2301 MtJoy-E,President,,Kamala D Harris,DEM,541,382,151,8
Lancaster,2302 MtJoy-Fl,President,,Kamala D Harris,DEM,715,463,245,7
Lancaster,2303 MtJoy-W,President,,Kamala D Harris,DEM,582,393,181,8
Lancaster,2400 Mt-ville,President,,Kamala D Harris,DEM,767,501,257,9
Lancaster,2501 N Holld1,President,,Kamala D Harris,DEM,355,229,121,5
Lancaster,2502 N Holld2,President,,Kamala D Harris,DEM,434,303,123,8
Lancaster,2503 N Holld3,President,,Kamala D Harris,DEM,294,189,102,3
Lancaster,2600 Q-ville,President,,Kamala D Harris,DEM,397,264,125,8
Lancaster,2701 Strasbg1,President,,Kamala D Harris,DEM,413,294,113,6
Lancaster,2703 Strasbg3,President,,Kamala D Harris,DEM,371,282,88,1
Lancaster,2800 Terre HI,President,,Kamala D Harris,DEM,135,110,24,1
Lancaster,2900 Bart Twp,President,,Kamala D Harris,DEM,183,137,45,1
Lancaster,3001 B-nock-B,President,,Kamala D Harris,DEM,631,360,268,3
Lancaster,3002 B-nock-M,President,,Kamala D Harris,DEM,207,152,53,2
Lancaster,3100 Canarvon,President,,Kamala D Harris,DEM,346,210,134,2
Lancaster,3201 Clay T-N,President,,Kamala D Harris,DEM,291,190,96,5
Lancaster,3202 Clay T-S,President,,Kamala D Harris,DEM,786,427,349,10
Lancaster,3301 E Coc-Smk,President,,Kamala D Harris,DEM,478,292,170,16
Lancaster,3302 E Coc-Swrt,President,,Kamala D Harris,DEM,377,259,115,3
Lancaster,3303 E Coc-Stv,President,,Kamala D Harris,DEM,370,241,127,2
Lancaster,3304 E Coc-Rms,President,,Kamala D Harris,DEM,469,294,169,6
Lancaster,3401 W Coc-Rein,President,,Kamala D Harris,DEM,427,302,122,3
Lancaster,3402 W Coc-Sch,President,,Kamala D Harris,DEM,340,226,103,11
Lancaster,3500 Colerain,President,,Kamala D Harris,DEM,366,249,114,3
Lancaster,3600 Conestoga,President,,Kamala D Harris,DEM,652,433,216,3
Lancaster,3700 Conoy,President,,Kamala D Harris,DEM,457,325,129,3
Lancaster,3801 E Don-May,President,,Kamala D Harris,DEM,568,386,179,3
Lancaster,3802 E Don-Spr,President,,Kamala D Harris,DEM,764,504,255,5
Lancaster,3803 E Don-MW,President,,Kamala D Harris,DEM,473,318,150,5
Lancaster,3901 W Dongl-1,President,,Kamala D Harris,DEM,298,209,88,1
Lancaster,3902 W Dongl-2,President,,Kamala D Harris,DEM,688,400,285,3
Lancaster,3903 W Dongl-3,President,,Kamala D Harris,DEM,806,395,403,8
Lancaster,3904 W Dongl-4,President,,Kamala D Harris,DEM,421,299,119,3
Lancaster,4000 Drumore,President,,Kamala D Harris,DEM,243,176,66,1
Lancaster,4100 E Drumor,President,,Kamala D Harris,DEM,386,234,151,1
Lancaster,4201 Earl-Mdl,President,,Kamala D Harris,DEM,192,112,79,1
Lancaster,4202 Earl-NH,President,,Kamala D Harris,DEM,562,371,186,5
Lancaster,4301 E Earl-BB,President,,Kamala D Harris,DEM,328,218,109,1
Lancaster,4302 E Earl-TH,President,,Kamala D Harris,DEM,243,161,80,2
Lancaster,4401 W Earl-Er,President,,Kamala D Harris,DEM,488,332,151,5
Lancaster,4402 W Earl-Fr,President,,Kamala D Harris,DEM,350,206,138,6
Lancaster,4403 W Earl-No,President,,Kamala D Harris,DEM,423,297,124,2
Lancaster,4500 Eden,President,,Kamala D Harris,DEM,138,86,51,1
Lancaster,4600 Elizabeth,President,,Kamala D Harris,DEM,523,313,207,3
Lancaster,4701 Eph-Linc,President,,Kamala D Harris,DEM,625,385,232,8
Lancaster,4702 Eph-Murr,President,,Kamala D Harris,DEM,754,431,313,10
Lancaster,4703 Eph-TRun,President,,Kamala D Harris,DEM,397,255,137,5
Lancaster,4800 Fulton,President,,Kamala D Harris,DEM,233,156,77,0
Lancaster,4901 E Hemp-Bar,President,,Kamala D Harris,DEM,348,230,116,2
Lancaster,4902 E Hemp-Cnt,President,,Kamala D Harris,DEM,661,436,220,5
Lancaster,4903 E Hemp-Chr,President,,Kamala D Harris,DEM,311,215,91,5
Lancaster,4904 E Hemp-Chs,President,,Kamala D Harris,DEM,878,545,326,7
Lancaster,4905 E Hemp-Fri,President,,Kamala D Harris,DEM,371,286,81,4
Lancaster,4906 E Hemp-Spr,President,,Kamala D Harris,DEM,611,378,229,4
Lancaster,4907 E Hemp-Hmp,President,,Kamala D Harris,DEM,306,209,91,6
Lancaster,4908 E Hemp-Ind,President,,Kamala D Harris,DEM,543,338,202,3
Lancaster,4909 E Hemp-Kng,President,,Kamala D Harris,DEM,401,253,143,5
Lancaster,4911 E Hemp-Ldv,President,,Kamala D Harris,DEM,575,397,174,4
Lancaster,4912 E Hemp-Mil,President,,Kamala D Harris,DEM,579,413,161,5
Lancaster,4913 E Hemp-Pet,President,,Kamala D Harris,DEM,559,299,254,6
Lancaster,4914 E Hemp-Ple,President,,Kamala D Harris,DEM,820,443,355,22
Lancaster,4915 E Hemp-Rhr,President,,Kamala D Harris,DEM,786,482,301,3
Lancaster,4916 E Hemp-Sct,President,,Kamala D Harris,DEM,672,445,215,12
Lancaster,5001 W Hemp-Chs,President,,Kamala D Harris,DEM,736,446,284,6
Lancaster,5002 W Hemp-Frm,President,,Kamala D Harris,DEM,664,431,226,7
Lancaster,5003 W Hemp-Irn,President,,Kamala D Harris,DEM,528,385,141,2
Lancaster,5004 W Hemp-Slv,President,,Kamala D Harris,DEM,489,328,157,4
Lancaster,5005 W Hemp-Oys,President,,Kamala D Harris,DEM,743,497,239,7
Lancaster,5006 W Hemp-Hgh,President,,Kamala D Harris,DEM,411,297,106,8
Lancaster,5007 W Hemp-Sal,President,,Kamala D Harris,DEM,494,365,124,5
Lancaster,5101 E Lamp-1,President,,Kamala D Harris,DEM,581,387,192,2
Lancaster,5102 E Lamp-2,President,,Kamala D Harris,DEM,627,398,213,16
Lancaster,5103 E Lamp-3,President,,Kamala D Harris,DEM,294,203,89,2
Lancaster,5104 E Lamp-4,President,,Kamala D Harris,DEM,568,391,172,5
Lancaster,5105 E Lamp-5,President,,Kamala D Harris,DEM,485,341,137,7
Lancaster,5106 E Lamp-6,President,,Kamala D Harris,DEM,355,260,91,4
Lancaster,5107 E Lamp-7,President,,Kamala D Harris,DEM,427,272,139,16
Lancaster,5108 E Lamp-8,President,,Kamala D Harris,DEM,621,448,163,10
Lancaster,5201 W Lamp-Lmp,President,,Kamala D Harris,DEM,508,352,153,3
Lancaster,5202 W Lamp-Lyn,President,,Kamala D Harris,DEM,573,343,227,3
Lancaster,5203 W Lamp-Wil,President,,Kamala D Harris,DEM,616,409,201,6
Lancaster,5204 W Lamp-Loc,President,,Kamala D Harris,DEM,861,394,462,5
Lancaster,5205 W Lamp-Mil,President,,Kamala D Harris,DEM,634,363,264,7
Lancaster,5206 W Lamp-Lak,President,,Kamala D Harris,DEM,767,386,369,12
Lancaster,5207 W Lamp-WHi,President,,Kamala D Harris,DEM,865,496,363,6
Lancaster,5301 LncTwp-1,President,,Kamala D Harris,DEM,419,244,174,1
Lancaster,5302 LncTwp-2,President,,Kamala D Harris,DEM,381,262,115,4
Lancaster,5303 LncTwp-3,President,,Kamala D Harris,DEM,383,283,97,3
Lancaster,5304 LncTwp-4,President,,Kamala D Harris,DEM,652,471,168,13
Lancaster,5305 LncTwp-5,President,,Kamala D Harris,DEM,621,440,175,6
Lancaster,5306 LncTwp-6,President,,Kamala D Harris,DEM,515,321,185,9
Lancaster,5307 LncTwp-7,President,,Kamala D Harris,DEM,720,467,241,12
Lancaster,5308 LncTwp-8,President,,Kamala D Harris,DEM,1082,756,298,28
Lancaster,5309 LncTwp-9,President,,Kamala D Harris,DEM,1019,644,361,14
Lancaster,5400 Leacock,President,,Kamala D Harris,DEM,308,165,136,7
Lancaster,5501 UppLea-Bar,President,,Kamala D Harris,DEM,458,315,137,6
Lancaster,5502 UppLea-Lea,President,,Kamala D Harris,DEM,354,236,112,6
Lancaster,5503 UppLea-Leo,President,,Kamala D Harris,DEM,484,305,167,12
Lancaster,5600 LitBrit,President,,Kamala D Harris,DEM,403,264,137,2
Lancaster,5701 ManTwp-1,President,,Kamala D Harris,DEM,603,313,284,6
Lancaster,5702 ManTwp-2,President,,Kamala D Harris,DEM,634,316,310,8
Lancaster,5703 ManTwp-3,President,,Kamala D Harris,DEM,563,368,190,5
Lancaster,5704 ManTwp-4,President,,Kamala D Harris,DEM,526,355,169,2
Lancaster,5705 ManTwp-5,President,,Kamala D Harris,DEM,747,479,248,20
Lancaster,5706 ManTwp-6,President,,Kamala D Harris,DEM,684,448,229,7
Lancaster,5707 ManTwp-7,President,,Kamala D Harris,DEM,499,330,165,4
Lancaster,5708 ManTwp-8,President,,Kamala D Harris,DEM,505,298,198,9
Lancaster,5709 ManTwp-9,President,,Kamala D Harris,DEM,472,355,111,6
Lancaster,5710 ManTw-10,President,,Kamala D Harris,DEM,655,483,163,9
Lancaster,5711 ManTw-11,President,,Kamala D Harris,DEM,464,339,123,2
Lancaster,5712 ManTw-12,President,,Kamala D Harris,DEM,435,273,159,3
Lancaster,5713 ManTw-13,President,,Kamala D Harris,DEM,773,447,318,8
Lancaster,5714 ManTw-14,President,,Kamala D Harris,DEM,490,323,158,9
Lancaster,5715 ManTw-15,President,,Kamala D Harris,DEM,616,379,227,10
Lancaster,5716 ManTw-16,President,,Kamala D Harris,DEM,1020,609,405,6
Lancaster,5717 ManTw-17,President,,Kamala D Harris,DEM,584,398,172,14
Lancaster,5718 ManTw-18,President,,Kamala D Harris,DEM,541,326,198,17
Lancaster,5719 ManTw-19,President,,Kamala D Harris,DEM,545,368,169,8
Lancaster,5720 ManTw-20,President,,Kamala D Harris,DEM,722,443,277,2
Lancaster,5721 ManTw-21,President,,Kamala D Harris,DEM,931,600,322,9
Lancaster,5722 ManTw-22,President,,Kamala D Harris,DEM,607,409,186,12
Lancaster,5723 ManTw-23,President,,Kamala D Harris,DEM,793,403,384,6
Lancaster,5800 Manr-Bth,President,,Kamala D Harris,DEM,386,243,136,7
Lancaster,5801 Manr-Ham,President,,Kamala D Harris,DEM,792,514,255,23
Lancaster,5802 Manr-Ind,President,,Kamala D Harris,DEM,254,173,81,0
Lancaster,5803 Manr-Lei,President,,Kamala D Harris,DEM,1090,696,385,9
Lancaster,5804 Manr-New,President,,Kamala D Harris,DEM,407,275,128,4
Lancaster,5805 Manr-Wsh,President,,Kamala D Harris,DEM,160,118,39,3
Lancaster,5806 Manr-WLn,President,,Kamala D Harris,DEM,761,513,238,10
Lancaster,5807 Manr-Est,President,,Kamala D Harris,DEM,976,626,341,9
Lancaster,5808 Manr-HMi,President,,Kamala D Harris,DEM,522,362,152,8
Lancaster,5900 Mart-Mar,President,,Kamala D Harris,DEM,466,303,162,1
Lancaster,5901 Mart-Hol,President,,Kamala D Harris,DEM,263,173,87,3
Lancaster,6001 MtJy-Mil,President,,Kamala D Harris,DEM,584,384,194,6
Lancaster,6002 MtJy-Fai,President,,Kamala D Harris,DEM,284,203,79,2
Lancaster,6003 MtJy-Clv,President,,Kamala D Harris,DEM,729,456,268,5
Lancaster,6004 MtJy-Her,President,,Kamala D Harris,DEM,642,416,207,19
Lancaster,6100 Paradise,President,,Kamala D Harris,DEM,429,281,144,4
Lancaster,6201 Penn-Jun,President,,Kamala D Harris,DEM,885,517,363,5
Lancaster,6202 Penn-SPn,President,,Kamala D Harris,DEM,619,344,259,16
Lancaster,6203 Penn-Pnr,President,,Kamala D Harris,DEM,307,189,116,2
Lancaster,6300 Peque-WW,President,,Kamala D Harris,DEM,731,470,251,10
Lancaster,6301 Peque-ND,President,,Kamala D Harris,DEM,376,246,127,3
Lancaster,6400 Prvidn-E,President,,Kamala D Harris,DEM,472,287,178,7
Lancaster,6401 Prvidn-W,President,,Kamala D Harris,DEM,347,205,141,1
Lancaster,6501 Rapho-SH,President,,Kamala D Harris,DEM,270,160,108,2
Lancaster,6502 Rapho-ETI,President,,Kamala D Harris,DEM,259,167,89,3
Lancaster,6503 Rapho-US,President,,Kamala D Harris,DEM,295,195,100,0
Lancaster,6504 Rap-ETII,President,,Kamala D Harris,DEM,729,360,359,10
Lancaster,6505 Rapho-WC,President,,Kamala D Harris,DEM,642,350,289,3
Lancaster,6600 Sadsbury,President,,Kamala D Harris,DEM,316,217,94,5
Lancaster,6701 Sali-Cam,President,,Kamala D Harris,DEM,228,152,75,1
Lancaster,6702 Sali-Gap,President,,Kamala D Harris,DEM,316,216,97,3
Lancaster,6703 Sali-Wh,President,,Kamala D Harris,DEM,283,187,92,4
Lancaster,6800 Strasburg,President,,Kamala D Harris,DEM,514,300,211,3
Lancaster,6901 Wwck-Bru,President,,Kamala D Harris,DEM,400,280,116,4
Lancaster,6902 Wwck-KHi,President,,Kamala D Harris,DEM,757,445,312,0
Lancaster,6903 Wwck-Rth,President,,Kamala D Harris,DEM,458,312,142,4
Lancaster,6904 Wwck-Wd,President,,Kamala D Harris,DEM,543,374,165,4
Lancaster,6905 Wwck-Cly,President,,Kamala D Harris,DEM,817,570,235,12
Lancaster,6906 Wwck-HMn,President,,Kamala D Harris,DEM,256,171,84,1
Lancaster,6908 Wwck-Mil,President,,Kamala D Harris,DEM,269,167,100,2
Lancaster,6909 Wwck-NwW,President,,Kamala D Harris,DEM,659,432,224,3
Lancaster,6910 Wwck-Sws,President,,Kamala D Harris,DEM,863,487,369,7
Lancaster,0100 City 1,President,,Donald J Trump,REP,74,44,27,3
Lancaster,0201 City 2-1,President,,Donald J Trump,REP,141,107,29,5
Lancaster,0202 City 2-2,President,,Donald J Trump,REP,228,187,34,7
Lancaster,0300 City 3,President,,Donald J Trump,REP,166,123,34,9
Lancaster,0401 City 4-1,President,,Donald J Trump,REP,121,98,19,4
Lancaster,0402 City 4-2,President,,Donald J Trump,REP,125,110,15,0
Lancaster,0501 City 5-1,President,,Donald J Trump,REP,128,102,22,4
Lancaster,0502 City 5-2,President,,Donald J Trump,REP,120,100,13,7
Lancaster,0503 City 5-3,President,,Donald J Trump,REP,134,112,21,1
Lancaster,0601 City 6-1,President,,Donald J Trump,REP,155,126,27,2
Lancaster,0602 City 6-2,President,,Donald J Trump,REP,105,77,24,4
Lancaster,0603 City 6-3,President,,Donald J Trump,REP,214,168,40,6
Lancaster,0604 City 6-4,President,,Donald J Trump,REP,237,204,29,4
Lancaster,0605 City 6-5,President,,Donald J Trump,REP,151,128,18,5
Lancaster,0606 City 6-6,President,,Donald J Trump,REP,206,174,31,1
Lancaster,0607 City 6-7,President,,Donald J Trump,REP,212,172,37,3
Lancaster,0608 City 6-8,President,,Donald J Trump,REP,251,220,23,8
Lancaster,0701 City 7-1,President,,Donald J Trump,REP,180,157,16,7
Lancaster,0702 City 7-2,President,,Donald J Trump,REP,123,105,12,6
Lancaster,0703 City 7-3,President,,Donald J Trump,REP,123,102,17,4
Lancaster,0704 City 7-4,President,,Donald J Trump,REP,144,114,22,8
Lancaster,0705 City 7-5,President,,Donald J Trump,REP,101,83,10,8
Lancaster,0706 City 7-6,President,,Donald J Trump,REP,98,78,14,6
Lancaster,0707 City 7-7,President,,Donald J Trump,REP,183,141,37,5
Lancaster,0708-2 CV,President,,Donald J Trump,REP,149,120,28,1
Lancaster,0708-3 LS,President,,Donald J Trump,REP,172,143,28,1
Lancaster,0801 City 8-1,President,,Donald J Trump,REP,138,121,13,4
Lancaster,0802 City 8-2,President,,Donald J Trump,REP,122,100,16,6
Lancaster,0803 City 8-3,President,,Donald J Trump,REP,106,94,11,1
Lancaster,0804 City 8-4,President,,Donald J Trump,REP,245,218,21,6
Lancaster,0805 City 8-5,President,,Donald J Trump,REP,126,102,21,3
Lancaster,0806 City 8-6,President,,Donald J Trump,REP,142,120,16,6
Lancaster,0807 City 8-7,President,,Donald J Trump,REP,330,264,58,8
Lancaster,0808 City 8-8,President,,Donald J Trump,REP,281,235,35,11
Lancaster,0809 City 8-9,President,,Donald J Trump,REP,220,191,26,3
Lancaster,0901 City 9-1,President,,Donald J Trump,REP,190,145,38,7
Lancaster,0902 City 9-2,President,,Donald J Trump,REP,86,65,17,4
Lancaster,0903 City 9-3,President,,Donald J Trump,REP,147,116,25,6
Lancaster,0904 City 9-4,President,,Donald J Trump,REP,237,208,23,6
Lancaster,0905 City 9-5,President,,Donald J Trump,REP,143,101,39,3
Lancaster,1000 Adamstwn,President,,Donald J Trump,REP,786,722,61,3
Lancaster,1101 Akron-E,President,,Donald J Trump,REP,580,510,66,4
Lancaster,1102 Akron-W,President,,Donald J Trump,REP,903,791,107,5
Lancaster,1200 Christia,President,,Donald J Trump,REP,301,270,31,0
Lancaster,1301 Columb-1,President,,Donald J Trump,REP,379,337,36,6
Lancaster,1304 Columb-4,President,,Donald J Trump,REP,306,273,24,9
Lancaster,1305 Columb-5,President,,Donald J Trump,REP,316,277,32,7
Lancaster,1306 Columb-6,President,,Donald J Trump,REP,643,555,85,3
Lancaster,1307 Columb-7,President,,Donald J Trump,REP,425,360,58,7
Lancaster,1309 Columb-9,President,,Donald J Trump,REP,346,316,27,3
Lancaster,1400 Denver,President,,Donald J Trump,REP,1435,1256,175,4
Lancaster,1500 E Pete-N,President,,Donald J Trump,REP,438,380,56,2
Lancaster,1501 E Pete-S,President,,Donald J Trump,REP,403,346,53,4
Lancaster,1502 E Pete-W,President,,Donald J Trump,REP,461,412,46,3
Lancaster,1601 Etown 1,President,,Donald J Trump,REP,954,838,112,4
Lancaster,1602 Etown 2,President,,Donald J Trump,REP,796,690,99,7
Lancaster,1603 Etown 3-1,President,,Donald J Trump,REP,410,356,54,0
Lancaster,1604 Etown 3-2,President,,Donald J Trump,REP,733,614,108,11
Lancaster,1605 Etown 3-3,President,,Donald J Trump,REP,453,400,49,4
Lancaster,1701 Eph-1,President,,Donald J Trump,REP,948,809,129,10
Lancaster,1702 Eph-2,President,,Donald J Trump,REP,1252,1074,170,8
Lancaster,1703 Eph-3,President,,Donald J Trump,REP,1364,1147,204,13
Lancaster,1704 Eph-4,President,,Donald J Trump,REP,842,732,103,7
Lancaster,1801 Litz 1-1,President,,Donald J Trump,REP,273,238,32,3
Lancaster,1802 Litz 1-2,President,,Donald J Trump,REP,339,288,50,1
Lancaster,1803 Litz 2-1,President,,Donald J Trump,REP,506,414,90,2
Lancaster,1804 Litz 2-2,President,,Donald J Trump,REP,548,469,75,4
Lancaster,1805 Litz 3-1,President,,Donald J Trump,REP,525,405,118,2
Lancaster,1806 Litz 3-2,President,,Donald J Trump,REP,708,599,107,2
Lancaster,1901 Mheim B1,President,,Donald J Trump,REP,891,795,93,3
Lancaster,1902 Mheim B2,President,,Donald J Trump,REP,759,671,71,17
Lancaster,2001 Mariet-1,President,,Donald J Trump,REP,391,348,39,4
Lancaster,2002 Mariet-2,President,,Donald J Trump,REP,443,399,43,1
Lancaster,2101 Mville-1,President,,Donald J Trump,REP,371,317,49,5
Lancaster,2102 Mville-2,President,,Donald J Trump,REP,523,455,67,1
Lancaster,2103 Mville-3,President,,Donald J Trump,REP,362,296,60,6
Lancaster,2104 Mville-4,President,,Donald J Trump,REP,264,217,34,13
Lancaster,2301 MtJoy-E,President,,Donald J Trump,REP,812,692,115,5
Lancaster,2302 MtJoy-Fl,President,,Donald J Trump,REP,989,868,115,6
Lancaster,2303 MtJoy-W,President,,Donald J Trump,REP,1006,831,171,4
Lancaster,2400 Mt-ville,President,,Donald J Trump,REP,890,768,116,6
Lancaster,2501 N Holld1,President,,Donald J Trump,REP,665,579,83,3
Lancaster,2502 N Holld2,President,,Donald J Trump,REP,859,770,81,8
Lancaster,2503 N Holld3,President,,Donald J Trump,REP,516,427,89,0
Lancaster,2600 Q-ville,President,,Donald J Trump,REP,1084,951,130,3
Lancaster,2701 Strasbg1,President,,Donald J Trump,REP,637,555,78,4
Lancaster,2703 Strasbg3,President,,Donald J Trump,REP,547,482,63,2
Lancaster,2800 Terre HI,President,,Donald J Trump,REP,517,482,33,2
Lancaster,2900 Bart Twp,President,,Donald J Trump,REP,666,610,53,3
Lancaster,3001 B-nock-B,President,,Donald J Trump,REP,1922,1617,291,14
Lancaster,3002 B-nock-M,President,,Donald J Trump,REP,947,845,96,6
Lancaster,3100 Canarvon,President,,Donald J Trump,REP,1435,1247,175,13
Lancaster,3201 Clay T-N,President,,Donald J Trump,REP,1080,949,127,4
Lancaster,3202 Clay T-S,President,,Donald J Trump,REP,1431,1215,209,7
Lancaster,3301 E Coc-Smk,President,,Donald J Trump,REP,1367,1184,160,23
Lancaster,3302 E Coc-Swrt,President,,Donald J Trump,REP,636,554,79,3
Lancaster,3303 E Coc-Stv,President,,Donald J Trump,REP,834,748,83,3
Lancaster,3304 E Coc-Rms,President,,Donald J Trump,REP,1224,1061,159,4
Lancaster,3401 W Coc-Rein,President,,Donald J Trump,REP,1182,1029,149,4
Lancaster,3402 W Coc-Sch,President,,Donald J Trump,REP,1497,1320,165,12
Lancaster,3500 Colerain,President,,Donald J Trump,REP,1125,966,152,7
Lancaster,3600 Conestoga,President,,Donald J Trump,REP,1692,1470,217,5
Lancaster,3700 Conoy,President,,Donald J Trump,REP,1500,1331,158,11
Lancaster,3801 E Don-May,President,,Donald J Trump,REP,1041,910,124,7
Lancaster,3802 E Don-Spr,President,,Donald J Trump,REP,1261,1089,162,10
Lancaster,3803 E Don-MW,President,,Donald J Trump,REP,938,846,84,8
Lancaster,3901 W Dongl-1,President,,Donald J Trump,REP,707,613,85,9
Lancaster,3902 W Dongl-2,President,,Donald J Trump,REP,1132,935,196,1
Lancaster,3903 W Dongl-3,President,,Donald J Trump,REP,843,579,257,7
Lancaster,3904 W Dongl-4,President,,Donald J Trump,REP,933,822,105,6
