county,precinct,office,district,party,candidate,votes,mail,provisional,election_day
Fayette,Nicholson Township - 48-01,President,,DEM,Kamala D Harris,215,95,2,118
Fayette,North Union Township 1 - 50-01,President,,DEM,Kamala D Harris,434,226,2,206
Fayette,North Union Township 2 - 50-02,President,,DEM,Kamala D Harris,557,245,5,307
Fayette,North Union Township 3 - 50-03,President,,DEM,Kamala D Harris,149,74,1,74
Fayette,North Union Township 4 - 50-04,President,,DEM,Kamala D Harris,560,285,5,270
Fayette,North Union Township 5 - 50-05,President,,DEM,Kamala D Harris,106,47,0,59
Fayette,Ohiopyle Borough - 52-01,President,,DEM,Kamala D Harris,12,1,0,11
Fayette,Perry Township - 54-01,President,,DEM,Kamala D Harris,417,200,2,215
Fayette,Perryopolis Borough - 56-01,President,,DEM,Kamala D Harris,381,131,3,247
Fayette,Point Marion Borough - 58-01,President,,DEM,Kamala D Harris,144,65,0,79
Fayette,Redstone Township 1 - 60-01,President,,DEM,Kamala D Harris,298,114,2,182
Fayette,Redstone Township 2 - 60-02,President,,DEM,Kamala D Harris,346,121,2,223
Fayette,Redstone Township 3 - 60-03,President,,DEM,Kamala D Harris,74,27,0,47
Fayette,Redstone Township 4 - 60-04,President,,DEM,Kamala D Harris,88,18,3,67
Fayette,Saltlick Township - 62-01,President,,DEM,Kamala D Harris,358,170,3,185
Fayette,Smithfield Borough - 64-01,President,,DEM,Kamala D Harris,97,27,0,70
Fayette,South Connellsville Borough - 66-01,President,,DEM,Kamala D Harris,236,67,0,169
Fayette,South Union Township 1 - 68-01,President,,DEM,Kamala D Harris,1090,506,7,577
Fayette,South Union Township 2 - 68-02,President,,DEM,Kamala D Harris,553,239,8,306
Fayette,South Union Township 3 - 68-03,President,,DEM,Kamala D Harris,553,251,3,299
Fayette,Springfield Township 1 - 70-01,President,,DEM,Kamala D Harris,108,25,3,80
Fayette,Springfield Township 2 - 70-02,President,,DEM,Kamala D Harris,104,30,0,74
Fayette,Springhill Township - 72-01,President,,DEM,Kamala D Harris,300,134,3,163
Fayette,Stewart Township - 74-01,President,,DEM,Kamala D Harris,84,29,1,54
Fayette,Uniontown City 1 - 76-01,President,,DEM,Kamala D Harris,331,154,1,176
Fayette,Uniontown City 2 - 76-02,President,,DEM,Kamala D Harris,301,122,12,167
Fayette,Uniontown City 3 - 76-03,President,,DEM,Kamala D Harris,276,97,8,171
Fayette,Uniontown City 4 - 76-04,President,,DEM,Kamala D Harris,258,61,4,193
Fayette,Uniontown City 5 - 76-05,President,,DEM,Kamala D Harris,319,138,4,177
Fayette,Uniontown City 6 - 76-06,President,,DEM,Kamala D Harris,204,78,3,123
Fayette,Uniontown City 7 - 76-07,President,,DEM,Kamala D Harris,278,116,5,157
Fayette,Upper Tyrone Township - 78-01,President,,DEM,Kamala D Harris,191,67,1,123
Fayette,Vanderbilt Borough - 80-01,President,,DEM,Kamala D Harris,67,14,0,53
Fayette,Washington Township - 82-01,President,,DEM,Kamala D Harris,679,378,3,298
Fayette,Wharton Township - 84-01,President,,DEM,Kamala D Harris,458,195,5,258
Fayette,Belle Vernon Borough - 02-01,President,,REP,Donald J Trump,306,49,3,254
Fayette,Brownsville Township - 04-01,President,,REP,Donald J Trump,142,18,0,124
Fayette,Brownsville Borough 1 - 06-01,President,,REP,Donald J Trump,111,14,3,94
Fayette,Brownsville Borough 2 - 06-02,President,,REP,Donald J Trump,152,13,1,138
Fayette,Brownsville Borough 3 - 06-03,President,,REP,Donald J Trump,154,15,4,135
Fayette,Bullskin Township 1 - 08-01,President,,REP,Donald J Trump,1854,261,15,1578
Fayette,Bullskin Township 2 - 08-02,President,,REP,Donald J Trump,674,66,8,600
Fayette,Bullskin Township 3 - 08-03,President,,REP,Donald J Trump,571,72,3,496
Fayette,Connellsville City 1- 10-01,President,,REP,Donald J Trump,653,60,7,586
Fayette,Connellsville City 2- 10-02,President,,REP,Donald J Trump,581,92,21,468
Fayette,Connellsville City 3- 10-03,President,,REP,Donald J Trump,326,37,4,285
Fayette,Connellsville City 4- 10-04,President,,REP,Donald J Trump,429,47,0,382
Fayette,Connellsville Township - 12-01,President,,REP,Donald J Trump,862,89,10,763
Fayette,Dawson Borough - 14-01,President,,REP,Donald J Trump,126,7,0,119
Fayette,Dunbar Township 1 - 16-01,President,,REP,Donald J Trump,1098,170,17,911
Fayette,Dunbar Township 2 - 16-02,President,,REP,Donald J Trump,1542,194,11,1337
Fayette,Dunbar  Borough - 18-01,President,,REP,Donald J Trump,386,36,3,347
Fayette,Everson Borough - 20-01,President,,REP,Donald J Trump,223,19,0,204
Fayette,Fairchance Borough - 22-01,President,,REP,Donald J Trump,686,86,4,596
Fayette,Fayette City Borough - 24-01,President,,REP,Donald J Trump,171,19,0,152
Fayette,Franklin Township 1 - 26-01,President,,REP,Donald J Trump,594,92,1,501
Fayette,Franklin Township 2 - 26-02,President,,REP,Donald J Trump,378,39,1,338
Fayette,Georges Township 1 - 28-01,President,,REP,Donald J Trump,587,57,2,528
Fayette,Georges Township 2 - 28-02,President,,REP,Donald J Trump,874,115,2,757
Fayette,Georges Township 3 - 28-03,President,,REP,Donald J Trump,886,109,6,771
Fayette,German Township 1 - 30-01,President,,REP,Donald J Trump,773,100,6,667
Fayette,German Township 2 - 30-02,President,,REP,Donald J Trump,303,54,0,249
Fayette,German Township 3 - 30-03,President,,REP,Donald J Trump,350,48,2,300
Fayette,German Township 4 - 30-04,President,,REP,Donald J Trump,147,7,1,139
Fayette,Henry Clay Township - 32-01,President,,REP,Donald J Trump,716,78,9,629
Fayette,Jefferson Township - 34-01,President,,REP,Donald J Trump,817,88,7,722
Fayette,Lower Tyrone Township - 36-01,President,,REP,Donald J Trump,513,66,6,441
Fayette,Luzerne Township 1 - 38-01,President,,REP,Donald J Trump,453,67,12,374
Fayette,Luzerne Township 2 - 38-02,President,,REP,Donald J Trump,484,57,5,422
Fayette,Luzerne Township 3 - 38-03,President,,REP,Donald J Trump,167,10,2,155
Fayette,Luzerne Township 4 - 38-04,President,,REP,Donald J Trump,146,21,0,125
Fayette,Markleysburg Borough - 40-01,President,,REP,Donald J Trump,83,10,0,73
Fayette,Masontown Borough - 42-01,President,,REP,Donald J Trump,931,133,0,798
Fayette,Menallen Township 1 - 44-01,President,,REP,Donald J Trump,430,49,2,379
Fayette,Menallen Township 2 - 44-02,President,,REP,Donald J Trump,717,97,7,613
Fayette,Menallen Township 3 - 44-03,President,,REP,Donald J Trump,291,28,0,263
Fayette,Newell Borough - 46-01,President,,REP,Donald J Trump,134,8,1,125
Fayette,Nicholson Township - 48-01,President,,REP,Donald J Trump,701,88,5,608
Fayette,North Union Township 1 - 50-01,President,,REP,Donald J Trump,780,148,7,625
Fayette,North Union Township 2 - 50-02,President,,REP,Donald J Trump,1426,240,20,1166
Fayette,North Union Township 3 - 50-03,President,,REP,Donald J Trump,454,57,3,394
Fayette,North Union Township 4 - 50-04,President,,REP,Donald J Trump,1010,225,7,778
Fayette,North Union Township 5 - 50-05,President,,REP,Donald J Trump,253,32,2,219
Fayette,Ohiopyle Borough - 52-01,President,,REP,Donald J Trump,5,0,0,5
Fayette,Perry Township - 54-01,President,,REP,Donald J Trump,891,138,6,747
Fayette,Perryopolis Borough - 56-01,President,,REP,Donald J Trump,640,59,2,579
Fayette,Point Marion Borough - 58-01,President,,REP,Donald J Trump,313,40,1,272
Fayette,Redstone Township 1 - 60-01,President,,REP,Donald J Trump,549,66,4,479
Fayette,Redstone Township 2 - 60-02,President,,REP,Donald J Trump,575,69,4,502
Fayette,Redstone Township 3 - 60-03,President,,REP,Donald J Trump,203,29,2,172
Fayette,Redstone Township 4 - 60-04,President,,REP,Donald J Trump,198,17,3,178
Fayette,Saltlick Township - 62-01,President,,REP,Donald J Trump,1265,147,8,1110
Fayette,Smithfield Borough - 64-01,President,,REP,Donald J Trump,322,30,2,290
Fayette,South Connellsville Borough - 66-01,President,,REP,Donald J Trump,680,64,6,610
Fayette,South Union Township 1 - 68-01,President,,REP,Donald J Trump,1752,374,6,1372
Fayette,South Union Township 2 - 68-02,President,,REP,Donald J Trump,917,213,5,699
Fayette,South Union Township 3 - 68-03,President,,REP,Donald J Trump,1045,195,6,844
Fayette,Springfield Township 1 - 70-01,President,,REP,Donald J Trump,706,69,3,634
Fayette,Springfield Township 2 - 70-02,President,,REP,Donald J Trump,459,47,4,408
Fayette,Springhill Township - 72-01,President,,REP,Donald J Trump,990,151,10,829
Fayette,Stewart Township - 74-01,President,,REP,Donald J Trump,295,43,0,252
Fayette,Uniontown City 1 - 76-01,President,,REP,Donald J Trump,398,84,3,311
Fayette,Uniontown City 2 - 76-02,President,,REP,Donald J Trump,226,53,13,160
Fayette,Uniontown City 3 - 76-03,President,,REP,Donald J Trump,222,40,6,176
Fayette,Uniontown City 4 - 76-04,President,,REP,Donald J Trump,104,29,1,74
Fayette,Uniontown City 5 - 76-05,President,,REP,Donald J Trump,289,46,2,241
Fayette,Uniontown City 6 - 76-06,President,,REP,Donald J Trump,207,44,2,161
Fayette,Uniontown City 7 - 76-07,President,,REP,Donald J Trump,372,71,6,295
Fayette,Upper Tyrone Township - 78-01,President,,REP,Donald J Trump,710,70,3,637
Fayette,Vanderbilt Borough - 80-01,President,,REP,Donald J Trump,141,10,0,131
Fayette,Washington Township - 82-01,President,,REP,Donald J Trump,1436,345,4,1087
Fayette,Wharton Township - 84-01,President,,REP,Donald J Trump,1278,163,9,1106
Fayette,Belle Vernon Borough - 02-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Brownsville Township - 04-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Brownsville Borough 1 - 06-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Brownsville Borough 2 - 06-02,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Brownsville Borough 3 - 06-03,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Bullskin Township 1 - 08-01,President,,LIB,Chase Oliver,10,4,0,6
Fayette,Bullskin Township 2 - 08-02,President,,LIB,Chase Oliver,4,0,1,3
Fayette,Bullskin Township 3 - 08-03,President,,LIB,Chase Oliver,2,1,0,1
Fayette,Connellsville City 1- 10-01,President,,LIB,Chase Oliver,3,0,0,3
Fayette,Connellsville City 2- 10-02,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Connellsville City 3- 10-03,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Connellsville City 4- 10-04,President,,LIB,Chase Oliver,8,3,0,5
Fayette,Connellsville Township - 12-01,President,,LIB,Chase Oliver,3,1,0,2
Fayette,Dawson Borough - 14-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Dunbar Township 1 - 16-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Dunbar Township 2 - 16-02,President,,LIB,Chase Oliver,5,1,0,4
Fayette,Dunbar  Borough - 18-01,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Everson Borough - 20-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Fairchance Borough - 22-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Fayette City Borough - 24-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Franklin Township 1 - 26-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Franklin Township 2 - 26-02,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Georges Township 1 - 28-01,President,,LIB,Chase Oliver,3,1,0,2
Fayette,Georges Township 2 - 28-02,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Georges Township 3 - 28-03,President,,LIB,Chase Oliver,1,0,0,1
Fayette,German Township 1 - 30-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,German Township 2 - 30-02,President,,LIB,Chase Oliver,1,0,0,1
Fayette,German Township 3 - 30-03,President,,LIB,Chase Oliver,2,0,0,2
Fayette,German Township 4 - 30-04,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Henry Clay Township - 32-01,President,,LIB,Chase Oliver,5,0,0,5
Fayette,Jefferson Township - 34-01,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Lower Tyrone Township - 36-01,President,,LIB,Chase Oliver,3,1,0,2
Fayette,Luzerne Township 1 - 38-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Luzerne Township 2 - 38-02,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Luzerne Township 3 - 38-03,President,,LIB,Chase Oliver,3,0,0,3
Fayette,Luzerne Township 4 - 38-04,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Markleysburg Borough - 40-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Masontown Borough - 42-01,President,,LIB,Chase Oliver,3,0,0,3
Fayette,Menallen Township 1 - 44-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Menallen Township 2 - 44-02,President,,LIB,Chase Oliver,4,0,0,4
Fayette,Menallen Township 3 - 44-03,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Newell Borough - 46-01,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Nicholson Township - 48-01,President,,LIB,Chase Oliver,2,1,0,1
Fayette,North Union Township 1 - 50-01,President,,LIB,Chase Oliver,2,1,0,1
Fayette,North Union Township 2 - 50-02,President,,LIB,Chase Oliver,4,2,0,2
Fayette,North Union Township 3 - 50-03,President,,LIB,Chase Oliver,0,0,0,0
Fayette,North Union Township 4 - 50-04,President,,LIB,Chase Oliver,3,0,0,3
Fayette,North Union Township 5 - 50-05,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Ohiopyle Borough - 52-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Perry Township - 54-01,President,,LIB,Chase Oliver,6,0,0,6
Fayette,Perryopolis Borough - 56-01,President,,LIB,Chase Oliver,3,1,0,2
Fayette,Point Marion Borough - 58-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Redstone Township 1 - 60-01,President,,LIB,Chase Oliver,4,2,0,2
Fayette,Redstone Township 2 - 60-02,President,,LIB,Chase Oliver,5,2,0,3
Fayette,Redstone Township 3 - 60-03,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Redstone Township 4 - 60-04,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Saltlick Township - 62-01,President,,LIB,Chase Oliver,9,4,0,5
Fayette,Smithfield Borough - 64-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,South Connellsville Borough - 66-01,President,,LIB,Chase Oliver,2,1,0,1
Fayette,South Union Township 1 - 68-01,President,,LIB,Chase Oliver,8,4,0,4
Fayette,South Union Township 2 - 68-02,President,,LIB,Chase Oliver,3,0,0,3
Fayette,South Union Township 3 - 68-03,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Springfield Township 1 - 70-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Springfield Township 2 - 70-02,President,,LIB,Chase Oliver,2,1,0,1
Fayette,Springhill Township - 72-01,President,,LIB,Chase Oliver,2,1,0,1
Fayette,Stewart Township - 74-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Uniontown City 1 - 76-01,President,,LIB,Chase Oliver,5,1,0,4
Fayette,Uniontown City 2 - 76-02,President,,LIB,Chase Oliver,2,0,0,2
Fayette,Uniontown City 3 - 76-03,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Uniontown City 4 - 76-04,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Uniontown City 5 - 76-05,President,,LIB,Chase Oliver,4,2,0,2
Fayette,Uniontown City 6 - 76-06,President,,LIB,Chase Oliver,3,1,0,2
Fayette,Uniontown City 7 - 76-07,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Upper Tyrone Township - 78-01,President,,LIB,Chase Oliver,1,0,0,1
Fayette,Vanderbilt Borough - 80-01,President,,LIB,Chase Oliver,0,0,0,0
Fayette,Washington Township - 82-01,President,,LIB,Chase Oliver,7,3,0,4
Fayette,Wharton Township - 84-01,President,,LIB,Chase Oliver,4,2,0,2
Fayette,Belle Vernon Borough - 02-01,President,,GRN,Jill Stein,3,0,0,3
Fayette,Brownsville Township - 04-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Brownsville Borough 1 - 06-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Brownsville Borough 2 - 06-02,President,,GRN,Jill Stein,1,1,0,0
Fayette,Brownsville Borough 3 - 06-03,President,,GRN,Jill Stein,0,0,0,0
Fayette,Bullskin Township 1 - 08-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Bullskin Township 2 - 08-02,President,,GRN,Jill Stein,2,0,0,2
Fayette,Bullskin Township 3 - 08-03,President,,GRN,Jill Stein,5,1,0,4
Fayette,Connellsville City 1- 10-01,President,,GRN,Jill Stein,2,0,0,2
Fayette,Connellsville City 2- 10-02,President,,GRN,Jill Stein,3,1,0,2
Fayette,Connellsville City 3- 10-03,President,,GRN,Jill Stein,0,0,0,0
Fayette,Connellsville City 4- 10-04,President,,GRN,Jill Stein,1,0,0,1
Fayette,Connellsville Township - 12-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Dawson Borough - 14-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Dunbar Township 1 - 16-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Dunbar Township 2 - 16-02,President,,GRN,Jill Stein,2,1,0,1
Fayette,Dunbar  Borough - 18-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Everson Borough - 20-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Fairchance Borough - 22-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Fayette City Borough - 24-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Franklin Township 1 - 26-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Franklin Township 2 - 26-02,President,,GRN,Jill Stein,0,0,0,0
Fayette,Georges Township 1 - 28-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Georges Township 2 - 28-02,President,,GRN,Jill Stein,3,1,0,2
Fayette,Georges Township 3 - 28-03,President,,GRN,Jill Stein,3,1,0,2
Fayette,German Township 1 - 30-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,German Township 2 - 30-02,President,,GRN,Jill Stein,2,0,0,2
Fayette,German Township 3 - 30-03,President,,GRN,Jill Stein,1,0,0,1
Fayette,German Township 4 - 30-04,President,,GRN,Jill Stein,0,0,0,0
Fayette,Henry Clay Township - 32-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Jefferson Township - 34-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Lower Tyrone Township - 36-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Luzerne Township 1 - 38-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Luzerne Township 2 - 38-02,President,,GRN,Jill Stein,0,0,0,0
Fayette,Luzerne Township 3 - 38-03,President,,GRN,Jill Stein,0,0,0,0
Fayette,Luzerne Township 4 - 38-04,President,,GRN,Jill Stein,1,0,0,1
Fayette,Markleysburg Borough - 40-01,President,,GRN,Jill Stein,2,2,0,0
Fayette,Masontown Borough - 42-01,President,,GRN,Jill Stein,2,0,0,2
Fayette,Menallen Township 1 - 44-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Menallen Township 2 - 44-02,President,,GRN,Jill Stein,3,0,0,3
Fayette,Menallen Township 3 - 44-03,President,,GRN,Jill Stein,0,0,0,0
Fayette,Newell Borough - 46-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Nicholson Township - 48-01,President,,GRN,Jill Stein,6,2,0,4
Fayette,North Union Township 1 - 50-01,President,,GRN,Jill Stein,4,2,0,2
Fayette,North Union Township 2 - 50-02,President,,GRN,Jill Stein,6,2,0,4
Fayette,North Union Township 3 - 50-03,President,,GRN,Jill Stein,1,0,0,1
Fayette,North Union Township 4 - 50-04,President,,GRN,Jill Stein,2,2,0,0
Fayette,North Union Township 5 - 50-05,President,,GRN,Jill Stein,0,0,0,0
Fayette,Ohiopyle Borough - 52-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Perry Township - 54-01,President,,GRN,Jill Stein,3,1,0,2
Fayette,Perryopolis Borough - 56-01,President,,GRN,Jill Stein,2,0,0,2
Fayette,Point Marion Borough - 58-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,Redstone Township 1 - 60-01,President,,GRN,Jill Stein,1,1,0,0
Fayette,Redstone Township 2 - 60-02,President,,GRN,Jill Stein,1,0,0,1
Fayette,Redstone Township 3 - 60-03,President,,GRN,Jill Stein,0,0,0,0
Fayette,Redstone Township 4 - 60-04,President,,GRN,Jill Stein,1,1,0,0
Fayette,Saltlick Township - 62-01,President,,GRN,Jill Stein,2,2,0,0
Fayette,Smithfield Borough - 64-01,President,,GRN,Jill Stein,1,0,0,1
Fayette,South Connellsville Borough - 66-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,South Union Township 1 - 68-01,President,,GRN,Jill Stein,10,4,0,6
Fayette,South Union Township 2 - 68-02,President,,GRN,Jill Stein,6,2,0,4
Fayette,South Union Township 3 - 68-03,President,,GRN,Jill Stein,3,1,0,2
Fayette,Springfield Township 1 - 70-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Springfield Township 2 - 70-02,President,,GRN,Jill Stein,0,0,0,0
Fayette,Springhill Township - 72-01,President,,GRN,Jill Stein,2,1,0,1
Fayette,Stewart Township - 74-01,President,,GRN,Jill Stein,0,0,0,0
Fayette,Uniontown City 1 - 76-01,President,,GRN,Jill Stein,3,0,0,3
Fayette,Uniontown City 2 - 76-02,President,,GRN,Jill Stein,0,0,0,0
Fayette,Uniontown City 3 - 76-03,President,,GRN,Jill Stein,3,2,0,1
Fayette,Uniontown City 4 - 76-04,President,,GRN,Jill Stein,0,0,0,0
Fayette,Uniontown City 5 - 76-05,President,,GRN,Jill Stein,3,2,0,1
Fayette,Uniontown City 6 - 76-06,President,,GRN,Jill Stein,1,1,0,0
Fayette,Uniontown City 7 - 76-07,President,,GRN,Jill Stein,4,0,0,4
Fayette,Upper Tyrone Township - 78-01,President,,GRN,Jill Stein,2,0,0,2
Fayette,Vanderbilt Borough - 80-01,President,,GRN,Jill Stein,2,0,0,2
Fayette,Washington Township - 82-01,President,,GRN,Jill Stein,4,2,0,2
Fayette,Wharton Township - 84-01,President,,GRN,Jill Stein,4,2,0,2
Fayette,Belle Vernon Borough - 02-01,President,,,Write-in,1,0,0,1
Fayette,Brownsville Township - 04-01,President,,,Write-in,0,0,0,0
Fayette,Brownsville Borough 1 - 06-01,President,,,Write-in,0,0,0,0
Fayette,Brownsville Borough 2 - 06-02,President,,,Write-in,1,1,0,0
Fayette,Brownsville Borough 3 - 06-03,President,,,Write-in,0,0,0,0
Fayette,Bullskin Township 1 - 08-01,President,,,Write-in,2,0,0,2
Fayette,Bullskin Township 2 - 08-02,President,,,Write-in,0,0,0,0
Fayette,Bullskin Township 3 - 08-03,President,,,Write-in,0,0,0,0
Fayette,Connellsville City 1- 10-01,President,,,Write-in,0,0,0,0
Fayette,Connellsville City 2- 10-02,President,,,Write-in,2,1,1,0
Fayette,Connellsville City 3- 10-03,President,,,Write-in,1,0,0,1
Fayette,Connellsville City 4- 10-04,President,,,Write-in,1,0,0,1
Fayette,Connellsville Township - 12-01,President,,,Write-in,0,0,0,0
Fayette,Dawson Borough - 14-01,President,,,Write-in,0,0,0,0
Fayette,Dunbar Township 1 - 16-01,President,,,Write-in,2,2,0,0
Fayette,Dunbar Township 2 - 16-02,President,,,Write-in,1,0,0,1
Fayette,Dunbar  Borough - 18-01,President,,,Write-in,0,0,0,0
Fayette,Everson Borough - 20-01,President,,,Write-in,1,0,0,1
Fayette,Fairchance Borough - 22-01,President,,,Write-in,0,0,0,0
Fayette,Fayette City Borough - 24-01,President,,,Write-in,2,2,0,0
Fayette,Franklin Township 1 - 26-01,President,,,Write-in,2,0,0,2
Fayette,Franklin Township 2 - 26-02,President,,,Write-in,0,0,0,0
Fayette,Georges Township 1 - 28-01,President,,,Write-in,1,0,0,1
Fayette,Georges Township 2 - 28-02,President,,,Write-in,0,0,0,0
Fayette,Georges Township 3 - 28-03,President,,,Write-in,0,0,0,0
