county,precinct,office,district,party,candidate,votes,mail,election_day,provisional
Delaware,BROOKHAVEN BOR PRECINCT 05,President,,DEM,Kamala D. Harris,296,82,210,4
Delaware,BROOKHAVEN BOR PRECINCT 06,President,,DEM,Kamala D. Harris,419,139,275,5
Delaware,CHESTER HEIGHTS BOR,President,,DEM,Kamala D. Harris,1073,493,566,14
Delaware,CHESTER TWP PRECINCT 01,President,,DEM,Kamala D. Harris,424,72,344,8
Delaware,CHESTER TWP PRECINCT 02,President,,DEM,Kamala D. Harris,139,36,100,3
Delaware,CHESTER TWP PRECINCT 03,President,,DEM,Kamala D. Harris,336,75,255,6
Delaware,CHESTER TWP PRECINCT 04,President,,DEM,Kamala D. Harris,395,89,302,4
Delaware,CHESTER TWP PRECINCT 05,President,,DEM,Kamala D. Harris,408,73,328,7
Delaware,LOWER CHICHESTER TWP PRECINCT 01,President,,DEM,Kamala D. Harris,380,108,267,5
Delaware,LOWER CHICHESTER TWP PRECINCT 02,President,,DEM,Kamala D. Harris,380,81,293,6
Delaware,UPPER CHICHESTER TWP WD 01 PRECINCT 01,President,,DEM,Kamala D. Harris,282,84,189,9
Delaware,UPPER CHICHESTER TWP WD 01 PRECINCT 02,President,,DEM,Kamala D. Harris,423,140,279,4
Delaware,UPPER CHICHESTER TWP WD 02 PRECINCT 01,President,,DEM,Kamala D. Harris,300,93,204,3
Delaware,UPPER CHICHESTER TWP WD 02 PRECINCT 02,President,,DEM,Kamala D. Harris,535,128,392,15
Delaware,UPPER CHICHESTER TWP WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,404,156,244,4
Delaware,UPPER CHICHESTER TWP WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,505,201,300,4
Delaware,UPPER CHICHESTER TWP WD 04 PRECINCT 01,President,,DEM,Kamala D. Harris,1081,507,569,5
Delaware,UPPER CHICHESTER TWP WD 04 PRECINCT 02,President,,DEM,Kamala D. Harris,477,175,296,6
Delaware,UPPER CHICHESTER TWP WD 05 PRECINCT 01,President,,DEM,Kamala D. Harris,512,179,328,5
Delaware,UPPER CHICHESTER TWP WD 05 PRECINCT 02,President,,DEM,Kamala D. Harris,387,117,264,6
Delaware,CLIFTON HEIGHTS BOR WD 01,President,,DEM,Kamala D. Harris,256,58,178,20
Delaware,CLIFTON HEIGHTS BOR WD 02,President,,DEM,Kamala D. Harris,554,120,425,9
Delaware,CLIFTON HEIGHTS BOR WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,190,53,132,5
Delaware,CLIFTON HEIGHTS BOR WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,271,45,224,2
Delaware,CLIFTON HEIGHTS BOR WD 04,President,,DEM,Kamala D. Harris,516,127,388,1
Delaware,COLLINGDALE BOR PRECINCT 01,President,,DEM,Kamala D. Harris,403,86,314,3
Delaware,COLLINGDALE BOR PRECINCT 02,President,,DEM,Kamala D. Harris,404,79,318,7
Delaware,COLLINGDALE BOR PRECINCT 03,President,,DEM,Kamala D. Harris,503,106,378,19
Delaware,COLLINGDALE BOR PRECINCT 04,President,,DEM,Kamala D. Harris,311,59,247,5
Delaware,COLLINGDALE BOR PRECINCT 05,President,,DEM,Kamala D. Harris,357,113,240,4
Delaware,COLLINGDALE BOR PRECINCT 06,President,,DEM,Kamala D. Harris,565,139,415,11
Delaware,COLLINGDALE BOR PRECINCT 07,President,,DEM,Kamala D. Harris,336,79,254,3
Delaware,COLWYN BOR PRECINCT 01,President,,DEM,Kamala D. Harris,468,81,376,11
Delaware,COLWYN BOR PRECINCT 02,President,,DEM,Kamala D. Harris,464,64,388,12
Delaware,CONCORD TWP PRECINCT 01,President,,DEM,Kamala D. Harris,564,234,318,12
Delaware,CONCORD TWP PRECINCT 02,President,,DEM,Kamala D. Harris,771,332,434,5
Delaware,CONCORD TWP PRECINCT 03,President,,DEM,Kamala D. Harris,353,178,174,1
Delaware,CONCORD TWP PRECINCT 04,President,,DEM,Kamala D. Harris,565,270,282,13
Delaware,CONCORD TWP PRECINCT 05,President,,DEM,Kamala D. Harris,397,147,245,5
Delaware,CONCORD TWP PRECINCT 06,President,,DEM,Kamala D. Harris,729,304,415,10
Delaware,CONCORD TWP PRECINCT 07,President,,DEM,Kamala D. Harris,515,209,300,6
Delaware,CONCORD TWP PRECINCT 08,President,,DEM,Kamala D. Harris,501,197,302,2
Delaware,CONCORD TWP PRECINCT 09,President,,DEM,Kamala D. Harris,603,266,332,5
Delaware,CONCORD TWP PRECINCT 10,President,,DEM,Kamala D. Harris,301,121,179,1
Delaware,CONCORD TWP PRECINCT 11,President,,DEM,Kamala D. Harris,638,297,337,4
Delaware,DARBY BOR WD 01 PRECINCT 01,President,,DEM,Kamala D. Harris,429,147,275,7
Delaware,DARBY BOR WD 01 PRECINCT 02,President,,DEM,Kamala D. Harris,789,131,634,24
Delaware,DARBY BOR WD 02 PRECINCT 01,President,,DEM,Kamala D. Harris,634,174,446,14
Delaware,DARBY BOR WD 02 PRECINCT 02,President,,DEM,Kamala D. Harris,606,119,470,17
Delaware,DARBY BOR WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,612,97,508,7
Delaware,DARBY BOR WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,471,104,352,15
Delaware,DARBY TWP WD 01,President,,DEM,Kamala D. Harris,968,244,688,36
Delaware,DARBY TWP WD 02,President,,DEM,Kamala D. Harris,650,156,482,12
Delaware,DARBY TWP WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,202,31,166,5
Delaware,DARBY TWP WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,325,93,225,7
Delaware,DARBY TWP WD 04,President,,DEM,Kamala D. Harris,536,152,379,5
Delaware,DARBY TWP WD 05 PRECINCT 01,President,,DEM,Kamala D. Harris,519,142,362,15
Delaware,DARBY TWP WD 05 PRECINCT 02,President,,DEM,Kamala D. Harris,189,42,145,2
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 01,President,,DEM,Kamala D. Harris,428,148,277,3
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 02,President,,DEM,Kamala D. Harris,372,103,266,3
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 03,President,,DEM,Kamala D. Harris,546,169,370,7
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 04,President,,DEM,Kamala D. Harris,341,103,236,2
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 05,President,,DEM,Kamala D. Harris,510,156,347,7
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 06,President,,DEM,Kamala D. Harris,354,114,237,3
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 07,President,,DEM,Kamala D. Harris,417,94,314,9
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 08,President,,DEM,Kamala D. Harris,806,230,570,6
Delaware,UPPER DARBY TWP DISTRICT 01 PRECINCT 09,President,,DEM,Kamala D. Harris,393,148,245,0
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 01,President,,DEM,Kamala D. Harris,762,271,482,9
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 02,President,,DEM,Kamala D. Harris,702,175,510,17
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 03,President,,DEM,Kamala D. Harris,411,129,278,4
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 04,President,,DEM,Kamala D. Harris,316,76,237,3
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 05,President,,DEM,Kamala D. Harris,246,68,175,3
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 06,President,,DEM,Kamala D. Harris,548,191,353,4
Delaware,UPPER DARBY TWP DISTRICT 02 PRECINCT 07,President,,DEM,Kamala D. Harris,682,233,448,1
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 01,President,,DEM,Kamala D. Harris,390,110,280,0
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 02,President,,DEM,Kamala D. Harris,248,68,180,0
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 03,President,,DEM,Kamala D. Harris,575,231,342,2
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 04,President,,DEM,Kamala D. Harris,388,122,259,7
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 05,President,,DEM,Kamala D. Harris,394,125,268,1
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 06,President,,DEM,Kamala D. Harris,359,110,244,5
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 07,President,,DEM,Kamala D. Harris,331,74,250,7
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 08,President,,DEM,Kamala D. Harris,704,257,441,6
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 09,President,,DEM,Kamala D. Harris,516,203,308,5
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 10,President,,DEM,Kamala D. Harris,496,184,310,2
Delaware,UPPER DARBY TWP DISTRICT 03 PRECINCT 11,President,,DEM,Kamala D. Harris,194,43,143,8
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 01,President,,DEM,Kamala D. Harris,359,85,272,2
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 02,President,,DEM,Kamala D. Harris,535,113,412,10
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 03,President,,DEM,Kamala D. Harris,242,53,189,0
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 04,President,,DEM,Kamala D. Harris,239,66,170,3
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 05,President,,DEM,Kamala D. Harris,369,66,293,10
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 06,President,,DEM,Kamala D. Harris,146,39,106,1
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 07,President,,DEM,Kamala D. Harris,447,100,343,4
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 08,President,,DEM,Kamala D. Harris,256,80,173,3
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 09,President,,DEM,Kamala D. Harris,292,76,209,7
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 10,President,,DEM,Kamala D. Harris,369,112,252,5
Delaware,UPPER DARBY TWP DISTRICT 04 PRECINCT 11,President,,DEM,Kamala D. Harris,379,113,259,7
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 01,President,,DEM,Kamala D. Harris,516,163,344,9
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 02,President,,DEM,Kamala D. Harris,537,128,399,10
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 03,President,,DEM,Kamala D. Harris,445,109,324,12
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 04,President,,DEM,Kamala D. Harris,326,110,207,9
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 05,President,,DEM,Kamala D. Harris,545,173,360,12
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 06,President,,DEM,Kamala D. Harris,705,141,554,10
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 07,President,,DEM,Kamala D. Harris,354,63,283,8
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 08,President,,DEM,Kamala D. Harris,409,119,283,7
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 09,President,,DEM,Kamala D. Harris,400,131,269,0
Delaware,UPPER DARBY TWP DISTRICT 05 PRECINCT 10,President,,DEM,Kamala D. Harris,325,90,227,8
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 01,President,,DEM,Kamala D. Harris,213,44,166,3
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 02,President,,DEM,Kamala D. Harris,333,98,223,12
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 03,President,,DEM,Kamala D. Harris,253,65,179,9
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 04,President,,DEM,Kamala D. Harris,288,66,212,10
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 05,President,,DEM,Kamala D. Harris,307,83,220,4
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 06,President,,DEM,Kamala D. Harris,262,66,193,3
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 07,President,,DEM,Kamala D. Harris,325,64,259,2
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 08,President,,DEM,Kamala D. Harris,271,56,209,6
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 09,President,,DEM,Kamala D. Harris,210,35,174,1
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 10,President,,DEM,Kamala D. Harris,329,68,259,2
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 11,President,,DEM,Kamala D. Harris,323,76,237,10
Delaware,UPPER DARBY TWP DISTRICT 06 PRECINCT 12,President,,DEM,Kamala D. Harris,264,52,208,4
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 01,President,,DEM,Kamala D. Harris,441,124,305,12
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 02,President,,DEM,Kamala D. Harris,159,60,96,3
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 03,President,,DEM,Kamala D. Harris,377,106,260,11
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 04,President,,DEM,Kamala D. Harris,183,55,123,5
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 05,President,,DEM,Kamala D. Harris,324,86,232,6
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 06,President,,DEM,Kamala D. Harris,50,9,38,3
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 07,President,,DEM,Kamala D. Harris,273,54,214,5
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 08,President,,DEM,Kamala D. Harris,242,73,164,5
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 09,President,,DEM,Kamala D. Harris,591,163,422,6
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 10,President,,DEM,Kamala D. Harris,380,98,282,0
Delaware,UPPER DARBY TWP DISTRICT 07 PRECINCT 11,President,,DEM,Kamala D. Harris,221,51,166,4
Delaware,EAST LANSDOWNE BOR PRECINCT EASTERN,President,,DEM,Kamala D. Harris,446,82,355,9
Delaware,EAST LANSDOWNE BOR PRECINCT WESTERN,President,,DEM,Kamala D. Harris,580,105,462,13
Delaware,EDDYSTONE BOR PRECINCT NORTHERN,President,,DEM,Kamala D. Harris,354,58,290,6
Delaware,EDDYSTONE BOR PRECINCT SOUTHERN,President,,DEM,Kamala D. Harris,268,52,215,1
Delaware,EDGMONT TWP PRECINCT 01,President,,DEM,Kamala D. Harris,1100,547,544,9
Delaware,EDGMONT TWP PRECINCT 02,President,,DEM,Kamala D. Harris,747,389,352,6
Delaware,FOLCROFT BOR PRECINCT 01,President,,DEM,Kamala D. Harris,353,78,264,11
Delaware,FOLCROFT BOR PRECINCT 02,President,,DEM,Kamala D. Harris,458,100,355,3
Delaware,FOLCROFT BOR PRECINCT 03,President,,DEM,Kamala D. Harris,449,75,361,13
Delaware,FOLCROFT BOR PRECINCT 04,President,,DEM,Kamala D. Harris,480,92,379,9
Delaware,FOLCROFT BOR PRECINCT 05,President,,DEM,Kamala D. Harris,456,97,352,7
Delaware,GLENOLDEN BOR PRECINCT 01,President,,DEM,Kamala D. Harris,319,57,258,4
Delaware,GLENOLDEN BOR PRECINCT 02,President,,DEM,Kamala D. Harris,237,71,162,4
Delaware,GLENOLDEN BOR PRECINCT 03,President,,DEM,Kamala D. Harris,344,80,259,5
Delaware,GLENOLDEN BOR PRECINCT 04,President,,DEM,Kamala D. Harris,656,212,435,9
Delaware,GLENOLDEN BOR PRECINCT 05,President,,DEM,Kamala D. Harris,167,47,116,4
Delaware,GLENOLDEN BOR PRECINCT 06,President,,DEM,Kamala D. Harris,351,83,268,0
Delaware,HAVERFORD TWP WD 01 PRECINCT 01,President,,DEM,Kamala D. Harris,450,125,324,1
Delaware,HAVERFORD TWP WD 01 PRECINCT 02,President,,DEM,Kamala D. Harris,447,105,335,7
Delaware,HAVERFORD TWP WD 01 PRECINCT 03,President,,DEM,Kamala D. Harris,542,216,318,8
Delaware,HAVERFORD TWP WD 01 PRECINCT 04,President,,DEM,Kamala D. Harris,693,252,433,8
Delaware,HAVERFORD TWP WD 02 PRECINCT 01,President,,DEM,Kamala D. Harris,476,136,337,3
Delaware,HAVERFORD TWP WD 02 PRECINCT 02,President,,DEM,Kamala D. Harris,511,149,355,7
Delaware,HAVERFORD TWP WD 02 PRECINCT 03,President,,DEM,Kamala D. Harris,725,239,481,5
Delaware,HAVERFORD TWP WD 02 PRECINCT 04,President,,DEM,Kamala D. Harris,477,140,335,2
Delaware,HAVERFORD TWP WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,657,188,463,6
Delaware,HAVERFORD TWP WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,454,134,316,4
Delaware,HAVERFORD TWP WD 03 PRECINCT 03,President,,DEM,Kamala D. Harris,596,174,420,2
Delaware,HAVERFORD TWP WD 03 PRECINCT 04,President,,DEM,Kamala D. Harris,601,201,393,7
Delaware,HAVERFORD TWP WD 04 PRECINCT 01,President,,DEM,Kamala D. Harris,1015,605,394,16
Delaware,HAVERFORD TWP WD 04 PRECINCT 02,President,,DEM,Kamala D. Harris,661,244,407,10
Delaware,HAVERFORD TWP WD 04 PRECINCT 03,President,,DEM,Kamala D. Harris,598,180,418,0
Delaware,HAVERFORD TWP WD 04 PRECINCT 04,President,,DEM,Kamala D. Harris,662,240,419,3
Delaware,HAVERFORD TWP WD 05 PRECINCT 01,President,,DEM,Kamala D. Harris,651,230,415,6
Delaware,HAVERFORD TWP WD 05 PRECINCT 02,President,,DEM,Kamala D. Harris,523,175,342,6
Delaware,HAVERFORD TWP WD 05 PRECINCT 03,President,,DEM,Kamala D. Harris,1123,189,930,4
Delaware,HAVERFORD TWP WD 05 PRECINCT 04,President,,DEM,Kamala D. Harris,490,211,275,4
Delaware,HAVERFORD TWP WD 06 PRECINCT 01,President,,DEM,Kamala D. Harris,885,262,615,8
Delaware,HAVERFORD TWP WD 06 PRECINCT 02,President,,DEM,Kamala D. Harris,489,149,335,5
Delaware,HAVERFORD TWP WD 06 PRECINCT 03,President,,DEM,Kamala D. Harris,730,308,418,4
Delaware,HAVERFORD TWP WD 06 PRECINCT 04,President,,DEM,Kamala D. Harris,778,240,529,9
Delaware,HAVERFORD TWP WD 07 PRECINCT 01,President,,DEM,Kamala D. Harris,488,155,329,4
Delaware,HAVERFORD TWP WD 07 PRECINCT 02,President,,DEM,Kamala D. Harris,586,163,415,8
Delaware,HAVERFORD TWP WD 07 PRECINCT 03,President,,DEM,Kamala D. Harris,794,261,532,1
Delaware,HAVERFORD TWP WD 07 PRECINCT 04,President,,DEM,Kamala D. Harris,524,175,348,1
Delaware,HAVERFORD TWP WD 08 PRECINCT 01,President,,DEM,Kamala D. Harris,820,321,498,1
Delaware,HAVERFORD TWP WD 08 PRECINCT 02,President,,DEM,Kamala D. Harris,780,276,502,2
Delaware,HAVERFORD TWP WD 08 PRECINCT 03,President,,DEM,Kamala D. Harris,741,190,546,5
Delaware,HAVERFORD TWP WD 08 PRECINCT 04,President,,DEM,Kamala D. Harris,366,114,248,4
Delaware,HAVERFORD TWP WD 09 PRECINCT 01,President,,DEM,Kamala D. Harris,539,180,356,3
Delaware,HAVERFORD TWP WD 09 PRECINCT 02,President,,DEM,Kamala D. Harris,645,213,426,6
Delaware,HAVERFORD TWP WD 09 PRECINCT 03,President,,DEM,Kamala D. Harris,414,129,284,1
Delaware,HAVERFORD TWP WD 09 PRECINCT 04,President,,DEM,Kamala D. Harris,488,146,339,3
Delaware,LANSDOWNE BOR PRECINCT 01,President,,DEM,Kamala D. Harris,442,118,315,9
Delaware,LANSDOWNE BOR PRECINCT 02,President,,DEM,Kamala D. Harris,614,163,440,11
Delaware,LANSDOWNE BOR PRECINCT 03,President,,DEM,Kamala D. Harris,352,133,217,2
Delaware,LANSDOWNE BOR PRECINCT 04,President,,DEM,Kamala D. Harris,645,241,397,7
Delaware,LANSDOWNE BOR PRECINCT 05,President,,DEM,Kamala D. Harris,688,210,474,4
Delaware,LANSDOWNE BOR PRECINCT 06,President,,DEM,Kamala D. Harris,565,141,419,5
Delaware,LANSDOWNE BOR PRECINCT 07,President,,DEM,Kamala D. Harris,289,77,207,5
Delaware,LANSDOWNE BOR PRECINCT 08,President,,DEM,Kamala D. Harris,269,59,202,8
Delaware,LANSDOWNE BOR PRECINCT 09,President,,DEM,Kamala D. Harris,537,75,452,10
Delaware,LANSDOWNE BOR PRECINCT 10,President,,DEM,Kamala D. Harris,373,134,228,11
Delaware,LANSDOWNE BOR PRECINCT 11,President,,DEM,Kamala D. Harris,547,153,391,3
Delaware,MARCUS HOOK BOR PRECINCT 01,President,,DEM,Kamala D. Harris,68,14,53,1
Delaware,MARCUS HOOK BOR PRECINCT 02,President,,DEM,Kamala D. Harris,68,14,54,0
Delaware,MARCUS HOOK BOR PRECINCT 03,President,,DEM,Kamala D. Harris,175,44,128,3
Delaware,MARCUS HOOK BOR PRECINCT 04,President,,DEM,Kamala D. Harris,214,29,185,0
Delaware,MARPLE TWP WD 01 PRECINCT 01,President,,DEM,Kamala D. Harris,371,137,234,0
Delaware,MARPLE TWP WD 01 PRECINCT 02,President,,DEM,Kamala D. Harris,357,146,210,1
Delaware,MARPLE TWP WD 01 PRECINCT 03,President,,DEM,Kamala D. Harris,394,173,220,1
Delaware,MARPLE TWP WD 02 PRECINCT 01,President,,DEM,Kamala D. Harris,350,114,235,1
Delaware,MARPLE TWP WD 02 PRECINCT 02,President,,DEM,Kamala D. Harris,310,114,195,1
Delaware,MARPLE TWP WD 02 PRECINCT 03,President,,DEM,Kamala D. Harris,338,135,199,4
Delaware,MARPLE TWP WD 03 PRECINCT 01,President,,DEM,Kamala D. Harris,356,143,212,1
Delaware,MARPLE TWP WD 03 PRECINCT 02,President,,DEM,Kamala D. Harris,290,112,176,2
Delaware,MARPLE TWP WD 03 PRECINCT 03,President,,DEM,Kamala D. Harris,347,119,221,7
Delaware,MARPLE TWP WD 04 PRECINCT 01,President,,DEM,Kamala D. Harris,301,97,202,2
Delaware,MARPLE TWP WD 04 PRECINCT 02,President,,DEM,Kamala D. Harris,209,91,117,1
Delaware,MARPLE TWP WD 04 PRECINCT 03,President,,DEM,Kamala D. Harris,257,110,146,1
Delaware,MARPLE TWP WD 05 PRECINCT 01,President,,DEM,Kamala D. Harris,382,91,289,2
Delaware,MARPLE TWP WD 05 PRECINCT 02,President,,DEM,Kamala D. Harris,461,195,264,2
Delaware,MARPLE TWP WD 05 PRECINCT 03,President,,DEM,Kamala D. Harris,315,105,210,0
Delaware,MARPLE TWP WD 06 PRECINCT 01,President,,DEM,Kamala D. Harris,365,130,234,1
Delaware,MARPLE TWP WD 06 PRECINCT 02,President,,DEM,Kamala D. Harris,266,105,156,5
Delaware,MARPLE TWP WD 06 PRECINCT 03,President,,DEM,Kamala D. Harris,327,132,195,0
Delaware,MARPLE TWP WD 07 PRECINCT 01,President,,DEM,Kamala D. Harris,452,211,236,5
Delaware,MARPLE TWP WD 07 PRECINCT 02,President,,DEM,Kamala D. Harris,448,221,223,4
Delaware,MARPLE TWP WD 07 PRECINCT 03,President,,DEM,Kamala D. Harris,341,128,210,3
Delaware,MEDIA BOR PRECINCT EASTERN,President,,DEM,Kamala D. Harris,802,305,489,8
Delaware,MEDIA BOR PRECINCT NORTHERN,President,,DEM,Kamala D. Harris,512,198,313,1
Delaware,MEDIA BOR PRECINCT SOUTHERN,President,,DEM,Kamala D. Harris,687,237,440,10
Delaware,MEDIA BOR PRECINCT WESTERN,President,,DEM,Kamala D. Harris,845,348,494,3
Delaware,MIDDLETOWN TWP DISTRICT 01 PRECINCT 01,President,,DEM,Kamala D. Harris,529,240,287,2
Delaware,MIDDLETOWN TWP DISTRICT 01 PRECINCT 02,President,,DEM,Kamala D. Harris,482,185,292,5
Delaware,MIDDLETOWN TWP DISTRICT 01 PRECINCT 03,President,,DEM,Kamala D. Harris,456,183,272,1
Delaware,MIDDLETOWN TWP DISTRICT 02 PRECINCT 01,President,,DEM,Kamala D. Harris,542,182,359,1
Delaware,MIDDLETOWN TWP DISTRICT 02 PRECINCT 02,President,,DEM,Kamala D. Harris,446,148,294,4
Delaware,MIDDLETOWN TWP DISTRICT 02 PRECINCT 03,President,,DEM,Kamala D. Harris,568,279,283,6
Delaware,MIDDLETOWN TWP DISTRICT 03 PRECINCT 01,President,,DEM,Kamala D. Harris,515,255,251,9
Delaware,MIDDLETOWN TWP DISTRICT 03 PRECINCT 02,President,,DEM,Kamala D. Harris,615,230,383,2
Delaware,MIDDLETOWN TWP DISTRICT 03 PRECINCT 03,President,,DEM,Kamala D. Harris,781,419,355,7
Delaware,MIDDLETOWN TWP DISTRICT 04 PRECINCT 01,President,,DEM,Kamala D. Harris,348,207,139,2
Delaware,MIDDLETOWN TWP DISTRICT 04 PRECINCT 02,President,,DEM,Kamala D. Harris,402,159,241,2
Delaware,MIDDLETOWN TWP DISTRICT 04 PRECINCT 03,President,,DEM,Kamala D. Harris,586,304,280,2
Delaware,MILLBOURNE BOR,President,,DEM,Kamala D. Harris,209,32,174,3
Delaware,MORTON BOR,President,,DEM,Kamala D. Harris,1025,368,651,6
Delaware,NEWTOWN TWP PRECINCT 01,President,,DEM,Kamala D. Harris,758,379,370,9
Delaware,NEWTOWN TWP PRECINCT 02,President,,DEM,Kamala D. Harris,976,596,380,0
Delaware,NEWTOWN TWP PRECINCT 03,President,,DEM,Kamala D. Harris,339,157,178,4
