county,precinct,office,district,party,candidate,election_day,mail,provisional,votes
Warren,CLARENDON BORO,Auditor General,,DEM,MALCOLM KENYATTA,36,18,0,54
Warren,CLARENDON BORO,Auditor General,,REP,TIM DEFOOR,120,13,1,134
Warren,CLARENDON BORO,Auditor General,,LIB,REECE SMITH,5,2,0,7
Warren,CLARENDON BORO,Auditor General,,ASP,ERIC K ANTON,2,0,0,2
Warren,CLARENDON BORO,Auditor General,,CON,BOB GOODRICH,4,1,0,5
Warren,CLARENDON BORO,Auditor General,,,Write-ins,0,0,0,0
Warren,CLARENDON BORO,State Treasurer,,DEM,ERIN MCCLELLAND,38,18,0,56
Warren,CLARENDON BORO,State Treasurer,,REP,STACY GARRITY,119,15,1,135
Warren,CLARENDON BORO,State Treasurer,,LIB,NICKOLAS CIESIELSKI,6,0,0,6
Warren,CLARENDON BORO,State Treasurer,,CON,TROY BOWMAN,3,0,0,3
Warren,CLARENDON BORO,State Treasurer,,FWD,CHRIS FOSTER,0,1,0,1
Warren,CLARENDON BORO,State Treasurer,,,Write-ins,0,0,0,0
Warren,CLARENDON BORO,U.S. House,15,DEM,ZACH WOMER,33,15,0,48
Warren,CLARENDON BORO,U.S. House,15,REP,GLENN GT THOMPSON,132,17,1,150
Warren,CLARENDON BORO,U.S. House,15,,Write-ins,0,0,0,0
Warren,CLARENDON BORO,State Senate,21,REP,SCOTT E HUTCHINSON,136,21,1,158
Warren,CLARENDON BORO,State Senate,21,,Write-ins,0,5,0,5
Warren,CLARENDON BORO,General Assembly,65,DEM,ERIN WILLMAN,41,16,0,57
Warren,CLARENDON BORO,General Assembly,65,REP,KATHY L RAPP,125,17,1,143
Warren,CLARENDON BORO,General Assembly,65,,Write-ins,0,0,0,0
Warren,SUGAR GROVE BORO,President,,DEM,Kamala D. Harris,81,23,0,104
Warren,SUGAR GROVE BORO,President,,REP,Donald J. Trump,225,22,0,247
Warren,SUGAR GROVE BORO,President,,LIB,Chase Oliver,0,0,0,0
Warren,SUGAR GROVE BORO,President,,GRE,Jill Stein,0,0,0,0
Warren,SUGAR GROVE BORO,President,,,Write-ins,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,DEM,ROBERT P CASEY JR,67,23,0,90
Warren,SUGAR GROVE BORO,U.S. Senate,,REP,DAVE MCCORMICK,215,22,0,237
Warren,SUGAR GROVE BORO,U.S. Senate,,LIB,JOHN C THOMAS,11,0,0,11
Warren,SUGAR GROVE BORO,U.S. Senate,,GRE,LEILA HAZOU,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,CON,MARTY SELKER,1,0,0,1
Warren,SUGAR GROVE BORO,U.S. Senate,,,Write-ins,0,0,0,0
Warren,SUGAR GROVE BORO,Attorney General,,DEM,EUGENE DEPASQUALE,50,22,0,72
Warren,SUGAR GROVE BORO,Attorney General,,REP,DAVE SUNDAY,217,22,0,239
Warren,SUGAR GROVE BORO,Attorney General,,LIB,ROBERT COWBURN,18,0,0,18
Warren,SUGAR GROVE BORO,Attorney General,,GRN,RICHARD L WEISS,2,0,0,2
Warren,SUGAR GROVE BORO,Attorney General,,CON,JUSTIN L MAGILL,3,0,0,3
Warren,SUGAR GROVE BORO,Attorney General,,FWD,ERIC L SETTLE,1,0,0,1
Warren,SUGAR GROVE BORO,Attorney General,,,Write-ins,0,0,0,0
Warren,SUGAR GROVE BORO,Auditor General,,DEM,MALCOLM KENYATTA,46,20,0,66
Warren,SUGAR GROVE BORO,Auditor General,,REP,TIM DEFOOR,214,24,0,238
Warren,SUGAR GROVE BORO,Auditor General,,LIB,REECE SMITH,19,0,0,19
Warren,SUGAR GROVE BORO,Auditor General,,ASP,ERIC K ANTON,2,0,0,2
Warren,SUGAR GROVE BORO,Auditor General,,CON,BOB GOODRICH,5,1,0,6
Warren,SUGAR GROVE BORO,Auditor General,,,Write-ins,0,0,0,0
Warren,SUGAR GROVE BORO,State Treasurer,,DEM,ERIN MCCLELLAND,47,19,0,66
Warren,SUGAR GROVE BORO,State Treasurer,,REP,STACY GARRITY,217,23,0,240
Warren,SUGAR GROVE BORO,State Treasurer,,LIB,NICKOLAS CIESIELSKI,16,0,0,16
Warren,SUGAR GROVE BORO,State Treasurer,,CON,TROY BOWMAN,4,1,0,5
Warren,SUGAR GROVE BORO,State Treasurer,,FWD,CHRIS FOSTER,3,1,0,4
Warren,SUGAR GROVE BORO,State Treasurer,,,Write-ins,0,0,0,0
Warren,SUGAR GROVE BORO,U.S. House,15,DEM,ZACH WOMER,50,20,0,70
Warren,SUGAR GROVE BORO,U.S. House,15,REP,GLENN GT THOMPSON,238,24,0,262
Warren,SUGAR GROVE BORO,U.S. House,15,,Write-ins,2,0,0,2
Warren,SUGAR GROVE BORO,State Senate,21,REP,SCOTT E HUTCHINSON,244,32,0,276
Warren,SUGAR GROVE BORO,State Senate,21,,Write-ins,3,2,0,5
Warren,SUGAR GROVE BORO,General Assembly,65,DEM,ERIN WILLMAN,61,19,0,80
Warren,SUGAR GROVE BORO,General Assembly,65,REP,KATHY L RAPP,229,24,0,253
Warren,SUGAR GROVE BORO,General Assembly,65,,Write-ins,0,0,0,0
Warren,TIDIOUTE BORO,President,,DEM,Kamala D. Harris,85,19,2,106
Warren,TIDIOUTE BORO,President,,REP,Donald J. Trump,174,31,0,205
Warren,TIDIOUTE BORO,President,,LIB,Chase Oliver,1,0,0,1
Warren,TIDIOUTE BORO,President,,GRE,Jill Stein,2,0,0,2
Warren,TIDIOUTE BORO,President,,,Write-ins,1,0,0,1
Warren,TIDIOUTE BORO,U.S. Senate,,DEM,ROBERT P CASEY JR,93,19,1,113
Warren,TIDIOUTE BORO,U.S. Senate,,REP,DAVE MCCORMICK,156,28,0,184
Warren,TIDIOUTE BORO,U.S. Senate,,LIB,JOHN C THOMAS,6,3,1,10
Warren,TIDIOUTE BORO,U.S. Senate,,GRE,LEILA HAZOU,3,0,0,3
Warren,TIDIOUTE BORO,U.S. Senate,,CON,MARTY SELKER,3,0,0,3
Warren,TIDIOUTE BORO,U.S. Senate,,,Write-ins,0,0,1,1
Warren,TIDIOUTE BORO,Attorney General,,DEM,EUGENE DEPASQUALE,76,16,1,93
Warren,TIDIOUTE BORO,Attorney General,,REP,DAVE SUNDAY,169,31,0,200
Warren,TIDIOUTE BORO,Attorney General,,LIB,ROBERT COWBURN,3,1,1,5
Warren,TIDIOUTE BORO,Attorney General,,GRN,RICHARD L WEISS,4,1,0,5
Warren,TIDIOUTE BORO,Attorney General,,CON,JUSTIN L MAGILL,3,1,0,4
Warren,TIDIOUTE BORO,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Warren,TIDIOUTE BORO,Attorney General,,,Write-ins,0,0,0,0
Warren,TIDIOUTE BORO,Auditor General,,DEM,MALCOLM KENYATTA,75,15,1,91
Warren,TIDIOUTE BORO,Auditor General,,REP,TIM DEFOOR,168,31,1,200
Warren,TIDIOUTE BORO,Auditor General,,LIB,REECE SMITH,6,3,0,9
Warren,TIDIOUTE BORO,Auditor General,,ASP,ERIC K ANTON,2,0,0,2
Warren,TIDIOUTE BORO,Auditor General,,CON,BOB GOODRICH,5,0,0,5
Warren,TIDIOUTE BORO,Auditor General,,,Write-ins,0,0,0,0
Warren,TIDIOUTE BORO,State Treasurer,,DEM,ERIN MCCLELLAND,71,18,1,90
Warren,TIDIOUTE BORO,State Treasurer,,REP,STACY GARRITY,179,25,0,204
Warren,TIDIOUTE BORO,State Treasurer,,LIB,NICKOLAS CIESIELSKI,4,2,0,6
Warren,TIDIOUTE BORO,State Treasurer,,CON,TROY BOWMAN,7,0,0,7
Warren,TIDIOUTE BORO,State Treasurer,,FWD,CHRIS FOSTER,3,0,0,3
Warren,TIDIOUTE BORO,State Treasurer,,,Write-ins,0,0,0,0
Warren,TIDIOUTE BORO,U.S. House,15,DEM,ZACH WOMER,71,13,1,85
Warren,TIDIOUTE BORO,U.S. House,15,REP,GLENN GT THOMPSON,188,36,1,225
Warren,TIDIOUTE BORO,U.S. House,15,,Write-ins,0,0,0,0
Warren,TIDIOUTE BORO,State Senate,21,REP,SCOTT E HUTCHINSON,196,41,1,238
Warren,TIDIOUTE BORO,State Senate,21,,Write-ins,3,1,0,4
Warren,TIDIOUTE BORO,General Assembly,65,DEM,ERIN WILLMAN,71,17,0,88
Warren,TIDIOUTE BORO,General Assembly,65,REP,KATHY L RAPP,193,32,2,227
Warren,TIDIOUTE BORO,General Assembly,65,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,President,,DEM,Kamala D. Harris,172,104,1,277
Warren,YOUNGSVILLE BORO,President,,REP,Donald J. Trump,568,70,0,638
Warren,YOUNGSVILLE BORO,President,,LIB,Chase Oliver,5,2,0,7
Warren,YOUNGSVILLE BORO,President,,GRE,Jill Stein,2,0,0,2
Warren,YOUNGSVILLE BORO,President,,,Write-ins,2,0,0,2
Warren,YOUNGSVILLE BORO,U.S. Senate,,DEM,ROBERT P CASEY JR,194,102,0,296
Warren,YOUNGSVILLE BORO,U.S. Senate,,REP,DAVE MCCORMICK,529,67,0,596
Warren,YOUNGSVILLE BORO,U.S. Senate,,LIB,JOHN C THOMAS,16,1,0,17
Warren,YOUNGSVILLE BORO,U.S. Senate,,GRE,LEILA HAZOU,7,1,0,8
Warren,YOUNGSVILLE BORO,U.S. Senate,,CON,MARTY SELKER,4,1,0,5
Warren,YOUNGSVILLE BORO,U.S. Senate,,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,Attorney General,,DEM,EUGENE DEPASQUALE,153,87,0,240
Warren,YOUNGSVILLE BORO,Attorney General,,REP,DAVE SUNDAY,550,80,0,630
Warren,YOUNGSVILLE BORO,Attorney General,,LIB,ROBERT COWBURN,25,0,0,25
Warren,YOUNGSVILLE BORO,Attorney General,,GRN,RICHARD L WEISS,9,0,0,9
Warren,YOUNGSVILLE BORO,Attorney General,,CON,JUSTIN L MAGILL,7,0,0,7
Warren,YOUNGSVILLE BORO,Attorney General,,FWD,ERIC L SETTLE,2,1,0,3
Warren,YOUNGSVILLE BORO,Attorney General,,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,Auditor General,,DEM,MALCOLM KENYATTA,150,87,0,237
Warren,YOUNGSVILLE BORO,Auditor General,,REP,TIM DEFOOR,551,69,4,624
Warren,YOUNGSVILLE BORO,Auditor General,,LIB,REECE SMITH,27,5,0,32
Warren,YOUNGSVILLE BORO,Auditor General,,ASP,ERIC K ANTON,5,0,0,5
Warren,YOUNGSVILLE BORO,Auditor General,,CON,BOB GOODRICH,13,6,0,19
Warren,YOUNGSVILLE BORO,Auditor General,,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,State Treasurer,,DEM,ERIN MCCLELLAND,160,92,0,252
Warren,YOUNGSVILLE BORO,State Treasurer,,REP,STACY GARRITY,565,73,0,638
Warren,YOUNGSVILLE BORO,State Treasurer,,LIB,NICKOLAS CIESIELSKI,18,2,0,20
Warren,YOUNGSVILLE BORO,State Treasurer,,CON,TROY BOWMAN,10,0,0,10
Warren,YOUNGSVILLE BORO,State Treasurer,,FWD,CHRIS FOSTER,0,2,0,2
Warren,YOUNGSVILLE BORO,State Treasurer,,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,U.S. House,15,DEM,ZACH WOMER,157,83,0,240
Warren,YOUNGSVILLE BORO,U.S. House,15,REP,GLENN GT THOMPSON,587,84,0,671
Warren,YOUNGSVILLE BORO,U.S. House,15,,Write-ins,0,0,0,0
Warren,YOUNGSVILLE BORO,State Senate,21,REP,SCOTT E HUTCHINSON,597,119,0,716
Warren,YOUNGSVILLE BORO,State Senate,21,,Write-ins,17,4,0,21
Warren,YOUNGSVILLE BORO,General Assembly,65,DEM,ERIN WILLMAN,199,86,0,285
Warren,YOUNGSVILLE BORO,General Assembly,65,REP,KATHY L RAPP,550,75,0,625
Warren,YOUNGSVILLE BORO,General Assembly,65,,Write-ins,2,0,0,2
Warren,BROKENSTRAW TWP,President,,DEM,Kamala D. Harris,142,97,3,242
Warren,BROKENSTRAW TWP,President,,REP,Donald J. Trump,537,95,2,634
Warren,BROKENSTRAW TWP,President,,LIB,Chase Oliver,8,0,0,8
Warren,BROKENSTRAW TWP,President,,GRE,Jill Stein,0,0,0,0
Warren,BROKENSTRAW TWP,President,,,Write-ins,0,0,0,0
Warren,BROKENSTRAW TWP,U.S. Senate,,DEM,ROBERT P CASEY JR,150,96,2,248
Warren,BROKENSTRAW TWP,U.S. Senate,,REP,DAVE MCCORMICK,506,92,0,598
Warren,BROKENSTRAW TWP,U.S. Senate,,LIB,JOHN C THOMAS,19,0,0,19
Warren,BROKENSTRAW TWP,U.S. Senate,,GRE,LEILA HAZOU,3,0,0,3
Warren,BROKENSTRAW TWP,U.S. Senate,,CON,MARTY SELKER,5,2,0,7
Warren,BROKENSTRAW TWP,U.S. Senate,,,Write-ins,1,0,0,1
Warren,BROKENSTRAW TWP,Attorney General,,DEM,EUGENE DEPASQUALE,118,81,2,201
Warren,BROKENSTRAW TWP,Attorney General,,REP,DAVE SUNDAY,530,105,0,635
Warren,BROKENSTRAW TWP,Attorney General,,LIB,ROBERT COWBURN,12,0,0,12
Warren,BROKENSTRAW TWP,Attorney General,,GRN,RICHARD L WEISS,7,1,0,8
Warren,BROKENSTRAW TWP,Attorney General,,CON,JUSTIN L MAGILL,5,1,0,6
Warren,BROKENSTRAW TWP,Attorney General,,FWD,ERIC L SETTLE,2,0,0,2
Warren,BROKENSTRAW TWP,Attorney General,,,Write-ins,0,0,0,0
Warren,BROKENSTRAW TWP,Auditor General,,DEM,MALCOLM KENYATTA,124,83,5,212
Warren,BROKENSTRAW TWP,Auditor General,,REP,TIM DEFOOR,504,99,0,603
Warren,BROKENSTRAW TWP,Auditor General,,LIB,REECE SMITH,23,1,0,24
Warren,BROKENSTRAW TWP,Auditor General,,ASP,ERIC K ANTON,2,1,0,3
Warren,BROKENSTRAW TWP,Auditor General,,CON,BOB GOODRICH,11,2,0,13
Warren,BROKENSTRAW TWP,Auditor General,,,Write-ins,0,0,0,0
Warren,BROKENSTRAW TWP,State Treasurer,,DEM,ERIN MCCLELLAND,121,85,8,214
Warren,BROKENSTRAW TWP,State Treasurer,,REP,STACY GARRITY,518,97,0,615
Warren,BROKENSTRAW TWP,State Treasurer,,LIB,NICKOLAS CIESIELSKI,14,3,0,17
Warren,BROKENSTRAW TWP,State Treasurer,,CON,TROY BOWMAN,8,0,0,8
Warren,BROKENSTRAW TWP,State Treasurer,,FWD,CHRIS FOSTER,2,1,0,3
Warren,BROKENSTRAW TWP,State Treasurer,,,Write-ins,0,0,0,0
Warren,BROKENSTRAW TWP,U.S. House,15,DEM,ZACH WOMER,126,74,1,201
Warren,BROKENSTRAW TWP,U.S. House,15,REP,GLENN GT THOMPSON,540,114,0,654
Warren,BROKENSTRAW TWP,U.S. House,15,,Write-ins,2,0,0,2
Warren,BROKENSTRAW TWP,State Senate,21,REP,SCOTT E HUTCHINSON,546,129,1,676
Warren,BROKENSTRAW TWP,State Senate,21,,Write-ins,8,9,0,17
Warren,BROKENSTRAW TWP,General Assembly,65,DEM,ERIN WILLMAN,149,72,1,222
Warren,BROKENSTRAW TWP,General Assembly,65,REP,KATHY L RAPP,524,112,0,636
Warren,BROKENSTRAW TWP,General Assembly,65,,Write-ins,4,0,0,4
Warren,CHERRY GROVE TWP,President,,DEM,Kamala D. Harris,12,16,7,35
Warren,CHERRY GROVE TWP,President,,REP,Donald J. Trump,84,9,3,96
Warren,CHERRY GROVE TWP,President,,LIB,Chase Oliver,0,0,0,0
Warren,CHERRY GROVE TWP,President,,GRE,Jill Stein,1,0,0,1
Warren,CHERRY GROVE TWP,President,,,Write-ins,0,0,0,0
Warren,CHERRY GROVE TWP,U.S. Senate,,DEM,ROBERT P CASEY JR,17,7,2,26
Warren,CHERRY GROVE TWP,U.S. Senate,,REP,DAVE MCCORMICK,76,9,5,90
Warren,CHERRY GROVE TWP,U.S. Senate,,LIB,JOHN C THOMAS,3,0,0,3
Warren,CHERRY GROVE TWP,U.S. Senate,,GRE,LEILA HAZOU,0,0,0,0
Warren,CHERRY GROVE TWP,U.S. Senate,,CON,MARTY SELKER,1,0,0,1
Warren,CHERRY GROVE TWP,U.S. Senate,,,Write-ins,0,0,0,0
Warren,CHERRY GROVE TWP,Attorney General,,DEM,EUGENE DEPASQUALE,13,7,2,22
Warren,CHERRY GROVE TWP,Attorney General,,REP,DAVE SUNDAY,82,9,4,95
Warren,CHERRY GROVE TWP,Attorney General,,LIB,ROBERT COWBURN,0,0,0,0
Warren,CHERRY GROVE TWP,Attorney General,,GRN,RICHARD L WEISS,0,0,0,0
Warren,CHERRY GROVE TWP,Attorney General,,CON,JUSTIN L MAGILL,1,0,0,1
Warren,CHERRY GROVE TWP,Attorney General,,FWD,ERIC L SETTLE,0,0,0,0
Warren,CHERRY GROVE TWP,Attorney General,,,Write-ins,0,0,0,0
Warren,CHERRY GROVE TWP,Auditor General,,DEM,MALCOLM KENYATTA,12,7,2,21
Warren,CHERRY GROVE TWP,Auditor General,,REP,TIM DEFOOR,80,9,4,93
Warren,CHERRY GROVE TWP,Auditor General,,LIB,REECE SMITH,1,0,0,1
Warren,CHERRY GROVE TWP,Auditor General,,ASP,ERIC K ANTON,0,0,0,0
Warren,CHERRY GROVE TWP,Auditor General,,CON,BOB GOODRICH,2,0,0,2
Warren,CHERRY GROVE TWP,Auditor General,,,Write-ins,0,0,0,0
Warren,CHERRY GROVE TWP,State Treasurer,,DEM,ERIN MCCLELLAND,9,7,2,18
Warren,CHERRY GROVE TWP,State Treasurer,,REP,STACY GARRITY,80,9,4,93
Warren,CHERRY GROVE TWP,State Treasurer,,LIB,NICKOLAS CIESIELSKI,3,0,0,3
Warren,CHERRY GROVE TWP,State Treasurer,,CON,TROY BOWMAN,3,0,0,3
Warren,CHERRY GROVE TWP,State Treasurer,,FWD,CHRIS FOSTER,0,0,0,0
Warren,CHERRY GROVE TWP,State Treasurer,,,Write-ins,0,0,0,0
Warren,CHERRY GROVE TWP,U.S. House,15,DEM,ZACH WOMER,11,7,1,19
Warren,CHERRY GROVE TWP,U.S. House,15,REP,GLENN GT THOMPSON,81,7,4,92
Warren,CHERRY GROVE TWP,U.S. House,15,,Write-ins,1,0,0,1
Warren,CHERRY GROVE TWP,State Senate,21,REP,SCOTT E HUTCHINSON,82,10,5,97
Warren,CHERRY GROVE TWP,State Senate,21,,Write-ins,1,1,0,2
Warren,CHERRY GROVE TWP,General Assembly,65,DEM,ERIN WILLMAN,10,6,3,19
Warren,CHERRY GROVE TWP,General Assembly,65,REP,KATHY L RAPP,83,10,3,96
Warren,CHERRY GROVE TWP,General Assembly,65,,Write-ins,0,0,0,0
Warren,COLUMBUS TWP,President,,DEM,Kamala D. Harris,161,62,0,223
Warren,COLUMBUS TWP,President,,REP,Donald J. Trump,601,87,0,688
Warren,COLUMBUS TWP,President,,LIB,Chase Oliver,0,0,1,1
Warren,COLUMBUS TWP,President,,GRE,Jill Stein,2,0,0,2
Warren,COLUMBUS TWP,President,,,Write-ins,2,0,0,2
Warren,COLUMBUS TWP,U.S. Senate,,DEM,ROBERT P CASEY JR,174,63,0,237
Warren,COLUMBUS TWP,U.S. Senate,,REP,DAVE MCCORMICK,569,86,0,655
Warren,COLUMBUS TWP,U.S. Senate,,LIB,JOHN C THOMAS,6,0,0,6
Warren,COLUMBUS TWP,U.S. Senate,,GRE,LEILA HAZOU,5,0,0,5
Warren,COLUMBUS TWP,U.S. Senate,,CON,MARTY SELKER,2,0,0,2
Warren,COLUMBUS TWP,U.S. Senate,,,Write-ins,0,0,0,0
Warren,COLUMBUS TWP,Attorney General,,DEM,EUGENE DEPASQUALE,130,55,0,185
Warren,COLUMBUS TWP,Attorney General,,REP,DAVE SUNDAY,596,86,0,682
Warren,COLUMBUS TWP,Attorney General,,LIB,ROBERT COWBURN,11,1,0,12
Warren,COLUMBUS TWP,Attorney General,,GRN,RICHARD L WEISS,4,1,0,5
Warren,COLUMBUS TWP,Attorney General,,CON,JUSTIN L MAGILL,8,3,0,11
Warren,COLUMBUS TWP,Attorney General,,FWD,ERIC L SETTLE,4,0,0,4
Warren,COLUMBUS TWP,Attorney General,,,Write-ins,0,0,0,0
Warren,COLUMBUS TWP,Auditor General,,DEM,MALCOLM KENYATTA,148,53,0,201
Warren,COLUMBUS TWP,Auditor General,,REP,TIM DEFOOR,573,86,0,659
Warren,COLUMBUS TWP,Auditor General,,LIB,REECE SMITH,12,0,0,12
Warren,COLUMBUS TWP,Auditor General,,ASP,ERIC K ANTON,4,0,0,4
Warren,COLUMBUS TWP,Auditor General,,CON,BOB GOODRICH,13,5,0,18
Warren,COLUMBUS TWP,Auditor General,,,Write-ins,0,0,0,0
Warren,COLUMBUS TWP,State Treasurer,,DEM,ERIN MCCLELLAND,144,56,0,200
Warren,COLUMBUS TWP,State Treasurer,,REP,STACY GARRITY,599,89,0,688
Warren,COLUMBUS TWP,State Treasurer,,LIB,NICKOLAS CIESIELSKI,10,1,0,11
Warren,COLUMBUS TWP,State Treasurer,,CON,TROY BOWMAN,7,1,0,8
Warren,COLUMBUS TWP,State Treasurer,,FWD,CHRIS FOSTER,2,0,0,2
Warren,COLUMBUS TWP,State Treasurer,,,Write-ins,0,0,0,0
Warren,COLUMBUS TWP,U.S. House,15,DEM,ZACH WOMER,153,57,0,210
Warren,COLUMBUS TWP,U.S. House,15,REP,GLENN GT THOMPSON,599,91,0,690
Warren,COLUMBUS TWP,U.S. House,15,,Write-ins,2,0,0,2
Warren,COLUMBUS TWP,State Senate,21,REP,SCOTT E HUTCHINSON,574,107,0,681
Warren,COLUMBUS TWP,State Senate,21,,Write-ins,10,3,0,13
Warren,COLUMBUS TWP,General Assembly,65,DEM,ERIN WILLMAN,144,50,0,194
Warren,COLUMBUS TWP,General Assembly,65,REP,KATHY L RAPP,611,91,0,702
Warren,COLUMBUS TWP,General Assembly,65,,Write-ins,2,0,0,2
Warren,CONEWANGO #1 TWP,President,,DEM,Kamala D. Harris,234,175,5,414
Warren,CONEWANGO #1 TWP,President,,REP,Donald J. Trump,542,153,3,698
Warren,CONEWANGO #1 TWP,President,,LIB,Chase Oliver,1,4,0,5
Warren,CONEWANGO #1 TWP,President,,GRE,Jill Stein,1,0,0,1
Warren,CONEWANGO #1 TWP,President,,,Write-ins,1,2,0,3
Warren,CONEWANGO #1 TWP,U.S. Senate,,DEM,ROBERT P CASEY JR,250,180,1,431
Warren,CONEWANGO #1 TWP,U.S. Senate,,REP,DAVE MCCORMICK,501,140,3,644
Warren,CONEWANGO #1 TWP,U.S. Senate,,LIB,JOHN C THOMAS,16,7,0,23
Warren,CONEWANGO #1 TWP,U.S. Senate,,GRE,LEILA HAZOU,3,2,0,5
