county,precinct,office,district,party,candidate,votes,provisional,election_day,mail_in_/_absentee
Luzerne,Sugarloaf Township Dist 03,President,,DEM,HARRIS / WALZ,192,3,110,79
Luzerne,Swoyersville Boro Ward 01,President,,DEM,HARRIS / WALZ,549,8,338,203
Luzerne,Swoyersville Boro Ward 02,President,,DEM,HARRIS / WALZ,512,3,299,210
Luzerne,Swoyersville Boro Ward 03,President,,DEM,HARRIS / WALZ,234,1,153,80
Luzerne,Union Township,President,,DEM,HARRIS / WALZ,323,0,191,132
Luzerne,Warrior Run Boro,President,,DEM,HARRIS / WALZ,111,2,73,36
Luzerne,West Hazleton Boro Ward 01,President,,DEM,HARRIS / WALZ,242,2,182,58
Luzerne,West Hazleton Boro Ward 02,President,,DEM,HARRIS / WALZ,301,6,197,98
Luzerne,West Pittston Boro Ward 01,President,,DEM,HARRIS / WALZ,265,6,145,114
Luzerne,West Pittston Boro Ward 02,President,,DEM,HARRIS / WALZ,474,6,296,172
Luzerne,West Pittston Boro Ward 03,President,,DEM,HARRIS / WALZ,473,3,275,195
Luzerne,West Wyoming Boro Ward 01,President,,DEM,HARRIS / WALZ,375,1,221,153
Luzerne,West Wyoming Boro Ward 02,President,,DEM,HARRIS / WALZ,317,6,182,129
Luzerne,White Haven Boro,President,,DEM,HARRIS / WALZ,196,1,137,58
Luzerne,Wilkes-Barre City Ward 01,President,,DEM,HARRIS / WALZ,332,8,198,126
Luzerne,Wilkes-Barre City Ward 02,President,,DEM,HARRIS / WALZ,498,7,258,233
Luzerne,Wilkes-Barre City Ward 03,President,,DEM,HARRIS / WALZ,248,3,158,87
Luzerne,Wilkes-Barre City Ward 04,President,,DEM,HARRIS / WALZ,435,8,279,148
Luzerne,Wilkes-Barre City Ward 05,President,,DEM,HARRIS / WALZ,351,4,223,124
Luzerne,Wilkes-Barre City Ward 06,President,,DEM,HARRIS / WALZ,444,5,274,165
Luzerne,Wilkes-Barre City Ward 07,President,,DEM,HARRIS / WALZ,372,4,182,186
Luzerne,Wilkes-Barre City Ward 08,President,,DEM,HARRIS / WALZ,405,6,252,147
Luzerne,Wilkes-Barre City Ward 09,President,,DEM,HARRIS / WALZ,263,10,154,99
Luzerne,Wilkes-Barre City Ward 10,President,,DEM,HARRIS / WALZ,278,6,185,87
Luzerne,Wilkes-Barre City Ward 11,President,,DEM,HARRIS / WALZ,403,5,227,171
Luzerne,Wilkes-Barre City Ward 12,President,,DEM,HARRIS / WALZ,451,16,245,190
Luzerne,Wilkes-Barre City Ward 13,President,,DEM,HARRIS / WALZ,441,11,315,115
Luzerne,Wilkes-Barre City Ward 14,President,,DEM,HARRIS / WALZ,367,8,236,123
Luzerne,Wilkes-Barre City Ward 15,President,,DEM,HARRIS / WALZ,422,9,240,173
Luzerne,Wilkes-Barre City Ward 16,President,,DEM,HARRIS / WALZ,458,8,289,161
Luzerne,Wilkes-Barre City Ward 17,President,,DEM,HARRIS / WALZ,299,9,187,103
Luzerne,Wilkes-Barre City Ward 18,President,,DEM,HARRIS / WALZ,254,4,163,87
Luzerne,Wilkes-Barre City Ward 19,President,,DEM,HARRIS / WALZ,349,8,214,127
Luzerne,Wilkes-Barre City Ward 20,President,,DEM,HARRIS / WALZ,406,10,253,143
Luzerne,Wilkes-Barre Township Ward 01,President,,DEM,HARRIS / WALZ,383,3,260,120
Luzerne,Wilkes-Barre Township Ward 02,President,,DEM,HARRIS / WALZ,300,8,153,139
Luzerne,Wright Township Dist 01,President,,DEM,HARRIS / WALZ,320,2,155,163
Luzerne,Wright Township Dist 02,President,,DEM,HARRIS / WALZ,455,9,220,226
Luzerne,Wright Township Dist 03,President,,DEM,HARRIS / WALZ,370,4,181,185
Luzerne,Wright Township Dist 04,President,,DEM,HARRIS / WALZ,245,2,116,127
Luzerne,Wyoming Boro Ward 01,President,,DEM,HARRIS / WALZ,266,3,171,92
Luzerne,Wyoming Boro Ward 02,President,,DEM,HARRIS / WALZ,210,0,115,95
Luzerne,Wyoming Boro Ward 03,President,,DEM,HARRIS / WALZ,328,7,181,140
Luzerne,Yatesville Boro,President,,DEM,HARRIS / WALZ,175,5,108,62
Luzerne,Ashley Boro Ward 01,President,,REP,TRUMP / VANCE,434,8,353,73
Luzerne,Ashley Boro Ward 02,President,,REP,TRUMP / VANCE,253,0,210,43
Luzerne,Avoca Boro Ward 01,President,,REP,TRUMP / VANCE,250,1,199,50
Luzerne,Avoca Boro Ward 02,President,,REP,TRUMP / VANCE,232,2,197,33
Luzerne,Avoca Boro Ward 03,President,,REP,TRUMP / VANCE,330,10,270,50
Luzerne,Bear Creek Township Dist 01,President,,REP,TRUMP / VANCE,461,2,382,77
Luzerne,Bear Creek Township Dist 02,President,,REP,TRUMP / VANCE,583,5,490,88
Luzerne,Bear Creek Township Dist 03,President,,REP,TRUMP / VANCE,136,0,103,33
Luzerne,Bear Creek Village Boro,President,,REP,TRUMP / VANCE,108,2,91,15
Luzerne,Black Creek Township,President,,REP,TRUMP / VANCE,849,4,714,131
Luzerne,Buck Township,President,,REP,TRUMP / VANCE,187,2,169,16
Luzerne,Butler Township Dist 01,President,,REP,TRUMP / VANCE,919,9,739,171
Luzerne,Butler Township Dist 02,President,,REP,TRUMP / VANCE,798,10,650,138
Luzerne,Butler Township Dist 03,President,,REP,TRUMP / VANCE,729,8,593,128
Luzerne,Butler Township Dist 04,President,,REP,TRUMP / VANCE,859,12,674,173
Luzerne,Butler Township Dist 05,President,,REP,TRUMP / VANCE,883,5,719,159
Luzerne,Conyngham Boro,President,,REP,TRUMP / VANCE,753,7,603,143
Luzerne,Conyngham Township,President,,REP,TRUMP / VANCE,464,3,396,65
Luzerne,Courtdale Boro,President,,REP,TRUMP / VANCE,263,2,228,33
Luzerne,Dallas Boro Ward 01,President,,REP,TRUMP / VANCE,398,2,331,65
Luzerne,Dallas Boro Ward 02,President,,REP,TRUMP / VANCE,535,7,443,85
Luzerne,Dallas Township Dist 01,President,,REP,TRUMP / VANCE,533,0,429,104
Luzerne,Dallas Township Dist 02,President,,REP,TRUMP / VANCE,595,12,424,159
Luzerne,Dallas Township Dist 03,President,,REP,TRUMP / VANCE,707,4,580,123
Luzerne,Dallas Township Dist 04,President,,REP,TRUMP / VANCE,612,6,468,138
Luzerne,Dallas Township Dist 05,President,,REP,TRUMP / VANCE,565,0,467,98
Luzerne,Dennison Township,President,,REP,TRUMP / VANCE,446,0,397,49
Luzerne,Dorrance Township,President,,REP,TRUMP / VANCE,963,6,819,138
Luzerne,Dupont Boro Ward 01,President,,REP,TRUMP / VANCE,582,7,497,78
Luzerne,Dupont Boro Ward 02,President,,REP,TRUMP / VANCE,290,2,238,50
Luzerne,Duryea Boro Ward 01,President,,REP,TRUMP / VANCE,423,6,350,67
Luzerne,Duryea Boro Ward 02,President,,REP,TRUMP / VANCE,833,12,691,130
Luzerne,Duryea Boro Ward 03,President,,REP,TRUMP / VANCE,295,5,238,52
Luzerne,Edwardsville Boro Ward 01,President,,REP,TRUMP / VANCE,470,14,383,73
Luzerne,Edwardsville Boro Ward 02,President,,REP,TRUMP / VANCE,438,7,317,114
Luzerne,Exeter Boro Ward 01,President,,REP,TRUMP / VANCE,361,4,275,82
Luzerne,Exeter Boro Ward 02,President,,REP,TRUMP / VANCE,430,13,350,67
Luzerne,Exeter Boro Ward 03,President,,REP,TRUMP / VANCE,774,11,622,141
Luzerne,Exeter Township,President,,REP,TRUMP / VANCE,890,11,728,151
Luzerne,Fairmount Township,President,,REP,TRUMP / VANCE,533,7,472,54
