county,precinct,office,district,candidate,party,mail,election_day,provisional,votes
Fulton,Ayr Township,General Assembly,78,Under Votes,,37,68,0,105
Fulton,Ayr Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Belfast Township,Registered Voters,,,,,,,964
Fulton,Belfast Township,Ballots Cast,,,,,,,804
Fulton,Belfast Township,President,,KAMALA D HARRIS,DEM,38,47,0,85
Fulton,Belfast Township,President,,DONALD J TRUMP,REP,79,635,0,714
Fulton,Belfast Township,President,,CHASE OLIVER,LIB,0,1,0,1
Fulton,Belfast Township,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Belfast Township,President,,Under Votes,,1,2,0,3
Fulton,Belfast Township,President,,Over Votes,,1,0,0,1
Fulton,Belfast Township,U.S. Senate,,ROBERT P CASEY JR,DEM,38,60,0,98
Fulton,Belfast Township,U.S. Senate,,DAVE MCCORMICK,REP,78,606,0,684
Fulton,Belfast Township,U.S. Senate,,JOHN C THOMAS,LIB,0,5,0,5
Fulton,Belfast Township,U.S. Senate,,LEILA HAZOU,GRN,0,2,0,2
Fulton,Belfast Township,U.S. Senate,,MARTY SELKER,CON,0,3,0,3
Fulton,Belfast Township,U.S. Senate,,Under Votes,,3,8,0,11
Fulton,Belfast Township,U.S. Senate,,Over Votes,,0,1,0,1
Fulton,Belfast Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,37,42,0,79
Fulton,Belfast Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,78,611,0,689
Fulton,Belfast Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,9,0,9
Fulton,Belfast Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,5,0,5
Fulton,Belfast Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,5,0,5
Fulton,Belfast Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,1,0,2
Fulton,Belfast Township,ATTORNEY GENERAL,,Under Votes,,3,12,0,15
Fulton,Belfast Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Belfast Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,34,41,0,75
Fulton,Belfast Township,AUDITOR GENERAL,,TIM DEFOOR,REP,81,605,0,686
Fulton,Belfast Township,AUDITOR GENERAL,,REECE SMITH,LIB,0,11,0,11
Fulton,Belfast Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,2,0,2
Fulton,Belfast Township,AUDITOR GENERAL,,BOB GOODRICH,CON,1,12,0,13
Fulton,Belfast Township,AUDITOR GENERAL,,Under Votes,,3,14,0,17
Fulton,Belfast Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Belfast Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,37,40,0,77
Fulton,Belfast Township,STATE TREASURER,,STACY GARRITY,REP,76,607,0,683
Fulton,Belfast Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,2,7,0,9
Fulton,Belfast Township,STATE TREASURER,,TROY BOWMAN,CON,0,11,0,11
Fulton,Belfast Township,STATE TREASURER,,CHRIS FOSTER,FWD,1,3,0,4
Fulton,Belfast Township,STATE TREASURER,,Under Votes,,3,17,0,20
Fulton,Belfast Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Belfast Township,U.S. House,13,BETH FARNHAM,DEM,33,44,0,77
Fulton,Belfast Township,U.S. House,13,JOHN JOYCE,REP,82,629,0,711
Fulton,Belfast Township,U.S. House,13,Under Votes,,4,12,0,16
Fulton,Belfast Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Belfast Township,General Assembly,78,JESSE TOPPER,REP,93,651,0,744
Fulton,Belfast Township,General Assembly,78,Under Votes,,26,34,0,60
Fulton,Belfast Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Bethel Township,Registered Voters,,,,,,,1050
Fulton,Bethel Township,Ballots Cast,,,,,,,844
Fulton,Bethel Township,President,,KAMALA D HARRIS,DEM,40,65,0,105
Fulton,Bethel Township,President,,DONALD J TRUMP,REP,47,655,0,702
Fulton,Bethel Township,President,,CHASE OLIVER,LIB,0,1,0,1
Fulton,Bethel Township,President,,JILL STEIN,GRN,0,4,0,4
Fulton,Bethel Township,President,,Under Votes,,0,1,0,1
Fulton,Bethel Township,President,,Over Votes,,31,0,0,31
Fulton,Bethel Township,U.S. Senate,,ROBERT P CASEY JR,DEM,51,73,0,124
Fulton,Bethel Township,U.S. Senate,,DAVE MCCORMICK,REP,64,621,0,685
Fulton,Bethel Township,U.S. Senate,,JOHN C THOMAS,LIB,1,12,0,13
Fulton,Bethel Township,U.S. Senate,,LEILA HAZOU,GRN,1,3,0,4
Fulton,Bethel Township,U.S. Senate,,MARTY SELKER,CON,0,6,0,6
Fulton,Bethel Township,U.S. Senate,,Under Votes,,1,10,0,11
Fulton,Bethel Township,U.S. Senate,,Over Votes,,0,1,0,1
Fulton,Bethel Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,49,57,0,106
Fulton,Bethel Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,65,632,0,697
Fulton,Bethel Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,1,8,0,9
Fulton,Bethel Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,4,0,5
Fulton,Bethel Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,1,3,0,4
Fulton,Bethel Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,1,0,2
Fulton,Bethel Township,ATTORNEY GENERAL,,Under Votes,,0,21,0,21
Fulton,Bethel Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Bethel Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,45,55,0,100
Fulton,Bethel Township,AUDITOR GENERAL,,TIM DEFOOR,REP,70,629,0,699
Fulton,Bethel Township,AUDITOR GENERAL,,REECE SMITH,LIB,1,11,0,12
Fulton,Bethel Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,2,0,3
Fulton,Bethel Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,5,0,5
Fulton,Bethel Township,AUDITOR GENERAL,,Under Votes,,1,24,0,25
Fulton,Bethel Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Bethel Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,48,63,0,111
Fulton,Bethel Township,STATE TREASURER,,STACY GARRITY,REP,68,625,0,693
Fulton,Bethel Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,10,0,11
Fulton,Bethel Township,STATE TREASURER,,TROY BOWMAN,CON,0,5,0,5
Fulton,Bethel Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,4,0,4
Fulton,Bethel Township,STATE TREASURER,,Under Votes,,1,19,0,20
Fulton,Bethel Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Bethel Township,U.S. House,13,BETH FARNHAM,DEM,48,64,0,112
Fulton,Bethel Township,U.S. House,13,JOHN JOYCE,REP,69,643,0,712
Fulton,Bethel Township,U.S. House,13,Under Votes,,1,19,0,20
Fulton,Bethel Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Bethel Township,General Assembly,78,JESSE TOPPER,REP,88,666,0,754
Fulton,Bethel Township,General Assembly,78,Under Votes,,30,60,0,90
Fulton,Bethel Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,Registered Voters,,,,,,,534
Fulton,Brush Creek Township,Ballots Cast,,,,,,,435
Fulton,Brush Creek Township,President,,KAMALA D HARRIS,DEM,19,41,0,60
Fulton,Brush Creek Township,President,,DONALD J TRUMP,REP,43,327,0,370
Fulton,Brush Creek Township,President,,CHASE OLIVER,LIB,0,4,0,4
Fulton,Brush Creek Township,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Brush Creek Township,President,,Under Votes,,0,0,0,0
Fulton,Brush Creek Township,President,,Over Votes,,0,1,0,1
Fulton,Brush Creek Township,U.S. Senate,,ROBERT P CASEY JR,DEM,16,42,0,58
Fulton,Brush Creek Township,U.S. Senate,,DAVE MCCORMICK,REP,42,316,0,358
Fulton,Brush Creek Township,U.S. Senate,,JOHN C THOMAS,LIB,1,9,0,10
Fulton,Brush Creek Township,U.S. Senate,,LEILA HAZOU,GRN,1,0,0,1
Fulton,Brush Creek Township,U.S. Senate,,MARTY SELKER,CON,1,1,0,2
Fulton,Brush Creek Township,U.S. Senate,,Under Votes,,1,5,0,6
Fulton,Brush Creek Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,15,43,0,58
Fulton,Brush Creek Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,42,311,0,353
Fulton,Brush Creek Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,2,0,2
Fulton,Brush Creek Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,4,0,4
Fulton,Brush Creek Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,3,0,3
Fulton,Brush Creek Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,0,0,1
Fulton,Brush Creek Township,ATTORNEY GENERAL,,Under Votes,,4,10,0,14
Fulton,Brush Creek Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,15,38,0,53
Fulton,Brush Creek Township,AUDITOR GENERAL,,TIM DEFOOR,REP,42,318,0,360
Fulton,Brush Creek Township,AUDITOR GENERAL,,REECE SMITH,LIB,1,3,0,4
Fulton,Brush Creek Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,0,0,0
Fulton,Brush Creek Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,4,0,4
Fulton,Brush Creek Township,AUDITOR GENERAL,,Under Votes,,4,10,0,14
Fulton,Brush Creek Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,17,42,0,59
Fulton,Brush Creek Township,STATE TREASURER,,STACY GARRITY,REP,41,314,0,355
Fulton,Brush Creek Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,3,0,4
Fulton,Brush Creek Township,STATE TREASURER,,TROY BOWMAN,CON,1,5,0,6
Fulton,Brush Creek Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,0,0,0
Fulton,Brush Creek Township,STATE TREASURER,,Under Votes,,2,9,0,11
Fulton,Brush Creek Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,U.S. House,13,BETH FARNHAM,DEM,17,39,0,56
Fulton,Brush Creek Township,U.S. House,13,JOHN JOYCE,REP,42,325,0,367
Fulton,Brush Creek Township,U.S. House,13,Under Votes,,3,9,0,12
Fulton,Brush Creek Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Brush Creek Township,General Assembly,78,JESSE TOPPER,REP,45,345,0,390
Fulton,Brush Creek Township,General Assembly,78,Under Votes,,17,28,0,45
Fulton,Brush Creek Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Dublin Township,Registered Voters,,,,,,,765
Fulton,Dublin Township,Ballots Cast,,,,,,,645
Fulton,Dublin Township,President,,KAMALA D HARRIS,DEM,20,45,0,65
Fulton,Dublin Township,President,,DONALD J TRUMP,REP,69,508,0,577
Fulton,Dublin Township,President,,CHASE OLIVER,LIB,0,0,0,0
Fulton,Dublin Township,President,,JILL STEIN,GRN,0,0,0,0
Fulton,Dublin Township,President,,Under Votes,,1,2,0,3
Fulton,Dublin Township,President,,Over Votes,,0,0,0,0
Fulton,Dublin Township,U.S. Senate,,ROBERT P CASEY JR,DEM,20,53,0,73
Fulton,Dublin Township,U.S. Senate,,DAVE MCCORMICK,REP,69,489,0,558
Fulton,Dublin Township,U.S. Senate,,JOHN C THOMAS,LIB,0,6,0,6
Fulton,Dublin Township,U.S. Senate,,LEILA HAZOU,GRN,0,1,0,1
Fulton,Dublin Township,U.S. Senate,,MARTY SELKER,CON,0,2,0,2
Fulton,Dublin Township,U.S. Senate,,Under Votes,,1,4,0,5
Fulton,Dublin Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Dublin Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,19,44,0,63
Fulton,Dublin Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,67,486,0,553
Fulton,Dublin Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,1,6,0,7
Fulton,Dublin Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,1,0,1
Fulton,Dublin Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,5,0,5
Fulton,Dublin Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,1,0,1
Fulton,Dublin Township,ATTORNEY GENERAL,,Under Votes,,3,12,0,15
Fulton,Dublin Township,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,Dublin Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,17,39,0,56
Fulton,Dublin Township,AUDITOR GENERAL,,TIM DEFOOR,REP,67,493,0,560
Fulton,Dublin Township,AUDITOR GENERAL,,REECE SMITH,LIB,1,7,0,8
Fulton,Dublin Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,1,1,0,2
Fulton,Dublin Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,3,0,3
Fulton,Dublin Township,AUDITOR GENERAL,,Under Votes,,4,12,0,16
Fulton,Dublin Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Dublin Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,21,39,0,60
Fulton,Dublin Township,STATE TREASURER,,STACY GARRITY,REP,64,494,0,558
Fulton,Dublin Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,1,6,0,7
Fulton,Dublin Township,STATE TREASURER,,TROY BOWMAN,CON,1,5,0,6
Fulton,Dublin Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,1,0,1
Fulton,Dublin Township,STATE TREASURER,,Under Votes,,3,10,0,13
Fulton,Dublin Township,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,Dublin Township,U.S. House,13,BETH FARNHAM,DEM,19,50,0,69
Fulton,Dublin Township,U.S. House,13,JOHN JOYCE,REP,69,497,0,566
Fulton,Dublin Township,U.S. House,13,Under Votes,,2,8,0,10
Fulton,Dublin Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Dublin Township,General Assembly,78,JESSE TOPPER,REP,74,513,0,587
Fulton,Dublin Township,General Assembly,78,Under Votes,,16,42,0,58
Fulton,Dublin Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Licking Creek Township,Registered Voters,,,,,,,1040
Fulton,Licking Creek Township,Ballots Cast,,,,,,,882
Fulton,Licking Creek Township,President,,KAMALA D HARRIS,DEM,38,59,0,97
Fulton,Licking Creek Township,President,,DONALD J TRUMP,REP,94,684,0,778
Fulton,Licking Creek Township,President,,CHASE OLIVER,LIB,1,3,0,4
Fulton,Licking Creek Township,President,,JILL STEIN,GRN,0,1,0,1
Fulton,Licking Creek Township,President,,Under Votes,,0,2,0,2
Fulton,Licking Creek Township,President,,Over Votes,,0,0,0,0
Fulton,Licking Creek Township,U.S. Senate,,ROBERT P CASEY JR,DEM,38,75,0,113
Fulton,Licking Creek Township,U.S. Senate,,DAVE MCCORMICK,REP,91,649,0,740
Fulton,Licking Creek Township,U.S. Senate,,JOHN C THOMAS,LIB,1,8,0,9
Fulton,Licking Creek Township,U.S. Senate,,LEILA HAZOU,GRN,2,0,0,2
Fulton,Licking Creek Township,U.S. Senate,,MARTY SELKER,CON,0,3,0,3
Fulton,Licking Creek Township,U.S. Senate,,Under Votes,,1,14,0,15
Fulton,Licking Creek Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Licking Creek Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,32,60,0,92
Fulton,Licking Creek Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,100,644,0,744
Fulton,Licking Creek Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,10,0,10
Fulton,Licking Creek Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,0,2,0,2
Fulton,Licking Creek Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,0,4,0,4
Fulton,Licking Creek Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Licking Creek Township,ATTORNEY GENERAL,,Under Votes,,1,28,0,29
Fulton,Licking Creek Township,ATTORNEY GENERAL,,Over Votes,,0,1,0,1
Fulton,Licking Creek Township,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,29,61,0,90
Fulton,Licking Creek Township,AUDITOR GENERAL,,TIM DEFOOR,REP,102,637,0,739
Fulton,Licking Creek Township,AUDITOR GENERAL,,REECE SMITH,LIB,1,12,0,13
Fulton,Licking Creek Township,AUDITOR GENERAL,,ERIC K ANTON,ASP,0,2,0,2
Fulton,Licking Creek Township,AUDITOR GENERAL,,BOB GOODRICH,CON,0,7,0,7
Fulton,Licking Creek Township,AUDITOR GENERAL,,Under Votes,,1,30,0,31
Fulton,Licking Creek Township,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,Licking Creek Township,STATE TREASURER,,ERIN MCCLELLAND,DEM,33,61,0,94
Fulton,Licking Creek Township,STATE TREASURER,,STACY GARRITY,REP,99,637,0,736
Fulton,Licking Creek Township,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,0,10,0,10
Fulton,Licking Creek Township,STATE TREASURER,,TROY BOWMAN,CON,0,8,0,8
Fulton,Licking Creek Township,STATE TREASURER,,CHRIS FOSTER,FWD,0,2,0,2
Fulton,Licking Creek Township,STATE TREASURER,,Under Votes,,1,30,0,31
Fulton,Licking Creek Township,STATE TREASURER,,Over Votes,,0,1,0,1
Fulton,Licking Creek Township,U.S. House,13,BETH FARNHAM,DEM,35,56,0,91
Fulton,Licking Creek Township,U.S. House,13,JOHN JOYCE,REP,97,672,0,769
Fulton,Licking Creek Township,U.S. House,13,Under Votes,,1,21,0,22
Fulton,Licking Creek Township,U.S. House,13,Over Votes,,0,0,0,0
Fulton,Licking Creek Township,General Assembly,78,JESSE TOPPER,REP,115,700,0,815
Fulton,Licking Creek Township,General Assembly,78,Under Votes,,18,49,0,67
Fulton,Licking Creek Township,General Assembly,78,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,Registered Voters,,,,,,,661
Fulton,McConnellsburg Borough,Ballots Cast,,,,,,,494
Fulton,McConnellsburg Borough,President,,KAMALA D HARRIS,DEM,42,92,0,134
Fulton,McConnellsburg Borough,President,,DONALD J TRUMP,REP,69,285,0,354
Fulton,McConnellsburg Borough,President,,CHASE OLIVER,LIB,0,3,0,3
Fulton,McConnellsburg Borough,President,,JILL STEIN,GRN,0,1,0,1
Fulton,McConnellsburg Borough,President,,Under Votes,,0,2,0,2
Fulton,McConnellsburg Borough,President,,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,U.S. Senate,,ROBERT P CASEY JR,DEM,39,99,0,138
Fulton,McConnellsburg Borough,U.S. Senate,,DAVE MCCORMICK,REP,69,268,0,337
Fulton,McConnellsburg Borough,U.S. Senate,,JOHN C THOMAS,LIB,0,7,0,7
Fulton,McConnellsburg Borough,U.S. Senate,,LEILA HAZOU,GRN,0,3,0,3
Fulton,McConnellsburg Borough,U.S. Senate,,MARTY SELKER,CON,0,0,0,0
Fulton,McConnellsburg Borough,U.S. Senate,,Under Votes,,3,4,0,7
Fulton,McConnellsburg Borough,U.S. Senate,,Over Votes,,0,2,0,2
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,38,101,0,139
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,DAVE SUNDAY,REP,65,259,0,324
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,0,8,0,8
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,1,1,0,2
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,1,1,0,2
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,1,1,0,2
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,Under Votes,,5,12,0,17
Fulton,McConnellsburg Borough,ATTORNEY GENERAL,,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,MALCOLM KENYATTA,DEM,37,88,0,125
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,TIM DEFOOR,REP,66,265,0,331
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,REECE SMITH,LIB,0,7,0,7
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,ERIC K ANTON,ASP,2,2,0,4
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,BOB GOODRICH,CON,0,5,0,5
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,Under Votes,,6,16,0,22
Fulton,McConnellsburg Borough,AUDITOR GENERAL,,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,STATE TREASURER,,ERIN MCCLELLAND,DEM,38,93,0,131
Fulton,McConnellsburg Borough,STATE TREASURER,,STACY GARRITY,REP,68,266,0,334
Fulton,McConnellsburg Borough,STATE TREASURER,,NICKOLAS CIESIELSKI,LIB,0,6,0,6
Fulton,McConnellsburg Borough,STATE TREASURER,,TROY BOWMAN,CON,0,3,0,3
Fulton,McConnellsburg Borough,STATE TREASURER,,CHRIS FOSTER,FWD,0,1,0,1
Fulton,McConnellsburg Borough,STATE TREASURER,,Under Votes,,5,14,0,19
Fulton,McConnellsburg Borough,STATE TREASURER,,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,U.S. House,13,BETH FARNHAM,DEM,40,88,0,128
Fulton,McConnellsburg Borough,U.S. House,13,JOHN JOYCE,REP,69,286,0,355
Fulton,McConnellsburg Borough,U.S. House,13,Under Votes,,2,9,0,11
Fulton,McConnellsburg Borough,U.S. House,13,Over Votes,,0,0,0,0
Fulton,McConnellsburg Borough,General Assembly,78,JESSE TOPPER,REP,83,332,0,415
Fulton,McConnellsburg Borough,General Assembly,78,Under Votes,,28,51,0,79
Fulton,McConnellsburg Borough,General Assembly,78,Over Votes,,0,0,0,0
Fulton,Taylor Township,Registered Voters,,,,,,,744
Fulton,Taylor Township,Ballots Cast,,,,,,,634
Fulton,Taylor Township,President,,KAMALA D HARRIS,DEM,28,42,0,70
Fulton,Taylor Township,President,,DONALD J TRUMP,REP,86,474,0,560
Fulton,Taylor Township,President,,CHASE OLIVER,LIB,1,0,0,1
Fulton,Taylor Township,President,,JILL STEIN,GRN,0,1,0,1
Fulton,Taylor Township,President,,Under Votes,,1,1,0,2
Fulton,Taylor Township,President,,Over Votes,,0,0,0,0
Fulton,Taylor Township,U.S. Senate,,ROBERT P CASEY JR,DEM,26,46,0,72
Fulton,Taylor Township,U.S. Senate,,DAVE MCCORMICK,REP,85,452,0,537
Fulton,Taylor Township,U.S. Senate,,JOHN C THOMAS,LIB,0,4,0,4
Fulton,Taylor Township,U.S. Senate,,LEILA HAZOU,GRN,4,3,0,7
Fulton,Taylor Township,U.S. Senate,,MARTY SELKER,CON,0,1,0,1
Fulton,Taylor Township,U.S. Senate,,Under Votes,,1,12,0,13
Fulton,Taylor Township,U.S. Senate,,Over Votes,,0,0,0,0
Fulton,Taylor Township,ATTORNEY GENERAL,,EUGENE DEPASQUALE,DEM,26,33,0,59
Fulton,Taylor Township,ATTORNEY GENERAL,,DAVE SUNDAY,REP,84,453,0,537
Fulton,Taylor Township,ATTORNEY GENERAL,,ROBERT COWBURN,LIB,1,7,0,8
Fulton,Taylor Township,ATTORNEY GENERAL,,RICHARD L WEISS,GRN,2,5,0,7
Fulton,Taylor Township,ATTORNEY GENERAL,,JUSTIN L MAGILL,CON,1,1,0,2
Fulton,Taylor Township,ATTORNEY GENERAL,,ERIC L SETTLE,FWD,0,0,0,0
Fulton,Taylor Township,ATTORNEY GENERAL,,Under Votes,,2,19,0,21
