candidate,office,district,party,county,precinct,total votes,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Adams Twp-Dunlo,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Adams Twp-Dunlo,0,
Brent Ottaway,US House,13,DEM,Cambria,Adams Twp-Dunlo,,
John Joyce,US House,13,REP,Cambria,Adams Twp-Dunlo,,
Write In,US House,13,,Cambria,Adams Twp-Dunlo,,
Susan Boser,US House,15,DEM,Cambria,Adams Twp-Dunlo,112,
Glenn Gt Thompson,US House,15,REP,Cambria,Adams Twp-Dunlo,190,
Write In,US House,15,,Cambria,Adams Twp-Dunlo,0,
Bryan Barbin,State House,71,DEM,Cambria,Adams Twp-Dunlo,164,
Jim Rigby,State House,71,REP,Cambria,Adams Twp-Dunlo,141,
Write In,State House,71,,Cambria,Adams Twp-Dunlo,0,
Frank Burns,State House,72,DEM,Cambria,Adams Twp-Dunlo,,
Jerry Carnicella,State House,72,REP,Cambria,Adams Twp-Dunlo,,
Write In,State House,72,,Cambria,Adams Twp-Dunlo,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Adams Twp-Dunlo,,
Write In,State House,73,,Cambria,Adams Twp-Dunlo,,
Bob Casey,U.S. Senate,,DEM,Cambria,Adams Twp-Elton,244,
Lou Barletta,U.S. Senate,,REP,Cambria,Adams Twp-Elton,452,
Neal Gale,U.S. Senate,,GR,Cambria,Adams Twp-Elton,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Adams Twp-Elton,4,
Write In,U.S. Senate,,,Cambria,Adams Twp-Elton,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Adams Twp-Elton,262,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Adams Twp-Elton,436,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Adams Twp-Elton,6,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Adams Twp-Elton,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Adams Twp-Elton,0,
Brent Ottaway,US House,13,DEM,Cambria,Adams Twp-Elton,,
John Joyce,US House,13,REP,Cambria,Adams Twp-Elton,,
Write In,US House,13,,Cambria,Adams Twp-Elton,,
Susan Boser,US House,15,DEM,Cambria,Adams Twp-Elton,209,
Glenn Gt Thompson,US House,15,REP,Cambria,Adams Twp-Elton,496,
Write In,US House,15,,Cambria,Adams Twp-Elton,0,
Bryan Barbin,State House,71,DEM,Cambria,Adams Twp-Elton,293,
Jim Rigby,State House,71,REP,Cambria,Adams Twp-Elton,412,
Write In,State House,71,,Cambria,Adams Twp-Elton,0,
Frank Burns,State House,72,DEM,Cambria,Adams Twp-Elton,,
Jerry Carnicella,State House,72,REP,Cambria,Adams Twp-Elton,,
Write In,State House,72,,Cambria,Adams Twp-Elton,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Adams Twp-Elton,,
Write In,State House,73,,Cambria,Adams Twp-Elton,,
Bob Casey,U.S. Senate,,DEM,Cambria,Adams Twp - Gramlington,127,
Lou Barletta,U.S. Senate,,REP,Cambria,Adams Twp - Gramlington,230,
Neal Gale,U.S. Senate,,GR,Cambria,Adams Twp - Gramlington,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Adams Twp - Gramlington,2,
Write In,U.S. Senate,,,Cambria,Adams Twp - Gramlington,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Adams Twp - Gramlington,134,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Adams Twp - Gramlington,221,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Adams Twp - Gramlington,0,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Adams Twp - Gramlington,5,
Write In,Governor & Lieutenant Governor,,,Cambria,Adams Twp - Gramlington,1,
Brent Ottaway,US House,13,DEM,Cambria,Adams Twp - Gramlington,,
John Joyce,US House,13,REP,Cambria,Adams Twp - Gramlington,,
Write In,US House,13,,Cambria,Adams Twp - Gramlington,,
Susan Boser,US House,15,DEM,Cambria,Adams Twp - Gramlington,99,
Glenn Gt Thompson,US House,15,REP,Cambria,Adams Twp - Gramlington,259,
Write In,US House,15,,Cambria,Adams Twp - Gramlington,1,
Bryan Barbin,State House,71,DEM,Cambria,Adams Twp - Gramlington,151,
Jim Rigby,State House,71,REP,Cambria,Adams Twp - Gramlington,209,
Write In,State House,71,,Cambria,Adams Twp - Gramlington,1,
Frank Burns,State House,72,DEM,Cambria,Adams Twp - Gramlington,,
Jerry Carnicella,State House,72,REP,Cambria,Adams Twp - Gramlington,,
Write In,State House,72,,Cambria,Adams Twp - Gramlington,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Adams Twp - Gramlington,,
Write In,State House,73,,Cambria,Adams Twp - Gramlington,,
Bob Casey,U.S. Senate,,DEM,Cambria,Adams Twp-St Michael,213,
Lou Barletta,U.S. Senate,,REP,Cambria,Adams Twp-St Michael,231,
Neal Gale,U.S. Senate,,GR,Cambria,Adams Twp-St Michael,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Adams Twp-St Michael,1,
Write In,U.S. Senate,,,Cambria,Adams Twp-St Michael,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Adams Twp-St Michael,209,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Adams Twp-St Michael,236,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Adams Twp-St Michael,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Adams Twp-St Michael,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Adams Twp-St Michael,0,
Brent Ottaway,US House,13,DEM,Cambria,Adams Twp-St Michael,,
John Joyce,US House,13,REP,Cambria,Adams Twp-St Michael,,
Write In,US House,13,,Cambria,Adams Twp-St Michael,,
Susan Boser,US House,15,DEM,Cambria,Adams Twp-St Michael,186,
Glenn Gt Thompson,US House,15,REP,Cambria,Adams Twp-St Michael,261,
Write In,US House,15,,Cambria,Adams Twp-St Michael,0,
Bryan Barbin,State House,71,DEM,Cambria,Adams Twp-St Michael,224,
Jim Rigby,State House,71,REP,Cambria,Adams Twp-St Michael,224,
Write In,State House,71,,Cambria,Adams Twp-St Michael,0,
Frank Burns,State House,72,DEM,Cambria,Adams Twp-St Michael,,
Jerry Carnicella,State House,72,REP,Cambria,Adams Twp-St Michael,,
Write In,State House,72,,Cambria,Adams Twp-St Michael,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Adams Twp-St Michael,,
Write In,State House,73,,Cambria,Adams Twp-St Michael,,
Bob Casey,U.S. Senate,,DEM,Cambria,Allegheny Twp,230,
Lou Barletta,U.S. Senate,,REP,Cambria,Allegheny Twp,449,
Neal Gale,U.S. Senate,,GR,Cambria,Allegheny Twp,4,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Allegheny Twp,4,
Write In,U.S. Senate,,,Cambria,Allegheny Twp,1,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Allegheny Twp,234,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Allegheny Twp,448,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Allegheny Twp,7,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Allegheny Twp,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Allegheny Twp,1,
Brent Ottaway,US House,13,DEM,Cambria,Allegheny Twp,,
John Joyce,US House,13,REP,Cambria,Allegheny Twp,,
Write In,US House,13,,Cambria,Allegheny Twp,,
Susan Boser,US House,15,DEM,Cambria,Allegheny Twp,205,
Glenn Gt Thompson,US House,15,REP,Cambria,Allegheny Twp,478,
Write In,US House,15,,Cambria,Allegheny Twp,1,
Bryan Barbin,State House,71,DEM,Cambria,Allegheny Twp,,
Jim Rigby,State House,71,REP,Cambria,Allegheny Twp,,
Write In,State House,71,,Cambria,Allegheny Twp,,
Frank Burns,State House,72,DEM,Cambria,Allegheny Twp,316,
Jerry Carnicella,State House,72,REP,Cambria,Allegheny Twp,370,
Write In,State House,72,,Cambria,Allegheny Twp,4,
Tommy Sankey,State House,73,DEM/REP,Cambria,Allegheny Twp,,
Write In,State House,73,,Cambria,Allegheny Twp,,
Bob Casey,U.S. Senate,,DEM,Cambria,Ashville Boro,41,
Lou Barletta,U.S. Senate,,REP,Cambria,Ashville Boro,52,
Neal Gale,U.S. Senate,,GR,Cambria,Ashville Boro,0,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Ashville Boro,2,
Write In,U.S. Senate,,,Cambria,Ashville Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Ashville Boro,42,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Ashville Boro,52,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Ashville Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Ashville Boro,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Ashville Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Ashville Boro,,
John Joyce,US House,13,REP,Cambria,Ashville Boro,,
Write In,US House,13,,Cambria,Ashville Boro,,
Susan Boser,US House,15,DEM,Cambria,Ashville Boro,36,
Glenn Gt Thompson,US House,15,REP,Cambria,Ashville Boro,59,
Write In,US House,15,,Cambria,Ashville Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Ashville Boro,,
Jim Rigby,State House,71,REP,Cambria,Ashville Boro,,
Write In,State House,71,,Cambria,Ashville Boro,,
Frank Burns,State House,72,DEM,Cambria,Ashville Boro,51,
Jerry Carnicella,State House,72,REP,Cambria,Ashville Boro,42,
Write In,State House,72,,Cambria,Ashville Boro,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Ashville Boro,,
Write In,State House,73,,Cambria,Ashville Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Barr Twp,246,
Lou Barletta,U.S. Senate,,REP,Cambria,Barr Twp,633,
Neal Gale,U.S. Senate,,GR,Cambria,Barr Twp,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Barr Twp,2,
Write In,U.S. Senate,,,Cambria,Barr Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Barr Twp,236,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Barr Twp,642,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Barr Twp,2,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Barr Twp,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Barr Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Barr Twp,,
John Joyce,US House,13,REP,Cambria,Barr Twp,,
Write In,US House,13,,Cambria,Barr Twp,,
Susan Boser,US House,15,DEM,Cambria,Barr Twp,205,
Glenn Gt Thompson,US House,15,REP,Cambria,Barr Twp,673,
Write In,US House,15,,Cambria,Barr Twp,2,
Bryan Barbin,State House,71,DEM,Cambria,Barr Twp,,
Jim Rigby,State House,71,REP,Cambria,Barr Twp,,
Write In,State House,71,,Cambria,Barr Twp,,
Frank Burns,State House,72,DEM,Cambria,Barr Twp,,
Jerry Carnicella,State House,72,REP,Cambria,Barr Twp,,
Write In,State House,72,,Cambria,Barr Twp,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Barr Twp,826,
Write In,State House,73,,Cambria,Barr Twp,9,
Bob Casey,U.S. Senate,,DEM,Cambria,Blacklick Twp,282,
Lou Barletta,U.S. Senate,,REP,Cambria,Blacklick Twp,423,
Neal Gale,U.S. Senate,,GR,Cambria,Blacklick Twp,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Blacklick Twp,5,
Write In,U.S. Senate,,,Cambria,Blacklick Twp,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Blacklick Twp,299,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Blacklick Twp,414,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Blacklick Twp,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Blacklick Twp,2,
Write In,Governor & Lieutenant Governor,,,Cambria,Blacklick Twp,0,
Brent Ottaway,US House,13,DEM,Cambria,Blacklick Twp,,
John Joyce,US House,13,REP,Cambria,Blacklick Twp,,
Write In,US House,13,,Cambria,Blacklick Twp,,
Susan Boser,US House,15,DEM,Cambria,Blacklick Twp,246,
Glenn Gt Thompson,US House,15,REP,Cambria,Blacklick Twp,468,
Write In,US House,15,,Cambria,Blacklick Twp,0,
Bryan Barbin,State House,71,DEM,Cambria,Blacklick Twp,,
Jim Rigby,State House,71,REP,Cambria,Blacklick Twp,,
Write In,State House,71,,Cambria,Blacklick Twp,,
Frank Burns,State House,72,DEM,Cambria,Blacklick Twp,,
Jerry Carnicella,State House,72,REP,Cambria,Blacklick Twp,,
Write In,State House,72,,Cambria,Blacklick Twp,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Blacklick Twp,666,
Write In,State House,73,,Cambria,Blacklick Twp,2,
Bob Casey,U.S. Senate,,DEM,Cambria,Brownstown Boro,161,
Lou Barletta,U.S. Senate,,REP,Cambria,Brownstown Boro,134,
Neal Gale,U.S. Senate,,GR,Cambria,Brownstown Boro,3,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Brownstown Boro,0,
Write In,U.S. Senate,,,Cambria,Brownstown Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Brownstown Boro,157,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Brownstown Boro,140,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Brownstown Boro,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Brownstown Boro,1,
Write In,Governor & Lieutenant Governor,,,Cambria,Brownstown Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Brownstown Boro,137,
John Joyce,US House,13,REP,Cambria,Brownstown Boro,159,
Write In,US House,13,,Cambria,Brownstown Boro,0,
Susan Boser,US House,15,DEM,Cambria,Brownstown Boro,,
Glenn Gt Thompson,US House,15,REP,Cambria,Brownstown Boro,,
Write In,US House,15,,Cambria,Brownstown Boro,,
Bryan Barbin,State House,71,DEM,Cambria,Brownstown Boro,142,
Jim Rigby,State House,71,REP,Cambria,Brownstown Boro,157,
Write In,State House,71,,Cambria,Brownstown Boro,1,
Frank Burns,State House,72,DEM,Cambria,Brownstown Boro,,
Jerry Carnicella,State House,72,REP,Cambria,Brownstown Boro,,
Write In,State House,72,,Cambria,Brownstown Boro,,
Tommy Sankey,State House,73,DEM/REP,Cambria,Brownstown Boro,,
Write In,State House,73,,Cambria,Brownstown Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cambria Twp 1,321,
Lou Barletta,U.S. Senate,,REP,Cambria,Cambria Twp 1,412,
Neal Gale,U.S. Senate,,GR,Cambria,Cambria Twp 1,6,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cambria Twp 1,8,
Write In,U.S. Senate,,,Cambria,Cambria Twp 1,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cambria Twp 1,330,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cambria Twp 1,411,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cambria Twp 1,4,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cambria Twp 1,9,
Write In,Governor & Lieutenant Governor,,,Cambria,Cambria Twp 1,0,
Brent Ottaway,US House,13,DEM,Cambria,Cambria Twp 1,,
John Joyce,US House,13,REP,Cambria,Cambria Twp 1,,
Write In,US House,13,,Cambria,Cambria Twp 1,,
Susan Boser,US House,15,DEM,Cambria,Cambria Twp 1,266,
Glenn Gt Thompson,US House,15,REP,Cambria,Cambria Twp 1,482,
Write In,US House,15,,Cambria,Cambria Twp 1,1,
Bryan Barbin,State House,71,DEM,Cambria,Cambria Twp 1,,
Jim Rigby,State House,71,REP,Cambria,Cambria Twp 1,,
Write In,State House,71,,Cambria,Cambria Twp 1,,
Frank Burns,State House,72,DEM,Cambria,Cambria Twp 1,413,
Jerry Carnicella,State House,72,REP,Cambria,Cambria Twp 1,335,
Write In,State House,72,,Cambria,Cambria Twp 1,2,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cambria Twp 1,,
Write In,State House,73,,Cambria,Cambria Twp 1,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cambria Twp-Colver,204,
Lou Barletta,U.S. Senate,,REP,Cambria,Cambria Twp-Colver,277,
Neal Gale,U.S. Senate,,GR,Cambria,Cambria Twp-Colver,5,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cambria Twp-Colver,3,
Write In,U.S. Senate,,,Cambria,Cambria Twp-Colver,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cambria Twp-Colver,196,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cambria Twp-Colver,287,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cambria Twp-Colver,7,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cambria Twp-Colver,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Cambria Twp-Colver,0,
Brent Ottaway,US House,13,DEM,Cambria,Cambria Twp-Colver,,
John Joyce,US House,13,REP,Cambria,Cambria Twp-Colver,,
Write In,US House,13,,Cambria,Cambria Twp-Colver,,
Susan Boser,US House,15,DEM,Cambria,Cambria Twp-Colver,162,
Glenn Gt Thompson,US House,15,REP,Cambria,Cambria Twp-Colver,325,
Write In,US House,15,,Cambria,Cambria Twp-Colver,1,
Bryan Barbin,State House,71,DEM,Cambria,Cambria Twp-Colver,,
Jim Rigby,State House,71,REP,Cambria,Cambria Twp-Colver,,
Write In,State House,71,,Cambria,Cambria Twp-Colver,,
Frank Burns,State House,72,DEM,Cambria,Cambria Twp-Colver,258,
Jerry Carnicella,State House,72,REP,Cambria,Cambria Twp-Colver,231,
Write In,State House,72,,Cambria,Cambria Twp-Colver,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cambria Twp-Colver,,
Write In,State House,73,,Cambria,Cambria Twp-Colver,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cambria Twp - Revloc,145,
Lou Barletta,U.S. Senate,,REP,Cambria,Cambria Twp - Revloc,168,
Neal Gale,U.S. Senate,,GR,Cambria,Cambria Twp - Revloc,2,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cambria Twp - Revloc,2,
Write In,U.S. Senate,,,Cambria,Cambria Twp - Revloc,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cambria Twp - Revloc,146,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cambria Twp - Revloc,167,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cambria Twp - Revloc,3,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cambria Twp - Revloc,0,
Write In,Governor & Lieutenant Governor,,,Cambria,Cambria Twp - Revloc,0,
Brent Ottaway,US House,13,DEM,Cambria,Cambria Twp - Revloc,,
John Joyce,US House,13,REP,Cambria,Cambria Twp - Revloc,,
Write In,US House,13,,Cambria,Cambria Twp - Revloc,,
Susan Boser,US House,15,DEM,Cambria,Cambria Twp - Revloc,121,
Glenn Gt Thompson,US House,15,REP,Cambria,Cambria Twp - Revloc,192,
Write In,US House,15,,Cambria,Cambria Twp - Revloc,0,
Bryan Barbin,State House,71,DEM,Cambria,Cambria Twp - Revloc,,
Jim Rigby,State House,71,REP,Cambria,Cambria Twp - Revloc,,
Write In,State House,71,,Cambria,Cambria Twp - Revloc,,
Frank Burns,State House,72,DEM,Cambria,Cambria Twp - Revloc,178,
Jerry Carnicella,State House,72,REP,Cambria,Cambria Twp - Revloc,136,
Write In,State House,72,,Cambria,Cambria Twp - Revloc,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cambria Twp - Revloc,,
Write In,State House,73,,Cambria,Cambria Twp - Revloc,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cambria Twp 4,228,
Lou Barletta,U.S. Senate,,REP,Cambria,Cambria Twp 4,372,
Neal Gale,U.S. Senate,,GR,Cambria,Cambria Twp 4,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cambria Twp 4,9,
Write In,U.S. Senate,,,Cambria,Cambria Twp 4,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cambria Twp 4,232,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cambria Twp 4,364,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cambria Twp 4,7,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cambria Twp 4,8,
Write In,Governor & Lieutenant Governor,,,Cambria,Cambria Twp 4,1,
Brent Ottaway,US House,13,DEM,Cambria,Cambria Twp 4,,
John Joyce,US House,13,REP,Cambria,Cambria Twp 4,,
Write In,US House,13,,Cambria,Cambria Twp 4,,
Susan Boser,US House,15,DEM,Cambria,Cambria Twp 4,194,
Glenn Gt Thompson,US House,15,REP,Cambria,Cambria Twp 4,413,
Write In,US House,15,,Cambria,Cambria Twp 4,0,
Bryan Barbin,State House,71,DEM,Cambria,Cambria Twp 4,,
Jim Rigby,State House,71,REP,Cambria,Cambria Twp 4,,
Write In,State House,71,,Cambria,Cambria Twp 4,,
Frank Burns,State House,72,DEM,Cambria,Cambria Twp 4,309,
Jerry Carnicella,State House,72,REP,Cambria,Cambria Twp 4,300,
Write In,State House,72,,Cambria,Cambria Twp 4,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cambria Twp 4,,
Write In,State House,73,,Cambria,Cambria Twp 4,,
Bob Casey,U.S. Senate,,DEM,Cambria,Carroltown Boro,204,
Lou Barletta,U.S. Senate,,REP,Cambria,Carroltown Boro,262,
Neal Gale,U.S. Senate,,GR,Cambria,Carroltown Boro,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Carroltown Boro,2,
Write In,U.S. Senate,,,Cambria,Carroltown Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Carroltown Boro,204,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Carroltown Boro,266,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Carroltown Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Carroltown Boro,4,
Write In,Governor & Lieutenant Governor,,,Cambria,Carroltown Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Carroltown Boro,,
John Joyce,US House,13,REP,Cambria,Carroltown Boro,,
Write In,US House,13,,Cambria,Carroltown Boro,,
Susan Boser,US House,15,DEM,Cambria,Carroltown Boro,179,
Glenn Gt Thompson,US House,15,REP,Cambria,Carroltown Boro,292,
Write In,US House,15,,Cambria,Carroltown Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Carroltown Boro,,
Jim Rigby,State House,71,REP,Cambria,Carroltown Boro,,
Write In,State House,71,,Cambria,Carroltown Boro,,
Frank Burns,State House,72,DEM,Cambria,Carroltown Boro,230,
Jerry Carnicella,State House,72,REP,Cambria,Carroltown Boro,242,
Write In,State House,72,,Cambria,Carroltown Boro,1,
Tommy Sankey,State House,73,DEM/REP,Cambria,Carroltown Boro,,
Write In,State House,73,,Cambria,Carroltown Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Cassandra Boro,34,
Lou Barletta,U.S. Senate,,REP,Cambria,Cassandra Boro,29,
Neal Gale,U.S. Senate,,GR,Cambria,Cassandra Boro,1,
"Dale R. Kerns, Jr. ",U.S. Senate,,LIB,Cambria,Cassandra Boro,1,
Write In,U.S. Senate,,,Cambria,Cassandra Boro,0,
Tom Wolf,Governor & Lieutenant Governor,,DEM,Cambria,Cassandra Boro,29,
Scott R. Wagner,Governor & Lieutenant Governor,,REP,Cambria,Cassandra Boro,32,
Paul Glover,Governor & Lieutenant Governor,,GR,Cambria,Cassandra Boro,1,
Ken V. Krawchuk,Governor & Lieutenant Governor,,LIB,Cambria,Cassandra Boro,3,
Write In,Governor & Lieutenant Governor,,,Cambria,Cassandra Boro,0,
Brent Ottaway,US House,13,DEM,Cambria,Cassandra Boro,,
John Joyce,US House,13,REP,Cambria,Cassandra Boro,,
Write In,US House,13,,Cambria,Cassandra Boro,,
Susan Boser,US House,15,DEM,Cambria,Cassandra Boro,23,
Glenn Gt Thompson,US House,15,REP,Cambria,Cassandra Boro,42,
Write In,US House,15,,Cambria,Cassandra Boro,0,
Bryan Barbin,State House,71,DEM,Cambria,Cassandra Boro,,
Jim Rigby,State House,71,REP,Cambria,Cassandra Boro,,
Write In,State House,71,,Cambria,Cassandra Boro,,
Frank Burns,State House,72,DEM,Cambria,Cassandra Boro,33,
Jerry Carnicella,State House,72,REP,Cambria,Cassandra Boro,32,
Write In,State House,72,,Cambria,Cassandra Boro,0,
Tommy Sankey,State House,73,DEM/REP,Cambria,Cassandra Boro,,
Write In,State House,73,,Cambria,Cassandra Boro,,
Bob Casey,U.S. Senate,,DEM,Cambria,Chest Springs Boro,30,
