county,state_precinct_id,precinct,BOB CASEY JR   2018C0950   DEM,LOU BARLETTA   2018C0510   REP,NEAL GALE   2018C1527   GRN,DALE R KERNS JR   2018C1513   LIB,TOM WOLF   2018C1049   DEM,SCOTT R WAGNER   2018C0493   REP,PAUL GLOVER   2018C1528   GRN,KEN V KRAWCHUK   2018C1514   LIB,SUSAN BOSER   2018C1410   DEM,GLENN GT THOMPSON   2018C1383   REP,JOSEPH A PETRARCA   2018C0382   DEM,JEFF PYLE   2018C1060   REP,LOGAN DELLAFIORA   2018C0426   DEM,JIM STRUZZI   2018C0717   REP,KERITH STRANO TAYLOR   2018C0896   DEM,CRIS DUSH   2018C0328   REP,Daniel Wilson   Write-In    Independent (STH),Scattered   Statewide    (USS),Scattered   Statewide    (GOV),Scattered   15th Congressional     (USC),Scattered   55th Legislative     (STH),Scattered   60th Legislative     (STH),Scattered   62nd Legislative     (STH),Scattered   66th Legislative     (STH)
Indiana,20021,INDIANA 2 1,218,136,9,15,226,131,7,11,218,157,,,201,171,,,2,,,,,,1,
Indiana,20022,INDIANA 2 2,355,223,5,12,376,205,3,9,334,253,,,321,261,,,10,,,,,,1,
Indiana,20031,INDIANA 3 1,359,61,8,6,261,54,13,6,262,67,,,265,62,,,,,,,,,,
Indiana,20032,INDIANA 3 2,412,152,21,13,423,153,15,9,433,163,,,419,172,,,4,,,,,,1,
Indiana,20034,INDIANA 3 4,214,111,4,5,216,107,5,3,194,139,,,184,148,,,1,,1,2,,,1,
Indiana,20040,INDIANA 4,340,187,1,3,346,176,4,5,322,206,,,302,225,,,4,,,2,,,1,
Indiana,26000,MARION CENTER,51,105,0,3,49,107,1,2,37,119,,,,,31,125,,,,1,,,,1
Indiana,27000,MONTGOMERY,176,299,0,4,163,312,3,4,156,324,,,,,129,355,,,,,,,,1
Indiana,23000,NORTH MAHONING,82,296,3,4,82,298,0,5,67,319,,,,,56,329,,,,,,,,
Indiana,28003,PINE 1,92,208,0,2,95,202,0,5,75,225,,,69,229,,,,,,,,,2,
Indiana,28006,PINE 2,78,93,0,1,77,94,1,1,75,97,,,78,94,,,,,,,,,,
Indiana,28009,PINE 3,67,95,2,1,60,104,1,0,63,101,,,65,100,,,,,,,,,,
Indiana,29000,PLUMVILLE,30,61,0,2,32,57,1,4,27,61,,,,,26,66,,,,1,,,,
Indiana,30003,RAYNE,380,774,3,14,365,786,10,9,310,847,,,,,281,883,,,2,7,,,,4
Indiana,31000,SALTSBURG,136,117,1,4,145,111,0,3,119,138,182,,,,,,,1,,2,5,,,
Indiana,32000,SHELOCTA,3,29,0,0,4,28,1,0,5,28,,,5,28,,,,1,,,,,,
Indiana,33000,SMICKSBURG,4,15,0,1,4,17,0,0,4,17,,,,,3,18,,,,,,,,
Indiana,24003,SOUTH MAHONING 1,146,336,1,4,132,346,3,4,123,360,,,,,97,391,,,,,,,,
Indiana,34000,WASHINGTON,201,432,2,6,186,447,4,3,156,486,,,146,487,,,7,,,,,,,
Indiana,25000,WEST MAHONING,28,135,1,1,27,134,3,0,23,141,,,,,18,146,,,,,,,,
Indiana,36003,WEST WHEATFIELD 1,166,213,3,3,167,210,4,2,133,251,,,133,252,,,,,1,,,,,
Indiana,36006,WEST WHEATFIELD 2,154,242,1,4,147,246,2,3,118,281,,,129,268,,,,,,1,,,,
Indiana,37010,WHITE 1,399,523,4,12,423,506,0,7,354,580,,,319,603,,,8,,,1,,,1,
Indiana,37020,WHITE 2,608,714,8,17,641,683,7,13,544,788,,,484,828,,,26,,1,1,,,3,
Indiana,37031,WHITE 3 1,406,401,3,11,427,377,4,9,360,454,,,335,474,,,8,,1,1,,,1,
Indiana,37032,WHITE 3 2,413,387,4,17,421,379,8,9,384,433,,,372,422,,,19,,,2,,,1,
Indiana,37033,WHITE 3 3,387,299,5,10,408,283,4,7,366,333,,,363,331,,,1,,,,,,1,
Indiana,37040,WHITE 4,458,453,3,3,460,443,6,6,403,513,,,369,526,,,25,,1,2,,,,
Indiana,37060,WHITE 6,287,306,3,3,305,290,4,2,243,357,,,231,369,,,,,1,,,,1,
Indiana,38003,YOUNG 1,122,191,1,5,110,202,4,3,106,212,,242,,,,,,,,,,12,,
Indiana,38006,YOUNG 2,41,59,1,0,39,64,1,0,35,65,,71,,,,,,,,,,4,,
Indiana,38009,YOUNG 3,61,97,1,1,58,99,0,3,54,104,,130,,,,,,,,,,,,
