county,precinct,office,district,party,candidate,election_day,absentee,provisional,emergency,votes
Dauphin,"City--10th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,"City--10th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--10th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,"City--10th Ward, 4th Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,0,0,0,0,0
Dauphin,City--11th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,City--12th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,16,0,0,0,16
Dauphin,"City--13th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,"City--13th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,"City--13th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,1,0,0,4
Dauphin,City--14th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,City--15th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,0,0,0,0,0
Dauphin,Berrysburg Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,Dauphin Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,1,0,0,0,1
Dauphin,Elizabethville Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Gratz Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,1,0,0,4
Dauphin,Halifax Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Highspire Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Hummelstown--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,1,0,0,12
Dauphin,Hummelstown--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,18,0,0,0,18
Dauphin,Lykens Borough--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Lykens Borough--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,"Middletown--1st Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,"Middletown--1st Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,1,0,0,9
Dauphin,"Middletown--2nd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,"Middletown--2nd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,"Middletown--3rd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,"Middletown--3rd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Millersburg Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,0,0,0,11
Dauphin,Paxtang Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,0,0,0,15
Dauphin,Penbrook Borough--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Penbrook Borough--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Penbrook Borough--3rd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Penbrook Borough--4th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,Royalton Borough--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Royalton Borough--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,Steelton--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Steelton--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,Steelton--3rd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,1,0,0,7
Dauphin,Steelton--4th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Pillow Borough,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,1,0,0,0,1
Dauphin,Williamstown--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Williamstown--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Conewago Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,1,0,0,11
Dauphin,Conewago Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,Derry Township--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,0,0,0,11
Dauphin,Derry Township--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,0,0,0,3
Dauphin,Derry Township--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Derry Township--4th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Derry Township--5th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Derry Township--6th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,13,0,0,0,13
Dauphin,Derry Township--7th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,16,0,0,0,16
Dauphin,Derry Township--8th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,Derry Township--9th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,Derry Township--10th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,Derry Township--11th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Derry Township--12th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,Derry Township--13th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,2,0,0,8
Dauphin,Derry Township--14th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Derry Township--15th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,20,0,0,0,20
Dauphin,East Hanover Township--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,1,0,0,13
Dauphin,East Hanover Township--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Halifax Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Halifax Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,0,0,0,11
Dauphin,Jackson Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,1,0,0,13
Dauphin,Jefferson Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Londonderry Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,0,0,0,15
Dauphin,Londonderry Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Londonderry Twp--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Lower Paxton Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Lower Paxton Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Lower Paxton Twp--3rd precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,17,1,0,0,18
Dauphin,Lower Paxton Twp--4th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,19,0,0,0,19
Dauphin,Lower Paxton Twp--5th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Lower Paxton Twp--6th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,3,1,0,0,4
Dauphin,Lower Paxton Twp--7th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,16,0,0,0,16
Dauphin,Lower Paxton Twp--8th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,Lower Paxton Twp--9th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Lower Paxton Twp--10th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,1,0,0,7
Dauphin,Lower Paxton Twp--11th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Lower Paxton Twp--12th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,0,0,0,15
Dauphin,Lower Paxton Twp--13th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,Lower Paxton Twp--14th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,5,0,0,0,5
Dauphin,Lower Paxton Twp--15th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Lower Paxton Twp--16th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,1,0,0,16
Dauphin,Lower Paxton Twp--17th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,1,0,0,7
Dauphin,Lower Paxton Twp--18th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,1,0,0,5
Dauphin,Lower Paxton Twp--19th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,1,0,0,10
Dauphin,Lower Paxton Twp--20th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,Lower Paxton Twp--21st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,19,1,0,0,20
Dauphin,Lower Paxton Twp--22nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Lower Paxton Twp--23rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,Lower Paxton Twp--24th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Lower Paxton Twp--25th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,0,0,0,11
Dauphin,Lower Paxton Twp--26th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,1,0,0,13
Dauphin,Lower Paxton Twp--27th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Lower Swatara Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,1,0,0,10
Dauphin,Lower Swatara Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Lower Swatara Twp--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,0,0,0,15
Dauphin,Lower Swatara Twp--4th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,1,0,0,13
Dauphin,Lykens Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Middle Paxton Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,0,0,0,14
Dauphin,Middle Paxton Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Middle Paxton Twp--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Mifflin Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,2,0,0,0,2
Dauphin,Reed Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,Rush Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,0,0,0,0,0
Dauphin,South Hanover Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,13,0,0,0,13
Dauphin,South Hanover Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,24,1,0,0,25
Dauphin,South Hanover Twp--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,21,1,0,0,22
Dauphin,Susquehanna Twp--1st Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,17,2,0,0,19
Dauphin,Susquehanna Twp--2nd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,24,0,0,0,24
Dauphin,Susquehanna Twp--3rd Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,20,1,0,0,21
Dauphin,Susquehanna Twp--4th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Susquehanna Twp--5th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Susquehanna Twp--6th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,16,0,0,0,16
Dauphin,Susquehanna Twp--7th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,13,1,0,0,14
Dauphin,Susquehanna Twp--8th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Susquehanna Twp--9th Ward,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,1,0,0,15
Dauphin,Swatara Township--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,8,0,0,0,8
Dauphin,Swatara Township--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,11,2,0,0,13
Dauphin,Swatara Township--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,Swatara Township--4th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,13,0,0,0,13
Dauphin,Swatara Township--5th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Swatara Township--6th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,15,1,0,0,16
Dauphin,Swatara Township--7th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,14,1,0,0,15
Dauphin,Swatara Township--8th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,30,0,0,0,30
Dauphin,Swatara Township--9th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Swatara Township--10th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,Upper Paxton Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,10,0,0,0,10
Dauphin,Upper Paxton Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,Washington Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,12,0,0,0,12
Dauphin,Wayne Township,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,West Hanover Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,West Hanover Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,West Hanover Twp--3rd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,9,0,0,0,9
Dauphin,West Hanover Twp--4th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,16,0,0,0,16
Dauphin,West Hanover Twp--5th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,West Hanover Twp--6th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,4,0,0,0,4
Dauphin,West Hanover Twp--7th Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,7,0,0,0,7
Dauphin,Wiconisco Twp--1st Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,1,0,0,0,1
Dauphin,Wiconisco Twp--2nd Precinct,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,0,1,0,0,1
Dauphin,Williams Twp,GOVERNOR/LT GOVERNOR,,LIB,Ken V. KRAWCHUK,6,0,0,0,6
Dauphin,"City--1st Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,0,0,0,3
Dauphin,"City--1st Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,6,0,0,0,6
Dauphin,"City--1st Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,0,0,0,3
Dauphin,"City--2nd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,"City--2nd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,City--3rd Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,City--4th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,City--5th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,7,0,0,0,7
Dauphin,City--6th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,5,0,0,0,5
Dauphin,"City--7th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,0,0,0,3
Dauphin,"City--7th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,City--8th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,0,0,0,0,0
Dauphin,"City--9th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,"City--9th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,2,0,0,5
Dauphin,"City--9th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,1,0,0,5
Dauphin,"City--9th Ward, 4th Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,"City--9th Ward, 5th Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,0,0,0,3
Dauphin,"City--10th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,6,1,0,0,7
Dauphin,"City--10th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,"City--10th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,0,0,0,3
Dauphin,"City--10th Ward, 4th Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,City--11th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,8,0,0,0,8
Dauphin,City--12th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,6,0,0,0,6
Dauphin,"City--13th Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,"City--13th Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,"City--13th Ward, 3rd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,City--14th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,8,0,0,0,8
Dauphin,City--15th Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,Berrysburg Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,0,0,0,0,0
Dauphin,Dauphin Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,7,0,0,0,7
Dauphin,Elizabethville Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,Gratz Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,Halifax Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,3,1,0,0,4
Dauphin,Highspire Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,8,0,0,0,8
Dauphin,Hummelstown--1st Precinct,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,8,0,0,0,8
Dauphin,Hummelstown--2nd Precinct,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,9,1,0,0,10
Dauphin,Lykens Borough--1st Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,0,0,0,0,0
Dauphin,Lykens Borough--2nd Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,"Middletown--1st Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,"Middletown--1st Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,7,0,0,0,7
Dauphin,"Middletown--2nd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,6,0,0,0,6
Dauphin,"Middletown--2nd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,"Middletown--3rd Ward, 1st Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,"Middletown--3rd Ward, 2nd Precinct",GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,4,0,0,0,4
Dauphin,Millersburg Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,13,0,0,0,13
Dauphin,Paxtang Borough,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,5,0,0,0,5
Dauphin,Penbrook Borough--1st Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
Dauphin,Penbrook Borough--2nd Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,1,0,0,0,1
Dauphin,Penbrook Borough--3rd Ward,GOVERNOR/LT GOVERNOR,,GRN,Paul  GLOVER,2,0,0,0,2
