county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Perry,0002 BLOOMFIELD BOROUGH,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,3,1,2,0
Perry,0003 BUFFALO TOWNSHIP,,,,Registered Voters,820,,,
Perry,0003 BUFFALO TOWNSHIP,,,,Ballots Cast,546,530,16,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,40,40,0,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,228,220,8,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,GRN,GREEN,1,1,0,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,LIB,LIBERTARIAN,1,1,0,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,,Over Votes,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,STRAIGHT PARTY,,,Under Votes,276,268,8,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,DEM,BOB CASEY JR,135,134,1,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,REP,LOU BARLETTA,386,372,14,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,GRN,NEAL GALE,8,8,0,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,LIB,DALE R. KERNS JR,11,11,0,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,,Write-ins,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,,Over Votes,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,U.S. Senate,,,Under Votes,6,5,1,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,DEM,WOLF / FETTERMAN,166,163,3,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,REP,WAGNER / BARTOS,354,341,13,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,GRN,GLOVER / BOWSER-BOSTICK,5,5,0,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,LIB,KRAWCHUK / SMITH,15,15,0,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Write-ins,1,1,0,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Over Votes,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,GOVERNOR / LIEUTENANT GOVERNOR,,,Under Votes,5,5,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,DEM,MARC FRIEDENBERG,111,110,1,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,REP,TOM MARINO,421,406,15,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Write-ins,1,1,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Over Votes,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN CONGRESS DISTRICT 12,,,Under Votes,13,13,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,DEM,KAREN ANN ANDERSON,96,96,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,REP,MARK K KELLER,447,431,16,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Write-ins,2,2,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Over Votes,0,0,0,0
Perry,0003 BUFFALO TOWNSHIP,REPRESENTATIVE IN THE GENERAL ASSEMBLY DISTRICT 86,,,Under Votes,1,1,0,0
Perry,0004 CARROLL TOWNSHIP,,,,Registered Voters,3356,,,
Perry,0004 CARROLL TOWNSHIP,,,,Ballots Cast,2007,1942,65,0
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,DEM,DEMOCRATIC,225,213,12,0
Perry,0004 CARROLL TOWNSHIP,STRAIGHT PARTY,,REP,REPUBLICAN,914,883,31,0
