candidate,office,district,party,county,precinct,election_day,absentee,provisional,emergency,votes
,Registered Voters,,,Bradford,ALBANY TOWNSHIP,552,552,552,552,552
,Ballots Cast,,,Bradford,ALBANY TOWNSHIP,317,13,0,0,330
,Straight Party,,DEM,Bradford,ALBANY TOWNSHIP,30,2,0,0,32
,Straight Party,,REP,Bradford,ALBANY TOWNSHIP,134,6,0,0,140
,Straight Party,,GRN,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ALBANY TOWNSHIP,96,2,0,0,98
Lou Barletta,U.S. Senate,,REP,Bradford,ALBANY TOWNSHIP,209,10,0,0,219
Neal Gale,U.S. Senate,,GRN,Bradford,ALBANY TOWNSHIP,4,1,0,0,5
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
Write In Votes,U.S. Senate,,,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ALBANY TOWNSHIP,83,4,0,0,87
Wagner/Bartos,Governor,,REP,Bradford,ALBANY TOWNSHIP,224,9,0,0,233
Glover/Bostick,Governor,,GRN,Bradford,ALBANY TOWNSHIP,3,0,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,ALBANY TOWNSHIP,3,0,0,0,3
Write In Votes,Governor,,,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ALBANY TOWNSHIP,86,4,0,0,90
Tom Marino,U.S. House,12,REP,Bradford,ALBANY TOWNSHIP,226,9,0,0,235
Write In Votes,U.S. House,12,,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ALBANY TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,ALBANY TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,ALBANY TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,ALBANY TOWNSHIP,95,4,0,0,99
Tina Pickett,State House,110,REP,Bradford,ALBANY TOWNSHIP,220,9,0,0,229
Write In Votes,State House,110,,Bradford,ALBANY TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,ARMENIA TOWNSHIP,141,141,141,141,141
,Ballots Cast,,,Bradford,ARMENIA TOWNSHIP,83,0,0,0,83
,Straight Party,,DEM,Bradford,ARMENIA TOWNSHIP,5,0,0,0,5
,Straight Party,,REP,Bradford,ARMENIA TOWNSHIP,50,0,0,0,50
,Straight Party,,GRN,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ARMENIA TOWNSHIP,14,0,0,0,14
Lou Barletta,U.S. Senate,,REP,Bradford,ARMENIA TOWNSHIP,64,0,0,0,64
Neal Gale,U.S. Senate,,GRN,Bradford,ARMENIA TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Write In Votes,U.S. Senate,,,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ARMENIA TOWNSHIP,12,0,0,0,12
Wagner/Bartos,Governor,,REP,Bradford,ARMENIA TOWNSHIP,67,0,0,0,67
Glover/Bostick,Governor,,GRN,Bradford,ARMENIA TOWNSHIP,1,0,0,0,1
Krawchuk /Smith,Governor,,LIB,Bradford,ARMENIA TOWNSHIP,2,0,0,0,2
Write In Votes,Governor,,,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ARMENIA TOWNSHIP,11,0,0,0,11
Tom Marino,U.S. House,12,REP,Bradford,ARMENIA TOWNSHIP,68,0,0,0,68
Write In Votes,U.S. House,12,,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ARMENIA TOWNSHIP,7,0,0,0,7
Clint Owlet,State House,68,REP,Bradford,ARMENIA TOWNSHIP,74,0,0,0,74
Write In Votes,State House,68,,Bradford,ARMENIA TOWNSHIP,0,0,0,0,0
Donna Iannone,State House,110,DEM,Bradford,ARMENIA TOWNSHIP,,,,,
Tina Pickett,State House,110,REP,Bradford,ARMENIA TOWNSHIP,,,,,
Write In Votes,State House,110,,Bradford,ARMENIA TOWNSHIP,,,,,
,Registered Voters,,,Bradford,ASYLUM TOWNSHIP,626,626,626,626,626
,Ballots Cast,,,Bradford,ASYLUM TOWNSHIP,340,12,0,0,352
,Straight Party,,DEM,Bradford,ASYLUM TOWNSHIP,38,2,0,0,40
,Straight Party,,REP,Bradford,ASYLUM TOWNSHIP,118,4,0,0,122
,Straight Party,,GRN,Bradford,ASYLUM TOWNSHIP,0,0,0,0,0
,Straight Party,,LIB,Bradford,ASYLUM TOWNSHIP,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ASYLUM TOWNSHIP,114,4,0,0,118
Lou Barletta,U.S. Senate,,REP,Bradford,ASYLUM TOWNSHIP,211,7,0,0,218
Neal Gale,U.S. Senate,,GRN,Bradford,ASYLUM TOWNSHIP,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ASYLUM TOWNSHIP,2,1,0,0,3
Write In Votes,U.S. Senate,,,Bradford,ASYLUM TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ASYLUM TOWNSHIP,117,2,0,0,119
Wagner/Bartos,Governor,,REP,Bradford,ASYLUM TOWNSHIP,219,7,0,0,226
Glover/Bostick,Governor,,GRN,Bradford,ASYLUM TOWNSHIP,3,0,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,ASYLUM TOWNSHIP,0,1,0,0,1
Write In Votes,Governor,,,Bradford,ASYLUM TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ASYLUM TOWNSHIP,112,5,0,0,117
Tom Marino,U.S. House,12,REP,Bradford,ASYLUM TOWNSHIP,215,6,0,0,221
Write In Votes,U.S. House,12,,Bradford,ASYLUM TOWNSHIP,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,ASYLUM TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,ASYLUM TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,ASYLUM TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,ASYLUM TOWNSHIP,98,3,0,0,101
Tina Pickett,State House,110,REP,Bradford,ASYLUM TOWNSHIP,234,9,0,0,243
Write In Votes,State House,110,,Bradford,ASYLUM TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS BOROUGH 1ST,330,330,330,330,330
,Ballots Cast,,,Bradford,ATHENS BOROUGH 1ST,187,11,1,0,199
,Straight Party,,DEM,Bradford,ATHENS BOROUGH 1ST,38,3,0,0,41
,Straight Party,,REP,Bradford,ATHENS BOROUGH 1ST,58,2,1,0,61
,Straight Party,,GRN,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS BOROUGH 1ST,86,5,0,0,91
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS BOROUGH 1ST,96,6,1,0,103
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS BOROUGH 1ST,1,0,0,0,1
Write In Votes,U.S. Senate,,,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS BOROUGH 1ST,85,6,0,0,91
Wagner/Bartos,Governor,,REP,Bradford,ATHENS BOROUGH 1ST,99,3,1,0,103
Glover/Bostick,Governor,,GRN,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS BOROUGH 1ST,2,2,0,0,4
Write In Votes,Governor,,,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS BOROUGH 1ST,75,5,0,0,80
Tom Marino,U.S. House,12,REP,Bradford,ATHENS BOROUGH 1ST,108,6,1,0,115
Write In Votes,U.S. House,12,,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,ATHENS BOROUGH 1ST,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS BOROUGH 1ST,,,,,
Write In Votes,State House,68,,Bradford,ATHENS BOROUGH 1ST,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS BOROUGH 1ST,58,4,0,0,62
Tina Pickett,State House,110,REP,Bradford,ATHENS BOROUGH 1ST,127,7,1,0,135
Write In Votes,State House,110,,Bradford,ATHENS BOROUGH 1ST,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS BOROUGH 2ND,341,341,341,341,341
,Ballots Cast,,,Bradford,ATHENS BOROUGH 2ND,159,6,0,0,165
,Straight Party,,DEM,Bradford,ATHENS BOROUGH 2ND,40,0,0,0,40
,Straight Party,,REP,Bradford,ATHENS BOROUGH 2ND,48,2,0,0,50
,Straight Party,,GRN,Bradford,ATHENS BOROUGH 2ND,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS BOROUGH 2ND,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS BOROUGH 2ND,82,3,0,0,85
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS BOROUGH 2ND,71,3,0,0,74
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS BOROUGH 2ND,0,0,0,0,0
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS BOROUGH 2ND,3,0,0,0,3
Write In Votes,U.S. Senate,,,Bradford,ATHENS BOROUGH 2ND,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS BOROUGH 2ND,75,3,0,0,78
Wagner/Bartos,Governor,,REP,Bradford,ATHENS BOROUGH 2ND,72,3,0,0,75
Glover/Bostick,Governor,,GRN,Bradford,ATHENS BOROUGH 2ND,5,0,0,0,5
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS BOROUGH 2ND,3,0,0,0,3
Write In Votes,Governor,,,Bradford,ATHENS BOROUGH 2ND,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS BOROUGH 2ND,68,1,0,0,69
Tom Marino,U.S. House,12,REP,Bradford,ATHENS BOROUGH 2ND,84,5,0,0,89
Write In Votes,U.S. House,12,,Bradford,ATHENS BOROUGH 2ND,2,0,0,0,2
Carrie Heath,State House,68,DEM,Bradford,ATHENS BOROUGH 2ND,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS BOROUGH 2ND,,,,,
Write In Votes,State House,68,,Bradford,ATHENS BOROUGH 2ND,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS BOROUGH 2ND,55,0,0,0,55
Tina Pickett,State House,110,REP,Bradford,ATHENS BOROUGH 2ND,101,6,0,0,107
Write In Votes,State House,110,,Bradford,ATHENS BOROUGH 2ND,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS BOROUGH 3RD,506,506,506,506,506
,Ballots Cast,,,Bradford,ATHENS BOROUGH 3RD,242,4,1,0,247
,Straight Party,,DEM,Bradford,ATHENS BOROUGH 3RD,51,1,0,0,52
,Straight Party,,REP,Bradford,ATHENS BOROUGH 3RD,91,1,1,0,93
,Straight Party,,GRN,Bradford,ATHENS BOROUGH 3RD,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS BOROUGH 3RD,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS BOROUGH 3RD,96,3,0,0,99
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS BOROUGH 3RD,138,1,1,0,140
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS BOROUGH 3RD,2,0,0,0,2
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS BOROUGH 3RD,3,0,,0,3
Write In Votes,U.S. Senate,,,Bradford,ATHENS BOROUGH 3RD,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS BOROUGH 3RD,97,2,0,0,99
Wagner/Bartos,Governor,,REP,Bradford,ATHENS BOROUGH 3RD,135,1,1,0,137
Glover/Bostick,Governor,,GRN,Bradford,ATHENS BOROUGH 3RD,2,1,0,0,3
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS BOROUGH 3RD,6,0,0,0,6
Write In Votes,Governor,,,Bradford,ATHENS BOROUGH 3RD,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS BOROUGH 3RD,80,2,0,0,82
Tom Marino,U.S. House,12,REP,Bradford,ATHENS BOROUGH 3RD,156,2,1,0,159
Write In Votes,U.S. House,12,,Bradford,ATHENS BOROUGH 3RD,0,0,0,,0
Carrie Heath,State House,68,DEM,Bradford,ATHENS BOROUGH 3RD,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS BOROUGH 3RD,,,,,
Write In Votes,State House,68,,Bradford,ATHENS BOROUGH 3RD,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS BOROUGH 3RD,68,1,0,0,69
Tina Pickett,State House,110,REP,Bradford,ATHENS BOROUGH 3RD,172,3,1,0,176
Write In Votes,State House,110,,Bradford,ATHENS BOROUGH 3RD,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS BOROUGH 4TH,578,578,578,578,578
,Ballots Cast,,,Bradford,ATHENS BOROUGH 4TH,312,15,0,0,327
,Straight Party,,DEM,Bradford,ATHENS BOROUGH 4TH,52,7,0,0,59
,Straight Party,,REP,Bradford,ATHENS BOROUGH 4TH,97,2,0,0,99
,Straight Party,,GRN,Bradford,ATHENS BOROUGH 4TH,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS BOROUGH 4TH,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS BOROUGH 4TH,135,12,0,0,147
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS BOROUGH 4TH,169,3,0,0,172
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS BOROUGH 4TH,1,0,0,0,1
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS BOROUGH 4TH,4,0,0,0,4
Write In Votes,U.S. Senate,,,Bradford,ATHENS BOROUGH 4TH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS BOROUGH 4TH,135,11,0,0,146
Wagner/Bartos,Governor,,REP,Bradford,ATHENS BOROUGH 4TH,168,4,0,0,172
Glover/Bostick,Governor,,GRN,Bradford,ATHENS BOROUGH 4TH,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS BOROUGH 4TH,4,0,0,0,4
Write In Votes,Governor,,,Bradford,ATHENS BOROUGH 4TH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS BOROUGH 4TH,107,10,0,0,117
Tom Marino,U.S. House,12,REP,Bradford,ATHENS BOROUGH 4TH,198,5,0,0,203
Write In Votes,U.S. House,12,,Bradford,ATHENS BOROUGH 4TH,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,ATHENS BOROUGH 4TH,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS BOROUGH 4TH,,,,,
Write In Votes,State House,68,,Bradford,ATHENS BOROUGH 4TH,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS BOROUGH 4TH,88,10,0,0,98
Tina Pickett,State House,110,REP,Bradford,ATHENS BOROUGH 4TH,222,5,0,0,227
Write In Votes,State House,110,,Bradford,ATHENS BOROUGH 4TH,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS TOWNSHIP 1ST,1306,1306,1306,1306,1306
,Ballots Cast,,,Bradford,ATHENS TOWNSHIP 1ST,659,24,1,0,684
,Straight Party,,DEM,Bradford,ATHENS TOWNSHIP 1ST,106,3,0,0,109
,Straight Party,,REP,Bradford,ATHENS TOWNSHIP 1ST,239,10,1,0,250
,Straight Party,,GRN,Bradford,ATHENS TOWNSHIP 1ST,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS TOWNSHIP 1ST,3,0,0,0,3
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS TOWNSHIP 1ST,244,11,0,0,255
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS TOWNSHIP 1ST,384,13,1,0,398
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS TOWNSHIP 1ST,4,0,0,0,4
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS TOWNSHIP 1ST,17,0,0,0,17
Write In Votes,U.S. Senate,,,Bradford,ATHENS TOWNSHIP 1ST,1,0,0,0,1
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS TOWNSHIP 1ST,250,12,0,0,262
Wagner/Bartos,Governor,,REP,Bradford,ATHENS TOWNSHIP 1ST,383,12,1,0,396
Glover/Bostick,Governor,,GRN,Bradford,ATHENS TOWNSHIP 1ST,7,0,0,0,7
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS TOWNSHIP 1ST,14,0,0,0,14
Write In Votes,Governor,,,Bradford,ATHENS TOWNSHIP 1ST,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS TOWNSHIP 1ST,210,11,0,0,221
Tom Marino,U.S. House,12,REP,Bradford,ATHENS TOWNSHIP 1ST,432,13,1,0,446
Write In Votes,U.S. House,12,,Bradford,ATHENS TOWNSHIP 1ST,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,ATHENS TOWNSHIP 1ST,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS TOWNSHIP 1ST,,,,,
Write In Votes,State House,68,,Bradford,ATHENS TOWNSHIP 1ST,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS TOWNSHIP 1ST,168,7,0,0,175
Tina Pickett,State House,110,REP,Bradford,ATHENS TOWNSHIP 1ST,486,17,1,0,504
Write In Votes,State House,110,,Bradford,ATHENS TOWNSHIP 1ST,0,0,0,0,0
,Registered Voters,,,Bradford,ATHENS TOWNSHIP 2ND,1879,1879,1879,1879,1879
,Ballots Cast,,,Bradford,ATHENS TOWNSHIP 2ND,963,64,1,0,1028
,Straight Party,,DEM,Bradford,ATHENS TOWNSHIP 2ND,169,11,0,0,180
,Straight Party,,REP,Bradford,ATHENS TOWNSHIP 2ND,332,15,0,0,347
,Straight Party,,GRN,Bradford,ATHENS TOWNSHIP 2ND,0,0,0,0,0
,Straight Party,,LIB,Bradford,ATHENS TOWNSHIP 2ND,0,0,1,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,ATHENS TOWNSHIP 2ND,406,37,0,0,443
Lou Barletta,U.S. Senate,,REP,Bradford,ATHENS TOWNSHIP 2ND,542,24,0,0,566
Neal Gale,U.S. Senate,,GRN,Bradford,ATHENS TOWNSHIP 2ND,3,2,0,0,5
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,ATHENS TOWNSHIP 2ND,9,0,1,0,10
Write In Votes,U.S. Senate,,,Bradford,ATHENS TOWNSHIP 2ND,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,ATHENS TOWNSHIP 2ND,425,37,0,0,462
Wagner/Bartos,Governor,,REP,Bradford,ATHENS TOWNSHIP 2ND,514,20,0,0,534
Glover/Bostick,Governor,,GRN,Bradford,ATHENS TOWNSHIP 2ND,5,4,0,0,9
Krawchuk /Smith,Governor,,LIB,Bradford,ATHENS TOWNSHIP 2ND,11,1,1,0,13
Write In Votes,Governor,,,Bradford,ATHENS TOWNSHIP 2ND,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,ATHENS TOWNSHIP 2ND,346,36,0,0,382
Tom Marino,U.S. House,12,REP,Bradford,ATHENS TOWNSHIP 2ND,599,27,1,0,627
Write In Votes,U.S. House,12,,Bradford,ATHENS TOWNSHIP 2ND,1,0,0,0,1
Carrie Heath,State House,68,DEM,Bradford,ATHENS TOWNSHIP 2ND,,,,,
Clint Owlet,State House,68,REP,Bradford,ATHENS TOWNSHIP 2ND,,,,,
Write In Votes,State House,68,,Bradford,ATHENS TOWNSHIP 2ND,,,,,
Donna Iannone,State House,110,DEM,Bradford,ATHENS TOWNSHIP 2ND,290,26,0,0,316
Tina Pickett,State House,110,REP,Bradford,ATHENS TOWNSHIP 2ND,661,37,1,0,699
Write In Votes,State House,110,,Bradford,ATHENS TOWNSHIP 2ND,0,0,0,0,0
,Registered Voters,,,Bradford,BURLINGTON BOROUGH,94,94,94,94,94
,Ballots Cast,,,Bradford,BURLINGTON BOROUGH,45,3,0,0,48
,Straight Party,,DEM,Bradford,BURLINGTON BOROUGH,2,2,0,0,4
,Straight Party,,REP,Bradford,BURLINGTON BOROUGH,11,0,0,0,11
,Straight Party,,GRN,Bradford,BURLINGTON BOROUGH,2,0,0,0,2
,Straight Party,,LIB,Bradford,BURLINGTON BOROUGH,1,0,0,0,1
Bob Casey Jr,U.S. Senate,,DEM,Bradford,BURLINGTON BOROUGH,16,2,0,0,18
Lou Barletta,U.S. Senate,,REP,Bradford,BURLINGTON BOROUGH,21,1,0,0,22
Neal Gale,U.S. Senate,,GRN,Bradford,BURLINGTON BOROUGH,3,0,0,0,3
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,BURLINGTON BOROUGH,4,0,0,0,4
Write In Votes,U.S. Senate,,,Bradford,BURLINGTON BOROUGH,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,BURLINGTON BOROUGH,15,2,0,0,17
Wagner/Bartos,Governor,,REP,Bradford,BURLINGTON BOROUGH,25,0,0,0,25
Glover/Bostick,Governor,,GRN,Bradford,BURLINGTON BOROUGH,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,BURLINGTON BOROUGH,2,1,0,0,3
Write In Votes,Governor,,,Bradford,BURLINGTON BOROUGH,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,BURLINGTON BOROUGH,13,2,0,0,15
Tom Marino,U.S. House,12,REP,Bradford,BURLINGTON BOROUGH,28,0,0,0,28
Write In Votes,U.S. House,12,,Bradford,BURLINGTON BOROUGH,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,BURLINGTON BOROUGH,,,,,
Clint Owlet,State House,68,REP,Bradford,BURLINGTON BOROUGH,,,,,
Write In Votes,State House,68,,Bradford,BURLINGTON BOROUGH,,,,,
Donna Iannone,State House,110,DEM,Bradford,BURLINGTON BOROUGH,14,2,0,0,16
Tina Pickett,State House,110,REP,Bradford,BURLINGTON BOROUGH,30,1,0,0,31
Write In Votes,State House,110,,Bradford,BURLINGTON BOROUGH,0,0,0,0,0
,Registered Voters,,,Bradford,BURLINGTON TOWNSHIP,469,469,469,469,469
,Ballots Cast,,,Bradford,BURLINGTON TOWNSHIP,263,12,0,0,275
,Straight Party,,DEM,Bradford,BURLINGTON TOWNSHIP,30,0,0,0,30
,Straight Party,,REP,Bradford,BURLINGTON TOWNSHIP,109,7,0,0,116
,Straight Party,,GRN,Bradford,BURLINGTON TOWNSHIP,1,0,0,0,1
,Straight Party,,LIB,Bradford,BURLINGTON TOWNSHIP,0,0,0,0,0
Bob Casey Jr,U.S. Senate,,DEM,Bradford,BURLINGTON TOWNSHIP,82,3,0,0,85
Lou Barletta,U.S. Senate,,REP,Bradford,BURLINGTON TOWNSHIP,172,9,0,0,181
Neal Gale,U.S. Senate,,GRN,Bradford,BURLINGTON TOWNSHIP,4,0,0,0,4
Dale R Kerns Jr,U.S. Senate,,LIB,Bradford,BURLINGTON TOWNSHIP,3,0,,0,3
Write In Votes,U.S. Senate,,,Bradford,BURLINGTON TOWNSHIP,0,0,0,0,0
Wolf/Fetterman,Governor,,DEM,Bradford,BURLINGTON TOWNSHIP,76,3,0,0,79
Wagner/Bartos,Governor,,REP,Bradford,BURLINGTON TOWNSHIP,172,9,0,0,181
Glover/Bostick,Governor,,GRN,Bradford,BURLINGTON TOWNSHIP,2,0,0,0,2
Krawchuk /Smith,Governor,,LIB,Bradford,BURLINGTON TOWNSHIP,6,0,0,0,6
Write In Votes,Governor,,,Bradford,BURLINGTON TOWNSHIP,0,0,0,0,0
Marc Friedenberg,U.S. House,12,DEM,Bradford,BURLINGTON TOWNSHIP,68,2,0,0,70
Tom Marino,U.S. House,12,REP,Bradford,BURLINGTON TOWNSHIP,184,10,0,0,194
Write In Votes,U.S. House,12,,Bradford,BURLINGTON TOWNSHIP,0,0,0,0,0
Carrie Heath,State House,68,DEM,Bradford,BURLINGTON TOWNSHIP,,,,,
Clint Owlet,State House,68,REP,Bradford,BURLINGTON TOWNSHIP,,,,,
Write In Votes,State House,68,,Bradford,BURLINGTON TOWNSHIP,,,,,
Donna Iannone,State House,110,DEM,Bradford,BURLINGTON TOWNSHIP,62,1,0,0,63
Tina Pickett,State House,110,REP,Bradford,BURLINGTON TOWNSHIP,195,11,0,0,206
Write In Votes,State House,110,,Bradford,BURLINGTON TOWNSHIP,0,0,0,0,0
,Registered Voters,,,Bradford,WEST BURLINGTON TOWNSHIP,322,322,322,322,322
