county,precinct,office,district,party,candidate,votes,absentee,election_day,provisional,emergency
Dauphin,"City--7th Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,City--8th Ward,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,"City--9th Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,"City--9th Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,5,2,3,0,0
Dauphin,"City--9th Ward, 3rd Precinct",Governor,,GRN,Paul GLOVER,5,1,4,0,0
Dauphin,"City--9th Ward, 4th Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,"City--9th Ward, 5th Precinct",Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,"City--10th Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,7,1,6,0,0
Dauphin,"City--10th Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,"City--10th Ward, 3rd Precinct",Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,"City--10th Ward, 4th Precinct",Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,City--11th Ward,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,City--12th Ward,Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,"City--13th Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,"City--13th Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,"City--13th Ward, 3rd Precinct",Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,City--14th Ward,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,City--15th Ward,Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,Berrysburg Borough,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Dauphin Borough,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,Elizabethville Borough,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Gratz Borough,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Halifax Borough,Governor,,GRN,Paul GLOVER,4,1,3,0,0
Dauphin,Highspire Borough,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,Hummelstown--1st Precinct,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,Hummelstown--2nd Precinct,Governor,,GRN,Paul GLOVER,10,1,9,0,0
Dauphin,Lykens Borough--1st Ward,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Lykens Borough--2nd Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,"Middletown--1st Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,"Middletown--1st Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,"Middletown--2nd Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,"Middletown--2nd Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,"Middletown--3rd Ward, 1st Precinct",Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,"Middletown--3rd Ward, 2nd Precinct",Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Millersburg Borough,Governor,,GRN,Paul GLOVER,13,0,13,0,0
Dauphin,Paxtang Borough,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Penbrook Borough--1st Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Penbrook Borough--2nd Ward,Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,Penbrook Borough--3rd Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Penbrook Borough--4th Ward,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Royalton Borough--1st Ward,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Royalton Borough--2nd Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Steelton--1st Ward,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Steelton--2nd Ward,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,Steelton--3rd Ward,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Steelton--4th Ward,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Pillow Borough,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Williamstown--1st Ward,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Williamstown--2nd Ward,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Conewago Twp--1st Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Conewago Twp--2nd Precinct,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Derry Township--1st Precinct,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Derry Township--2nd Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Derry Township--3rd Precinct,Governor,,GRN,Paul GLOVER,1,1,0,0,0
Dauphin,Derry Township--4th Precinct,Governor,,GRN,Paul GLOVER,2,1,1,0,0
Dauphin,Derry Township--5th Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Derry Township--6th Precinct,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Derry Township--7th Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Derry Township--8th Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Derry Township--9th Precinct,Governor,,GRN,Paul GLOVER,3,1,2,0,0
Dauphin,Derry Township--10th Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Derry Township--11th Precinct,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,Derry Township--12th Precinct,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Derry Township--13th Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Derry Township--14th Precinct,Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,Derry Township--15th Precinct,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,East Hanover Township--1st Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,East Hanover Township--2nd Precinct,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,Halifax Twp--1st Precinct,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Halifax Twp--2nd Precinct,Governor,,GRN,Paul GLOVER,6,2,4,0,0
Dauphin,Jackson Township,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,Jefferson Township,Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,Londonderry Twp--1st Precinct,Governor,,GRN,Paul GLOVER,8,0,8,0,0
Dauphin,Londonderry Twp--2nd Precinct,Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,Londonderry Twp--3rd Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Lower Paxton Twp--1st Precinct,Governor,,GRN,Paul GLOVER,5,0,5,0,0
Dauphin,Lower Paxton Twp--2nd Precinct,Governor,,GRN,Paul GLOVER,5,1,4,0,0
Dauphin,Lower Paxton Twp--3rd precinct,Governor,,GRN,Paul GLOVER,10,0,10,0,0
Dauphin,Lower Paxton Twp--4th Precinct,Governor,,GRN,Paul GLOVER,11,0,11,0,0
Dauphin,Lower Paxton Twp--5th Precinct,Governor,,GRN,Paul GLOVER,6,0,6,0,0
Dauphin,Lower Paxton Twp--6th Precinct,Governor,,GRN,Paul GLOVER,8,2,6,0,0
Dauphin,Lower Paxton Twp--7th Precinct,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,Lower Paxton Twp--8th Precinct,Governor,,GRN,Paul GLOVER,6,2,4,0,0
Dauphin,Lower Paxton Twp--9th Precinct,Governor,,GRN,Paul GLOVER,1,0,1,0,0
Dauphin,Lower Paxton Twp--10th Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Lower Paxton Twp--11th Precinct,Governor,,GRN,Paul GLOVER,6,0,5,1,0
Dauphin,Lower Paxton Twp--12th Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Lower Paxton Twp--13th Precinct,Governor,,GRN,Paul GLOVER,9,0,9,0,0
Dauphin,Lower Paxton Twp--14th Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
Dauphin,Lower Paxton Twp--15th Precinct,Governor,,GRN,Paul GLOVER,3,0,3,0,0
Dauphin,Lower Paxton Twp--16th Precinct,Governor,,GRN,Paul GLOVER,12,0,12,0,0
Dauphin,Lower Paxton Twp--17th Precinct,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Lower Paxton Twp--18th Precinct,Governor,,GRN,Paul GLOVER,7,0,7,0,0
Dauphin,Lower Paxton Twp--19th Precinct,Governor,,GRN,Paul GLOVER,6,2,4,0,0
Dauphin,Lower Paxton Twp--20th Precinct,Governor,,GRN,Paul GLOVER,4,0,4,0,0
Dauphin,Lower Paxton Twp--21st Precinct,Governor,,GRN,Paul GLOVER,6,1,5,0,0
Dauphin,Lower Paxton Twp--22nd Precinct,Governor,,GRN,Paul GLOVER,0,0,0,0,0
Dauphin,Lower Paxton Twp--23rd Precinct,Governor,,GRN,Paul GLOVER,2,0,2,0,0
