candidate,office,district,party,county,precinct,votes,election_night,absentee
WRITE-IN,U.S. House,16.0,,Lawrence,0002 NEW CASTLE W1 D2,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0002 NEW CASTLE W1 D2,205,197.0,8.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0002 NEW CASTLE W1 D2,84,80.0,4.0
WRITE-IN,State House,9.0,,Lawrence,0002 NEW CASTLE W1 D2,0,0.0,0.0
,Registered Voters,,,Lawrence,0003 NEW CASTLE W2 D1,822,,
,Ballots Cast,,,Lawrence,0003 NEW CASTLE W2 D1,341,316.0,25.0
,Straight Party,,DEM,Lawrence,0003 NEW CASTLE W2 D1,159,149.0,10.0
,Straight Party,,REP,Lawrence,0003 NEW CASTLE W2 D1,67,60.0,7.0
,Straight Party,,GRN,Lawrence,0003 NEW CASTLE W2 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0003 NEW CASTLE W2 D1,3,3.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0003 NEW CASTLE W2 D1,237,221.0,16.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0003 NEW CASTLE W2 D1,98,89.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0003 NEW CASTLE W2 D1,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0003 NEW CASTLE W2 D1,4,4.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0003 NEW CASTLE W2 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0003 NEW CASTLE W2 D1,229,215.0,14.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0003 NEW CASTLE W2 D1,107,96.0,11.0
PAUL GLOVER,Governor,,GRN,Lawrence,0003 NEW CASTLE W2 D1,1,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0003 NEW CASTLE W2 D1,4,4.0,0.0
WRITE-IN,Governor,,,Lawrence,0003 NEW CASTLE W2 D1,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0003 NEW CASTLE W2 D1,216,204.0,12.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0003 NEW CASTLE W2 D1,116,103.0,13.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0003 NEW CASTLE W2 D1,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0003 NEW CASTLE W2 D1,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0003 NEW CASTLE W2 D1,256,237.0,19.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0003 NEW CASTLE W2 D1,84,78.0,6.0
WRITE-IN,State House,9.0,,Lawrence,0003 NEW CASTLE W2 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0004 NEW CASTLE W2 D2,770,,
,Ballots Cast,,,Lawrence,0004 NEW CASTLE W2 D2,444,423.0,21.0
,Straight Party,,DEM,Lawrence,0004 NEW CASTLE W2 D2,157,155.0,2.0
,Straight Party,,REP,Lawrence,0004 NEW CASTLE W2 D2,113,110.0,3.0
,Straight Party,,GRN,Lawrence,0004 NEW CASTLE W2 D2,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0004 NEW CASTLE W2 D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0004 NEW CASTLE W2 D2,251,240.0,11.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0004 NEW CASTLE W2 D2,179,171.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0004 NEW CASTLE W2 D2,6,6.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0004 NEW CASTLE W2 D2,3,1.0,2.0
WRITE-IN,U.S. Senate,,,Lawrence,0004 NEW CASTLE W2 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0004 NEW CASTLE W2 D2,261,250.0,11.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0004 NEW CASTLE W2 D2,174,164.0,10.0
PAUL GLOVER,Governor,,GRN,Lawrence,0004 NEW CASTLE W2 D2,4,4.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0004 NEW CASTLE W2 D2,1,1.0,0.0
WRITE-IN,Governor,,,Lawrence,0004 NEW CASTLE W2 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0004 NEW CASTLE W2 D2,243,234.0,9.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0004 NEW CASTLE W2 D2,190,179.0,11.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0004 NEW CASTLE W2 D2,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0004 NEW CASTLE W2 D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0004 NEW CASTLE W2 D2,279,262.0,17.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0004 NEW CASTLE W2 D2,156,152.0,4.0
WRITE-IN,State House,9.0,,Lawrence,0004 NEW CASTLE W2 D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0005 NEW CASTLE W2 D3,709,,
,Ballots Cast,,,Lawrence,0005 NEW CASTLE W2 D3,431,412.0,19.0
,Straight Party,,DEM,Lawrence,0005 NEW CASTLE W2 D3,111,105.0,6.0
,Straight Party,,REP,Lawrence,0005 NEW CASTLE W2 D3,115,111.0,4.0
,Straight Party,,GRN,Lawrence,0005 NEW CASTLE W2 D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0005 NEW CASTLE W2 D3,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0005 NEW CASTLE W2 D3,224,216.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0005 NEW CASTLE W2 D3,192,183.0,9.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0005 NEW CASTLE W2 D3,1,0.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0005 NEW CASTLE W2 D3,6,5.0,1.0
WRITE-IN,U.S. Senate,,,Lawrence,0005 NEW CASTLE W2 D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0005 NEW CASTLE W2 D3,232,224.0,8.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0005 NEW CASTLE W2 D3,191,181.0,10.0
PAUL GLOVER,Governor,,GRN,Lawrence,0005 NEW CASTLE W2 D3,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0005 NEW CASTLE W2 D3,2,2.0,0.0
WRITE-IN,Governor,,,Lawrence,0005 NEW CASTLE W2 D3,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0005 NEW CASTLE W2 D3,211,204.0,7.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0005 NEW CASTLE W2 D3,210,200.0,10.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0005 NEW CASTLE W2 D3,6,4.0,2.0
WRITE-IN,U.S. House,16.0,,Lawrence,0005 NEW CASTLE W2 D3,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0005 NEW CASTLE W2 D3,249,239.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0005 NEW CASTLE W2 D3,175,166.0,9.0
WRITE-IN,State House,9.0,,Lawrence,0005 NEW CASTLE W2 D3,0,0.0,0.0
,Registered Voters,,,Lawrence,0006 NEW CASTLE W2 D4,777,,
,Ballots Cast,,,Lawrence,0006 NEW CASTLE W2 D4,425,405.0,19.0
,Straight Party,,DEM,Lawrence,0006 NEW CASTLE W2 D4,149,141.0,7.0
,Straight Party,,REP,Lawrence,0006 NEW CASTLE W2 D4,98,96.0,2.0
,Straight Party,,GRN,Lawrence,0006 NEW CASTLE W2 D4,2,1.0,1.0
,Straight Party,,LIB,Lawrence,0006 NEW CASTLE W2 D4,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0006 NEW CASTLE W2 D4,240,229.0,10.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0006 NEW CASTLE W2 D4,175,167.0,8.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0006 NEW CASTLE W2 D4,2,1.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0006 NEW CASTLE W2 D4,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0006 NEW CASTLE W2 D4,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0006 NEW CASTLE W2 D4,246,235.0,10.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0006 NEW CASTLE W2 D4,167,159.0,8.0
PAUL GLOVER,Governor,,GRN,Lawrence,0006 NEW CASTLE W2 D4,3,2.0,1.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0006 NEW CASTLE W2 D4,7,7.0,0.0
WRITE-IN,Governor,,,Lawrence,0006 NEW CASTLE W2 D4,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0006 NEW CASTLE W2 D4,223,212.0,10.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0006 NEW CASTLE W2 D4,192,184.0,8.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0006 NEW CASTLE W2 D4,4,4.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0006 NEW CASTLE W2 D4,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0006 NEW CASTLE W2 D4,269,256.0,12.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0006 NEW CASTLE W2 D4,149,144.0,5.0
WRITE-IN,State House,9.0,,Lawrence,0006 NEW CASTLE W2 D4,1,1.0,0.0
,Registered Voters,,,Lawrence,0007 NEW CASTLE W2 D5,1000,,
,Ballots Cast,,,Lawrence,0007 NEW CASTLE W2 D5,641,620.0,20.0
,Straight Party,,DEM,Lawrence,0007 NEW CASTLE W2 D5,196,191.0,5.0
,Straight Party,,REP,Lawrence,0007 NEW CASTLE W2 D5,137,133.0,4.0
,Straight Party,,GRN,Lawrence,0007 NEW CASTLE W2 D5,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0007 NEW CASTLE W2 D5,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0007 NEW CASTLE W2 D5,360,350.0,10.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0007 NEW CASTLE W2 D5,267,256.0,10.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0007 NEW CASTLE W2 D5,1,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0007 NEW CASTLE W2 D5,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0007 NEW CASTLE W2 D5,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0007 NEW CASTLE W2 D5,376,365.0,11.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0007 NEW CASTLE W2 D5,258,248.0,9.0
PAUL GLOVER,Governor,,GRN,Lawrence,0007 NEW CASTLE W2 D5,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0007 NEW CASTLE W2 D5,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0007 NEW CASTLE W2 D5,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0007 NEW CASTLE W2 D5,349,339.0,10.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0007 NEW CASTLE W2 D5,282,271.0,10.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0007 NEW CASTLE W2 D5,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0007 NEW CASTLE W2 D5,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0007 NEW CASTLE W2 D5,410,399.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0007 NEW CASTLE W2 D5,220,211.0,9.0
WRITE-IN,State House,9.0,,Lawrence,0007 NEW CASTLE W2 D5,0,0.0,0.0
,Registered Voters,,,Lawrence,0008 NEW CASTLE W3 D1,660,,
,Ballots Cast,,,Lawrence,0008 NEW CASTLE W3 D1,256,248.0,8.0
,Straight Party,,DEM,Lawrence,0008 NEW CASTLE W3 D1,102,98.0,4.0
,Straight Party,,REP,Lawrence,0008 NEW CASTLE W3 D1,54,54.0,0.0
,Straight Party,,GRN,Lawrence,0008 NEW CASTLE W3 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0008 NEW CASTLE W3 D1,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0008 NEW CASTLE W3 D1,156,149.0,7.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0008 NEW CASTLE W3 D1,97,96.0,1.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0008 NEW CASTLE W3 D1,2,2.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0008 NEW CASTLE W3 D1,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0008 NEW CASTLE W3 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0008 NEW CASTLE W3 D1,159,152.0,7.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0008 NEW CASTLE W3 D1,90,89.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0008 NEW CASTLE W3 D1,2,2.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0008 NEW CASTLE W3 D1,3,3.0,0.0
WRITE-IN,Governor,,,Lawrence,0008 NEW CASTLE W3 D1,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0008 NEW CASTLE W3 D1,145,139.0,6.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0008 NEW CASTLE W3 D1,106,104.0,2.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0008 NEW CASTLE W3 D1,3,3.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0008 NEW CASTLE W3 D1,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0008 NEW CASTLE W3 D1,178,171.0,7.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0008 NEW CASTLE W3 D1,76,75.0,1.0
WRITE-IN,State House,9.0,,Lawrence,0008 NEW CASTLE W3 D1,1,1.0,0.0
,Registered Voters,,,Lawrence,0009 NEW CASTLE W3 D2,692,,
,Ballots Cast,,,Lawrence,0009 NEW CASTLE W3 D2,335,321.0,13.0
,Straight Party,,DEM,Lawrence,0009 NEW CASTLE W3 D2,137,134.0,3.0
,Straight Party,,REP,Lawrence,0009 NEW CASTLE W3 D2,68,65.0,2.0
,Straight Party,,GRN,Lawrence,0009 NEW CASTLE W3 D2,2,1.0,1.0
,Straight Party,,LIB,Lawrence,0009 NEW CASTLE W3 D2,0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0009 NEW CASTLE W3 D2,228,220.0,8.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0009 NEW CASTLE W3 D2,103,98.0,4.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0009 NEW CASTLE W3 D2,3,2.0,1.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0009 NEW CASTLE W3 D2,1,1.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0009 NEW CASTLE W3 D2,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0009 NEW CASTLE W3 D2,227,218.0,9.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0009 NEW CASTLE W3 D2,103,99.0,3.0
PAUL GLOVER,Governor,,GRN,Lawrence,0009 NEW CASTLE W3 D2,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0009 NEW CASTLE W3 D2,2,1.0,1.0
WRITE-IN,Governor,,,Lawrence,0009 NEW CASTLE W3 D2,0,0.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0009 NEW CASTLE W3 D2,219,211.0,8.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0009 NEW CASTLE W3 D2,111,106.0,4.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0009 NEW CASTLE W3 D2,2,1.0,1.0
WRITE-IN,U.S. House,16.0,,Lawrence,0009 NEW CASTLE W3 D2,0,0.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0009 NEW CASTLE W3 D2,247,236.0,10.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0009 NEW CASTLE W3 D2,82,79.0,3.0
WRITE-IN,State House,9.0,,Lawrence,0009 NEW CASTLE W3 D2,2,2.0,0.0
,Registered Voters,,,Lawrence,0010 NEW CASTLE W4 D1,728,,
,Ballots Cast,,,Lawrence,0010 NEW CASTLE W4 D1,309,303.0,6.0
,Straight Party,,DEM,Lawrence,0010 NEW CASTLE W4 D1,121,117.0,4.0
,Straight Party,,REP,Lawrence,0010 NEW CASTLE W4 D1,61,60.0,1.0
,Straight Party,,GRN,Lawrence,0010 NEW CASTLE W4 D1,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0010 NEW CASTLE W4 D1,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0010 NEW CASTLE W4 D1,198,194.0,4.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0010 NEW CASTLE W4 D1,105,103.0,2.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0010 NEW CASTLE W4 D1,0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0010 NEW CASTLE W4 D1,3,3.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0010 NEW CASTLE W4 D1,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0010 NEW CASTLE W4 D1,204,199.0,5.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0010 NEW CASTLE W4 D1,97,96.0,1.0
PAUL GLOVER,Governor,,GRN,Lawrence,0010 NEW CASTLE W4 D1,0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0010 NEW CASTLE W4 D1,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0010 NEW CASTLE W4 D1,1,1.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0010 NEW CASTLE W4 D1,192,188.0,4.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0010 NEW CASTLE W4 D1,110,108.0,2.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0010 NEW CASTLE W4 D1,2,2.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0010 NEW CASTLE W4 D1,2,2.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0010 NEW CASTLE W4 D1,223,218.0,5.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0010 NEW CASTLE W4 D1,85,84.0,1.0
WRITE-IN,State House,9.0,,Lawrence,0010 NEW CASTLE W4 D1,0,0.0,0.0
,Registered Voters,,,Lawrence,0011 NEW CASTLE W4 D2,822,,
,Ballots Cast,,,Lawrence,0011 NEW CASTLE W4 D2,398,378.0,19.0
,Straight Party,,DEM,Lawrence,0011 NEW CASTLE W4 D2,147,135.0,12.0
,Straight Party,,REP,Lawrence,0011 NEW CASTLE W4 D2,94,93.0,1.0
,Straight Party,,GRN,Lawrence,0011 NEW CASTLE W4 D2,1,1.0,0.0
,Straight Party,,LIB,Lawrence,0011 NEW CASTLE W4 D2,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0011 NEW CASTLE W4 D2,236,221.0,15.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0011 NEW CASTLE W4 D2,150,146.0,3.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0011 NEW CASTLE W4 D2,4,4.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0011 NEW CASTLE W4 D2,2,2.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0011 NEW CASTLE W4 D2,1,1.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0011 NEW CASTLE W4 D2,243,228.0,15.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0011 NEW CASTLE W4 D2,141,138.0,2.0
PAUL GLOVER,Governor,,GRN,Lawrence,0011 NEW CASTLE W4 D2,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0011 NEW CASTLE W4 D2,5,4.0,1.0
WRITE-IN,Governor,,,Lawrence,0011 NEW CASTLE W4 D2,2,2.0,0.0
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0011 NEW CASTLE W4 D2,215,202.0,13.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0011 NEW CASTLE W4 D2,166,160.0,5.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0011 NEW CASTLE W4 D2,6,6.0,0.0
WRITE-IN,U.S. House,16.0,,Lawrence,0011 NEW CASTLE W4 D2,1,1.0,0.0
CHRIS SAINATO,State House,9.0,DEM,Lawrence,0011 NEW CASTLE W4 D2,261,244.0,163.0
GREGORY MICHALEK,State House,9.0,REP,Lawrence,0011 NEW CASTLE W4 D2,127,125.0,2.0
WRITE-IN,State House,9.0,,Lawrence,0011 NEW CASTLE W4 D2,1,1.0,0.0
,Registered Voters,,,Lawrence,0012 NEW CASTLE W4 D3,932,,
,Ballots Cast,,,Lawrence,0012 NEW CASTLE W4 D3,473,451.0,22.0
,Straight Party,,DEM,Lawrence,0012 NEW CASTLE W4 D3,186,178.0,8.0
,Straight Party,,REP,Lawrence,0012 NEW CASTLE W4 D3,110,108.0,2.0
,Straight Party,,GRN,Lawrence,0012 NEW CASTLE W4 D3,0,0.0,0.0
,Straight Party,,LIB,Lawrence,0012 NEW CASTLE W4 D3,1,1.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Lawrence,0012 NEW CASTLE W4 D3,272,257.0,15.0
LOU BARLETTA,U.S. Senate,,REP,Lawrence,0012 NEW CASTLE W4 D3,187,180.0,7.0
NEAL GALE,U.S. Senate,,GRN,Lawrence,0012 NEW CASTLE W4 D3,3,3.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Lawrence,0012 NEW CASTLE W4 D3,6,6.0,0.0
WRITE-IN,U.S. Senate,,,Lawrence,0012 NEW CASTLE W4 D3,0,0.0,0.0
TOM WOLF,Governor,,DEM,Lawrence,0012 NEW CASTLE W4 D3,292,277.0,15.0
SCOTT R WAGNER,Governor,,REP,Lawrence,0012 NEW CASTLE W4 D3,171,164.0,7.0
PAUL GLOVER,Governor,,GRN,Lawrence,0012 NEW CASTLE W4 D3,3,3.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Lawrence,0012 NEW CASTLE W4 D3,5,5.0,0.0
WRITE-IN,Governor,,,Lawrence,0012 NEW CASTLE W4 D3,0,0.0,
RON DINICOLA,U.S. House,16.0,DEM,Lawrence,0012 NEW CASTLE W4 D3,276,262.0,14.0
MIKE KELLY,U.S. House,16.0,REP,Lawrence,0012 NEW CASTLE W4 D3,188,180.0,8.0
EBERT G BILL BEEMAN,U.S. House,16.0,LIB,Lawrence,0012 NEW CASTLE W4 D3,6,6.0,0.0
