county,precinct,office,district,candidate,party,votes,absentee,election_day,emergency,provisional,federal
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Ken V Krawchuk,LIB,9,0,9,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. House,14,Bibiana Boerio,DEM,170,2,168,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. House,14,Guy Reschenthaler,REP,322,10,312,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,State House,54,Jon McCabe,DEM,171,1,170,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,State House,54,Bob Brooks,REP,322,11,311,0,0,0
Westmoreland,0212 ALLEGHENY TWP - NO 4,State House,54,Write-ins,,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,,,Registered Voters,,526,,,,,
Westmoreland,0215 ALLEGHENY TWP - NO 5,,,Ballots Cast,,326,15,311,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Democratic,DEM,86,8,78,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Republican,REP,117,6,111,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Straight Party,,Libertarian,LIB,1,0,1,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Bob Casey Jr,DEM,154,8,146,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Lou Barletta,REP,169,7,162,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Neal Gale,GRN,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Dale R Kerns Jr,LIB,3,0,3,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Tom Wolf,DEM,158,9,149,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Scott R Wagner,REP,164,6,158,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Ken V Krawchuk,LIB,4,0,4,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. House,14,Bibiana Boerio,DEM,139,9,130,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. House,14,Guy Reschenthaler,REP,185,6,179,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,State House,54,Jon McCabe,DEM,148,8,140,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,State House,54,Bob Brooks,REP,177,7,170,0,0,0
Westmoreland,0215 ALLEGHENY TWP - NO 5,State House,54,Write-ins,,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,,,Registered Voters,,361,,,,,
Westmoreland,0311 ARNOLD - 1-1,,,Ballots Cast,,128,2,126,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Democratic,DEM,73,1,72,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Republican,REP,24,0,24,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Straight Party,,Libertarian,LIB,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Bob Casey Jr,DEM,91,2,89,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Lou Barletta,REP,31,0,31,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Neal Gale,GRN,2,0,2,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Dale R Kerns Jr,LIB,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Tom Wolf,DEM,96,2,94,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Scott R Wagner,REP,30,0,30,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Ken V Krawchuk,LIB,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. House,14,Bibiana Boerio,DEM,90,1,89,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. House,14,Guy Reschenthaler,REP,35,1,34,0,0,0
Westmoreland,0311 ARNOLD - 1-1,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0311 ARNOLD - 1-1,State House,33,Frank Dermody,DEM,92,1,91,0,0,0
Westmoreland,0311 ARNOLD - 1-1,State House,33,Joshua R Nulph,REP,34,1,33,0,0,0
Westmoreland,0311 ARNOLD - 1-1,State House,33,Write-ins,,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,,,Registered Voters,,339,,,,,
Westmoreland,0312 ARNOLD - 1-2,,,Ballots Cast,,127,0,127,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Democratic,DEM,85,0,85,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Republican,REP,16,0,16,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Green Party,GRN,2,0,2,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Straight Party,,Libertarian,LIB,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Bob Casey Jr,DEM,104,0,104,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Lou Barletta,REP,20,0,20,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Neal Gale,GRN,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Dale R Kerns Jr,LIB,3,0,3,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Tom Wolf,DEM,103,0,103,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Scott R Wagner,REP,21,0,21,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Ken V Krawchuk,LIB,3,0,3,0,0,0
Westmoreland,0312 ARNOLD - 1-2,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. House,14,Bibiana Boerio,DEM,101,0,101,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. House,14,Guy Reschenthaler,REP,24,0,24,0,0,0
Westmoreland,0312 ARNOLD - 1-2,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0312 ARNOLD - 1-2,State House,33,Frank Dermody,DEM,101,0,101,0,0,0
Westmoreland,0312 ARNOLD - 1-2,State House,33,Joshua R Nulph,REP,25,0,25,0,0,0
Westmoreland,0312 ARNOLD - 1-2,State House,33,Write-ins,,0,0,0,0,0,0
Westmoreland,0321 ARNOLD - 2-1,,,Registered Voters,,605,,,,,
Westmoreland,0321 ARNOLD - 2-1,,,Ballots Cast,,306,11,295,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Democratic,DEM,121,7,114,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Republican,REP,70,1,69,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Straight Party,,Libertarian,LIB,2,0,2,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Bob Casey Jr,DEM,185,9,176,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Lou Barletta,REP,110,2,108,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Neal Gale,GRN,1,0,1,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Dale R Kerns Jr,LIB,5,0,5,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. Senate,,Write-ins,,1,0,1,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Tom Wolf,DEM,189,9,180,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Scott R Wagner,REP,109,2,107,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Paul Glover,GRN,0,0,0,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Ken V Krawchuk,LIB,4,0,4,0,0,0
Westmoreland,0321 ARNOLD - 2-1,Governor,,Write-ins,,2,0,2,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. House,14,Bibiana Boerio,DEM,177,8,169,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. House,14,Guy Reschenthaler,REP,119,2,117,0,0,0
Westmoreland,0321 ARNOLD - 2-1,U.S. House,14,Write-ins,,1,0,1,0,0,0
Westmoreland,0321 ARNOLD - 2-1,State House,33,Frank Dermody,DEM,184,8,176,0,0,0
Westmoreland,0321 ARNOLD - 2-1,State House,33,Joshua R Nulph,REP,118,3,115,0,0,0
Westmoreland,0321 ARNOLD - 2-1,State House,33,Write-ins,,1,0,1,0,0,0
Westmoreland,0322 ARNOLD - 2-2,,,Registered Voters,,755,,,,,
Westmoreland,0322 ARNOLD - 2-2,,,Ballots Cast,,361,11,350,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Democratic,DEM,146,11,135,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Republican,REP,72,0,72,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Green Party,GRN,1,0,1,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Straight Party,,Libertarian,LIB,2,0,2,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Bob Casey Jr,DEM,237,11,226,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Lou Barletta,REP,110,0,110,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Neal Gale,GRN,4,0,4,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Dale R Kerns Jr,LIB,6,0,6,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Governor,,Tom Wolf,DEM,237,11,226,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Governor,,Scott R Wagner,REP,112,0,112,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Governor,,Paul Glover,GRN,5,0,5,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Governor,,Ken V Krawchuk,LIB,4,0,4,0,0,0
Westmoreland,0322 ARNOLD - 2-2,Governor,,Write-ins,,1,0,1,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. House,14,Bibiana Boerio,DEM,219,11,208,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. House,14,Guy Reschenthaler,REP,137,0,137,0,0,0
Westmoreland,0322 ARNOLD - 2-2,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0322 ARNOLD - 2-2,State House,33,Frank Dermody,DEM,233,11,222,0,0,0
Westmoreland,0322 ARNOLD - 2-2,State House,33,Joshua R Nulph,REP,125,0,125,0,0,0
Westmoreland,0322 ARNOLD - 2-2,State House,33,Write-ins,,0,0,0,0,0,0
Westmoreland,0323 ARNOLD - 2-3,,,Registered Voters,,814,,,,,
Westmoreland,0323 ARNOLD - 2-3,,,Ballots Cast,,357,14,343,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Democratic,DEM,140,7,133,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Republican,REP,74,3,71,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Green Party,GRN,1,0,1,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Straight Party,,Libertarian,LIB,0,0,0,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Bob Casey Jr,DEM,229,10,219,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Lou Barletta,REP,111,4,107,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Neal Gale,GRN,3,0,3,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Dale R Kerns Jr,LIB,6,0,6,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Governor,,Tom Wolf,DEM,240,10,230,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Governor,,Scott R Wagner,REP,109,3,106,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Governor,,Paul Glover,GRN,2,0,2,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Governor,,Ken V Krawchuk,LIB,3,1,2,0,0,0
Westmoreland,0323 ARNOLD - 2-3,Governor,,Write-ins,,0,0,0,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. House,14,Bibiana Boerio,DEM,222,9,213,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. House,14,Guy Reschenthaler,REP,132,5,127,0,0,0
Westmoreland,0323 ARNOLD - 2-3,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0323 ARNOLD - 2-3,State House,33,Frank Dermody,DEM,228,10,218,0,0,0
Westmoreland,0323 ARNOLD - 2-3,State House,33,Joshua R Nulph,REP,129,4,125,0,0,0
Westmoreland,0323 ARNOLD - 2-3,State House,33,Write-ins,,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,,,Registered Voters,,217,,,,,
Westmoreland,0400 ARONA BOROUGH,,,Ballots Cast,,114,5,109,0,0,0
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Democratic,DEM,19,1,18,0,0,0
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Republican,REP,41,0,41,0,0,0
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Green Party,GRN,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,Straight Party,,Libertarian,LIB,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Bob Casey Jr,DEM,46,2,44,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Lou Barletta,REP,61,2,59,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Neal Gale,GRN,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Dale R Kerns Jr,LIB,5,1,4,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. Senate,,Write-ins,,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,Governor,,Tom Wolf,DEM,48,1,47,0,0,0
Westmoreland,0400 ARONA BOROUGH,Governor,,Scott R Wagner,REP,62,3,59,0,0,0
Westmoreland,0400 ARONA BOROUGH,Governor,,Paul Glover,GRN,2,0,2,0,0,0
Westmoreland,0400 ARONA BOROUGH,Governor,,Ken V Krawchuk,LIB,1,1,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,Governor,,Write-ins,,1,0,1,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. House,14,Bibiana Boerio,DEM,36,1,35,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. House,14,Guy Reschenthaler,REP,76,4,72,0,0,0
Westmoreland,0400 ARONA BOROUGH,U.S. House,14,Write-ins,,0,0,0,0,0,0
Westmoreland,0400 ARONA BOROUGH,State House,58,Mary Popovich,DEM,34,2,32,0,0,0
