county,precinct,precinct_name,party,office,district,candidate,votes
Centre,2,02 BELLEFONTE NORTHEAST,LIB,STRAIGHT PARTY,,LIBERTARIAN,3.0
Centre,2,02 BELLEFONTE NORTHEAST,DEM,U.S. Senate,,"BOB CASEY, JR",308.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,U.S. Senate,,LOU BARLETTA,309.0
Centre,2,02 BELLEFONTE NORTHEAST,GRN,U.S. Senate,,NEAL GALE,5.0
Centre,2,02 BELLEFONTE NORTHEAST,LIB,U.S. Senate,,"DALE R KERNS, JR",11.0
Centre,2,02 BELLEFONTE NORTHEAST,,U.S. Senate,,WRITE-INS,0.0
Centre,2,02 BELLEFONTE NORTHEAST,DEM,Governor,,TOM WOLF,325.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,Governor,,SCOTT R WAGNER,287.0
Centre,2,02 BELLEFONTE NORTHEAST,GRN,Governor,,PAUL GLOVER,6.0
Centre,2,02 BELLEFONTE NORTHEAST,LIB,Governor,,KEN V KRAWCHUK,15.0
Centre,2,02 BELLEFONTE NORTHEAST,,Governor,,WRITE-INS,0.0
Centre,2,02 BELLEFONTE NORTHEAST,DEM,U.S. House,15.0,SUSAN BOSER,265.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,U.S. House,15.0,GLENN GT THOMPSON,370.0
Centre,2,02 BELLEFONTE NORTHEAST,,U.S. House,15.0,WRITE-INS,0.0
Centre,2,02 BELLEFONTE NORTHEAST,DEM,State Senate,34.0,EZRA NANES,265.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,State Senate,34.0,JACOB D CORMAN III,366.0
Centre,2,02 BELLEFONTE NORTHEAST,,State Senate,34.0,WRITE-INS,0.0
Centre,2,02 BELLEFONTE NORTHEAST,DEM,State House,171.0,ERIN MCCRACKEN,234.0
Centre,2,02 BELLEFONTE NORTHEAST,REP,State House,171.0,KERRY A BENNINGHOFF,399.0
Centre,2,02 BELLEFONTE NORTHEAST,,State House,171.0,WRITE-INS,1.0
Centre,3,03 BELLEFONTE SOUTH,,Registered Voters,,,685.0
Centre,3,03 BELLEFONTE SOUTH,,Ballots Cast,,,364.0
Centre,3,03 BELLEFONTE SOUTH,,VOTER TURNOUT - TOTAL,,,
Centre,3,03 BELLEFONTE SOUTH,DEM,STRAIGHT PARTY,,DEMOCRATIC,86.0
Centre,3,03 BELLEFONTE SOUTH,REP,STRAIGHT PARTY,,REPUBLICAN,57.0
Centre,3,03 BELLEFONTE SOUTH,GRN,STRAIGHT PARTY,,GREEN,1.0
Centre,3,03 BELLEFONTE SOUTH,LIB,STRAIGHT PARTY,,LIBERTARIAN,1.0
Centre,3,03 BELLEFONTE SOUTH,DEM,U.S. Senate,,"BOB CASEY, JR",222.0
Centre,3,03 BELLEFONTE SOUTH,REP,U.S. Senate,,LOU BARLETTA,127.0
Centre,3,03 BELLEFONTE SOUTH,GRN,U.S. Senate,,NEAL GALE,5.0
Centre,3,03 BELLEFONTE SOUTH,LIB,U.S. Senate,,"DALE R KERNS, JR",8.0
Centre,3,03 BELLEFONTE SOUTH,,U.S. Senate,,WRITE-INS,1.0
Centre,3,03 BELLEFONTE SOUTH,DEM,Governor,,TOM WOLF,214.0
Centre,3,03 BELLEFONTE SOUTH,REP,Governor,,SCOTT R WAGNER,129.0
Centre,3,03 BELLEFONTE SOUTH,GRN,Governor,,PAUL GLOVER,6.0
Centre,3,03 BELLEFONTE SOUTH,LIB,Governor,,KEN V KRAWCHUK,12.0
Centre,3,03 BELLEFONTE SOUTH,,Governor,,WRITE-INS,0.0
Centre,3,03 BELLEFONTE SOUTH,DEM,U.S. House,15.0,SUSAN BOSER,196.0
Centre,3,03 BELLEFONTE SOUTH,REP,U.S. House,15.0,GLENN GT THOMPSON,164.0
Centre,3,03 BELLEFONTE SOUTH,,U.S. House,15.0,WRITE-INS,0.0
Centre,3,03 BELLEFONTE SOUTH,DEM,State Senate,34.0,EZRA NANES,195.0
Centre,3,03 BELLEFONTE SOUTH,REP,State Senate,34.0,JACOB D CORMAN III,159.0
Centre,3,03 BELLEFONTE SOUTH,,State Senate,34.0,WRITE-INS,2.0
Centre,3,03 BELLEFONTE SOUTH,DEM,State House,171.0,ERIN MCCRACKEN,175.0
Centre,3,03 BELLEFONTE SOUTH,REP,State House,171.0,KERRY A BENNINGHOFF,184.0
Centre,3,03 BELLEFONTE SOUTH,,State House,171.0,WRITE-INS,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,,Registered Voters,,,976.0
Centre,4,04 BELLEFONTE SOUTHEAST,,Ballots Cast,,,631.0
Centre,4,04 BELLEFONTE SOUTHEAST,,VOTER TURNOUT - TOTAL,,,
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,STRAIGHT PARTY,,DEMOCRATIC,123.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,STRAIGHT PARTY,,REPUBLICAN,172.0
Centre,4,04 BELLEFONTE SOUTHEAST,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,LIB,STRAIGHT PARTY,,LIBERTARIAN,2.0
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,U.S. Senate,,"BOB CASEY, JR",299.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,U.S. Senate,,LOU BARLETTA,303.0
Centre,4,04 BELLEFONTE SOUTHEAST,GRN,U.S. Senate,,NEAL GALE,8.0
Centre,4,04 BELLEFONTE SOUTHEAST,LIB,U.S. Senate,,"DALE R KERNS, JR",13.0
Centre,4,04 BELLEFONTE SOUTHEAST,,U.S. Senate,,WRITE-INS,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,Governor,,TOM WOLF,318.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,Governor,,SCOTT R WAGNER,288.0
Centre,4,04 BELLEFONTE SOUTHEAST,GRN,Governor,,PAUL GLOVER,8.0
Centre,4,04 BELLEFONTE SOUTHEAST,LIB,Governor,,KEN V KRAWCHUK,15.0
Centre,4,04 BELLEFONTE SOUTHEAST,,Governor,,WRITE-INS,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,U.S. House,15.0,SUSAN BOSER,266.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,U.S. House,15.0,GLENN GT THOMPSON,355.0
Centre,4,04 BELLEFONTE SOUTHEAST,,U.S. House,15.0,WRITE-INS,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,State Senate,34.0,EZRA NANES,266.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,State Senate,34.0,JACOB D CORMAN III,363.0
Centre,4,04 BELLEFONTE SOUTHEAST,,State Senate,34.0,WRITE-INS,0.0
Centre,4,04 BELLEFONTE SOUTHEAST,DEM,State House,171.0,ERIN MCCRACKEN,230.0
Centre,4,04 BELLEFONTE SOUTHEAST,REP,State House,171.0,KERRY A BENNINGHOFF,397.0
Centre,4,04 BELLEFONTE SOUTHEAST,,State House,171.0,WRITE-INS,0.0
Centre,5,05 BELLEFONTE WEST,,Registered Voters,,,1390.0
Centre,5,05 BELLEFONTE WEST,,Ballots Cast,,,800.0
Centre,5,05 BELLEFONTE WEST,,VOTER TURNOUT - TOTAL,,,
Centre,5,05 BELLEFONTE WEST,DEM,STRAIGHT PARTY,,DEMOCRATIC,261.0
Centre,5,05 BELLEFONTE WEST,REP,STRAIGHT PARTY,,REPUBLICAN,173.0
Centre,5,05 BELLEFONTE WEST,GRN,STRAIGHT PARTY,,GREEN,1.0
Centre,5,05 BELLEFONTE WEST,LIB,STRAIGHT PARTY,,LIBERTARIAN,6.0
Centre,5,05 BELLEFONTE WEST,DEM,U.S. Senate,,"BOB CASEY, JR",488.0
Centre,5,05 BELLEFONTE WEST,REP,U.S. Senate,,LOU BARLETTA,271.0
Centre,5,05 BELLEFONTE WEST,GRN,U.S. Senate,,NEAL GALE,10.0
Centre,5,05 BELLEFONTE WEST,LIB,U.S. Senate,,"DALE R KERNS, JR",18.0
Centre,5,05 BELLEFONTE WEST,,U.S. Senate,,WRITE-INS,3.0
Centre,5,05 BELLEFONTE WEST,DEM,Governor,,TOM WOLF,502.0
Centre,5,05 BELLEFONTE WEST,REP,Governor,,SCOTT R WAGNER,261.0
Centre,5,05 BELLEFONTE WEST,GRN,Governor,,PAUL GLOVER,7.0
Centre,5,05 BELLEFONTE WEST,LIB,Governor,,KEN V KRAWCHUK,23.0
Centre,5,05 BELLEFONTE WEST,,Governor,,WRITE-INS,0.0
Centre,5,05 BELLEFONTE WEST,DEM,U.S. House,15.0,SUSAN BOSER,469.0
Centre,5,05 BELLEFONTE WEST,REP,U.S. House,15.0,GLENN GT THOMPSON,325.0
Centre,5,05 BELLEFONTE WEST,,U.S. House,15.0,WRITE-INS,1.0
Centre,5,05 BELLEFONTE WEST,DEM,State Senate,34.0,EZRA NANES,461.0
Centre,5,05 BELLEFONTE WEST,REP,State Senate,34.0,JACOB D CORMAN III,331.0
Centre,5,05 BELLEFONTE WEST,,State Senate,34.0,WRITE-INS,1.0
Centre,5,05 BELLEFONTE WEST,DEM,State House,171.0,ERIN MCCRACKEN,418.0
Centre,5,05 BELLEFONTE WEST,REP,State House,171.0,KERRY A BENNINGHOFF,374.0
Centre,5,05 BELLEFONTE WEST,,State House,171.0,WRITE-INS,0.0
Centre,6,06 CENTRE HALL,,Registered Voters,,,855.0
Centre,6,06 CENTRE HALL,,Ballots Cast,,,576.0
Centre,6,06 CENTRE HALL,,VOTER TURNOUT - TOTAL,,,
Centre,6,06 CENTRE HALL,DEM,STRAIGHT PARTY,,DEMOCRATIC,83.0
Centre,6,06 CENTRE HALL,REP,STRAIGHT PARTY,,REPUBLICAN,182.0
Centre,6,06 CENTRE HALL,GRN,STRAIGHT PARTY,,GREEN,1.0
Centre,6,06 CENTRE HALL,LIB,STRAIGHT PARTY,,LIBERTARIAN,1.0
Centre,6,06 CENTRE HALL,DEM,U.S. Senate,,"BOB CASEY, JR",253.0
Centre,6,06 CENTRE HALL,REP,U.S. Senate,,LOU BARLETTA,305.0
Centre,6,06 CENTRE HALL,GRN,U.S. Senate,,NEAL GALE,2.0
Centre,6,06 CENTRE HALL,LIB,U.S. Senate,,"DALE R KERNS, JR",12.0
Centre,6,06 CENTRE HALL,,U.S. Senate,,WRITE-INS,1.0
Centre,6,06 CENTRE HALL,DEM,Governor,,TOM WOLF,244.0
Centre,6,06 CENTRE HALL,REP,Governor,,SCOTT R WAGNER,314.0
Centre,6,06 CENTRE HALL,GRN,Governor,,PAUL GLOVER,6.0
Centre,6,06 CENTRE HALL,LIB,Governor,,KEN V KRAWCHUK,8.0
Centre,6,06 CENTRE HALL,,Governor,,WRITE-INS,1.0
Centre,6,06 CENTRE HALL,DEM,U.S. House,12.0,MARC FRIEDENBERG,218.0
Centre,6,06 CENTRE HALL,REP,U.S. House,12.0,TOM MARINO,350.0
Centre,6,06 CENTRE HALL,,U.S. House,12.0,WRITE-INS,2.0
Centre,6,06 CENTRE HALL,DEM,State Senate,34.0,EZRA NANES,193.0
Centre,6,06 CENTRE HALL,REP,State Senate,34.0,JACOB D CORMAN III,379.0
Centre,6,06 CENTRE HALL,,State Senate,34.0,WRITE-INS,1.0
Centre,6,06 CENTRE HALL,DEM,State House,171.0,ERIN MCCRACKEN,167.0
Centre,6,06 CENTRE HALL,REP,State House,171.0,KERRY A BENNINGHOFF,407.0
Centre,6,06 CENTRE HALL,,State House,171.0,WRITE-INS,0.0
Centre,7,07 HOWARD BORO,,Registered Voters,,,463.0
Centre,7,07 HOWARD BORO,,Ballots Cast,,,312.0
Centre,7,07 HOWARD BORO,,VOTER TURNOUT - TOTAL,,,
Centre,7,07 HOWARD BORO,DEM,STRAIGHT PARTY,,DEMOCRATIC,46.0
Centre,7,07 HOWARD BORO,REP,STRAIGHT PARTY,,REPUBLICAN,92.0
Centre,7,07 HOWARD BORO,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,7,07 HOWARD BORO,LIB,STRAIGHT PARTY,,LIBERTARIAN,1.0
Centre,7,07 HOWARD BORO,DEM,U.S. Senate,,"BOB CASEY, JR",137.0
Centre,7,07 HOWARD BORO,REP,U.S. Senate,,LOU BARLETTA,165.0
Centre,7,07 HOWARD BORO,GRN,U.S. Senate,,NEAL GALE,3.0
Centre,7,07 HOWARD BORO,LIB,U.S. Senate,,"DALE R KERNS, JR",6.0
Centre,7,07 HOWARD BORO,,U.S. Senate,,WRITE-INS,0.0
Centre,7,07 HOWARD BORO,DEM,Governor,,TOM WOLF,137.0
Centre,7,07 HOWARD BORO,REP,Governor,,SCOTT R WAGNER,166.0
Centre,7,07 HOWARD BORO,GRN,Governor,,PAUL GLOVER,2.0
Centre,7,07 HOWARD BORO,LIB,Governor,,KEN V KRAWCHUK,3.0
Centre,7,07 HOWARD BORO,,Governor,,WRITE-INS,0.0
Centre,7,07 HOWARD BORO,DEM,U.S. House,15.0,SUSAN BOSER,106.0
Centre,7,07 HOWARD BORO,REP,U.S. House,15.0,GLENN GT THOMPSON,205.0
Centre,7,07 HOWARD BORO,,U.S. House,15.0,WRITE-INS,0.0
Centre,7,07 HOWARD BORO,DEM,State Senate,34.0,EZRA NANES,103.0
Centre,7,07 HOWARD BORO,REP,State Senate,34.0,JACOB D CORMAN III,207.0
Centre,7,07 HOWARD BORO,,State Senate,34.0,WRITE-INS,0.0
Centre,7,07 HOWARD BORO,DEM,State House,76.0,MIKE HANNA,141.0
Centre,7,07 HOWARD BORO,REP,State House,76.0,STEPHANIE BOROWICZ,171.0
Centre,7,07 HOWARD BORO,,State House,76.0,WRITE-INS,0.0
Centre,8,08 MILESBURG,,Registered Voters,,,672.0
Centre,8,08 MILESBURG,,Ballots Cast,,,400.0
Centre,8,08 MILESBURG,,VOTER TURNOUT - TOTAL,,,
Centre,8,08 MILESBURG,DEM,STRAIGHT PARTY,,DEMOCRATIC,61.0
Centre,8,08 MILESBURG,REP,STRAIGHT PARTY,,REPUBLICAN,125.0
Centre,8,08 MILESBURG,GRN,STRAIGHT PARTY,,GREEN,1.0
Centre,8,08 MILESBURG,LIB,STRAIGHT PARTY,,LIBERTARIAN,0.0
Centre,8,08 MILESBURG,DEM,U.S. Senate,,"BOB CASEY, JR",187.0
Centre,8,08 MILESBURG,REP,U.S. Senate,,LOU BARLETTA,204.0
Centre,8,08 MILESBURG,GRN,U.S. Senate,,NEAL GALE,2.0
Centre,8,08 MILESBURG,LIB,U.S. Senate,,"DALE R KERNS, JR",5.0
Centre,8,08 MILESBURG,,U.S. Senate,,WRITE-INS,0.0
Centre,8,08 MILESBURG,DEM,Governor,,TOM WOLF,159.0
Centre,8,08 MILESBURG,REP,Governor,,SCOTT R WAGNER,232.0
Centre,8,08 MILESBURG,GRN,Governor,,PAUL GLOVER,3.0
Centre,8,08 MILESBURG,LIB,Governor,,KEN V KRAWCHUK,3.0
Centre,8,08 MILESBURG,,Governor,,WRITE-INS,0.0
Centre,8,08 MILESBURG,DEM,U.S. House,15.0,SUSAN BOSER,117.0
Centre,8,08 MILESBURG,REP,U.S. House,15.0,GLENN GT THOMPSON,281.0
Centre,8,08 MILESBURG,,U.S. House,15.0,WRITE-INS,0.0
Centre,8,08 MILESBURG,DEM,State Senate,34.0,EZRA NANES,129.0
Centre,8,08 MILESBURG,REP,State Senate,34.0,JACOB D CORMAN III,267.0
Centre,8,08 MILESBURG,,State Senate,34.0,WRITE-INS,0.0
Centre,8,08 MILESBURG,DEM,State House,76.0,MIKE HANNA,210.0
Centre,8,08 MILESBURG,REP,State House,76.0,STEPHANIE BOROWICZ,188.0
Centre,8,08 MILESBURG,,State House,76.0,WRITE-INS,0.0
Centre,9,09 MILLHEIM,,Registered Voters,,,551.0
Centre,9,09 MILLHEIM,,Ballots Cast,,,376.0
Centre,9,09 MILLHEIM,,VOTER TURNOUT - TOTAL,,,
Centre,9,09 MILLHEIM,DEM,STRAIGHT PARTY,,DEMOCRATIC,58.0
Centre,9,09 MILLHEIM,REP,STRAIGHT PARTY,,REPUBLICAN,87.0
Centre,9,09 MILLHEIM,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,9,09 MILLHEIM,LIB,STRAIGHT PARTY,,LIBERTARIAN,0.0
Centre,9,09 MILLHEIM,DEM,U.S. Senate,,"BOB CASEY, JR",200.0
Centre,9,09 MILLHEIM,REP,U.S. Senate,,LOU BARLETTA,164.0
Centre,9,09 MILLHEIM,GRN,U.S. Senate,,NEAL GALE,7.0
Centre,9,09 MILLHEIM,LIB,U.S. Senate,,"DALE R KERNS, JR",4.0
Centre,9,09 MILLHEIM,,U.S. Senate,,WRITE-INS,0.0
Centre,9,09 MILLHEIM,DEM,Governor,,TOM WOLF,188.0
Centre,9,09 MILLHEIM,REP,Governor,,SCOTT R WAGNER,179.0
Centre,9,09 MILLHEIM,GRN,Governor,,PAUL GLOVER,3.0
Centre,9,09 MILLHEIM,LIB,Governor,,KEN V KRAWCHUK,6.0
Centre,9,09 MILLHEIM,,Governor,,WRITE-INS,0.0
Centre,9,09 MILLHEIM,DEM,U.S. House,12.0,MARC FRIEDENBERG,175.0
Centre,9,09 MILLHEIM,REP,U.S. House,12.0,TOM MARINO,197.0
Centre,9,09 MILLHEIM,,U.S. House,12.0,WRITE-INS,0.0
Centre,9,09 MILLHEIM,DEM,State Senate,34.0,EZRA NANES,157.0
Centre,9,09 MILLHEIM,REP,State Senate,34.0,JACOB D CORMAN III,216.0
Centre,9,09 MILLHEIM,,State Senate,34.0,WRITE-INS,0.0
Centre,9,09 MILLHEIM,DEM,State House,171.0,ERIN MCCRACKEN,125.0
Centre,9,09 MILLHEIM,REP,State House,171.0,KERRY A BENNINGHOFF,249.0
Centre,9,09 MILLHEIM,,State House,171.0,WRITE-INS,0.0
Centre,10,10 PHILIPSBURG 1ST WARD,,Registered Voters,,,574.0
Centre,10,10 PHILIPSBURG 1ST WARD,,Ballots Cast,,,372.0
Centre,10,10 PHILIPSBURG 1ST WARD,,VOTER TURNOUT - TOTAL,,,
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,STRAIGHT PARTY,,DEMOCRATIC,63.0
Centre,10,10 PHILIPSBURG 1ST WARD,REP,STRAIGHT PARTY,,REPUBLICAN,92.0
Centre,10,10 PHILIPSBURG 1ST WARD,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,10,10 PHILIPSBURG 1ST WARD,LIB,STRAIGHT PARTY,,LIBERTARIAN,0.0
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,U.S. Senate,,"BOB CASEY, JR",183.0
Centre,10,10 PHILIPSBURG 1ST WARD,REP,U.S. Senate,,LOU BARLETTA,180.0
Centre,10,10 PHILIPSBURG 1ST WARD,GRN,U.S. Senate,,NEAL GALE,2.0
Centre,10,10 PHILIPSBURG 1ST WARD,LIB,U.S. Senate,,"DALE R KERNS, JR",5.0
Centre,10,10 PHILIPSBURG 1ST WARD,,U.S. Senate,,WRITE-INS,0.0
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,Governor,,TOM WOLF,195.0
Centre,10,10 PHILIPSBURG 1ST WARD,REP,Governor,,SCOTT R WAGNER,168.0
Centre,10,10 PHILIPSBURG 1ST WARD,GRN,Governor,,PAUL GLOVER,1.0
Centre,10,10 PHILIPSBURG 1ST WARD,LIB,Governor,,KEN V KRAWCHUK,4.0
Centre,10,10 PHILIPSBURG 1ST WARD,,Governor,,WRITE-INS,1.0
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,U.S. House,15.0,SUSAN BOSER,146.0
Centre,10,10 PHILIPSBURG 1ST WARD,REP,U.S. House,15.0,GLENN GT THOMPSON,224.0
Centre,10,10 PHILIPSBURG 1ST WARD,,U.S. House,15.0,WRITE-INS,1.0
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,State Senate,34.0,EZRA NANES,151.0
Centre,10,10 PHILIPSBURG 1ST WARD,REP,State Senate,34.0,JACOB D CORMAN III,217.0
Centre,10,10 PHILIPSBURG 1ST WARD,,State Senate,34.0,WRITE-INS,1.0
Centre,10,10 PHILIPSBURG 1ST WARD,DEM,State House,77.0,H SCOTT CONKLIN,275.0
Centre,10,10 PHILIPSBURG 1ST WARD,,State House,77.0,WRITE-INS,15.0
Centre,11,11 PHILIPSBURG 2ND WARD,,Registered Voters,,,588.0
Centre,11,11 PHILIPSBURG 2ND WARD,,Ballots Cast,,,301.0
Centre,11,11 PHILIPSBURG 2ND WARD,,VOTER TURNOUT - TOTAL,,,
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,STRAIGHT PARTY,,DEMOCRATIC,81.0
Centre,11,11 PHILIPSBURG 2ND WARD,REP,STRAIGHT PARTY,,REPUBLICAN,90.0
Centre,11,11 PHILIPSBURG 2ND WARD,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,11,11 PHILIPSBURG 2ND WARD,LIB,STRAIGHT PARTY,,LIBERTARIAN,1.0
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,U.S. Senate,,"BOB CASEY, JR",148.0
Centre,11,11 PHILIPSBURG 2ND WARD,REP,U.S. Senate,,LOU BARLETTA,144.0
Centre,11,11 PHILIPSBURG 2ND WARD,GRN,U.S. Senate,,NEAL GALE,4.0
Centre,11,11 PHILIPSBURG 2ND WARD,LIB,U.S. Senate,,"DALE R KERNS, JR",3.0
Centre,11,11 PHILIPSBURG 2ND WARD,,U.S. Senate,,WRITE-INS,0.0
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,Governor,,TOM WOLF,146.0
Centre,11,11 PHILIPSBURG 2ND WARD,REP,Governor,,SCOTT R WAGNER,141.0
Centre,11,11 PHILIPSBURG 2ND WARD,GRN,Governor,,PAUL GLOVER,4.0
Centre,11,11 PHILIPSBURG 2ND WARD,LIB,Governor,,KEN V KRAWCHUK,7.0
Centre,11,11 PHILIPSBURG 2ND WARD,,Governor,,WRITE-INS,0.0
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,U.S. House,15.0,SUSAN BOSER,131.0
Centre,11,11 PHILIPSBURG 2ND WARD,REP,U.S. House,15.0,GLENN GT THOMPSON,166.0
Centre,11,11 PHILIPSBURG 2ND WARD,,U.S. House,15.0,WRITE-INS,1.0
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,State Senate,34.0,EZRA NANES,123.0
Centre,11,11 PHILIPSBURG 2ND WARD,REP,State Senate,34.0,JACOB D CORMAN III,175.0
Centre,11,11 PHILIPSBURG 2ND WARD,,State Senate,34.0,WRITE-INS,0.0
Centre,11,11 PHILIPSBURG 2ND WARD,DEM,State House,77.0,H SCOTT CONKLIN,207.0
Centre,11,11 PHILIPSBURG 2ND WARD,,State House,77.0,WRITE-INS,2.0
Centre,12,12 PHILIPSBURG 3RD WARD,,Registered Voters,,,486.0
Centre,12,12 PHILIPSBURG 3RD WARD,,Ballots Cast,,,262.0
Centre,12,12 PHILIPSBURG 3RD WARD,,VOTER TURNOUT - TOTAL,,,
Centre,12,12 PHILIPSBURG 3RD WARD,DEM,STRAIGHT PARTY,,DEMOCRATIC,64.0
Centre,12,12 PHILIPSBURG 3RD WARD,REP,STRAIGHT PARTY,,REPUBLICAN,60.0
Centre,12,12 PHILIPSBURG 3RD WARD,GRN,STRAIGHT PARTY,,GREEN,0.0
Centre,12,12 PHILIPSBURG 3RD WARD,LIB,STRAIGHT PARTY,,LIBERTARIAN,3.0
Centre,12,12 PHILIPSBURG 3RD WARD,DEM,U.S. Senate,,"BOB CASEY, JR",143.0
Centre,12,12 PHILIPSBURG 3RD WARD,REP,U.S. Senate,,LOU BARLETTA,113.0
Centre,12,12 PHILIPSBURG 3RD WARD,GRN,U.S. Senate,,NEAL GALE,2.0
Centre,12,12 PHILIPSBURG 3RD WARD,LIB,U.S. Senate,,"DALE R KERNS, JR",4.0
Centre,12,12 PHILIPSBURG 3RD WARD,,U.S. Senate,,WRITE-INS,0.0
Centre,12,12 PHILIPSBURG 3RD WARD,DEM,Governor,,TOM WOLF,134.0
Centre,12,12 PHILIPSBURG 3RD WARD,REP,Governor,,SCOTT R WAGNER,119.0
Centre,12,12 PHILIPSBURG 3RD WARD,GRN,Governor,,PAUL GLOVER,4.0
Centre,12,12 PHILIPSBURG 3RD WARD,LIB,Governor,,KEN V KRAWCHUK,4.0
Centre,12,12 PHILIPSBURG 3RD WARD,,Governor,,WRITE-INS,0.0
Centre,12,12 PHILIPSBURG 3RD WARD,DEM,U.S. House,15.0,SUSAN BOSER,116.0
Centre,12,12 PHILIPSBURG 3RD WARD,REP,U.S. House,15.0,GLENN GT THOMPSON,143.0
Centre,12,12 PHILIPSBURG 3RD WARD,,U.S. House,15.0,WRITE-INS,0.0
Centre,12,12 PHILIPSBURG 3RD WARD,DEM,State Senate,34.0,EZRA NANES,115.0
