candidate,office,district,party,county,precinct,votes,election_day,absentee,provisional
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Barkeyville Boro,31,30.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Barkeyville Boro,45,43.0,2.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Barkeyville Boro,4,4.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Barkeyville Boro,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Barkeyville Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Barkeyville Boro,33,32.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Barkeyville Boro,43,41.0,2.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Barkeyville Boro,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Barkeyville Boro,2,2.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Barkeyville Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Barkeyville Boro,29,28.0,1.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Barkeyville Boro,53,51.0,2.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Barkeyville Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Barkeyville Boro,33,32.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Barkeyville Boro,50,48.0,2.0,0.0
WRITE-IN,State House,64.0,,Venango,Barkeyville Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Canal Twp,566,,,
,Ballots Cast,,,Venango,Canal Twp,363,347.0,15.0,1.0
,Straight Party,,DEM,Venango,Canal Twp,47,44.0,3.0,0.0
,Straight Party,,REP,Venango,Canal Twp,134,127.0,7.0,0.0
,Straight Party,,GRN,Venango,Canal Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Canal Twp,4,4.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Canal Twp,109,103.0,5.0,1.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Canal Twp,236,226.0,10.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Canal Twp,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Canal Twp,7,7.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Canal Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Canal Twp,109,103.0,5.0,1.0
SCOTT R WAGNER,Governor,,REP,Venango,Canal Twp,244,234.0,10.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Canal Twp,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Canal Twp,5,5.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Canal Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Canal Twp,101,96.0,5.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Canal Twp,255,244.0,10.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Canal Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Canal Twp,94,89.0,5.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Canal Twp,264,253.0,10.0,1.0
WRITE-IN,State House,64.0,,Venango,Canal Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Cherrytree Twp,921,,,
,Ballots Cast,,,Venango,Cherrytree Twp,597,571.0,25.0,1.0
,Straight Party,,DEM,Venango,Cherrytree Twp,92,89.0,3.0,0.0
,Straight Party,,REP,Venango,Cherrytree Twp,271,259.0,11.0,1.0
,Straight Party,,GRN,Venango,Cherrytree Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Cherrytree Twp,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cherrytree Twp,178,172.0,6.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cherrytree Twp,401,381.0,19.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cherrytree Twp,1,1.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cherrytree Twp,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cherrytree Twp,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cherrytree Twp,186,182.0,4.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Cherrytree Twp,395,374.0,20.0,1.0
PAUL GLOVER,Governor,,GRN,Venango,Cherrytree Twp,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cherrytree Twp,5,5.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Cherrytree Twp,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cherrytree Twp,158,153.0,5.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cherrytree Twp,432,411.0,20.0,1.0
WRITE-IN,U.S. House,15.0,,Venango,Cherrytree Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cherrytree Twp,172,163.0,9.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Cherrytree Twp,417,401.0,15.0,1.0
WRITE-IN,State House,64.0,,Venango,Cherrytree Twp,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Clinton Twp,461,,,
,Ballots Cast,,,Venango,Clinton Twp,265,259.0,6.0,0.0
,Straight Party,,DEM,Venango,Clinton Twp,41,40.0,1.0,0.0
,Straight Party,,REP,Venango,Clinton Twp,115,113.0,2.0,0.0
,Straight Party,,GRN,Venango,Clinton Twp,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Clinton Twp,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Clinton Twp,80,78.0,2.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Clinton Twp,174,170.0,4.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Clinton Twp,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Clinton Twp,6,6.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Clinton Twp,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Clinton Twp,79,78.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Clinton Twp,175,171.0,4.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Clinton Twp,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Clinton Twp,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Clinton Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Clinton Twp,75,73.0,2.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Clinton Twp,184,180.0,4.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Clinton Twp,2,2.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Clinton Twp,65,63.0,2.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Clinton Twp,193,189.0,4.0,0.0
WRITE-IN,State House,64.0,,Venango,Clinton Twp,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Clintonville Boro,261,,,
,Ballots Cast,,,Venango,Clintonville Boro,132,131.0,1.0,0.0
,Straight Party,,DEM,Venango,Clintonville Boro,14,13.0,1.0,0.0
,Straight Party,,REP,Venango,Clintonville Boro,59,59.0,0.0,0.0
,Straight Party,,GRN,Venango,Clintonville Boro,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Clintonville Boro,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Clintonville Boro,37,36.0,1.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Clintonville Boro,93,93.0,0.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Clintonville Boro,0,0.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Clintonville Boro,1,1.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Clintonville Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Clintonville Boro,37,36.0,1.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Clintonville Boro,93,93.0,0.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Clintonville Boro,0,0.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Clintonville Boro,0,0.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Clintonville Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Clintonville Boro,29,28.0,1.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Clintonville Boro,102,102.0,0.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Clintonville Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Clintonville Boro,28,27.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Clintonville Boro,101,101.0,0.0,0.0
WRITE-IN,State House,64.0,,Venango,Clintonville Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Cooperstown Boro,266,,,
,Ballots Cast,,,Venango,Cooperstown Boro,172,164.0,8.0,0.0
,Straight Party,,DEM,Venango,Cooperstown Boro,20,20.0,0.0,0.0
,Straight Party,,REP,Venango,Cooperstown Boro,80,74.0,6.0,0.0
,Straight Party,,GRN,Venango,Cooperstown Boro,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Cooperstown Boro,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cooperstown Boro,44,44.0,0.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cooperstown Boro,120,112.0,8.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cooperstown Boro,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cooperstown Boro,2,2.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cooperstown Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cooperstown Boro,50,50.0,0.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Cooperstown Boro,117,109.0,8.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Cooperstown Boro,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cooperstown Boro,0,0.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Cooperstown Boro,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cooperstown Boro,36,36.0,0.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cooperstown Boro,133,125.0,8.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Cooperstown Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cooperstown Boro,40,39.0,1.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Cooperstown Boro,129,122.0,7.0,0.0
WRITE-IN,State House,64.0,,Venango,Cooperstown Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Cornplanter Twp,1511,,,
,Ballots Cast,,,Venango,Cornplanter Twp,949,918.0,28.0,3.0
,Straight Party,,DEM,Venango,Cornplanter Twp,134,129.0,4.0,1.0
,Straight Party,,REP,Venango,Cornplanter Twp,309,294.0,15.0,0.0
,Straight Party,,GRN,Venango,Cornplanter Twp,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Cornplanter Twp,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cornplanter Twp,374,365.0,7.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cornplanter Twp,538,516.0,21.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cornplanter Twp,10,10.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cornplanter Twp,11,11.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cornplanter Twp,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cornplanter Twp,409,398.0,8.0,3.0
SCOTT R WAGNER,Governor,,REP,Venango,Cornplanter Twp,518,499.0,19.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Cornplanter Twp,4,4.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cornplanter Twp,12,11.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Cornplanter Twp,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cornplanter Twp,328,321.0,6.0,1.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cornplanter Twp,605,581.0,22.0,2.0
WRITE-IN,U.S. House,15.0,,Venango,Cornplanter Twp,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cornplanter Twp,354,344.0,8.0,2.0
R. LEE JAMES,State House,64.0,REP,Venango,Cornplanter Twp,588,567.0,20.0,1.0
WRITE-IN,State House,64.0,,Venango,Cornplanter Twp,2,2.0,0.0,0.0
,Registered Voters,,,Venango,Cranberry Twp 1,1005,,,
,Ballots Cast,,,Venango,Cranberry Twp 1,589,553.0,33.0,0.0
,Straight Party,,DEM,Venango,Cranberry Twp 1,66,59.0,7.0,0.0
,Straight Party,,REP,Venango,Cranberry Twp 1,228,216.0,12.0,0.0
,Straight Party,,GRN,Venango,Cranberry Twp 1,1,1.0,0.0,0.0
,Straight Party,,LIB,Venango,Cranberry Twp 1,3,3.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cranberry Twp 1,176,161.0,15.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cranberry Twp 1,394,376.0,18.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cranberry Twp 1,2,2.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cranberry Twp 1,8,8.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cranberry Twp 1,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cranberry Twp 1,196,181.0,15.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Cranberry Twp 1,378,360.0,18.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Cranberry Twp 1,2,2.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cranberry Twp 1,9,9.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Cranberry Twp 1,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cranberry Twp 1,149,137.0,12.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cranberry Twp 1,423,402.0,21.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Cranberry Twp 1,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cranberry Twp 1,153,144.0,9.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Cranberry Twp 1,420,397.0,23.0,0.0
WRITE-IN,State House,64.0,,Venango,Cranberry Twp 1,4,3.0,1.0,0.0
,Registered Voters,,,Venango,Cranberry Twp 2,1113,,,
,Ballots Cast,,,Venango,Cranberry Twp 2,655,630.0,23.0,2.0
,Straight Party,,DEM,Venango,Cranberry Twp 2,83,80.0,3.0,0.0
,Straight Party,,REP,Venango,Cranberry Twp 2,261,248.0,11.0,2.0
,Straight Party,,GRN,Venango,Cranberry Twp 2,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Cranberry Twp 2,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cranberry Twp 2,205,200.0,5.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cranberry Twp 2,424,405.0,18.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cranberry Twp 2,5,5.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cranberry Twp 2,10,9.0,0.0,1.0
WRITE-IN,U.S. Senate,,,Venango,Cranberry Twp 2,1,1.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cranberry Twp 2,231,222.0,9.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Cranberry Twp 2,409,393.0,14.0,2.0
PAUL GLOVER,Governor,,GRN,Venango,Cranberry Twp 2,5,5.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cranberry Twp 2,4,4.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Cranberry Twp 2,2,2.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cranberry Twp 2,182,174.0,8.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cranberry Twp 2,463,446.0,15.0,2.0
WRITE-IN,U.S. House,15.0,,Venango,Cranberry Twp 2,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cranberry Twp 2,200,195.0,5.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Cranberry Twp 2,443,423.0,18.0,2.0
WRITE-IN,State House,64.0,,Venango,Cranberry Twp 2,5,5.0,0.0,0.0
,Registered Voters,,,Venango,Cranberry Twp 3,590,0.0,0.0,0.0
,Ballots Cast,,,Venango,Cranberry Twp 3,344,320.0,24.0,0.0
,Straight Party,,DEM,Venango,Cranberry Twp 3,45,39.0,6.0,0.0
,Straight Party,,REP,Venango,Cranberry Twp 3,109,98.0,11.0,0.0
,Straight Party,,GRN,Venango,Cranberry Twp 3,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Cranberry Twp 3,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cranberry Twp 3,135,124.0,11.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cranberry Twp 3,193,181.0,12.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cranberry Twp 3,4,3.0,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cranberry Twp 3,6,6.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cranberry Twp 3,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cranberry Twp 3,160,150.0,10.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Cranberry Twp 3,174,162.0,12.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Cranberry Twp 3,2,1.0,1.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cranberry Twp 3,5,4.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Cranberry Twp 3,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cranberry Twp 3,102,92.0,10.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cranberry Twp 3,230,216.0,14.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Cranberry Twp 3,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cranberry Twp 3,124,114.0,10.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Cranberry Twp 3,214,200.0,14.0,0.0
WRITE-IN,State House,64.0,,Venango,Cranberry Twp 3,1,1.0,0.0,0.0
,Registered Voters,,,Venango,Cranberry Twp 4,1361,,,
,Ballots Cast,,,Venango,Cranberry Twp 4,873,837.0,33.0,3.0
,Straight Party,,DEM,Venango,Cranberry Twp 4,117,114.0,2.0,1.0
,Straight Party,,REP,Venango,Cranberry Twp 4,350,331.0,18.0,1.0
,Straight Party,,GRN,Venango,Cranberry Twp 4,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Cranberry Twp 4,0,0.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Cranberry Twp 4,311,301.0,8.0,2.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Cranberry Twp 4,542,516.0,25.0,1.0
NEAL GALE,U.S. Senate,,GRN,Venango,Cranberry Twp 4,4,4.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Cranberry Twp 4,9,9.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Cranberry Twp 4,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Cranberry Twp 4,321,307.0,12.0,2.0
SCOTT R WAGNER,Governor,,REP,Venango,Cranberry Twp 4,530,509.0,20.0,1.0
PAUL GLOVER,Governor,,GRN,Venango,Cranberry Twp 4,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Cranberry Twp 4,11,10.0,1.0,0.0
WRITE-IN,Governor,,,Venango,Cranberry Twp 4,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Cranberry Twp 4,221,214.0,6.0,1.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Cranberry Twp 4,636,608.0,26.0,2.0
WRITE-IN,U.S. House,15.0,,Venango,Cranberry Twp 4,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Cranberry Twp 4,246,238.0,6.0,2.0
R. LEE JAMES,State House,64.0,REP,Venango,Cranberry Twp 4,621,594.0,26.0,1.0
WRITE-IN,State House,64.0,,Venango,Cranberry Twp 4,1,0.0,1.0,0.0
,Registered Voters,,,Venango,Emlenton Boro,447,,,
,Ballots Cast,,,Venango,Emlenton Boro,263,249.0,14.0,0.0
,Straight Party,,DEM,Venango,Emlenton Boro,56,51.0,5.0,0.0
,Straight Party,,REP,Venango,Emlenton Boro,75,69.0,6.0,0.0
,Straight Party,,GRN,Venango,Emlenton Boro,2,2.0,0.0,0.0
,Straight Party,,LIB,Venango,Emlenton Boro,1,1.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Emlenton Boro,126,118.0,8.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Emlenton Boro,125,119.0,6.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Emlenton Boro,3,3.0,0.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Emlenton Boro,3,3.0,0.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Emlenton Boro,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Emlenton Boro,134,126.0,8.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Emlenton Boro,122,116.0,6.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Emlenton Boro,1,1.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Emlenton Boro,5,5.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Emlenton Boro,0,0.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Emlenton Boro,117,109.0,8.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Emlenton Boro,144,138.0,6.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Emlenton Boro,0,0.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Emlenton Boro,112,105.0,7.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Emlenton Boro,149,142.0,7.0,0.0
WRITE-IN,State House,64.0,,Venango,Emlenton Boro,0,0.0,0.0,0.0
,Registered Voters,,,Venango,Franklin 1,1304,,,
,Ballots Cast,,,Venango,Franklin 1,724,681.0,43.0,0.0
,Straight Party,,DEM,Venango,Franklin 1,176,160.0,16.0,0.0
,Straight Party,,REP,Venango,Franklin 1,215,207.0,8.0,0.0
,Straight Party,,GRN,Venango,Franklin 1,0,0.0,0.0,0.0
,Straight Party,,LIB,Venango,Franklin 1,2,2.0,0.0,0.0
"BOB CASEY, JR",U.S. Senate,,DEM,Venango,Franklin 1,354,328.0,26.0,0.0
LOU BARLETTA,U.S. Senate,,REP,Venango,Franklin 1,345,330.0,15.0,0.0
NEAL GALE,U.S. Senate,,GRN,Venango,Franklin 1,4,3.0,1.0,0.0
"DALE R KERNS, JR",U.S. Senate,,LIB,Venango,Franklin 1,9,8.0,1.0,0.0
WRITE-IN,U.S. Senate,,,Venango,Franklin 1,0,0.0,0.0,0.0
TOM WOLF,Governor,,DEM,Venango,Franklin 1,372,347.0,25.0,0.0
SCOTT R WAGNER,Governor,,REP,Venango,Franklin 1,338,320.0,18.0,0.0
PAUL GLOVER,Governor,,GRN,Venango,Franklin 1,3,3.0,0.0,0.0
KEN V KRAWCHUK,Governor,,LIB,Venango,Franklin 1,5,5.0,0.0,0.0
WRITE-IN,Governor,,,Venango,Franklin 1,1,1.0,0.0,0.0
SUSAN BOSER,U.S. House,15.0,DEM,Venango,Franklin 1,329,301.0,28.0,0.0
GLENN GT THOMPSON,U.S. House,15.0,REP,Venango,Franklin 1,383,368.0,15.0,0.0
WRITE-IN,U.S. House,15.0,,Venango,Franklin 1,1,1.0,0.0,0.0
JOHN KLUCK,State House,64.0,DEM,Venango,Franklin 1,337,310.0,27.0,0.0
R. LEE JAMES,State House,64.0,REP,Venango,Franklin 1,375,259.0,16.0,0.0
WRITE-IN,State House,64.0,,Venango,Franklin 1,3,3.0,0.0,0.0
