county,office,district,party,candidate,votes,precinct
Somerset,U.S. Senate,,REP,LOU BARLETTA,402,SOMERSETXNORTH WEST
Somerset,U.S. Senate,,REP,LOU BARLETTA,658,SOMERSETXSOUTH WEST
Somerset,U.S. Senate,,REP,LOU BARLETTA,207,SOUTHAMPTON
Somerset,U.S. Senate,,REP,LOU BARLETTA,746,STONYCREEK
Somerset,U.S. Senate,,REP,LOU BARLETTA,103,STOYSTOWN
Somerset,U.S. Senate,,REP,LOU BARLETTA,551,SUMMIT
Somerset,U.S. Senate,,REP,LOU BARLETTA,413,UPPER TURKEYFOOT
Somerset,U.S. Senate,,REP,LOU BARLETTA,40,URSINA
Somerset,U.S. Senate,,REP,LOU BARLETTA,64,WELLERSBURG
Somerset,U.S. Senate,,REP,LOU BARLETTA,167,WINDBERX1
Somerset,U.S. Senate,,REP,LOU BARLETTA,241,WINDBERX2
Somerset,U.S. Senate,,REP,LOU BARLETTA,137,WINDBERX3
Somerset,U.S. Senate,,REP,LOU BARLETTA,128,WINDBERX4
Somerset,U.S. Senate,,GRN,NEAL GALE,2,ADDISON
Somerset,U.S. Senate,,GRN,NEAL GALE,1,ADDISON
Somerset,U.S. Senate,,GRN,NEAL GALE,1,ALLEGHENY
Somerset,U.S. Senate,,GRN,NEAL GALE,0,BENSON
Somerset,U.S. Senate,,GRN,NEAL GALE,5,BERLIN
Somerset,U.S. Senate,,GRN,NEAL GALE,0,BLACK
Somerset,U.S. Senate,,GRN,NEAL GALE,2,BOSWELL
Somerset,U.S. Senate,,GRN,NEAL GALE,3,BROTHERS VALLEY
Somerset,U.S. Senate,,GRN,NEAL GALE,0,CALLIMONT
Somerset,U.S. Senate,,GRN,NEAL GALE,0,CASSELMAN
Somerset,U.S. Senate,,GRN,NEAL GALE,1,CENTRAL CITY
Somerset,U.S. Senate,,GRN,NEAL GALE,1,CONEMAUGHX1
Somerset,U.S. Senate,,GRN,NEAL GALE,2,CONEMAUGHX2
Somerset,U.S. Senate,,GRN,NEAL GALE,1,CONEMAUGHX3
Somerset,U.S. Senate,,GRN,NEAL GALE,2,CONEMAUGHX4
Somerset,U.S. Senate,,GRN,NEAL GALE,1,CONEMAUGHX5
Somerset,U.S. Senate,,GRN,NEAL GALE,1,CONFLUENCE
Somerset,U.S. Senate,,GRN,NEAL GALE,4,ELK LICK
Somerset,U.S. Senate,,GRN,NEAL GALE,1,FAIRHOPE
Somerset,U.S. Senate,,GRN,NEAL GALE,0,GARRETT
Somerset,U.S. Senate,,GRN,NEAL GALE,1,GREENVILLE
Somerset,U.S. Senate,,GRN,NEAL GALE,0,HOOVERSVILLE
Somerset,U.S. Senate,,GRN,NEAL GALE,1,INDIAN LAKE
Somerset,U.S. Senate,,GRN,NEAL GALE,1,JEFFERSON
Somerset,U.S. Senate,,GRN,NEAL GALE,3,JENNERX1
Somerset,U.S. Senate,,GRN,NEAL GALE,0,JENNERX2
Somerset,U.S. Senate,,GRN,NEAL GALE,2,JENNERX3
Somerset,U.S. Senate,,GRN,NEAL GALE,1,JENNERSTOWN
Somerset,U.S. Senate,,GRN,NEAL GALE,0,LARIMER
Somerset,U.S. Senate,,GRN,NEAL GALE,4,LINCOLN
Somerset,U.S. Senate,,GRN,NEAL GALE,2,LOWER TURKEYFOOT
Somerset,U.S. Senate,,GRN,NEAL GALE,3,MEYERSDALE
Somerset,U.S. Senate,,GRN,NEAL GALE,2,MIDDLECREEK
Somerset,U.S. Senate,,GRN,NEAL GALE,2,MILFORD
Somerset,U.S. Senate,,GRN,NEAL GALE,2,NEW BALTIMORE
Somerset,U.S. Senate,,GRN,NEAL GALE,0,NEW CENTERVILLE
Somerset,U.S. Senate,,GRN,NEAL GALE,0,NORTHAMPTON
Somerset,U.S. Senate,,GRN,NEAL GALE,0,OGLE
Somerset,U.S. Senate,,GRN,NEAL GALE,2,PAINTX1
Somerset,U.S. Senate,,GRN,NEAL GALE,1,PAINTX2
Somerset,U.S. Senate,,GRN,NEAL GALE,2,PAINTX3
Somerset,U.S. Senate,,GRN,NEAL GALE,4,PAINT
Somerset,U.S. Senate,,GRN,NEAL GALE,3,QUEMAHONING
Somerset,U.S. Senate,,GRN,NEAL GALE,4,ROCKWOOD
Somerset,U.S. Senate,,GRN,NEAL GALE,2,SALISBURY
Somerset,U.S. Senate,,GRN,NEAL GALE,0,SEVEN SPRINGS
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SHADEX1
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SHADEX2
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SHADEX3
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SHANKSVILLE
Somerset,U.S. Senate,,GRN,NEAL GALE,7,SOMERSETX1
Somerset,U.S. Senate,,GRN,NEAL GALE,11,SOMERSETX2
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SOMERSETX3
Somerset,U.S. Senate,,GRN,NEAL GALE,2,SOMERSETX4
Somerset,U.S. Senate,,GRN,NEAL GALE,1,SOMERSETXEAST
Somerset,U.S. Senate,,GRN,NEAL GALE,6,SOMERSETXNORTH WEST
Somerset,U.S. Senate,,GRN,NEAL GALE,7,SOMERSETXSOUTH WEST
Somerset,U.S. Senate,,GRN,NEAL GALE,0,SOUTHAMPTON
Somerset,U.S. Senate,,GRN,NEAL GALE,4,STONYCREEK
Somerset,U.S. Senate,,GRN,NEAL GALE,1,STOYSTOWN
Somerset,U.S. Senate,,GRN,NEAL GALE,3,SUMMIT
Somerset,U.S. Senate,,GRN,NEAL GALE,5,UPPER TURKEYFOOT
Somerset,U.S. Senate,,GRN,NEAL GALE,1,URSINA
Somerset,U.S. Senate,,GRN,NEAL GALE,0,WELLERSBURG
Somerset,U.S. Senate,,GRN,NEAL GALE,1,WINDBERX1
Somerset,U.S. Senate,,GRN,NEAL GALE,0,WINDBERX2
Somerset,U.S. Senate,,GRN,NEAL GALE,3,WINDBERX3
Somerset,U.S. Senate,,GRN,NEAL GALE,2,WINDBERX4
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,ADDISON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,ADDISON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,ALLEGHENY
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,BENSON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",8,BERLIN
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,BLACK
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,BOSWELL
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",12,BROTHERS VALLEY
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,CALLIMONT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,CASSELMAN
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,CENTRAL CITY
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,CONEMAUGHX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",10,CONEMAUGHX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,CONEMAUGHX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,CONEMAUGHX4
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,CONEMAUGHX5
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,CONFLUENCE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,ELK LICK
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,FAIRHOPE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,GARRETT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,GREENVILLE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,HOOVERSVILLE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,INDIAN LAKE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",10,JEFFERSON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,JENNERX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,JENNERX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,JENNERX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,JENNERSTOWN
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,LARIMER
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",11,LINCOLN
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,LOWER TURKEYFOOT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",9,MEYERSDALE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,MIDDLECREEK
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,MILFORD
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,NEW BALTIMORE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,NEW CENTERVILLE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,NORTHAMPTON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,OGLE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,PAINTX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",7,PAINTX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,PAINTX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,PAINT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,QUEMAHONING
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,ROCKWOOD
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",3,SALISBURY
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,SEVEN SPRINGS
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,SHADEX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,SHADEX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,SHADEX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,SHANKSVILLE
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",10,SOMERSETX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,SOMERSETX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,SOMERSETX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,SOMERSETX4
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,SOMERSETXEAST
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,SOMERSETXNORTH WEST
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",12,SOMERSETXSOUTH WEST
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",1,SOUTHAMPTON
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",12,STONYCREEK
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,STOYSTOWN
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,SUMMIT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",7,UPPER TURKEYFOOT
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",2,URSINA
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",0,WELLERSBURG
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",6,WINDBERX1
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,WINDBERX2
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",4,WINDBERX3
Somerset,U.S. Senate,,LIB,"DALE R KERNS, JR",5,WINDBERX4
Somerset,Governor,,DEM,TOM WOLF,117,ADDISON
Somerset,Governor,,DEM,TOM WOLF,22,ADDISON
Somerset,Governor,,DEM,TOM WOLF,80,ALLEGHENY
Somerset,Governor,,DEM,TOM WOLF,37,BENSON
Somerset,Governor,,DEM,TOM WOLF,236,BERLIN
Somerset,Governor,,DEM,TOM WOLF,79,BLACK
Somerset,Governor,,DEM,TOM WOLF,179,BOSWELL
Somerset,Governor,,DEM,TOM WOLF,218,BROTHERS VALLEY
Somerset,Governor,,DEM,TOM WOLF,6,CALLIMONT
Somerset,Governor,,DEM,TOM WOLF,10,CASSELMAN
Somerset,Governor,,DEM,TOM WOLF,139,CENTRAL CITY
Somerset,Governor,,DEM,TOM WOLF,353,CONEMAUGHX1
Somerset,Governor,,DEM,TOM WOLF,263,CONEMAUGHX2
Somerset,Governor,,DEM,TOM WOLF,232,CONEMAUGHX3
Somerset,Governor,,DEM,TOM WOLF,225,CONEMAUGHX4
Somerset,Governor,,DEM,TOM WOLF,78,CONEMAUGHX5
Somerset,Governor,,DEM,TOM WOLF,99,CONFLUENCE
Somerset,Governor,,DEM,TOM WOLF,128,ELK LICK
Somerset,Governor,,DEM,TOM WOLF,11,FAIRHOPE
Somerset,Governor,,DEM,TOM WOLF,54,GARRETT
Somerset,Governor,,DEM,TOM WOLF,66,GREENVILLE
Somerset,Governor,,DEM,TOM WOLF,83,HOOVERSVILLE
Somerset,Governor,,DEM,TOM WOLF,72,INDIAN LAKE
Somerset,Governor,,DEM,TOM WOLF,216,JEFFERSON
Somerset,Governor,,DEM,TOM WOLF,243,JENNERX1
Somerset,Governor,,DEM,TOM WOLF,122,JENNERX2
Somerset,Governor,,DEM,TOM WOLF,77,JENNERX3
Somerset,Governor,,DEM,TOM WOLF,107,JENNERSTOWN
Somerset,Governor,,DEM,TOM WOLF,40,LARIMER
Somerset,Governor,,DEM,TOM WOLF,173,LINCOLN
Somerset,Governor,,DEM,TOM WOLF,43,LOWER TURKEYFOOT
Somerset,Governor,,DEM,TOM WOLF,270,MEYERSDALE
Somerset,Governor,,DEM,TOM WOLF,107,MIDDLECREEK
Somerset,Governor,,DEM,TOM WOLF,181,MILFORD
Somerset,Governor,,DEM,TOM WOLF,40,NEW BALTIMORE
Somerset,Governor,,DEM,TOM WOLF,29,NEW CENTERVILLE
Somerset,Governor,,DEM,TOM WOLF,40,NORTHAMPTON
Somerset,Governor,,DEM,TOM WOLF,62,OGLE
Somerset,Governor,,DEM,TOM WOLF,193,PAINTX1
Somerset,Governor,,DEM,TOM WOLF,246,PAINTX2
Somerset,Governor,,DEM,TOM WOLF,59,PAINTX3
Somerset,Governor,,DEM,TOM WOLF,138,PAINT
Somerset,Governor,,DEM,TOM WOLF,214,QUEMAHONING
Somerset,Governor,,DEM,TOM WOLF,76,ROCKWOOD
Somerset,Governor,,DEM,TOM WOLF,88,SALISBURY
Somerset,Governor,,DEM,TOM WOLF,2,SEVEN SPRINGS
Somerset,Governor,,DEM,TOM WOLF,67,SHADEX1
Somerset,Governor,,DEM,TOM WOLF,153,SHADEX2
Somerset,Governor,,DEM,TOM WOLF,155,SHADEX3
Somerset,Governor,,DEM,TOM WOLF,17,SHANKSVILLE
Somerset,Governor,,DEM,TOM WOLF,225,SOMERSETX1
Somerset,Governor,,DEM,TOM WOLF,274,SOMERSETX2
Somerset,Governor,,DEM,TOM WOLF,290,SOMERSETX3
Somerset,Governor,,DEM,TOM WOLF,197,SOMERSETX4
Somerset,Governor,,DEM,TOM WOLF,144,SOMERSETXEAST
Somerset,Governor,,DEM,TOM WOLF,192,SOMERSETXNORTH WEST
Somerset,Governor,,DEM,TOM WOLF,489,SOMERSETXSOUTH WEST
Somerset,Governor,,DEM,TOM WOLF,43,SOUTHAMPTON
Somerset,Governor,,DEM,TOM WOLF,205,STONYCREEK
Somerset,Governor,,DEM,TOM WOLF,51,STOYSTOWN
Somerset,Governor,,DEM,TOM WOLF,228,SUMMIT
Somerset,Governor,,DEM,TOM WOLF,105,UPPER TURKEYFOOT
Somerset,Governor,,DEM,TOM WOLF,21,URSINA
Somerset,Governor,,DEM,TOM WOLF,14,WELLERSBURG
Somerset,Governor,,DEM,TOM WOLF,179,WINDBERX1
Somerset,Governor,,DEM,TOM WOLF,232,WINDBERX2
Somerset,Governor,,DEM,TOM WOLF,151,WINDBERX3
Somerset,Governor,,DEM,TOM WOLF,153,WINDBERX4
Somerset,Governor,,REP,SCOTT R WAGNER,230,ADDISON
Somerset,Governor,,REP,SCOTT R WAGNER,52,ADDISON
Somerset,Governor,,REP,SCOTT R WAGNER,215,ALLEGHENY
Somerset,Governor,,REP,SCOTT R WAGNER,32,BENSON
Somerset,Governor,,REP,SCOTT R WAGNER,523,BERLIN
Somerset,Governor,,REP,SCOTT R WAGNER,273,BLACK
Somerset,Governor,,REP,SCOTT R WAGNER,242,BOSWELL
Somerset,Governor,,REP,SCOTT R WAGNER,789,BROTHERS VALLEY
Somerset,Governor,,REP,SCOTT R WAGNER,15,CALLIMONT
Somerset,Governor,,REP,SCOTT R WAGNER,24,CASSELMAN
Somerset,Governor,,REP,SCOTT R WAGNER,196,CENTRAL CITY
Somerset,Governor,,REP,SCOTT R WAGNER,554,CONEMAUGHX1
Somerset,Governor,,REP,SCOTT R WAGNER,423,CONEMAUGHX2
Somerset,Governor,,REP,SCOTT R WAGNER,383,CONEMAUGHX3
Somerset,Governor,,REP,SCOTT R WAGNER,426,CONEMAUGHX4
Somerset,Governor,,REP,SCOTT R WAGNER,147,CONEMAUGHX5
Somerset,Governor,,REP,SCOTT R WAGNER,130,CONFLUENCE
Somerset,Governor,,REP,SCOTT R WAGNER,425,ELK LICK
Somerset,Governor,,REP,SCOTT R WAGNER,38,FAIRHOPE
Somerset,Governor,,REP,SCOTT R WAGNER,75,GARRETT
Somerset,Governor,,REP,SCOTT R WAGNER,167,GREENVILLE
Somerset,Governor,,REP,SCOTT R WAGNER,163,HOOVERSVILLE
Somerset,Governor,,REP,SCOTT R WAGNER,182,INDIAN LAKE
Somerset,Governor,,REP,SCOTT R WAGNER,467,JEFFERSON
Somerset,Governor,,REP,SCOTT R WAGNER,503,JENNERX1
Somerset,Governor,,REP,SCOTT R WAGNER,338,JENNERX2
Somerset,Governor,,REP,SCOTT R WAGNER,229,JENNERX3
Somerset,Governor,,REP,SCOTT R WAGNER,208,JENNERSTOWN
Somerset,Governor,,REP,SCOTT R WAGNER,193,LARIMER
Somerset,Governor,,REP,SCOTT R WAGNER,504,LINCOLN
