county,precinct,candidate,office,district,party,votes
Northumberland,Kulpmont Borough 3,Dan Meuser,U.S. House,9,REP,152
Northumberland,Kulpmont Borough 3,Write In Votes,U.S. House,9,,0
Northumberland,Kulpmont Borough 3,Sarah Donnelly,State House,107,DEM,128
Northumberland,Kulpmont Borough 3,Kurt A. Masser,State House,107,REP,183
Northumberland,Kulpmont Borough 3,Write In Votes,State House,107,,0
Northumberland,Marion Heights Borough,,Ballots Cast,,,197
Northumberland,Marion Heights Borough,,Straight Party,,DEM,36
Northumberland,Marion Heights Borough,,Straight Party,,REP,47
Northumberland,Marion Heights Borough,,Straight Party,,GRE,0
Northumberland,Marion Heights Borough,,Straight Party,,LIB,0
Northumberland,Marion Heights Borough,"Bob Casey, Jr.",U.S. Senate,,DEM,91
Northumberland,Marion Heights Borough,Lou Barletta,U.S. Senate,,REP,104
Northumberland,Marion Heights Borough,Neal Gale,U.S. Senate,,GRE,0
Northumberland,Marion Heights Borough,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,1
Northumberland,Marion Heights Borough,Write In Votes,U.S. Senate,,,0
Northumberland,Marion Heights Borough,Tom Wolf,Governor,,DEM,113
Northumberland,Marion Heights Borough,Scott R. Wagner,Governor,,REP,76
Northumberland,Marion Heights Borough,Paul Glover,Governor,,GRE,2
Northumberland,Marion Heights Borough,Ken V. Krawchuk,Governor,,LIB,2
Northumberland,Marion Heights Borough,Write In Votes,Governor,,,0
Northumberland,Marion Heights Borough,Denny Wolff,U.S. House,9,DEM,88
Northumberland,Marion Heights Borough,Dan Meuser,U.S. House,9,REP,99
Northumberland,Marion Heights Borough,Write In Votes,U.S. House,9,,0
Northumberland,Marion Heights Borough,Sarah Donnelly,State House,107,DEM,76
Northumberland,Marion Heights Borough,Kurt A. Masser,State House,107,REP,115
Northumberland,Marion Heights Borough,Write In Votes,State House,107,,0
Northumberland,Mount Carmel Borough 1,,Ballots Cast,,,259
Northumberland,Mount Carmel Borough 1,,Straight Party,,DEM,58
Northumberland,Mount Carmel Borough 1,,Straight Party,,REP,59
Northumberland,Mount Carmel Borough 1,,Straight Party,,GRE,0
Northumberland,Mount Carmel Borough 1,,Straight Party,,LIB,1
Northumberland,Mount Carmel Borough 1,"Bob Casey, Jr.",U.S. Senate,,DEM,128
Northumberland,Mount Carmel Borough 1,Lou Barletta,U.S. Senate,,REP,123
Northumberland,Mount Carmel Borough 1,Neal Gale,U.S. Senate,,GRE,0
Northumberland,Mount Carmel Borough 1,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,3
Northumberland,Mount Carmel Borough 1,Write In Votes,U.S. Senate,,,1
Northumberland,Mount Carmel Borough 1,Tom Wolf,Governor,,DEM,131
Northumberland,Mount Carmel Borough 1,Scott R. Wagner,Governor,,REP,111
Northumberland,Mount Carmel Borough 1,Paul Glover,Governor,,GRE,2
Northumberland,Mount Carmel Borough 1,Ken V. Krawchuk,Governor,,LIB,8
Northumberland,Mount Carmel Borough 1,Write In Votes,Governor,,,1
Northumberland,Mount Carmel Borough 1,Denny Wolff,U.S. House,9,DEM,121
Northumberland,Mount Carmel Borough 1,Dan Meuser,U.S. House,9,REP,127
Northumberland,Mount Carmel Borough 1,Write In Votes,U.S. House,9,,1
Northumberland,Mount Carmel Borough 1,Sarah Donnelly,State House,107,DEM,110
Northumberland,Mount Carmel Borough 1,Kurt A. Masser,State House,107,REP,141
Northumberland,Mount Carmel Borough 1,Write In Votes,State House,107,,1
Northumberland,Mount Carmel Borough 2,,Ballots Cast,,,349
Northumberland,Mount Carmel Borough 2,,Straight Party,,DEM,74
Northumberland,Mount Carmel Borough 2,,Straight Party,,REP,72
Northumberland,Mount Carmel Borough 2,,Straight Party,,GRE,1
Northumberland,Mount Carmel Borough 2,,Straight Party,,LIB,1
Northumberland,Mount Carmel Borough 2,"Bob Casey, Jr.",U.S. Senate,,DEM,157
Northumberland,Mount Carmel Borough 2,Lou Barletta,U.S. Senate,,REP,181
Northumberland,Mount Carmel Borough 2,Neal Gale,U.S. Senate,,GRE,3
Northumberland,Mount Carmel Borough 2,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,1
Northumberland,Mount Carmel Borough 2,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Borough 2,Tom Wolf,Governor,,DEM,198
Northumberland,Mount Carmel Borough 2,Scott R. Wagner,Governor,,REP,136
Northumberland,Mount Carmel Borough 2,Paul Glover,Governor,,GRE,4
Northumberland,Mount Carmel Borough 2,Ken V. Krawchuk,Governor,,LIB,5
Northumberland,Mount Carmel Borough 2,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Borough 2,Denny Wolff,U.S. House,9,DEM,173
Northumberland,Mount Carmel Borough 2,Dan Meuser,U.S. House,9,REP,159
Northumberland,Mount Carmel Borough 2,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Borough 2,Sarah Donnelly,State House,107,DEM,136
Northumberland,Mount Carmel Borough 2,Kurt A. Masser,State House,107,REP,201
Northumberland,Mount Carmel Borough 2,Write In Votes,State House,107,,0
Northumberland,Mount Carmel Borough 3,,Ballots Cast,,,539
Northumberland,Mount Carmel Borough 3,,Straight Party,,DEM,92
Northumberland,Mount Carmel Borough 3,,Straight Party,,REP,133
Northumberland,Mount Carmel Borough 3,,Straight Party,,GRE,0
Northumberland,Mount Carmel Borough 3,,Straight Party,,LIB,0
Northumberland,Mount Carmel Borough 3,"Bob Casey, Jr.",U.S. Senate,,DEM,232
Northumberland,Mount Carmel Borough 3,Lou Barletta,U.S. Senate,,REP,290
Northumberland,Mount Carmel Borough 3,Neal Gale,U.S. Senate,,GRE,5
Northumberland,Mount Carmel Borough 3,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,5
Northumberland,Mount Carmel Borough 3,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Borough 3,Tom Wolf,Governor,,DEM,274
Northumberland,Mount Carmel Borough 3,Scott R. Wagner,Governor,,REP,242
Northumberland,Mount Carmel Borough 3,Paul Glover,Governor,,GRE,4
Northumberland,Mount Carmel Borough 3,Ken V. Krawchuk,Governor,,LIB,10
Northumberland,Mount Carmel Borough 3,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Borough 3,Denny Wolff,U.S. House,9,DEM,237
Northumberland,Mount Carmel Borough 3,Dan Meuser,U.S. House,9,REP,276
Northumberland,Mount Carmel Borough 3,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Borough 3,Sarah Donnelly,State House,107,DEM,199
Northumberland,Mount Carmel Borough 3,Kurt A. Masser,State House,107,REP,327
Northumberland,Mount Carmel Borough 3,Write In Votes,State House,107,,0
Northumberland,Mount Carmel Borough 4,,Ballots Cast,,,444
Northumberland,Mount Carmel Borough 4,,Straight Party,,DEM,104
Northumberland,Mount Carmel Borough 4,,Straight Party,,REP,109
Northumberland,Mount Carmel Borough 4,,Straight Party,,GRE,2
Northumberland,Mount Carmel Borough 4,,Straight Party,,LIB,0
Northumberland,Mount Carmel Borough 4,"Bob Casey, Jr.",U.S. Senate,,DEM,212
Northumberland,Mount Carmel Borough 4,Lou Barletta,U.S. Senate,,REP,222
Northumberland,Mount Carmel Borough 4,Neal Gale,U.S. Senate,,GRE,5
Northumberland,Mount Carmel Borough 4,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,3
Northumberland,Mount Carmel Borough 4,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Borough 4,Tom Wolf,Governor,,DEM,239
Northumberland,Mount Carmel Borough 4,Scott R. Wagner,Governor,,REP,178
Northumberland,Mount Carmel Borough 4,Paul Glover,Governor,,GRE,7
Northumberland,Mount Carmel Borough 4,Ken V. Krawchuk,Governor,,LIB,7
Northumberland,Mount Carmel Borough 4,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Borough 4,Denny Wolff,U.S. House,9,DEM,211
Northumberland,Mount Carmel Borough 4,Dan Meuser,U.S. House,9,REP,217
Northumberland,Mount Carmel Borough 4,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Borough 4,Sarah Donnelly,State House,107,DEM,193
Northumberland,Mount Carmel Borough 4,Kurt A. Masser,State House,107,REP,242
Northumberland,Mount Carmel Borough 4,Write In Votes,State House,107,,1
Northumberland,Mount Carmel Township - Diamond / Exchange,,Ballots Cast,,,303
Northumberland,Mount Carmel Township - Diamond / Exchange,,Straight Party,,DEM,62
Northumberland,Mount Carmel Township - Diamond / Exchange,,Straight Party,,REP,77
Northumberland,Mount Carmel Township - Diamond / Exchange,,Straight Party,,GRE,0
Northumberland,Mount Carmel Township - Diamond / Exchange,,Straight Party,,LIB,1
Northumberland,Mount Carmel Township - Diamond / Exchange,"Bob Casey, Jr.",U.S. Senate,,DEM,133
Northumberland,Mount Carmel Township - Diamond / Exchange,Lou Barletta,U.S. Senate,,REP,163
Northumberland,Mount Carmel Township - Diamond / Exchange,Neal Gale,U.S. Senate,,GRE,2
Northumberland,Mount Carmel Township - Diamond / Exchange,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,1
Northumberland,Mount Carmel Township - Diamond / Exchange,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Township - Diamond / Exchange,Tom Wolf,Governor,,DEM,158
Northumberland,Mount Carmel Township - Diamond / Exchange,Scott R. Wagner,Governor,,REP,132
Northumberland,Mount Carmel Township - Diamond / Exchange,Paul Glover,Governor,,GRE,1
Northumberland,Mount Carmel Township - Diamond / Exchange,Ken V. Krawchuk,Governor,,LIB,2
Northumberland,Mount Carmel Township - Diamond / Exchange,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Township - Diamond / Exchange,Denny Wolff,U.S. House,9,DEM,128
Northumberland,Mount Carmel Township - Diamond / Exchange,Dan Meuser,U.S. House,9,REP,158
Northumberland,Mount Carmel Township - Diamond / Exchange,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Township - Diamond / Exchange,Sarah Donnelly,State House,107,DEM,109
Northumberland,Mount Carmel Township - Diamond / Exchange,Kurt A. Masser,State House,107,REP,182
Northumberland,Mount Carmel Township - Diamond / Exchange,Write In Votes,State House,107,,0
Northumberland,Mount Carmel Township - Locust Gap,,Ballots Cast,,,104
Northumberland,Mount Carmel Township - Locust Gap,,Straight Party,,DEM,22
Northumberland,Mount Carmel Township - Locust Gap,,Straight Party,,REP,31
Northumberland,Mount Carmel Township - Locust Gap,,Straight Party,,GRE,0
Northumberland,Mount Carmel Township - Locust Gap,,Straight Party,,LIB,0
Northumberland,Mount Carmel Township - Locust Gap,"Bob Casey, Jr.",U.S. Senate,,DEM,43
Northumberland,Mount Carmel Township - Locust Gap,Lou Barletta,U.S. Senate,,REP,59
Northumberland,Mount Carmel Township - Locust Gap,Neal Gale,U.S. Senate,,GRE,0
Northumberland,Mount Carmel Township - Locust Gap,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,1
Northumberland,Mount Carmel Township - Locust Gap,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Township - Locust Gap,Tom Wolf,Governor,,DEM,45
Northumberland,Mount Carmel Township - Locust Gap,Scott R. Wagner,Governor,,REP,54
Northumberland,Mount Carmel Township - Locust Gap,Paul Glover,Governor,,GRE,0
Northumberland,Mount Carmel Township - Locust Gap,Ken V. Krawchuk,Governor,,LIB,1
Northumberland,Mount Carmel Township - Locust Gap,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Township - Locust Gap,Denny Wolff,U.S. House,9,DEM,38
Northumberland,Mount Carmel Township - Locust Gap,Dan Meuser,U.S. House,9,REP,58
Northumberland,Mount Carmel Township - Locust Gap,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Township - Locust Gap,Sarah Donnelly,State House,107,DEM,34
Northumberland,Mount Carmel Township - Locust Gap,Kurt A. Masser,State House,107,REP,64
Northumberland,Mount Carmel Township - Locust Gap,Write In Votes,State House,107,,1
Northumberland,Mount Carmel Township - Natalie / Strong,,Ballots Cast,,,197
Northumberland,Mount Carmel Township - Natalie / Strong,,Straight Party,,DEM,41
Northumberland,Mount Carmel Township - Natalie / Strong,,Straight Party,,REP,64
Northumberland,Mount Carmel Township - Natalie / Strong,,Straight Party,,GRE,0
Northumberland,Mount Carmel Township - Natalie / Strong,,Straight Party,,LIB,0
Northumberland,Mount Carmel Township - Natalie / Strong,"Bob Casey, Jr.",U.S. Senate,,DEM,72
Northumberland,Mount Carmel Township - Natalie / Strong,Lou Barletta,U.S. Senate,,REP,115
Northumberland,Mount Carmel Township - Natalie / Strong,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Mount Carmel Township - Natalie / Strong,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,3
Northumberland,Mount Carmel Township - Natalie / Strong,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Township - Natalie / Strong,Tom Wolf,Governor,,DEM,88
Northumberland,Mount Carmel Township - Natalie / Strong,Scott R. Wagner,Governor,,REP,98
Northumberland,Mount Carmel Township - Natalie / Strong,Paul Glover,Governor,,GRE,1
Northumberland,Mount Carmel Township - Natalie / Strong,Ken V. Krawchuk,Governor,,LIB,2
Northumberland,Mount Carmel Township - Natalie / Strong,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Township - Natalie / Strong,Denny Wolff,U.S. House,9,DEM,68
Northumberland,Mount Carmel Township - Natalie / Strong,Dan Meuser,U.S. House,9,REP,117
Northumberland,Mount Carmel Township - Natalie / Strong,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Township - Natalie / Strong,Sarah Donnelly,State House,107,DEM,71
Northumberland,Mount Carmel Township - Natalie / Strong,Kurt A. Masser,State House,107,REP,119
Northumberland,Mount Carmel Township - Natalie / Strong,Write In Votes,State House,107,,0
Northumberland,Coal Township 2,,Ballots Cast,,,310
Northumberland,Coal Township 2,,Straight Party,,DEM,62
Northumberland,Coal Township 2,,Straight Party,,REP,70
Northumberland,Coal Township 2,,Straight Party,,GRE,0
Northumberland,Coal Township 2,,Straight Party,,LIB,0
Northumberland,Coal Township 2,"Bob Casey, Jr.",U.S. Senate,,DEM,151
Northumberland,Coal Township 2,Lou Barletta,U.S. Senate,,REP,150
Northumberland,Coal Township 2,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Coal Township 2,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,3
Northumberland,Coal Township 2,Write In Votes,U.S. Senate,,,0
Northumberland,Coal Township 2,Tom Wolf,Governor,,DEM,175
Northumberland,Coal Township 2,Scott R. Wagner,Governor,,REP,114
Northumberland,Coal Township 2,Paul Glover,Governor,,GRE,5
Northumberland,Coal Township 2,Ken V. Krawchuk,Governor,,LIB,6
Northumberland,Coal Township 2,Write In Votes,Governor,,,0
Northumberland,Coal Township 2,Denny Wolff,U.S. House,9,DEM,140
Northumberland,Coal Township 2,Dan Meuser,U.S. House,9,REP,153
Northumberland,Coal Township 2,Write In Votes,U.S. House,9,,0
Northumberland,Coal Township 2,Sarah Donnelly,State House,107,DEM,107
Northumberland,Coal Township 2,Kurt A. Masser,State House,107,REP,191
Northumberland,Coal Township 2,Write In Votes,State House,107,,1
Northumberland,Mount Carmel Township - West,,Ballots Cast,,,313
Northumberland,Mount Carmel Township - West,,Straight Party,,DEM,53
Northumberland,Mount Carmel Township - West,,Straight Party,,REP,92
Northumberland,Mount Carmel Township - West,,Straight Party,,GRE,1
Northumberland,Mount Carmel Township - West,,Straight Party,,LIB,0
Northumberland,Mount Carmel Township - West,"Bob Casey, Jr.",U.S. Senate,,DEM,128
Northumberland,Mount Carmel Township - West,Lou Barletta,U.S. Senate,,REP,179
Northumberland,Mount Carmel Township - West,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Mount Carmel Township - West,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,2
Northumberland,Mount Carmel Township - West,Write In Votes,U.S. Senate,,,0
Northumberland,Mount Carmel Township - West,Tom Wolf,Governor,,DEM,154
Northumberland,Mount Carmel Township - West,Scott R. Wagner,Governor,,REP,147
Northumberland,Mount Carmel Township - West,Paul Glover,Governor,,GRE,1
Northumberland,Mount Carmel Township - West,Ken V. Krawchuk,Governor,,LIB,4
Northumberland,Mount Carmel Township - West,Write In Votes,Governor,,,0
Northumberland,Mount Carmel Township - West,Denny Wolff,U.S. House,9,DEM,137
Northumberland,Mount Carmel Township - West,Dan Meuser,U.S. House,9,REP,165
Northumberland,Mount Carmel Township - West,Write In Votes,U.S. House,9,,0
Northumberland,Mount Carmel Township - West,Sarah Donnelly,State House,107,DEM,113
Northumberland,Mount Carmel Township - West,Kurt A. Masser,State House,107,REP,196
Northumberland,Mount Carmel Township - West,Write In Votes,State House,107,,0
Northumberland,Ralpho Township 1,,Ballots Cast,,,1506
Northumberland,Ralpho Township 1,,Straight Party,,DEM,184
Northumberland,Ralpho Township 1,,Straight Party,,REP,533
Northumberland,Ralpho Township 1,,Straight Party,,GRE,2
Northumberland,Ralpho Township 1,,Straight Party,,LIB,2
Northumberland,Ralpho Township 1,"Bob Casey, Jr.",U.S. Senate,,DEM,488
Northumberland,Ralpho Township 1,Lou Barletta,U.S. Senate,,REP,992
Northumberland,Ralpho Township 1,Neal Gale,U.S. Senate,,GRE,4
Northumberland,Ralpho Township 1,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,7
Northumberland,Ralpho Township 1,Write In Votes,U.S. Senate,,,0
Northumberland,Ralpho Township 1,Tom Wolf,Governor,,DEM,591
Northumberland,Ralpho Township 1,Scott R. Wagner,Governor,,REP,868
Northumberland,Ralpho Township 1,Paul Glover,Governor,,GRE,9
Northumberland,Ralpho Township 1,Ken V. Krawchuk,Governor,,LIB,17
Northumberland,Ralpho Township 1,Write In Votes,Governor,,,1
Northumberland,Ralpho Township 1,Denny Wolff,U.S. House,9,DEM,481
Northumberland,Ralpho Township 1,Dan Meuser,U.S. House,9,REP,989
Northumberland,Ralpho Township 1,Write In Votes,U.S. House,9,,0
Northumberland,Ralpho Township 1,Sarah Donnelly,State House,107,DEM,359
Northumberland,Ralpho Township 1,Kurt A. Masser,State House,107,REP,1118
Northumberland,Ralpho Township 1,Write In Votes,State House,107,,1
Northumberland,Ralpho Township 2,,Ballots Cast,,,353
Northumberland,Ralpho Township 2,,Straight Party,,DEM,40
Northumberland,Ralpho Township 2,,Straight Party,,REP,130
Northumberland,Ralpho Township 2,,Straight Party,,GRE,0
Northumberland,Ralpho Township 2,,Straight Party,,LIB,1
Northumberland,Ralpho Township 2,"Bob Casey, Jr.",U.S. Senate,,DEM,109
Northumberland,Ralpho Township 2,Lou Barletta,U.S. Senate,,REP,236
Northumberland,Ralpho Township 2,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Ralpho Township 2,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,2
Northumberland,Ralpho Township 2,Write In Votes,U.S. Senate,,,0
Northumberland,Ralpho Township 2,Tom Wolf,Governor,,DEM,142
Northumberland,Ralpho Township 2,Scott R. Wagner,Governor,,REP,194
Northumberland,Ralpho Township 2,Paul Glover,Governor,,GRE,5
Northumberland,Ralpho Township 2,Ken V. Krawchuk,Governor,,LIB,3
Northumberland,Ralpho Township 2,Write In Votes,Governor,,,0
Northumberland,Ralpho Township 2,Denny Wolff,U.S. House,9,DEM,110
Northumberland,Ralpho Township 2,Dan Meuser,U.S. House,9,REP,237
Northumberland,Ralpho Township 2,Write In Votes,U.S. House,9,,0
Northumberland,Ralpho Township 2,Sarah Donnelly,State House,107,DEM,87
Northumberland,Ralpho Township 2,Kurt A. Masser,State House,107,REP,261
Northumberland,Ralpho Township 2,Write In Votes,State House,107,,0
Northumberland,Shamokin City 1,,Ballots Cast,,,309
Northumberland,Shamokin City 1,,Straight Party,,DEM,47
Northumberland,Shamokin City 1,,Straight Party,,REP,79
Northumberland,Shamokin City 1,,Straight Party,,GRE,0
Northumberland,Shamokin City 1,,Straight Party,,LIB,2
Northumberland,Shamokin City 1,"Bob Casey, Jr.",U.S. Senate,,DEM,118
Northumberland,Shamokin City 1,Lou Barletta,U.S. Senate,,REP,178
Northumberland,Shamokin City 1,Neal Gale,U.S. Senate,,GRE,2
Northumberland,Shamokin City 1,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,5
Northumberland,Shamokin City 1,Write In Votes,U.S. Senate,,,0
Northumberland,Shamokin City 1,Tom Wolf,Governor,,DEM,146
Northumberland,Shamokin City 1,Scott R. Wagner,Governor,,REP,150
Northumberland,Shamokin City 1,Paul Glover,Governor,,GRE,0
Northumberland,Shamokin City 1,Ken V. Krawchuk,Governor,,LIB,6
Northumberland,Shamokin City 1,Write In Votes,Governor,,,0
Northumberland,Shamokin City 1,Denny Wolff,U.S. House,9,DEM,120
Northumberland,Shamokin City 1,Dan Meuser,U.S. House,9,REP,180
Northumberland,Shamokin City 1,Write In Votes,U.S. House,9,,0
Northumberland,Shamokin City 1,Sarah Donnelly,State House,107,DEM,102
Northumberland,Shamokin City 1,Kurt A. Masser,State House,107,REP,195
Northumberland,Shamokin City 1,Write In Votes,State House,107,,1
Northumberland,Shamokin City 2,,Ballots Cast,,,176
Northumberland,Shamokin City 2,,Straight Party,,DEM,23
Northumberland,Shamokin City 2,,Straight Party,,REP,78
Northumberland,Shamokin City 2,,Straight Party,,GRE,0
Northumberland,Shamokin City 2,,Straight Party,,LIB,2
Northumberland,Shamokin City 2,"Bob Casey, Jr.",U.S. Senate,,DEM,56
Northumberland,Shamokin City 2,Lou Barletta,U.S. Senate,,REP,114
Northumberland,Shamokin City 2,Neal Gale,U.S. Senate,,GRE,1
Northumberland,Shamokin City 2,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,4
Northumberland,Shamokin City 2,Write In Votes,U.S. Senate,,,0
Northumberland,Shamokin City 2,Tom Wolf,Governor,,DEM,65
Northumberland,Shamokin City 2,Scott R. Wagner,Governor,,REP,103
Northumberland,Shamokin City 2,Paul Glover,Governor,,GRE,1
Northumberland,Shamokin City 2,Ken V. Krawchuk,Governor,,LIB,3
Northumberland,Shamokin City 2,Write In Votes,Governor,,,0
Northumberland,Shamokin City 2,Denny Wolff,U.S. House,9,DEM,53
Northumberland,Shamokin City 2,Dan Meuser,U.S. House,9,REP,119
Northumberland,Shamokin City 2,Write In Votes,U.S. House,9,,0
Northumberland,Shamokin City 2,Sarah Donnelly,State House,107,DEM,46
Northumberland,Shamokin City 2,Kurt A. Masser,State House,107,REP,122
Northumberland,Shamokin City 2,Write In Votes,State House,107,,1
Northumberland,Shamokin City 3,,Ballots Cast,,,119
Northumberland,Shamokin City 3,,Straight Party,,DEM,24
Northumberland,Shamokin City 3,,Straight Party,,REP,20
Northumberland,Shamokin City 3,,Straight Party,,GRE,0
Northumberland,Shamokin City 3,,Straight Party,,LIB,0
Northumberland,Shamokin City 3,"Bob Casey, Jr.",U.S. Senate,,DEM,52
Northumberland,Shamokin City 3,Lou Barletta,U.S. Senate,,REP,63
Northumberland,Shamokin City 3,Neal Gale,U.S. Senate,,GRE,2
Northumberland,Shamokin City 3,"Dale R. Kerns, Jr.",U. S. Senate,,LIB,0
Northumberland,Shamokin City 3,Write In Votes,U.S. Senate,,,0
Northumberland,Shamokin City 3,Tom Wolf,Governor,,DEM,69
Northumberland,Shamokin City 3,Scott R. Wagner,Governor,,REP,48
Northumberland,Shamokin City 3,Paul Glover,Governor,,GRE,1
Northumberland,Shamokin City 3,Ken V. Krawchuk,Governor,,LIB,0
Northumberland,Shamokin City 3,Write In Votes,Governor,,,0
Northumberland,Shamokin City 3,Denny Wolff,U.S. House,9,DEM,48
Northumberland,Shamokin City 3,Dan Meuser,U.S. House,9,REP,64
Northumberland,Shamokin City 3,Write In Votes,U.S. House,9,,2
