county,precinct,office,district,candidate,party,votes,election_day,absentee,provisional,military,federal
Cumberland,DICKINSON NORTH,U.S. Senate,,"BOB CASEY, JR",DEM,693,650.0,41.0,0.0,1.0,1.0
Cumberland,DICKINSON SOUTH,U.S. Senate,,"BOB CASEY, JR",DEM,176,167.0,9.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 1,U.S. Senate,,"BOB CASEY, JR",DEM,443,410.0,33.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 2,U.S. Senate,,"BOB CASEY, JR",DEM,401,387.0,13.0,0.0,0.0,1.0
Cumberland,EAST PENNSBORO 3,U.S. Senate,,"BOB CASEY, JR",DEM,755,729.0,26.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 4,U.S. Senate,,"BOB CASEY, JR",DEM,393,379.0,14.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 5,U.S. Senate,,"BOB CASEY, JR",DEM,372,363.0,9.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 6,U.S. Senate,,"BOB CASEY, JR",DEM,179,174.0,3.0,2.0,0.0,0.0
Cumberland,EAST PENNSBORO 7,U.S. Senate,,"BOB CASEY, JR",DEM,447,418.0,28.0,0.0,1.0,0.0
Cumberland,EAST PENNSBORO 8,U.S. Senate,,"BOB CASEY, JR",DEM,421,407.0,14.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 9,U.S. Senate,,"BOB CASEY, JR",DEM,430,417.0,13.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 10,U.S. Senate,,"BOB CASEY, JR",DEM,202,197.0,4.0,0.0,0.0,1.0
Cumberland,HAMPDEN 1,U.S. Senate,,"BOB CASEY, JR",DEM,361,355.0,6.0,0.0,0.0,0.0
Cumberland,HAMPDEN 2,U.S. Senate,,"BOB CASEY, JR",DEM,440,418.0,22.0,0.0,0.0,0.0
Cumberland,HAMPDEN 3,U.S. Senate,,"BOB CASEY, JR",DEM,478,447.0,30.0,0.0,0.0,1.0
Cumberland,HAMPDEN 4,U.S. Senate,,"BOB CASEY, JR",DEM,520,486.0,32.0,0.0,1.0,1.0
Cumberland,HAMPDEN 5,U.S. Senate,,"BOB CASEY, JR",DEM,511,485.0,25.0,0.0,0.0,1.0
Cumberland,HAMPDEN 6,U.S. Senate,,"BOB CASEY, JR",DEM,716,682.0,32.0,1.0,0.0,1.0
Cumberland,HAMPDEN 7,U.S. Senate,,"BOB CASEY, JR",DEM,367,339.0,26.0,0.0,0.0,2.0
Cumberland,HAMPDEN 8,U.S. Senate,,"BOB CASEY, JR",DEM,280,273.0,6.0,0.0,1.0,0.0
Cumberland,HAMPDEN 9,U.S. Senate,,"BOB CASEY, JR",DEM,436,404.0,30.0,0.0,1.0,1.0
Cumberland,HAMPDEN 10,U.S. Senate,,"BOB CASEY, JR",DEM,1195,1099.0,93.0,0.0,0.0,3.0
Cumberland,HAMPDEN 11,U.S. Senate,,"BOB CASEY, JR",DEM,1094,1028.0,62.0,0.0,1.0,3.0
Cumberland,HAMPDEN 12,U.S. Senate,,"BOB CASEY, JR",DEM,587,550.0,37.0,0.0,0.0,0.0
Cumberland,HOPEWELL,U.S. Senate,,"BOB CASEY, JR",DEM,238,232.0,6.0,0.0,0.0,0.0
Cumberland,LEMOYNE 1,U.S. Senate,,"BOB CASEY, JR",DEM,215,211.0,3.0,1.0,0.0,0.0
Cumberland,LEMOYNE 2,U.S. Senate,,"BOB CASEY, JR",DEM,202,193.0,8.0,0.0,1.0,0.0
Cumberland,LEMOYNE 3,U.S. Senate,,"BOB CASEY, JR",DEM,516,479.0,35.0,0.0,0.0,2.0
Cumberland,LEMOYNE 4,U.S. Senate,,"BOB CASEY, JR",DEM,150,145.0,5.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1 ANNEX,U.S. Senate,,"BOB CASEY, JR",DEM,92,90.0,2.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1,U.S. Senate,,"BOB CASEY, JR",DEM,318,316.0,2.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 2,U.S. Senate,,"BOB CASEY, JR",DEM,884,840.0,44.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 3,U.S. Senate,,"BOB CASEY, JR",DEM,558,529.0,28.0,0.0,0.0,1.0
Cumberland,LOWER ALLEN 4,U.S. Senate,,"BOB CASEY, JR",DEM,402,381.0,20.0,0.0,0.0,1.0
Cumberland,LOWER ALLEN 5,U.S. Senate,,"BOB CASEY, JR",DEM,930,884.0,45.0,0.0,0.0,1.0
Cumberland,LOWER ALLEN 6,U.S. Senate,,"BOB CASEY, JR",DEM,571,550.0,18.0,0.0,0.0,3.0
Cumberland,LOWER FRANKFORD,U.S. Senate,,"BOB CASEY, JR",DEM,200,192.0,8.0,0.0,0.0,0.0
Cumberland,LOWER MIFFLIN,U.S. Senate,,"BOB CASEY, JR",DEM,158,149.0,9.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 1,U.S. Senate,,"BOB CASEY, JR",DEM,238,231.0,6.0,0.0,1.0,0.0
Cumberland,MECHANICSBURG 2-1,U.S. Senate,,"BOB CASEY, JR",DEM,363,343.0,20.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-2,U.S. Senate,,"BOB CASEY, JR",DEM,428,404.0,24.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 3,U.S. Senate,,"BOB CASEY, JR",DEM,348,333.0,15.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 4,U.S. Senate,,"BOB CASEY, JR",DEM,194,186.0,6.0,0.0,1.0,1.0
Cumberland,MECHANICSBURG 5,U.S. Senate,,"BOB CASEY, JR",DEM,334,325.0,8.0,0.0,1.0,0.0
Cumberland,MIDDLESEX 1,U.S. Senate,,"BOB CASEY, JR",DEM,559,525.0,32.0,1.0,0.0,1.0
Cumberland,MIDDLESEX 2,U.S. Senate,,"BOB CASEY, JR",DEM,330,308.0,21.0,0.0,0.0,1.0
Cumberland,MONROE 1,U.S. Senate,,"BOB CASEY, JR",DEM,637,595.0,41.0,1.0,0.0,0.0
Cumberland,MONROE 2,U.S. Senate,,"BOB CASEY, JR",DEM,486,463.0,22.0,0.0,0.0,1.0
Cumberland,MT HOLLY SPRINGS,U.S. Senate,,"BOB CASEY, JR",DEM,264,251.0,13.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 1-1,U.S. Senate,,"BOB CASEY, JR",DEM,499,487.0,11.0,0.0,1.0,0.0
Cumberland,NEW CUMBERLAND 2-1,U.S. Senate,,"BOB CASEY, JR",DEM,436,430.0,6.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-2,U.S. Senate,,"BOB CASEY, JR",DEM,465,443.0,22.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-3,U.S. Senate,,"BOB CASEY, JR",DEM,334,318.0,15.0,1.0,0.0,0.0
Cumberland,NEWBURG,U.S. Senate,,"BOB CASEY, JR",DEM,32,30.0,2.0,0.0,0.0,0.0
Cumberland,NEWVILLE NORTH,U.S. Senate,,"BOB CASEY, JR",DEM,85,84.0,1.0,0.0,0.0,0.0
Cumberland,NEWVILLE SOUTH,U.S. Senate,,"BOB CASEY, JR",DEM,78,76.0,2.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 1,U.S. Senate,,"BOB CASEY, JR",DEM,572,549.0,22.0,0.0,1.0,0.0
Cumberland,NORTH MIDDLETON 2,U.S. Senate,,"BOB CASEY, JR",DEM,477,464.0,13.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 3,U.S. Senate,,"BOB CASEY, JR",DEM,862,825.0,35.0,0.0,2.0,0.0
Cumberland,NORTH NEWTON,U.S. Senate,,"BOB CASEY, JR",DEM,200,190.0,10.0,0.0,0.0,0.0
Cumberland,PENN,U.S. Senate,,"BOB CASEY, JR",DEM,318,309.0,9.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG EAST,U.S. Senate,,"BOB CASEY, JR",DEM,286,274.0,12.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG MIDDLE,U.S. Senate,,"BOB CASEY, JR",DEM,297,283.0,11.0,0.0,1.0,2.0
Cumberland,SHIPPENSBURG TWP,U.S. Senate,,"BOB CASEY, JR",DEM,541,531.0,7.0,3.0,0.0,0.0
Cumberland,SHIREMANSTOWN,U.S. Senate,,"BOB CASEY, JR",DEM,358,348.0,9.0,0.0,0.0,1.0
Cumberland,SILVER SPRING 1,U.S. Senate,,"BOB CASEY, JR",DEM,516,493.0,22.0,0.0,0.0,1.0
Cumberland,SILVER SPRING 2,U.S. Senate,,"BOB CASEY, JR",DEM,382,361.0,20.0,0.0,0.0,1.0
Cumberland,SILVER SPRING 3,U.S. Senate,,"BOB CASEY, JR",DEM,405,395.0,10.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 4,U.S. Senate,,"BOB CASEY, JR",DEM,521,491.0,30.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 5,U.S. Senate,,"BOB CASEY, JR",DEM,392,373.0,19.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 6,U.S. Senate,,"BOB CASEY, JR",DEM,291,273.0,18.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 7,U.S. Senate,,"BOB CASEY, JR",DEM,727,683.0,42.0,0.0,1.0,1.0
Cumberland,SILVER SPRING 8,U.S. Senate,,"BOB CASEY, JR",DEM,269,255.0,14.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 9,U.S. Senate,,"BOB CASEY, JR",DEM,234,225.0,9.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 1,U.S. Senate,,"BOB CASEY, JR",DEM,258,236.0,19.0,0.0,3.0,0.0
Cumberland,SOUTH MIDDLETON 2,U.S. Senate,,"BOB CASEY, JR",DEM,334,311.0,21.0,0.0,0.0,2.0
Cumberland,SOUTH MIDDLETON 3,U.S. Senate,,"BOB CASEY, JR",DEM,341,320.0,20.0,0.0,0.0,1.0
Cumberland,SOUTH MIDDLETON 4,U.S. Senate,,"BOB CASEY, JR",DEM,370,317.0,53.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 5,U.S. Senate,,"BOB CASEY, JR",DEM,235,222.0,13.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 6,U.S. Senate,,"BOB CASEY, JR",DEM,355,331.0,24.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 7,U.S. Senate,,"BOB CASEY, JR",DEM,288,266.0,21.0,0.0,0.0,1.0
Cumberland,SOUTH MIDDLETON 8,U.S. Senate,,"BOB CASEY, JR",DEM,367,350.0,17.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 9,U.S. Senate,,"BOB CASEY, JR",DEM,332,308.0,23.0,0.0,1.0,0.0
Cumberland,SOUTH NEWTON,U.S. Senate,,"BOB CASEY, JR",DEM,132,130.0,2.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON LOWER,U.S. Senate,,"BOB CASEY, JR",DEM,161,159.0,2.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON UPPER 1,U.S. Senate,,"BOB CASEY, JR",DEM,211,204.0,6.0,0.0,0.0,1.0
Cumberland,SOUTHAMPTON UPPER 2,U.S. Senate,,"BOB CASEY, JR",DEM,419,408.0,11.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 1,U.S. Senate,,"BOB CASEY, JR",DEM,353,334.0,18.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 2,U.S. Senate,,"BOB CASEY, JR",DEM,178,165.0,13.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 3,U.S. Senate,,"BOB CASEY, JR",DEM,429,404.0,25.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 4,U.S. Senate,,"BOB CASEY, JR",DEM,497,470.0,24.0,0.0,1.0,2.0
Cumberland,UPPER ALLEN 5,U.S. Senate,,"BOB CASEY, JR",DEM,436,414.0,20.0,1.0,0.0,1.0
Cumberland,UPPER ALLEN 6,U.S. Senate,,"BOB CASEY, JR",DEM,382,364.0,17.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 7,U.S. Senate,,"BOB CASEY, JR",DEM,326,308.0,18.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 8,U.S. Senate,,"BOB CASEY, JR",DEM,718,679.0,38.0,0.0,0.0,1.0
Cumberland,UPPER ALLEN 9,U.S. Senate,,"BOB CASEY, JR",DEM,489,475.0,14.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 10,U.S. Senate,,"BOB CASEY, JR",DEM,457,445.0,7.0,5.0,0.0,0.0
Cumberland,UPPER FRANKFORD,U.S. Senate,,"BOB CASEY, JR",DEM,172,165.0,7.0,0.0,0.0,0.0
Cumberland,UPPER MIFFLIN,U.S. Senate,,"BOB CASEY, JR",DEM,98,92.0,6.0,0.0,0.0,0.0
Cumberland,WEST PENNSBORO LOWER,U.S. Senate,,"BOB CASEY, JR",DEM,318,302.0,15.0,0.0,1.0,0.0
Cumberland,WEST PENNSBORO UPPER,U.S. Senate,,"BOB CASEY, JR",DEM,405,380.0,25.0,0.0,0.0,0.0
Cumberland,WORMLEYSBURG 1,U.S. Senate,,"BOB CASEY, JR",DEM,238,228.0,9.0,1.0,0.0,0.0
Cumberland,WORMLEYSBURG 2,U.S. Senate,,"BOB CASEY, JR",DEM,355,341.0,13.0,1.0,0.0,0.0
Cumberland,Total,U.S. Senate,,"BOB CASEY, JR",DEM,47738,45364.0,2263.0,21.0,37.0,53.0
Cumberland,CAMP HILL 1,U.S. Senate,,LOU BARLETTA,REP,287,275.0,12.0,0.0,0.0,0.0
Cumberland,CAMP HILL 2,U.S. Senate,,LOU BARLETTA,REP,407,393.0,14.0,0.0,0.0,0.0
Cumberland,CAMP HILL 3,U.S. Senate,,LOU BARLETTA,REP,557,531.0,25.0,1.0,0.0,0.0
Cumberland,CAMP HILL 4,U.S. Senate,,LOU BARLETTA,REP,205,198.0,7.0,0.0,0.0,0.0
Cumberland,CAMP HILL 5,U.S. Senate,,LOU BARLETTA,REP,283,275.0,8.0,0.0,0.0,0.0
Cumberland,CARLISLE 1-1,U.S. Senate,,LOU BARLETTA,REP,100,99.0,1.0,0.0,0.0,0.0
Cumberland,CARLISLE 1-2,U.S. Senate,,LOU BARLETTA,REP,128,125.0,3.0,0.0,0.0,0.0
Cumberland,CARLISLE 2,U.S. Senate,,LOU BARLETTA,REP,230,223.0,6.0,1.0,0.0,0.0
Cumberland,CARLISLE 3-1,U.S. Senate,,LOU BARLETTA,REP,216,201.0,15.0,0.0,0.0,0.0
Cumberland,CARLISLE 3-2,U.S. Senate,,LOU BARLETTA,REP,415,369.0,45.0,1.0,0.0,0.0
Cumberland,CARLISLE 3-3,U.S. Senate,,LOU BARLETTA,REP,560,508.0,52.0,0.0,0.0,0.0
Cumberland,CARLISLE 4-1,U.S. Senate,,LOU BARLETTA,REP,61,55.0,6.0,0.0,0.0,0.0
Cumberland,CARLISLE 4-2,U.S. Senate,,LOU BARLETTA,REP,375,354.0,19.0,0.0,2.0,0.0
Cumberland,CARLISLE 5,U.S. Senate,,LOU BARLETTA,REP,573,549.0,22.0,0.0,2.0,0.0
Cumberland,COOKE,U.S. Senate,,LOU BARLETTA,REP,66,65.0,1.0,0.0,0.0,0.0
Cumberland,DICKINSON NORTH,U.S. Senate,,LOU BARLETTA,REP,1153,1078.0,73.0,1.0,1.0,0.0
Cumberland,DICKINSON SOUTH,U.S. Senate,,LOU BARLETTA,REP,428,416.0,11.0,1.0,0.0,0.0
Cumberland,EAST PENNSBORO 1,U.S. Senate,,LOU BARLETTA,REP,518,494.0,24.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 2,U.S. Senate,,LOU BARLETTA,REP,458,444.0,14.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 3,U.S. Senate,,LOU BARLETTA,REP,488,474.0,12.0,0.0,2.0,0.0
Cumberland,EAST PENNSBORO 4,U.S. Senate,,LOU BARLETTA,REP,468,456.0,12.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 5,U.S. Senate,,LOU BARLETTA,REP,395,387.0,8.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 6,U.S. Senate,,LOU BARLETTA,REP,146,136.0,9.0,0.0,0.0,1.0
Cumberland,EAST PENNSBORO 7,U.S. Senate,,LOU BARLETTA,REP,518,499.0,18.0,0.0,1.0,0.0
Cumberland,EAST PENNSBORO 8,U.S. Senate,,LOU BARLETTA,REP,445,429.0,16.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 9,U.S. Senate,,LOU BARLETTA,REP,403,392.0,11.0,0.0,0.0,0.0
Cumberland,EAST PENNSBORO 10,U.S. Senate,,LOU BARLETTA,REP,367,346.0,21.0,0.0,0.0,0.0
Cumberland,HAMPDEN 1,U.S. Senate,,LOU BARLETTA,REP,376,370.0,6.0,0.0,0.0,0.0
Cumberland,HAMPDEN 2,U.S. Senate,,LOU BARLETTA,REP,358,346.0,11.0,1.0,0.0,0.0
Cumberland,HAMPDEN 3,U.S. Senate,,LOU BARLETTA,REP,448,426.0,22.0,0.0,0.0,0.0
Cumberland,HAMPDEN 4,U.S. Senate,,LOU BARLETTA,REP,437,423.0,14.0,0.0,0.0,0.0
Cumberland,HAMPDEN 5,U.S. Senate,,LOU BARLETTA,REP,466,444.0,22.0,0.0,0.0,0.0
Cumberland,HAMPDEN 6,U.S. Senate,,LOU BARLETTA,REP,717,686.0,31.0,0.0,0.0,0.0
Cumberland,HAMPDEN 7,U.S. Senate,,LOU BARLETTA,REP,404,381.0,23.0,0.0,0.0,0.0
Cumberland,HAMPDEN 8,U.S. Senate,,LOU BARLETTA,REP,319,303.0,15.0,0.0,1.0,0.0
Cumberland,HAMPDEN 9,U.S. Senate,,LOU BARLETTA,REP,572,538.0,34.0,0.0,0.0,0.0
Cumberland,HAMPDEN 10,U.S. Senate,,LOU BARLETTA,REP,1350,1287.0,63.0,0.0,0.0,0.0
Cumberland,HAMPDEN 11,U.S. Senate,,LOU BARLETTA,REP,1156,1102.0,54.0,0.0,0.0,0.0
Cumberland,HAMPDEN 12,U.S. Senate,,LOU BARLETTA,REP,846,811.0,35.0,0.0,0.0,0.0
Cumberland,HOPEWELL,U.S. Senate,,LOU BARLETTA,REP,566,550.0,16.0,0.0,0.0,0.0
Cumberland,LEMOYNE 1,U.S. Senate,,LOU BARLETTA,REP,149,146.0,3.0,0.0,0.0,0.0
Cumberland,LEMOYNE 2,U.S. Senate,,LOU BARLETTA,REP,112,109.0,3.0,0.0,0.0,0.0
Cumberland,LEMOYNE 3,U.S. Senate,,LOU BARLETTA,REP,400,376.0,24.0,0.0,0.0,0.0
Cumberland,LEMOYNE 4,U.S. Senate,,LOU BARLETTA,REP,135,135.0,0.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1 ANNEX,U.S. Senate,,LOU BARLETTA,REP,87,86.0,1.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 1,U.S. Senate,,LOU BARLETTA,REP,335,327.0,8.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 2,U.S. Senate,,LOU BARLETTA,REP,1101,1049.0,48.0,0.0,2.0,2.0
Cumberland,LOWER ALLEN 3,U.S. Senate,,LOU BARLETTA,REP,432,420.0,12.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 4,U.S. Senate,,LOU BARLETTA,REP,307,300.0,7.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 5,U.S. Senate,,LOU BARLETTA,REP,893,839.0,54.0,0.0,0.0,0.0
Cumberland,LOWER ALLEN 6,U.S. Senate,,LOU BARLETTA,REP,542,516.0,26.0,0.0,0.0,0.0
Cumberland,LOWER FRANKFORD,U.S. Senate,,LOU BARLETTA,REP,438,421.0,15.0,0.0,0.0,2.0
Cumberland,LOWER MIFFLIN,U.S. Senate,,LOU BARLETTA,REP,416,412.0,4.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 1,U.S. Senate,,LOU BARLETTA,REP,177,169.0,8.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-1,U.S. Senate,,LOU BARLETTA,REP,364,352.0,12.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 2-2,U.S. Senate,,LOU BARLETTA,REP,514,502.0,12.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 3,U.S. Senate,,LOU BARLETTA,REP,305,300.0,5.0,0.0,0.0,0.0
Cumberland,MECHANICSBURG 4,U.S. Senate,,LOU BARLETTA,REP,191,182.0,8.0,0.0,1.0,0.0
Cumberland,MECHANICSBURG 5,U.S. Senate,,LOU BARLETTA,REP,354,342.0,12.0,0.0,0.0,0.0
Cumberland,MIDDLESEX 1,U.S. Senate,,LOU BARLETTA,REP,1096,1052.0,43.0,1.0,0.0,0.0
Cumberland,MIDDLESEX 2,U.S. Senate,,LOU BARLETTA,REP,515,497.0,18.0,0.0,0.0,0.0
Cumberland,MONROE 1,U.S. Senate,,LOU BARLETTA,REP,1010,954.0,56.0,0.0,0.0,0.0
Cumberland,MONROE 2,U.S. Senate,,LOU BARLETTA,REP,767,730.0,36.0,1.0,0.0,0.0
Cumberland,MT HOLLY SPRINGS,U.S. Senate,,LOU BARLETTA,REP,330,324.0,6.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 1-1,U.S. Senate,,LOU BARLETTA,REP,480,466.0,11.0,0.0,3.0,0.0
Cumberland,NEW CUMBERLAND 2-1,U.S. Senate,,LOU BARLETTA,REP,364,355.0,8.0,0.0,1.0,0.0
Cumberland,NEW CUMBERLAND 2-2,U.S. Senate,,LOU BARLETTA,REP,393,372.0,21.0,0.0,0.0,0.0
Cumberland,NEW CUMBERLAND 2-3,U.S. Senate,,LOU BARLETTA,REP,289,281.0,8.0,0.0,0.0,0.0
Cumberland,NEWBURG,U.S. Senate,,LOU BARLETTA,REP,82,82.0,0.0,0.0,0.0,0.0
Cumberland,NEWVILLE NORTH,U.S. Senate,,LOU BARLETTA,REP,137,133.0,4.0,0.0,0.0,0.0
Cumberland,NEWVILLE SOUTH,U.S. Senate,,LOU BARLETTA,REP,107,106.0,1.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 1,U.S. Senate,,LOU BARLETTA,REP,832,804.0,26.0,0.0,1.0,1.0
Cumberland,NORTH MIDDLETON 2,U.S. Senate,,LOU BARLETTA,REP,555,539.0,16.0,0.0,0.0,0.0
Cumberland,NORTH MIDDLETON 3,U.S. Senate,,LOU BARLETTA,REP,1134,1072.0,61.0,0.0,1.0,0.0
Cumberland,NORTH NEWTON,U.S. Senate,,LOU BARLETTA,REP,595,583.0,12.0,0.0,0.0,0.0
Cumberland,PENN,U.S. Senate,,LOU BARLETTA,REP,727,710.0,17.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG EAST,U.S. Senate,,LOU BARLETTA,REP,282,265.0,17.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG MIDDLE,U.S. Senate,,LOU BARLETTA,REP,225,220.0,5.0,0.0,0.0,0.0
Cumberland,SHIPPENSBURG TWP,U.S. Senate,,LOU BARLETTA,REP,318,310.0,6.0,2.0,0.0,0.0
Cumberland,SHIREMANSTOWN,U.S. Senate,,LOU BARLETTA,REP,339,332.0,7.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 1,U.S. Senate,,LOU BARLETTA,REP,710,681.0,28.0,0.0,1.0,0.0
Cumberland,SILVER SPRING 2,U.S. Senate,,LOU BARLETTA,REP,503,475.0,26.0,0.0,0.0,2.0
Cumberland,SILVER SPRING 3,U.S. Senate,,LOU BARLETTA,REP,417,402.0,15.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 4,U.S. Senate,,LOU BARLETTA,REP,607,578.0,29.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 5,U.S. Senate,,LOU BARLETTA,REP,452,429.0,23.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 6,U.S. Senate,,LOU BARLETTA,REP,282,255.0,27.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 7,U.S. Senate,,LOU BARLETTA,REP,669,645.0,24.0,0.0,0.0,0.0
Cumberland,SILVER SPRING 8,U.S. Senate,,LOU BARLETTA,REP,511,483.0,27.0,0.0,1.0,0.0
Cumberland,SILVER SPRING 9,U.S. Senate,,LOU BARLETTA,REP,426,398.0,26.0,0.0,2.0,0.0
Cumberland,SOUTH MIDDLETON 1,U.S. Senate,,LOU BARLETTA,REP,544,522.0,22.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 2,U.S. Senate,,LOU BARLETTA,REP,456,433.0,23.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 3,U.S. Senate,,LOU BARLETTA,REP,467,443.0,23.0,0.0,1.0,0.0
Cumberland,SOUTH MIDDLETON 4,U.S. Senate,,LOU BARLETTA,REP,476,428.0,48.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 5,U.S. Senate,,LOU BARLETTA,REP,450,433.0,16.0,1.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 6,U.S. Senate,,LOU BARLETTA,REP,536,512.0,23.0,0.0,1.0,0.0
Cumberland,SOUTH MIDDLETON 7,U.S. Senate,,LOU BARLETTA,REP,465,444.0,21.0,0.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 8,U.S. Senate,,LOU BARLETTA,REP,478,457.0,20.0,1.0,0.0,0.0
Cumberland,SOUTH MIDDLETON 9,U.S. Senate,,LOU BARLETTA,REP,499,464.0,34.0,0.0,1.0,0.0
Cumberland,SOUTH NEWTON,U.S. Senate,,LOU BARLETTA,REP,301,291.0,10.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON LOWER,U.S. Senate,,LOU BARLETTA,REP,361,346.0,15.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON UPPER 1,U.S. Senate,,LOU BARLETTA,REP,312,304.0,8.0,0.0,0.0,0.0
Cumberland,SOUTHAMPTON UPPER 2,U.S. Senate,,LOU BARLETTA,REP,837,812.0,24.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 1,U.S. Senate,,LOU BARLETTA,REP,448,430.0,17.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 2,U.S. Senate,,LOU BARLETTA,REP,198,192.0,6.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 3,U.S. Senate,,LOU BARLETTA,REP,540,527.0,12.0,1.0,0.0,0.0
Cumberland,UPPER ALLEN 4,U.S. Senate,,LOU BARLETTA,REP,510,494.0,16.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 5,U.S. Senate,,LOU BARLETTA,REP,536,506.0,29.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 6,U.S. Senate,,LOU BARLETTA,REP,594,565.0,29.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 7,U.S. Senate,,LOU BARLETTA,REP,398,383.0,14.0,0.0,0.0,1.0
Cumberland,UPPER ALLEN 8,U.S. Senate,,LOU BARLETTA,REP,761,735.0,25.0,0.0,1.0,0.0
Cumberland,UPPER ALLEN 9,U.S. Senate,,LOU BARLETTA,REP,521,499.0,22.0,0.0,0.0,0.0
Cumberland,UPPER ALLEN 10,U.S. Senate,,LOU BARLETTA,REP,259,247.0,11.0,1.0,0.0,0.0
Cumberland,UPPER FRANKFORD,U.S. Senate,,LOU BARLETTA,REP,587,573.0,14.0,0.0,0.0,0.0
Cumberland,UPPER MIFFLIN,U.S. Senate,,LOU BARLETTA,REP,365,346.0,19.0,0.0,0.0,0.0
Cumberland,WEST PENNSBORO LOWER,U.S. Senate,,LOU BARLETTA,REP,698,676.0,21.0,0.0,1.0,0.0
