county,precinct,office,district,party,candidate,votes,absentee,military,ivo,provisional
Luzerne,DALLAS BORO W 01,STRAIGHT PARTY,,DEM,Democratic,73,5,0,68,0
Luzerne,DALLAS BORO W 02,STRAIGHT PARTY,,DEM,Democratic,122,6,0,116,0
Luzerne,DALLAS TWP D 01,STRAIGHT PARTY,,DEM,Democratic,136,11,0,125,0
Luzerne,DALLAS TWP D 02,STRAIGHT PARTY,,DEM,Democratic,213,12,0,201,0
Luzerne,DALLAS TWP D 03,STRAIGHT PARTY,,DEM,Democratic,165,9,0,156,0
Luzerne,DENNISON TWP,STRAIGHT PARTY,,DEM,Democratic,73,3,0,70,0
Luzerne,DORRANCE TWP,STRAIGHT PARTY,,DEM,Democratic,152,5,0,147,0
Luzerne,DUPONT BORO W 01,STRAIGHT PARTY,,DEM,Democratic,223,7,0,216,0
Luzerne,DUPONT BORO W 02,STRAIGHT PARTY,,DEM,Democratic,100,1,0,99,0
Luzerne,DURYEA BORO W 01,STRAIGHT PARTY,,DEM,Democratic,156,8,0,148,0
Luzerne,DURYEA BORO W 02,STRAIGHT PARTY,,DEM,Democratic,255,11,0,244,0
Luzerne,DURYEA BORO W 03,STRAIGHT PARTY,,DEM,Democratic,130,7,0,123,0
Luzerne,EDWARDSVILLE BORO W 01,STRAIGHT PARTY,,DEM,Democratic,193,0,0,193,0
Luzerne,EDWARDSVILLE BORO W 02,STRAIGHT PARTY,,DEM,Democratic,154,8,0,146,0
Luzerne,EXETER BORO W 01,STRAIGHT PARTY,,DEM,Democratic,135,1,0,134,0
Luzerne,EXETER BORO W 02,STRAIGHT PARTY,,DEM,Democratic,188,5,0,183,0
Luzerne,EXETER BORO W 03,STRAIGHT PARTY,,DEM,Democratic,281,13,0,268,0
Luzerne,EXETER TWP,STRAIGHT PARTY,,DEM,Democratic,153,3,0,150,0
Luzerne,FAIRMOUNT TWP,STRAIGHT PARTY,,DEM,Democratic,57,5,0,52,0
Luzerne,FAIRVIEW TWP,STRAIGHT PARTY,,DEM,Democratic,437,20,0,417,0
Luzerne,FORTY FORT BORO W 01,STRAIGHT PARTY,,DEM,Democratic,185,6,0,179,0
Luzerne,FORTY FORT BORO W 02,STRAIGHT PARTY,,DEM,Democratic,140,3,0,137,0
Luzerne,FORTY FORT BORO W 03,STRAIGHT PARTY,,DEM,Democratic,139,5,0,134,0
Luzerne,FOSTER TWP D 01,STRAIGHT PARTY,,DEM,Democratic,78,2,0,76,0
Luzerne,FOSTER TWP D 02,STRAIGHT PARTY,,DEM,Democratic,66,7,0,59,0
Luzerne,FRANKLIN TWP,STRAIGHT PARTY,,DEM,Democratic,82,2,0,80,0
Luzerne,FREELAND BORO W 01,STRAIGHT PARTY,,DEM,Democratic,79,1,0,78,0
Luzerne,FREELAND BORO W 02,STRAIGHT PARTY,,DEM,Democratic,101,1,0,100,0
Luzerne,HANOVER TWP W 01,STRAIGHT PARTY,,DEM,Democratic,102,2,0,100,0
Luzerne,HANOVER TWP W 02,STRAIGHT PARTY,,DEM,Democratic,133,4,0,129,0
Luzerne,HANOVER TWP W 03,STRAIGHT PARTY,,DEM,Democratic,235,7,0,228,0
Luzerne,HANOVER TWP W 04,STRAIGHT PARTY,,DEM,Democratic,123,3,0,120,0
Luzerne,HANOVER TWP W 05,STRAIGHT PARTY,,DEM,Democratic,133,4,0,129,0
Luzerne,HANOVER TWP W 06,STRAIGHT PARTY,,DEM,Democratic,56,2,0,54,0
Luzerne,HARVEYS LAKE BORO,STRAIGHT PARTY,,DEM,Democratic,180,9,0,171,0
Luzerne,HAZLE TWP D 01,STRAIGHT PARTY,,DEM,Democratic,103,5,0,98,0
Luzerne,HAZLE TWP D 02,STRAIGHT PARTY,,DEM,Democratic,193,16,0,177,0
Luzerne,HAZLE TWP D 03,STRAIGHT PARTY,,DEM,Democratic,79,3,0,76,0
Luzerne,HAZLE TWP D 04,STRAIGHT PARTY,,DEM,Democratic,128,5,0,123,0
Luzerne,HAZLE TWP D 05,STRAIGHT PARTY,,DEM,Democratic,89,2,0,87,0
Luzerne,HAZLETON CITY W 01,STRAIGHT PARTY,,DEM,Democratic,247,3,0,244,0
Luzerne,HAZLETON CITY W 02,STRAIGHT PARTY,,DEM,Democratic,149,2,0,147,0
Luzerne,HAZLETON CITY W 03,STRAIGHT PARTY,,DEM,Democratic,107,2,0,105,0
Luzerne,HAZLETON CITY W 04,STRAIGHT PARTY,,DEM,Democratic,105,2,0,103,0
Luzerne,HAZLETON CITY W 05,STRAIGHT PARTY,,DEM,Democratic,94,1,0,93,0
Luzerne,HAZLETON CITY W 06,STRAIGHT PARTY,,DEM,Democratic,158,3,0,155,0
Luzerne,HAZLETON CITY W 07,STRAIGHT PARTY,,DEM,Democratic,172,0,0,171,1
Luzerne,HAZLETON CITY W 08,STRAIGHT PARTY,,DEM,Democratic,179,6,0,173,0
Luzerne,HAZLETON CITY W 09,STRAIGHT PARTY,,DEM,Democratic,178,2,0,176,0
Luzerne,HAZLETON CITY W 10,STRAIGHT PARTY,,DEM,Democratic,131,3,0,128,0
Luzerne,HAZLETON CITY W 11,STRAIGHT PARTY,,DEM,Democratic,189,1,0,188,0
Luzerne,HOLLENBACK TWP,STRAIGHT PARTY,,DEM,Democratic,39,3,0,36,0
Luzerne,HUGHESTOWN BORO,STRAIGHT PARTY,,DEM,Democratic,194,7,0,186,1
Luzerne,HUNLOCK TWP,STRAIGHT PARTY,,DEM,Democratic,121,1,0,120,0
Luzerne,HUNTINGTON TWP,STRAIGHT PARTY,,DEM,Democratic,89,5,0,84,0
Luzerne,JACKSON TWP,STRAIGHT PARTY,,DEM,Democratic,205,7,0,198,0
Luzerne,JEDDO BORO,STRAIGHT PARTY,,DEM,Democratic,7,0,0,7,0
Luzerne,JENKINS TWP D 01,STRAIGHT PARTY,,DEM,Democratic,163,8,0,155,0
Luzerne,JENKINS TWP D 02,STRAIGHT PARTY,,DEM,Democratic,115,8,0,107,0
Luzerne,JENKINS TWP D 03,STRAIGHT PARTY,,DEM,Democratic,189,20,0,169,0
Luzerne,KINGSTON BORO W 01,STRAIGHT PARTY,,DEM,Democratic,216,6,0,210,0
Luzerne,KINGSTON BORO W 02,STRAIGHT PARTY,,DEM,Democratic,90,1,0,89,0
Luzerne,KINGSTON BORO W 03,STRAIGHT PARTY,,DEM,Democratic,81,0,0,81,0
Luzerne,KINGSTON BORO W 04,STRAIGHT PARTY,,DEM,Democratic,169,8,0,161,0
Luzerne,KINGSTON BORO W 05,STRAIGHT PARTY,,DEM,Democratic,196,13,0,183,0
Luzerne,KINGSTON BORO W 06,STRAIGHT PARTY,,DEM,Democratic,211,5,0,206,0
Luzerne,KINGSTON BORO W 07,STRAIGHT PARTY,,DEM,Democratic,112,2,0,110,0
Luzerne,KINGSTON BORO W 08,STRAIGHT PARTY,,DEM,Democratic,160,9,0,151,0
Luzerne,KINGSTON TWP D 01,STRAIGHT PARTY,,DEM,Democratic,46,5,0,41,0
Luzerne,KINGSTON TWP D 02,STRAIGHT PARTY,,DEM,Democratic,206,4,0,202,0
Luzerne,KINGSTON TWP D 03,STRAIGHT PARTY,,DEM,Democratic,334,10,0,324,0
Luzerne,LAFLIN BORO,STRAIGHT PARTY,,DEM,Democratic,165,8,0,157,0
Luzerne,LAKE TWP,STRAIGHT PARTY,,DEM,Democratic,88,3,0,85,0
Luzerne,LARKSVILLE BORO W 01,STRAIGHT PARTY,,DEM,Democratic,102,1,0,101,0
Luzerne,LARKSVILLE BORO W 02,STRAIGHT PARTY,,DEM,Democratic,161,5,0,156,0
Luzerne,LARKSVILLE BORO W 03,STRAIGHT PARTY,,DEM,Democratic,140,3,0,137,0
Luzerne,LAUREL RUN BORO,STRAIGHT PARTY,,DEM,Democratic,36,1,0,35,0
Luzerne,LEHMAN TWP D 01,STRAIGHT PARTY,,DEM,Democratic,58,3,0,55,0
Luzerne,LEHMAN TWP D 02,STRAIGHT PARTY,,DEM,Democratic,71,1,0,70,0
Luzerne,LEHMAN TWP D 03,STRAIGHT PARTY,,DEM,Democratic,69,6,0,63,0
Luzerne,LUZERNE BORO W 01,STRAIGHT PARTY,,DEM,Democratic,115,2,0,113,0
Luzerne,LUZERNE BORO W 02,STRAIGHT PARTY,,DEM,Democratic,160,5,0,155,0
Luzerne,NANTICOKE CITY W 01,STRAIGHT PARTY,,DEM,Democratic,122,0,0,122,0
Luzerne,NANTICOKE CITY W 02,STRAIGHT PARTY,,DEM,Democratic,137,10,0,127,0
Luzerne,NANTICOKE CITY W 03,STRAIGHT PARTY,,DEM,Democratic,219,12,0,207,0
Luzerne,NANTICOKE CITY W 04,STRAIGHT PARTY,,DEM,Democratic,217,15,0,202,0
Luzerne,NANTICOKE CITY W 05,STRAIGHT PARTY,,DEM,Democratic,144,2,0,142,0
Luzerne,NANTICOKE CITY W 06,STRAIGHT PARTY,,DEM,Democratic,147,7,0,140,0
Luzerne,NESCOPECK BORO,STRAIGHT PARTY,,DEM,Democratic,52,1,0,51,0
Luzerne,NESCOPECK TWP,STRAIGHT PARTY,,DEM,Democratic,56,1,0,55,0
Luzerne,NEW COLUMBUS BORO,STRAIGHT PARTY,,DEM,Democratic,9,0,0,9,0
Luzerne,NEWPORT TWP W 01,STRAIGHT PARTY,,DEM,Democratic,134,21,0,113,0
Luzerne,NEWPORT TWP W 02,STRAIGHT PARTY,,DEM,Democratic,143,9,0,134,0
Luzerne,NEWPORT TWP W 03,STRAIGHT PARTY,,DEM,Democratic,95,18,0,77,0
Luzerne,NUANGOLA BORO,STRAIGHT PARTY,,DEM,Democratic,64,2,0,62,0
Luzerne,PENN LAKE PARK BORO,STRAIGHT PARTY,,DEM,Democratic,39,1,0,38,0
Luzerne,PITTSTON CITY W 01,STRAIGHT PARTY,,DEM,Democratic,202,8,0,194,0
Luzerne,PITTSTON CITY W 02,STRAIGHT PARTY,,DEM,Democratic,254,8,0,246,0
Luzerne,PITTSTON CITY W 03,STRAIGHT PARTY,,DEM,Democratic,229,6,0,223,0
Luzerne,PITTSTON CITY W 04,STRAIGHT PARTY,,DEM,Democratic,166,1,0,165,0
Luzerne,PITTSTON TWP D 01,STRAIGHT PARTY,,DEM,Democratic,311,20,0,291,0
Luzerne,PITTSTON TWP D 02,STRAIGHT PARTY,,DEM,Democratic,102,0,0,102,0
Luzerne,PLAINS TWP W 01,STRAIGHT PARTY,,DEM,Democratic,176,2,0,174,0
Luzerne,PLAINS TWP W 02,STRAIGHT PARTY,,DEM,Democratic,209,11,0,198,0
Luzerne,PLAINS TWP W 03,STRAIGHT PARTY,,DEM,Democratic,236,13,0,223,0
Luzerne,PLAINS TWP W 04,STRAIGHT PARTY,,DEM,Democratic,139,6,0,133,0
Luzerne,PLAINS TWP W 05,STRAIGHT PARTY,,DEM,Democratic,224,12,0,212,0
Luzerne,PLYMOUTH BORO W 01,STRAIGHT PARTY,,DEM,Democratic,140,4,0,136,0
Luzerne,PLYMOUTH BORO W 02,STRAIGHT PARTY,,DEM,Democratic,156,3,0,153,0
Luzerne,PLYMOUTH BORO W 03,STRAIGHT PARTY,,DEM,Democratic,157,9,0,148,0
Luzerne,PLYMOUTH TWP,STRAIGHT PARTY,,DEM,Democratic,140,5,0,135,0
Luzerne,PRINGLE BORO,STRAIGHT PARTY,,DEM,Democratic,74,0,0,74,0
Luzerne,RICE TWP,STRAIGHT PARTY,,DEM,Democratic,268,10,0,258,0
Luzerne,ROSS TWP,STRAIGHT PARTY,,DEM,Democratic,114,2,0,112,0
Luzerne,SALEM TWP D 01,STRAIGHT PARTY,,DEM,Democratic,55,3,0,52,0
Luzerne,SALEM TWP D 02,STRAIGHT PARTY,,DEM,Democratic,119,1,0,118,0
Luzerne,SHICKSHINNY BORO,STRAIGHT PARTY,,DEM,Democratic,33,2,0,31,0
Luzerne,SLOCUM TWP,STRAIGHT PARTY,,DEM,Democratic,68,1,0,67,0
Luzerne,SUGAR NOTCH BORO,STRAIGHT PARTY,,DEM,Democratic,101,4,0,97,0
Luzerne,SUGARLOAF TWP,STRAIGHT PARTY,,DEM,Democratic,163,5,0,158,0
Luzerne,SWOYERSVILLE BORO W 01,STRAIGHT PARTY,,DEM,Democratic,204,11,0,193,0
Luzerne,SWOYERSVILLE BORO W 02,STRAIGHT PARTY,,DEM,Democratic,220,3,0,217,0
Luzerne,SWOYERSVILLE BORO W 03,STRAIGHT PARTY,,DEM,Democratic,97,3,0,94,0
Luzerne,UNION TWP,STRAIGHT PARTY,,DEM,Democratic,120,10,0,110,0
Luzerne,WARRIOR RUN BORO,STRAIGHT PARTY,,DEM,Democratic,38,0,0,38,0
Luzerne,WEST HAZLETON BORO W 01,STRAIGHT PARTY,,DEM,Democratic,152,0,0,152,0
Luzerne,WEST HAZLETON BORO W 02,STRAIGHT PARTY,,DEM,Democratic,150,5,0,145,0
Luzerne,WEST PITTSTON BORO W 01,STRAIGHT PARTY,,DEM,Democratic,102,1,0,101,0
Luzerne,WEST PITTSTON BORO W 02,STRAIGHT PARTY,,DEM,Democratic,183,4,0,179,0
Luzerne,WEST PITTSTON BORO W 03,STRAIGHT PARTY,,DEM,Democratic,175,12,0,163,0
Luzerne,WEST WYOMING BORO W 01,STRAIGHT PARTY,,DEM,Democratic,153,6,0,147,0
Luzerne,WEST WYOMING BORO W 02,STRAIGHT PARTY,,DEM,Democratic,129,6,0,123,0
Luzerne,WHITE HAVEN BORO,STRAIGHT PARTY,,DEM,Democratic,68,3,0,65,0
Luzerne,WILKES BARRE CITY W 01,STRAIGHT PARTY,,DEM,Democratic,102,2,0,99,1
Luzerne,WILKES BARRE CITY W 02,STRAIGHT PARTY,,DEM,Democratic,216,12,0,204,0
Luzerne,WILKES BARRE CITY W 03,STRAIGHT PARTY,,DEM,Democratic,120,5,0,115,0
Luzerne,WILKES BARRE CITY W 04,STRAIGHT PARTY,,DEM,Democratic,216,9,0,207,0
Luzerne,WILKES BARRE CITY W 05,STRAIGHT PARTY,,DEM,Democratic,181,4,0,177,0
Luzerne,WILKES BARRE CITY W 06,STRAIGHT PARTY,,DEM,Democratic,199,8,0,191,0
Luzerne,WILKES BARRE CITY W 07,STRAIGHT PARTY,,DEM,Democratic,150,6,0,144,0
Luzerne,WILKES BARRE CITY W 08,STRAIGHT PARTY,,DEM,Democratic,191,3,0,188,0
Luzerne,WILKES BARRE CITY W 09,STRAIGHT PARTY,,DEM,Democratic,115,4,0,111,0
Luzerne,WILKES BARRE CITY W 10,STRAIGHT PARTY,,DEM,Democratic,150,4,0,146,0
Luzerne,WILKES BARRE CITY W 11,STRAIGHT PARTY,,DEM,Democratic,219,10,0,209,0
Luzerne,WILKES BARRE CITY W 12,STRAIGHT PARTY,,DEM,Democratic,235,1,0,234,0
Luzerne,WILKES BARRE CITY W 13,STRAIGHT PARTY,,DEM,Democratic,203,3,0,200,0
Luzerne,WILKES BARRE CITY W 14,STRAIGHT PARTY,,DEM,Democratic,190,3,0,187,0
Luzerne,WILKES BARRE CITY W 15,STRAIGHT PARTY,,DEM,Democratic,184,4,0,180,0
Luzerne,WILKES BARRE CITY W 16,STRAIGHT PARTY,,DEM,Democratic,227,11,0,216,0
Luzerne,WILKES BARRE CITY W 17,STRAIGHT PARTY,,DEM,Democratic,162,4,0,158,0
Luzerne,WILKES BARRE CITY W 18,STRAIGHT PARTY,,DEM,Democratic,144,8,0,136,0
Luzerne,WILKES BARRE CITY W 19,STRAIGHT PARTY,,DEM,Democratic,178,5,0,173,0
Luzerne,WILKES BARRE CITY W 20,STRAIGHT PARTY,,DEM,Democratic,183,4,0,179,0
Luzerne,WILKES BARRE TWP W 01,STRAIGHT PARTY,,DEM,Democratic,144,8,0,136,0
Luzerne,WILKES BARRE TWP W 02,STRAIGHT PARTY,,DEM,Democratic,100,6,0,94,0
Luzerne,WRIGHT TWP D 01,STRAIGHT PARTY,,DEM,Democratic,185,6,0,179,0
Luzerne,WRIGHT TWP D 02,STRAIGHT PARTY,,DEM,Democratic,242,5,0,237,0
Luzerne,WYOMING BORO W 01,STRAIGHT PARTY,,DEM,Democratic,109,11,0,98,0
Luzerne,WYOMING BORO W 02,STRAIGHT PARTY,,DEM,Democratic,76,2,0,74,0
Luzerne,WYOMING BORO W 03,STRAIGHT PARTY,,DEM,Democratic,121,5,0,116,0
Luzerne,YATESVILLE BORO,STRAIGHT PARTY,,DEM,Democratic,92,7,0,85,0
Luzerne,ASHLEY BORO W 01,STRAIGHT PARTY,,REP,Republican,85,1,0,84,0
Luzerne,ASHLEY BORO W 02,STRAIGHT PARTY,,REP,Republican,53,0,0,53,0
Luzerne,AVOCA BORO W 01,STRAIGHT PARTY,,REP,Republican,57,4,0,53,0
Luzerne,AVOCA BORO W 02,STRAIGHT PARTY,,REP,Republican,59,0,0,59,0
Luzerne,AVOCA BORO W 03,STRAIGHT PARTY,,REP,Republican,77,2,0,75,0
Luzerne,BEAR CREEK TWP D 01,STRAIGHT PARTY,,REP,Republican,147,6,0,141,0
Luzerne,BEAR CREEK TWP D 02,STRAIGHT PARTY,,REP,Republican,222,7,0,215,0
Luzerne,BEAR CREEK TWP D 03,STRAIGHT PARTY,,REP,Republican,57,1,0,56,0
Luzerne,BEAR CREEK VLG BORO,STRAIGHT PARTY,,REP,Republican,41,3,0,38,0
Luzerne,BLACK CREEK TWP D 01,STRAIGHT PARTY,,REP,Republican,137,2,0,135,0
Luzerne,BLACK CREEK TWP D 02,STRAIGHT PARTY,,REP,Republican,119,6,0,113,0
Luzerne,BUCK TWP,STRAIGHT PARTY,,REP,Republican,59,0,0,59,0
Luzerne,BUTLER TWP D 01,STRAIGHT PARTY,,REP,Republican,441,27,0,414,0
Luzerne,BUTLER TWP D 02,STRAIGHT PARTY,,REP,Republican,310,14,0,296,0
Luzerne,BUTLER TWP D 03,STRAIGHT PARTY,,REP,Republican,415,27,0,388,0
Luzerne,BUTLER TWP D 04,STRAIGHT PARTY,,REP,Republican,270,9,0,261,0
Luzerne,CONYNGHAM BORO,STRAIGHT PARTY,,REP,Republican,264,9,0,255,0
Luzerne,CONYNGHAM TWP,STRAIGHT PARTY,,REP,Republican,118,0,0,118,0
Luzerne,COURTDALE BORO,STRAIGHT PARTY,,REP,Republican,82,3,0,79,0
Luzerne,DALLAS BORO W 01,STRAIGHT PARTY,,REP,Republican,126,8,0,118,0
Luzerne,DALLAS BORO W 02,STRAIGHT PARTY,,REP,Republican,206,8,0,198,0
Luzerne,DALLAS TWP D 01,STRAIGHT PARTY,,REP,Republican,197,20,0,177,0
Luzerne,DALLAS TWP D 02,STRAIGHT PARTY,,REP,Republican,396,30,0,366,0
Luzerne,DALLAS TWP D 03,STRAIGHT PARTY,,REP,Republican,345,7,0,338,0
Luzerne,DENNISON TWP,STRAIGHT PARTY,,REP,Republican,150,4,1,145,0
Luzerne,DORRANCE TWP,STRAIGHT PARTY,,REP,Republican,358,7,0,351,0
Luzerne,DUPONT BORO W 01,STRAIGHT PARTY,,REP,Republican,141,0,0,141,0
Luzerne,DUPONT BORO W 02,STRAIGHT PARTY,,REP,Republican,74,3,0,71,0
Luzerne,DURYEA BORO W 01,STRAIGHT PARTY,,REP,Republican,98,3,0,95,0
Luzerne,DURYEA BORO W 02,STRAIGHT PARTY,,REP,Republican,211,5,0,206,0
Luzerne,DURYEA BORO W 03,STRAIGHT PARTY,,REP,Republican,75,3,0,72,0
Luzerne,EDWARDSVILLE BORO W 01,STRAIGHT PARTY,,REP,Republican,124,2,0,122,0
Luzerne,EDWARDSVILLE BORO W 02,STRAIGHT PARTY,,REP,Republican,144,6,0,138,0
Luzerne,EXETER BORO W 01,STRAIGHT PARTY,,REP,Republican,113,6,0,107,0
Luzerne,EXETER BORO W 02,STRAIGHT PARTY,,REP,Republican,124,0,0,124,0
Luzerne,EXETER BORO W 03,STRAIGHT PARTY,,REP,Republican,211,7,0,204,0
Luzerne,EXETER TWP,STRAIGHT PARTY,,REP,Republican,353,10,0,343,0
Luzerne,FAIRMOUNT TWP,STRAIGHT PARTY,,REP,Republican,195,2,0,193,0
Luzerne,FAIRVIEW TWP,STRAIGHT PARTY,,REP,Republican,482,20,0,462,0
Luzerne,FORTY FORT BORO W 01,STRAIGHT PARTY,,REP,Republican,154,6,0,148,0
Luzerne,FORTY FORT BORO W 02,STRAIGHT PARTY,,REP,Republican,126,8,0,118,0
Luzerne,FORTY FORT BORO W 03,STRAIGHT PARTY,,REP,Republican,140,4,0,136,0
Luzerne,FOSTER TWP D 01,STRAIGHT PARTY,,REP,Republican,237,7,0,230,0
Luzerne,FOSTER TWP D 02,STRAIGHT PARTY,,REP,Republican,181,14,0,167,0
Luzerne,FRANKLIN TWP,STRAIGHT PARTY,,REP,Republican,250,2,0,248,0
Luzerne,FREELAND BORO W 01,STRAIGHT PARTY,,REP,Republican,123,0,0,123,0
Luzerne,FREELAND BORO W 02,STRAIGHT PARTY,,REP,Republican,152,5,0,147,0
Luzerne,HANOVER TWP W 01,STRAIGHT PARTY,,REP,Republican,186,7,0,179,0
Luzerne,HANOVER TWP W 02,STRAIGHT PARTY,,REP,Republican,126,2,0,124,0
Luzerne,HANOVER TWP W 03,STRAIGHT PARTY,,REP,Republican,223,1,0,222,0
Luzerne,HANOVER TWP W 04,STRAIGHT PARTY,,REP,Republican,151,4,0,147,0
Luzerne,HANOVER TWP W 05,STRAIGHT PARTY,,REP,Republican,119,1,0,118,0
Luzerne,HANOVER TWP W 06,STRAIGHT PARTY,,REP,Republican,112,1,0,111,0
Luzerne,HARVEYS LAKE BORO,STRAIGHT PARTY,,REP,Republican,319,7,0,312,0
Luzerne,HAZLE TWP D 01,STRAIGHT PARTY,,REP,Republican,273,3,0,270,0
Luzerne,HAZLE TWP D 02,STRAIGHT PARTY,,REP,Republican,240,15,0,225,0
Luzerne,HAZLE TWP D 03,STRAIGHT PARTY,,REP,Republican,187,1,0,186,0
Luzerne,HAZLE TWP D 04,STRAIGHT PARTY,,REP,Republican,269,3,0,266,0
Luzerne,HAZLE TWP D 05,STRAIGHT PARTY,,REP,Republican,197,3,0,194,0
Luzerne,HAZLETON CITY W 01,STRAIGHT PARTY,,REP,Republican,86,2,0,84,0
Luzerne,HAZLETON CITY W 02,STRAIGHT PARTY,,REP,Republican,114,2,0,112,0
Luzerne,HAZLETON CITY W 03,STRAIGHT PARTY,,REP,Republican,152,5,0,147,0
Luzerne,HAZLETON CITY W 04,STRAIGHT PARTY,,REP,Republican,100,2,0,98,0
Luzerne,HAZLETON CITY W 05,STRAIGHT PARTY,,REP,Republican,125,2,0,123,0
Luzerne,HAZLETON CITY W 06,STRAIGHT PARTY,,REP,Republican,139,6,0,133,0
Luzerne,HAZLETON CITY W 07,STRAIGHT PARTY,,REP,Republican,143,3,0,140,0
Luzerne,HAZLETON CITY W 08,STRAIGHT PARTY,,REP,Republican,110,6,0,104,0
Luzerne,HAZLETON CITY W 09,STRAIGHT PARTY,,REP,Republican,186,4,0,182,0
Luzerne,HAZLETON CITY W 10,STRAIGHT PARTY,,REP,Republican,76,4,0,72,0
Luzerne,HAZLETON CITY W 11,STRAIGHT PARTY,,REP,Republican,116,3,0,113,0
Luzerne,HOLLENBACK TWP,STRAIGHT PARTY,,REP,Republican,205,1,0,204,0
Luzerne,HUGHESTOWN BORO,STRAIGHT PARTY,,REP,Republican,125,1,0,124,0
Luzerne,HUNLOCK TWP,STRAIGHT PARTY,,REP,Republican,279,6,0,273,0
Luzerne,HUNTINGTON TWP,STRAIGHT PARTY,,REP,Republican,310,12,0,298,0
Luzerne,JACKSON TWP,STRAIGHT PARTY,,REP,Republican,377,16,0,361,0
Luzerne,JEDDO BORO,STRAIGHT PARTY,,REP,Republican,14,0,0,14,0
Luzerne,JENKINS TWP D 01,STRAIGHT PARTY,,REP,Republican,152,6,0,146,0
Luzerne,JENKINS TWP D 02,STRAIGHT PARTY,,REP,Republican,95,1,0,94,0
Luzerne,JENKINS TWP D 03,STRAIGHT PARTY,,REP,Republican,160,11,0,149,0
Luzerne,KINGSTON BORO W 01,STRAIGHT PARTY,,REP,Republican,166,2,0,164,0
Luzerne,KINGSTON BORO W 02,STRAIGHT PARTY,,REP,Republican,86,1,0,85,0
Luzerne,KINGSTON BORO W 03,STRAIGHT PARTY,,REP,Republican,104,5,0,99,0
Luzerne,KINGSTON BORO W 04,STRAIGHT PARTY,,REP,Republican,141,7,0,134,0
Luzerne,KINGSTON BORO W 05,STRAIGHT PARTY,,REP,Republican,147,8,0,139,0
Luzerne,KINGSTON BORO W 06,STRAIGHT PARTY,,REP,Republican,156,10,0,146,0
Luzerne,KINGSTON BORO W 07,STRAIGHT PARTY,,REP,Republican,90,0,0,90,0
Luzerne,KINGSTON BORO W 08,STRAIGHT PARTY,,REP,Republican,133,7,0,126,0
Luzerne,KINGSTON TWP D 01,STRAIGHT PARTY,,REP,Republican,113,4,0,109,0
Luzerne,KINGSTON TWP D 02,STRAIGHT PARTY,,REP,Republican,225,8,0,217,0
Luzerne,KINGSTON TWP D 03,STRAIGHT PARTY,,REP,Republican,514,20,0,494,0
Luzerne,LAFLIN BORO,STRAIGHT PARTY,,REP,Republican,166,4,0,162,0
Luzerne,LAKE TWP,STRAIGHT PARTY,,REP,Republican,303,6,0,297,0
Luzerne,LARKSVILLE BORO W 01,STRAIGHT PARTY,,REP,Republican,128,6,0,122,0
Luzerne,LARKSVILLE BORO W 02,STRAIGHT PARTY,,REP,Republican,120,1,0,119,0
Luzerne,LARKSVILLE BORO W 03,STRAIGHT PARTY,,REP,Republican,132,5,0,127,0
Luzerne,LAUREL RUN BORO,STRAIGHT PARTY,,REP,Republican,66,2,0,64,0
Luzerne,LEHMAN TWP D 01,STRAIGHT PARTY,,REP,Republican,128,4,0,124,0
Luzerne,LEHMAN TWP D 02,STRAIGHT PARTY,,REP,Republican,211,6,0,205,0
