county,precinct,office,district,party,candidate,votes,absentee,election_day,mail,provisional
Bedford,2502 West Providence Township,President,,LIB,Jo Jorgensen,8,0,4,3,1
Bedford,2601 Rainsburg Borough,President,,LIB,Jo Jorgensen,1,0,4,0,0
Bedford,2701 Saxton Borough,President,,LIB,Jo Jorgensen,4,0,1,0,0
Bedford,2801 Schellsburg Borough,President,,LIB,Jo Jorgensen,1,0,4,0,0
Bedford,2901 Snake Spring Township,President,,LIB,Jo Jorgensen,6,0,1,3,0
Bedford,3003 Southampton Township,President,,LIB,Jo Jorgensen,7,0,3,5,0
Bedford,3101 St. Clairsville Borough,President,,LIB,Jo Jorgensen,0,0,2,0,0
Bedford,3201 East St. Clair Township,President,,LIB,Jo Jorgensen,16,1,12,3,0
Bedford,3202 West St. Clair Township,President,,LIB,Jo Jorgensen,4,1,2,1,0
Bedford,3301 Pavia Township,President,,LIB,Jo Jorgensen,2,0,1,1,0
Bedford,3401 Woodbury Borough,President,,LIB,Jo Jorgensen,1,1,0,0,0
Bedford,3501 Woodbury Township,President,,LIB,Jo Jorgensen,4,1,2,1,0
Bedford,3601 South Woodbury Township,President,,LIB,Jo Jorgensen,8,1,6,0,1
Bedford,0101 Bedford Borough East Ward,President,,,Write-ins,5,0,4,1,0
Bedford,0102 Bedford Borough West Ward,President,,,Write-ins,3,0,2,1,0
Bedford,0201 Bedford Township No 1,President,,,Write-ins,2,0,2,0,0
Bedford,0202 Bedford Township No 2,President,,,Write-ins,0,0,0,0,0
Bedford,0301 Bloomfield Township,President,,,Write-ins,1,0,1,0,0
Bedford,0401 Broad Top Township,President,,,Write-ins,0,0,0,0,0
Bedford,0501 Coaldale Borough,President,,,Write-ins,0,0,0,0,0
Bedford,0601 Colerain Township,President,,,Write-ins,2,0,1,1,0
Bedford,0701 Cumberland Valley Township,President,,,Write-ins,1,0,0,1,0
Bedford,0801 Everett Borough,President,,,Write-ins,1,0,1,0,0
Bedford,0901 Harrison Township,President,,,Write-ins,0,0,0,0,0
Bedford,1001 Hopewell Borough,President,,,Write-ins,0,0,0,0,0
Bedford,1101 Hopewell Township,President,,,Write-ins,1,0,1,0,0
Bedford,1201 Hyndman Borough,President,,,Write-ins,2,1,0,1,0
Bedford,1301 Juniata Township,President,,,Write-ins,1,0,1,0,0
Bedford,1401 Kimmel Township,President,,,Write-ins,2,0,0,2,0
Bedford,1501 King Township,President,,,Write-ins,1,0,1,0,0
Bedford,1601 Liberty Township,President,,,Write-ins,1,0,1,0,0
Bedford,1701 Lincoln Township,President,,,Write-ins,1,0,1,0,0
Bedford,1801 Londonderry Township,President,,,Write-ins,0,0,0,0,0
Bedford,1901 Mann Township,President,,,Write-ins,0,0,0,0,0
Bedford,2001 Manns Choice Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2101 Monroe Township,President,,,Write-ins,0,0,0,0,0
Bedford,2201 Napier Township,President,,,Write-ins,0,0,0,0,0
Bedford,2301 New Paris Borough,President,,,Write-ins,0,0,43,0,0
Bedford,2401 Pleasantville Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2501 East Providence Township,President,,,Write-ins,2,0,0,2,0
Bedford,2502 West Providence Township,President,,,Write-ins,0,0,0,0,0
Bedford,2601 Rainsburg Borough,President,,,Write-ins,0,0,0,0,0
Bedford,2701 Saxton Borough,President,,,Write-ins,0,0,32,0,0
Bedford,2801 Schellsburg Borough,President,,,Write-ins,1,0,0,0,0
Bedford,2901 Snake Spring Township,President,,,Write-ins,2,0,1,1,0
Bedford,3003 Southampton Township,President,,,Write-ins,1,0,1,1,0
Bedford,3101 St. Clairsville Borough,President,,,Write-ins,0,0,0,0,0
Bedford,3201 East St. Clair Township,President,,,Write-ins,0,0,0,0,0
Bedford,3202 West St. Clair Township,President,,,Write-ins,2,0,2,0,0
Bedford,3301 Pavia Township,President,,,Write-ins,0,0,0,0,0
Bedford,3401 Woodbury Borough,President,,,Write-ins,1,1,0,0,0
Bedford,3501 Woodbury Township,President,,,Write-ins,3,0,0,3,0
Bedford,3601 South Woodbury Township,President,,,Write-ins,0,0,0,0,0
Bedford,0101 Bedford Borough East Ward,Attorney General,,DEM,Josh Shapiro,234,19,105,107,3
Bedford,0102 Bedford Borough West Ward,Attorney General,,DEM,Josh Shapiro,233,16,95,119,3
Bedford,0201 Bedford Township No 1,Attorney General,,DEM,Josh Shapiro,252,31,96,119,6
Bedford,0202 Bedford Township No 2,Attorney General,,DEM,Josh Shapiro,345,31,103,210,1
Bedford,0301 Bloomfield Township,Attorney General,,DEM,Josh Shapiro,65,4,42,19,0
Bedford,0401 Broad Top Township,Attorney General,,DEM,Josh Shapiro,139,2,84,50,3
Bedford,0501 Coaldale Borough,Attorney General,,DEM,Josh Shapiro,20,0,17,3,0
Bedford,0601 Colerain Township,Attorney General,,DEM,Josh Shapiro,134,5,66,61,2
Bedford,0701 Cumberland Valley Township,Attorney General,,DEM,Josh Shapiro,159,5,84,64,6
Bedford,0801 Everett Borough,Attorney General,,DEM,Josh Shapiro,139,4,75,59,1
Bedford,0901 Harrison Township,Attorney General,,DEM,Josh Shapiro,108,11,60,35,2
Bedford,1001 Hopewell Borough,Attorney General,,DEM,Josh Shapiro,18,2,14,2,0
Bedford,1101 Hopewell Township,Attorney General,,DEM,Josh Shapiro,173,9,81,82,1
Bedford,1201 Hyndman Borough,Attorney General,,DEM,Josh Shapiro,77,2,54,21,0
Bedford,1301 Juniata Township,Attorney General,,DEM,Josh Shapiro,121,4,72,44,1
Bedford,1401 Kimmel Township,Attorney General,,DEM,Josh Shapiro,160,9,83,68,0
Bedford,1501 King Township,Attorney General,,DEM,Josh Shapiro,73,6,37,29,1
Bedford,1601 Liberty Township,Attorney General,,DEM,Josh Shapiro,193,9,83,100,1
Bedford,1701 Lincoln Township,Attorney General,,DEM,Josh Shapiro,21,0,14,7,0
Bedford,1801 Londonderry Township,Attorney General,,DEM,Josh Shapiro,117,10,54,53,0
Bedford,1901 Mann Township,Attorney General,,DEM,Josh Shapiro,42,4,14,22,2
Bedford,2001 Manns Choice Borough,Attorney General,,DEM,Josh Shapiro,37,0,24,12,1
Bedford,2101 Monroe Township,Attorney General,,DEM,Josh Shapiro,97,2,57,38,0
Bedford,2201 Napier Township,Attorney General,,DEM,Josh Shapiro,206,6,84,115,1
Bedford,2301 New Paris Borough,Attorney General,,DEM,Josh Shapiro,23,1,14,8,0
Bedford,2401 Pleasantville Borough,Attorney General,,DEM,Josh Shapiro,14,0,6,8,0
Bedford,2501 East Providence Township,Attorney General,,DEM,Josh Shapiro,133,4,57,67,5
Bedford,2502 West Providence Township,Attorney General,,DEM,Josh Shapiro,266,23,77,161,5
Bedford,2601 Rainsburg Borough,Attorney General,,DEM,Josh Shapiro,13,0,9,4,0
Bedford,2701 Saxton Borough,Attorney General,,DEM,Josh Shapiro,70,4,38,27,1
Bedford,2801 Schellsburg Borough,Attorney General,,DEM,Josh Shapiro,37,2,20,15,0
Bedford,2901 Snake Spring Township,Attorney General,,DEM,Josh Shapiro,260,15,99,146,0
Bedford,3003 Southampton Township,Attorney General,,DEM,Josh Shapiro,51,5,17,29,0
Bedford,3101 St. Clairsville Borough,Attorney General,,DEM,Josh Shapiro,7,0,1,6,0
Bedford,3201 East St. Clair Township,Attorney General,,DEM,Josh Shapiro,304,12,22,166,4
Bedford,3202 West St. Clair Township,Attorney General,,DEM,Josh Shapiro,166,10,89,67,0
Bedford,3301 Pavia Township,Attorney General,,DEM,Josh Shapiro,23,0,14,7,2
Bedford,3401 Woodbury Borough,Attorney General,,DEM,Josh Shapiro,25,3,15,6,1
Bedford,3501 Woodbury Township,Attorney General,,DEM,Josh Shapiro,55,2,40,11,2
Bedford,3601 South Woodbury Township,Attorney General,,DEM,Josh Shapiro,130,4,78,46,2
Bedford,0101 Bedford Borough East Ward,Attorney General,,REP,Heather Heidelbaugh,587,24,462,96,5
Bedford,0102 Bedford Borough West Ward,Attorney General,,REP,Heather Heidelbaugh,597,19,462,108,8
Bedford,0201 Bedford Township No 1,Attorney General,,REP,Heather Heidelbaugh,1164,36,938,151,39
Bedford,0202 Bedford Township No 2,Attorney General,,REP,Heather Heidelbaugh,1268,61,925,270,12
Bedford,0301 Bloomfield Township,Attorney General,,REP,Heather Heidelbaugh,510,5,455,43,7
Bedford,0401 Broad Top Township,Attorney General,,REP,Heather Heidelbaugh,548,16,471,43,18
Bedford,0501 Coaldale Borough,Attorney General,,REP,Heather Heidelbaugh,44,0,43,1,0
Bedford,0601 Colerain Township,Attorney General,,REP,Heather Heidelbaugh,567,8,508,45,6
Bedford,0701 Cumberland Valley Township,Attorney General,,REP,Heather Heidelbaugh,697,15,609,60,13
Bedford,0801 Everett Borough,Attorney General,,REP,Heather Heidelbaugh,571,19,490,57,5
Bedford,0901 Harrison Township,Attorney General,,REP,Heather Heidelbaugh,415,12,358,36,9
Bedford,1001 Hopewell Borough,Attorney General,,REP,Heather Heidelbaugh,76,4,67,5,0
Bedford,1101 Hopewell Township,Attorney General,,REP,Heather Heidelbaugh,927,14,806,99,8
Bedford,1201 Hyndman Borough,Attorney General,,REP,Heather Heidelbaugh,353,4,335,8,6
Bedford,1301 Juniata Township,Attorney General,,REP,Heather Heidelbaugh,457,7,414,36,0
Bedford,1401 Kimmel Township,Attorney General,,REP,Heather Heidelbaugh,707,14,617,72,4
Bedford,1501 King Township,Attorney General,,REP,Heather Heidelbaugh,626,9,558,54,5
Bedford,1601 Liberty Township,Attorney General,,REP,Heather Heidelbaugh,657,14,565,70,8
Bedford,1701 Lincoln Township,Attorney General,,REP,Heather Heidelbaugh,224,3,212,7,2
Bedford,1801 Londonderry Township,Attorney General,,REP,Heather Heidelbaugh,836,16,742,64,14
Bedford,1901 Mann Township,Attorney General,,REP,Heather Heidelbaugh,273,8,243,20,2
Bedford,2001 Manns Choice Borough,Attorney General,,REP,Heather Heidelbaugh,110,1,100,8,1
Bedford,2101 Monroe Township,Attorney General,,REP,Heather Heidelbaugh,677,10,613,44,10
Bedford,2201 Napier Township,Attorney General,,REP,Heather Heidelbaugh,1075,24,904,140,7
Bedford,2301 New Paris Borough,Attorney General,,REP,Heather Heidelbaugh,57,1,50,4,2
Bedford,2401 Pleasantville Borough,Attorney General,,REP,Heather Heidelbaugh,84,1,80,1,2
Bedford,2501 East Providence Township,Attorney General,,REP,Heather Heidelbaugh,854,19,741,64,30
Bedford,2502 West Providence Township,Attorney General,,REP,Heather Heidelbaugh,1491,28,1176,244,43
Bedford,2601 Rainsburg Borough,Attorney General,,REP,Heather Heidelbaugh,43,1,38,3,1
Bedford,2701 Saxton Borough,Attorney General,,REP,Heather Heidelbaugh,233,4,213,12,4
Bedford,2801 Schellsburg Borough,Attorney General,,REP,Heather Heidelbaugh,137,2,126,6,3
Bedford,2901 Snake Spring Township,Attorney General,,REP,Heather Heidelbaugh,827,33,635,142,17
Bedford,3003 Southampton Township,Attorney General,,REP,Heather Heidelbaugh,425,11,384,25,5
Bedford,3101 St. Clairsville Borough,Attorney General,,REP,Heather Heidelbaugh,35,2,30,3,0
Bedford,3201 East St. Clair Township,Attorney General,,REP,Heather Heidelbaugh,1313,36,1111,152,14
Bedford,3202 West St. Clair Township,Attorney General,,REP,Heather Heidelbaugh,869,21,755,83,10
Bedford,3301 Pavia Township,Attorney General,,REP,Heather Heidelbaugh,146,5,125,11,5
Bedford,3401 Woodbury Borough,Attorney General,,REP,Heather Heidelbaugh,124,2,111,11,0
Bedford,3501 Woodbury Township,Attorney General,,REP,Heather Heidelbaugh,529,17,474,33,5
Bedford,3601 South Woodbury Township,Attorney General,,REP,Heather Heidelbaugh,951,23,865,52,11
Bedford,0101 Bedford Borough East Ward,Attorney General,,LIB,Daniel Wassmer,12,0,7,5,0
Bedford,0102 Bedford Borough West Ward,Attorney General,,LIB,Daniel Wassmer,12,0,10,2,0
Bedford,0201 Bedford Township No 1,Attorney General,,LIB,Daniel Wassmer,17,0,14,3,0
Bedford,0202 Bedford Township No 2,Attorney General,,LIB,Daniel Wassmer,29,2,24,3,0
Bedford,0301 Bloomfield Township,Attorney General,,LIB,Daniel Wassmer,5,1,4,0,0
Bedford,0401 Broad Top Township,Attorney General,,LIB,Daniel Wassmer,6,0,5,1,0
Bedford,0501 Coaldale Borough,Attorney General,,LIB,Daniel Wassmer,1,0,1,0,0
Bedford,0601 Colerain Township,Attorney General,,LIB,Daniel Wassmer,6,0,4,2,0
Bedford,0701 Cumberland Valley Township,Attorney General,,LIB,Daniel Wassmer,14,1,9,4,0
Bedford,0801 Everett Borough,Attorney General,,LIB,Daniel Wassmer,13,0,10,2,1
Bedford,0901 Harrison Township,Attorney General,,LIB,Daniel Wassmer,2,0,2,0,0
Bedford,1001 Hopewell Borough,Attorney General,,LIB,Daniel Wassmer,3,0,3,0,0
Bedford,1101 Hopewell Township,Attorney General,,LIB,Daniel Wassmer,9,0,8,1,0
Bedford,1201 Hyndman Borough,Attorney General,,LIB,Daniel Wassmer,6,1,4,1,0
