county,precinct,precinct_name,office,district,candidate,party,votes
Lehigh,11003,Allentown 10th Ward 3rd District,President,,Donald J. Trump,Rep,147
Lehigh,11003,Allentown 10th Ward 3rd District,President,,Jo Jorgensen,Lib,3
Lehigh,11004,Allentown 10th Ward 4th District,President,,Joseph R. Biden,Dem,415
Lehigh,11004,Allentown 10th Ward 4th District,President,,Donald J. Trump,Rep,116
Lehigh,11004,Allentown 10th Ward 4th District,President,,Jo Jorgensen,Lib,5
Lehigh,11101,Allentown 11th Ward 1st District,President,,Joseph R. Biden,Dem,363
Lehigh,11101,Allentown 11th Ward 1st District,President,,Donald J. Trump,Rep,128
Lehigh,11101,Allentown 11th Ward 1st District,President,,Jo Jorgensen,Lib,3
Lehigh,11102,Allentown 11th Ward 2nd District,President,,Joseph R. Biden,Dem,435
Lehigh,11102,Allentown 11th Ward 2nd District,President,,Donald J. Trump,Rep,135
Lehigh,11102,Allentown 11th Ward 2nd District,President,,Jo Jorgensen,Lib,4
Lehigh,11103,Allentown 11th Ward 3rd District,President,,Joseph R. Biden,Dem,471
Lehigh,11103,Allentown 11th Ward 3rd District,President,,Donald J. Trump,Rep,187
Lehigh,11103,Allentown 11th Ward 3rd District,President,,Jo Jorgensen,Lib,8
Lehigh,11104,Allentown 11th Ward 4th District,President,,Joseph R. Biden,Dem,811
Lehigh,11104,Allentown 11th Ward 4th District,President,,Donald J. Trump,Rep,251
Lehigh,11104,Allentown 11th Ward 4th District,President,,Jo Jorgensen,Lib,7
Lehigh,11105,Allentown 11th Ward 5th District,President,,Joseph R. Biden,Dem,385
Lehigh,11105,Allentown 11th Ward 5th District,President,,Donald J. Trump,Rep,213
Lehigh,11105,Allentown 11th Ward 5th District,President,,Jo Jorgensen,Lib,10
Lehigh,11106,Allentown 11th Ward 6th District,President,,Joseph R. Biden,Dem,616
Lehigh,11106,Allentown 11th Ward 6th District,President,,Donald J. Trump,Rep,380
Lehigh,11106,Allentown 11th Ward 6th District,President,,Jo Jorgensen,Lib,13
Lehigh,11107,Allentown 11th Ward 7th District,President,,Joseph R. Biden,Dem,451
Lehigh,11107,Allentown 11th Ward 7th District,President,,Donald J. Trump,Rep,262
Lehigh,11107,Allentown 11th Ward 7th District,President,,Jo Jorgensen,Lib,9
Lehigh,11201,Allentown 12th Ward 1st District,President,,Joseph R. Biden,Dem,492
Lehigh,11201,Allentown 12th Ward 1st District,President,,Donald J. Trump,Rep,197
Lehigh,11201,Allentown 12th Ward 1st District,President,,Jo Jorgensen,Lib,8
Lehigh,11202,Allentown 12th Ward 2nd District,President,,Joseph R. Biden,Dem,625
Lehigh,11202,Allentown 12th Ward 2nd District,President,,Donald J. Trump,Rep,290
Lehigh,11202,Allentown 12th Ward 2nd District,President,,Jo Jorgensen,Lib,5
Lehigh,11203,Allentown 12th Ward 3rd District,President,,Joseph R. Biden,Dem,424
Lehigh,11203,Allentown 12th Ward 3rd District,President,,Donald J. Trump,Rep,266
Lehigh,11203,Allentown 12th Ward 3rd District,President,,Jo Jorgensen,Lib,12
Lehigh,11204,Allentown 12th Ward 4th District,President,,Joseph R. Biden,Dem,417
Lehigh,11204,Allentown 12th Ward 4th District,President,,Donald J. Trump,Rep,333
Lehigh,11204,Allentown 12th Ward 4th District,President,,Jo Jorgensen,Lib,7
Lehigh,11205,Allentown 12th Ward 5th District,President,,Joseph R. Biden,Dem,482
Lehigh,11205,Allentown 12th Ward 5th District,President,,Donald J. Trump,Rep,262
Lehigh,11205,Allentown 12th Ward 5th District,President,,Jo Jorgensen,Lib,9
Lehigh,11301,Allentown 13th Ward 1st District,President,,Joseph R. Biden,Dem,491
Lehigh,11301,Allentown 13th Ward 1st District,President,,Donald J. Trump,Rep,158
Lehigh,11301,Allentown 13th Ward 1st District,President,,Jo Jorgensen,Lib,5
Lehigh,11302,Allentown 13th Ward 2nd District,President,,Joseph R. Biden,Dem,362
Lehigh,11302,Allentown 13th Ward 2nd District,President,,Donald J. Trump,Rep,182
Lehigh,11302,Allentown 13th Ward 2nd District,President,,Jo Jorgensen,Lib,8
Lehigh,11303,Allentown 13th Ward 3rd District,President,,Joseph R. Biden,Dem,443
Lehigh,11303,Allentown 13th Ward 3rd District,President,,Donald J. Trump,Rep,217
Lehigh,11303,Allentown 13th Ward 3rd District,President,,Jo Jorgensen,Lib,10
Lehigh,11304,Allentown 13th Ward 4th District,President,,Joseph R. Biden,Dem,341
Lehigh,11304,Allentown 13th Ward 4th District,President,,Donald J. Trump,Rep,148
Lehigh,11304,Allentown 13th Ward 4th District,President,,Jo Jorgensen,Lib,2
Lehigh,11401,Allentown 14th Ward 1st District,President,,Joseph R. Biden,Dem,711
Lehigh,11401,Allentown 14th Ward 1st District,President,,Donald J. Trump,Rep,360
Lehigh,11401,Allentown 14th Ward 1st District,President,,Jo Jorgensen,Lib,5
Lehigh,11402,Allentown 14th Ward 2nd District,President,,Joseph R. Biden,Dem,797
Lehigh,11402,Allentown 14th Ward 2nd District,President,,Donald J. Trump,Rep,343
Lehigh,11402,Allentown 14th Ward 2nd District,President,,Jo Jorgensen,Lib,10
Lehigh,11501,Allentown 15th Ward 1st District,President,,Joseph R. Biden,Dem,495
Lehigh,11501,Allentown 15th Ward 1st District,President,,Donald J. Trump,Rep,328
Lehigh,11501,Allentown 15th Ward 1st District,President,,Jo Jorgensen,Lib,11
Lehigh,11502,Allentown 15th Ward 2nd District,President,,Joseph R. Biden,Dem,657
Lehigh,11502,Allentown 15th Ward 2nd District,President,,Donald J. Trump,Rep,382
Lehigh,11502,Allentown 15th Ward 2nd District,President,,Jo Jorgensen,Lib,14
Lehigh,11503,Allentown 15th Ward 3rd District,President,,Joseph R. Biden,Dem,696
Lehigh,11503,Allentown 15th Ward 3rd District,President,,Donald J. Trump,Rep,379
Lehigh,11503,Allentown 15th Ward 3rd District,President,,Jo Jorgensen,Lib,11
Lehigh,11504,Allentown 15th Ward 4th District,President,,Joseph R. Biden,Dem,489
Lehigh,11504,Allentown 15th Ward 4th District,President,,Donald J. Trump,Rep,282
Lehigh,11504,Allentown 15th Ward 4th District,President,,Jo Jorgensen,Lib,7
Lehigh,11601,Allentown 16th Ward 1st District,President,,Joseph R. Biden,Dem,588
Lehigh,11601,Allentown 16th Ward 1st District,President,,Donald J. Trump,Rep,296
Lehigh,11601,Allentown 16th Ward 1st District,President,,Jo Jorgensen,Lib,13
Lehigh,11602,Allentown 16th Ward 2nd District,President,,Joseph R. Biden,Dem,819
Lehigh,11602,Allentown 16th Ward 2nd District,President,,Donald J. Trump,Rep,505
Lehigh,11602,Allentown 16th Ward 2nd District,President,,Jo Jorgensen,Lib,12
Lehigh,11701,Allentown 17th Ward 1st District,President,,Joseph R. Biden,Dem,447
Lehigh,11701,Allentown 17th Ward 1st District,President,,Donald J. Trump,Rep,229
Lehigh,11701,Allentown 17th Ward 1st District,President,,Jo Jorgensen,Lib,11
Lehigh,11702,Allentown 17th Ward 2nd District,President,,Joseph R. Biden,Dem,476
Lehigh,11702,Allentown 17th Ward 2nd District,President,,Donald J. Trump,Rep,282
Lehigh,11702,Allentown 17th Ward 2nd District,President,,Jo Jorgensen,Lib,14
Lehigh,11703,Allentown 17th Ward 3rd District,President,,Joseph R. Biden,Dem,501
Lehigh,11703,Allentown 17th Ward 3rd District,President,,Donald J. Trump,Rep,293
Lehigh,11703,Allentown 17th Ward 3rd District,President,,Jo Jorgensen,Lib,5
Lehigh,11704,Allentown 17th Ward 4th District,President,,Joseph R. Biden,Dem,366
Lehigh,11704,Allentown 17th Ward 4th District,President,,Donald J. Trump,Rep,223
Lehigh,11704,Allentown 17th Ward 4th District,President,,Jo Jorgensen,Lib,8
Lehigh,011704P,Allentown 17th Ward 4th District Parkland,President,,Joseph R. Biden,Dem,997
Lehigh,011704P,Allentown 17th Ward 4th District Parkland,President,,Donald J. Trump,Rep,614
Lehigh,011704P,Allentown 17th Ward 4th District Parkland,President,,Jo Jorgensen,Lib,11
Lehigh,11801,Allentown 18th Ward 1st District,President,,Joseph R. Biden,Dem,499
Lehigh,11801,Allentown 18th Ward 1st District,President,,Donald J. Trump,Rep,261
Lehigh,11801,Allentown 18th Ward 1st District,President,,Jo Jorgensen,Lib,7
Lehigh,11802,Allentown 18th Ward 2nd District,President,,Joseph R. Biden,Dem,604
Lehigh,11802,Allentown 18th Ward 2nd District,President,,Donald J. Trump,Rep,396
Lehigh,11802,Allentown 18th Ward 2nd District,President,,Jo Jorgensen,Lib,11
Lehigh,11901,Allentown 19th Ward 1st District,President,,Joseph R. Biden,Dem,354
Lehigh,11901,Allentown 19th Ward 1st District,President,,Donald J. Trump,Rep,234
Lehigh,11901,Allentown 19th Ward 1st District,President,,Jo Jorgensen,Lib,4
Lehigh,11902,Allentown 19th Ward 2nd District,President,,Joseph R. Biden,Dem,678
Lehigh,11902,Allentown 19th Ward 2nd District,President,,Donald J. Trump,Rep,307
Lehigh,11902,Allentown 19th Ward 2nd District,President,,Jo Jorgensen,Lib,15
Lehigh,11903,Allentown 19th Ward 3rd District,President,,Joseph R. Biden,Dem,341
Lehigh,11903,Allentown 19th Ward 3rd District,President,,Donald J. Trump,Rep,248
Lehigh,11903,Allentown 19th Ward 3rd District,President,,Jo Jorgensen,Lib,8
Lehigh,11904,Allentown 19th Ward 4th District,President,,Joseph R. Biden,Dem,529
Lehigh,11904,Allentown 19th Ward 4th District,President,,Donald J. Trump,Rep,258
Lehigh,11904,Allentown 19th Ward 4th District,President,,Jo Jorgensen,Lib,10
Lehigh,11905,Allentown 19th Ward 5th District,President,,Joseph R. Biden,Dem,541
Lehigh,11905,Allentown 19th Ward 5th District,President,,Donald J. Trump,Rep,402
Lehigh,11905,Allentown 19th Ward 5th District,President,,Jo Jorgensen,Lib,7
Lehigh,11906,Allentown 19th Ward 6th District,President,,Joseph R. Biden,Dem,934
Lehigh,11906,Allentown 19th Ward 6th District,President,,Donald J. Trump,Rep,454
Lehigh,11906,Allentown 19th Ward 6th District,President,,Jo Jorgensen,Lib,24
Lehigh,21001,Bethlehem 10th Ward 1st District,President,,Joseph R. Biden,Dem,592
Lehigh,21001,Bethlehem 10th Ward 1st District,President,,Donald J. Trump,Rep,228
Lehigh,21001,Bethlehem 10th Ward 1st District,President,,Jo Jorgensen,Lib,16
Lehigh,21101,Bethlehem 11th Ward 1st District,President,,Joseph R. Biden,Dem,410
Lehigh,21101,Bethlehem 11th Ward 1st District,President,,Donald J. Trump,Rep,218
Lehigh,21101,Bethlehem 11th Ward 1st District,President,,Jo Jorgensen,Lib,10
Lehigh,21201,Bethlehem 12th Ward 1st District,President,,Joseph R. Biden,Dem,439
Lehigh,21201,Bethlehem 12th Ward 1st District,President,,Donald J. Trump,Rep,169
Lehigh,21201,Bethlehem 12th Ward 1st District,President,,Jo Jorgensen,Lib,12
Lehigh,21202,Bethlehem 12th Ward 2nd District,President,,Joseph R. Biden,Dem,469
Lehigh,21202,Bethlehem 12th Ward 2nd District,President,,Donald J. Trump,Rep,207
Lehigh,21202,Bethlehem 12th Ward 2nd District,President,,Jo Jorgensen,Lib,13
Lehigh,21301,Bethlehem 13th Ward 1st District,President,,Joseph R. Biden,Dem,801
Lehigh,21301,Bethlehem 13th Ward 1st District,President,,Donald J. Trump,Rep,417
Lehigh,21301,Bethlehem 13th Ward 1st District,President,,Jo Jorgensen,Lib,22
Lehigh,21302,Bethlehem 13th Ward 2nd District,President,,Joseph R. Biden,Dem,498
Lehigh,21302,Bethlehem 13th Ward 2nd District,President,,Donald J. Trump,Rep,306
Lehigh,21302,Bethlehem 13th Ward 2nd District,President,,Jo Jorgensen,Lib,13
Lehigh,21303,Bethlehem 13th Ward 3rd District,President,,Joseph R. Biden,Dem,599
Lehigh,21303,Bethlehem 13th Ward 3rd District,President,,Donald J. Trump,Rep,429
Lehigh,21303,Bethlehem 13th Ward 3rd District,President,,Jo Jorgensen,Lib,12
Lehigh,21304,Bethlehem 13th Ward 4th District,President,,Joseph R. Biden,Dem,647
Lehigh,21304,Bethlehem 13th Ward 4th District,President,,Donald J. Trump,Rep,452
Lehigh,21304,Bethlehem 13th Ward 4th District,President,,Jo Jorgensen,Lib,18
Lehigh,21305,Bethlehem 13th Ward 5th District,President,,Joseph R. Biden,Dem,513
Lehigh,21305,Bethlehem 13th Ward 5th District,President,,Donald J. Trump,Rep,323
Lehigh,21305,Bethlehem 13th Ward 5th District,President,,Jo Jorgensen,Lib,19
Lehigh,21306,Bethlehem 13th Ward 6th District,President,,Joseph R. Biden,Dem,397
Lehigh,21306,Bethlehem 13th Ward 6th District,President,,Donald J. Trump,Rep,320
Lehigh,21306,Bethlehem 13th Ward 6th District,President,,Jo Jorgensen,Lib,7
Lehigh,21307,Bethlehem 13th Ward 7th District,President,,Joseph R. Biden,Dem,578
Lehigh,21307,Bethlehem 13th Ward 7th District,President,,Donald J. Trump,Rep,307
Lehigh,21307,Bethlehem 13th Ward 7th District,President,,Jo Jorgensen,Lib,15
Lehigh,21308,Bethlehem 13th Ward 8th District,President,,Joseph R. Biden,Dem,551
Lehigh,21308,Bethlehem 13th Ward 8th District,President,,Donald J. Trump,Rep,372
Lehigh,21308,Bethlehem 13th Ward 8th District,President,,Jo Jorgensen,Lib,4
Lehigh,30101,Alburtis,President,,Joseph R. Biden,Dem,653
Lehigh,30101,Alburtis,President,,Donald J. Trump,Rep,719
Lehigh,30101,Alburtis,President,,Jo Jorgensen,Lib,32
Lehigh,40101,Catasauqua 1st District,President,,Joseph R. Biden,Dem,551
Lehigh,40101,Catasauqua 1st District,President,,Donald J. Trump,Rep,422
Lehigh,40101,Catasauqua 1st District,President,,Jo Jorgensen,Lib,8
Lehigh,40102,Catasauqua 2nd District,President,,Joseph R. Biden,Dem,495
Lehigh,40102,Catasauqua 2nd District,President,,Donald J. Trump,Rep,532
Lehigh,40102,Catasauqua 2nd District,President,,Jo Jorgensen,Lib,14
Lehigh,40103,Catasauqua 3rd District,President,,Joseph R. Biden,Dem,521
Lehigh,40103,Catasauqua 3rd District,President,,Donald J. Trump,Rep,542
Lehigh,40103,Catasauqua 3rd District,President,,Jo Jorgensen,Lib,22
Lehigh,50101,Coopersburg,President,,Joseph R. Biden,Dem,710
Lehigh,50101,Coopersburg,President,,Donald J. Trump,Rep,768
Lehigh,50101,Coopersburg,President,,Jo Jorgensen,Lib,26
Lehigh,60101,Coplay 1st District,President,,Joseph R. Biden,Dem,380
Lehigh,60101,Coplay 1st District,President,,Donald J. Trump,Rep,396
Lehigh,60101,Coplay 1st District,President,,Jo Jorgensen,Lib,10
Lehigh,60102,Coplay 2nd District,President,,Joseph R. Biden,Dem,474
Lehigh,60102,Coplay 2nd District,President,,Donald J. Trump,Rep,478
Lehigh,60102,Coplay 2nd District,President,,Jo Jorgensen,Lib,17
Lehigh,70101,Emmaus 1st District,President,,Joseph R. Biden,Dem,570
Lehigh,70101,Emmaus 1st District,President,,Donald J. Trump,Rep,471
Lehigh,70101,Emmaus 1st District,President,,Jo Jorgensen,Lib,16
Lehigh,70102,Emmaus 2nd District,President,,Joseph R. Biden,Dem,550
Lehigh,70102,Emmaus 2nd District,President,,Donald J. Trump,Rep,474
Lehigh,70102,Emmaus 2nd District,President,,Jo Jorgensen,Lib,18
Lehigh,70103,Emmaus 3rd District,President,,Joseph R. Biden,Dem,645
Lehigh,70103,Emmaus 3rd District,President,,Donald J. Trump,Rep,676
Lehigh,70103,Emmaus 3rd District,President,,Jo Jorgensen,Lib,22
Lehigh,70104,Emmaus 4th District,President,,Joseph R. Biden,Dem,679
Lehigh,70104,Emmaus 4th District,President,,Donald J. Trump,Rep,533
Lehigh,70104,Emmaus 4th District,President,,Jo Jorgensen,Lib,25
Lehigh,70105,Emmaus 5th District,President,,Joseph R. Biden,Dem,327
Lehigh,70105,Emmaus 5th District,President,,Donald J. Trump,Rep,320
Lehigh,70105,Emmaus 5th District,President,,Jo Jorgensen,Lib,10
Lehigh,70106,Emmaus 6th District,President,,Joseph R. Biden,Dem,656
Lehigh,70106,Emmaus 6th District,President,,Donald J. Trump,Rep,511
Lehigh,70106,Emmaus 6th District,President,,Jo Jorgensen,Lib,26
Lehigh,80101,Fountain Hill 1st District,President,,Joseph R. Biden,Dem,606
Lehigh,80101,Fountain Hill 1st District,President,,Donald J. Trump,Rep,255
Lehigh,80101,Fountain Hill 1st District,President,,Jo Jorgensen,Lib,20
Lehigh,80102,Fountain Hill 2nd District,President,,Joseph R. Biden,Dem,454
Lehigh,80102,Fountain Hill 2nd District,President,,Donald J. Trump,Rep,232
Lehigh,80102,Fountain Hill 2nd District,President,,Jo Jorgensen,Lib,11
Lehigh,80103,Fountain Hill 3rd District,President,,Joseph R. Biden,Dem,432
Lehigh,80103,Fountain Hill 3rd District,President,,Donald J. Trump,Rep,233
Lehigh,80103,Fountain Hill 3rd District,President,,Jo Jorgensen,Lib,9
Lehigh,90101,Macungie,President,,Joseph R. Biden,Dem,1002
Lehigh,90101,Macungie,President,,Donald J. Trump,Rep,861
Lehigh,90101,Macungie,President,,Jo Jorgensen,Lib,29
Lehigh,100101,Slatington 1st District,President,,Joseph R. Biden,Dem,214
Lehigh,100101,Slatington 1st District,President,,Donald J. Trump,Rep,330
Lehigh,100101,Slatington 1st District,President,,Jo Jorgensen,Lib,15
Lehigh,100102,Slatington 2nd District,President,,Joseph R. Biden,Dem,172
Lehigh,100102,Slatington 2nd District,President,,Donald J. Trump,Rep,291
Lehigh,100102,Slatington 2nd District,President,,Jo Jorgensen,Lib,7
Lehigh,100103,Slatington 3rd District,President,,Joseph R. Biden,Dem,347
Lehigh,100103,Slatington 3rd District,President,,Donald J. Trump,Rep,515
Lehigh,100103,Slatington 3rd District,President,,Jo Jorgensen,Lib,24
Lehigh,110101,Hanover,President,,Joseph R. Biden,Dem,407
Lehigh,110101,Hanover,President,,Donald J. Trump,Rep,303
Lehigh,110101,Hanover,President,,Jo Jorgensen,Lib,10
Lehigh,120101,Heidelberg,President,,Joseph R. Biden,Dem,621
Lehigh,120101,Heidelberg,President,,Donald J. Trump,Rep,1341
Lehigh,120101,Heidelberg,President,,Jo Jorgensen,Lib,22
Lehigh,130101,Lower Macungie 1st District,President,,Joseph R. Biden,Dem,1112
Lehigh,130101,Lower Macungie 1st District,President,,Donald J. Trump,Rep,1089
Lehigh,130101,Lower Macungie 1st District,President,,Jo Jorgensen,Lib,17
Lehigh,130102,Lower Macungie 2nd District,President,,Joseph R. Biden,Dem,1932
Lehigh,130102,Lower Macungie 2nd District,President,,Donald J. Trump,Rep,1754
Lehigh,130102,Lower Macungie 2nd District,President,,Jo Jorgensen,Lib,29
Lehigh,130103,Lower Macungie 3rd District,President,,Joseph R. Biden,Dem,894
Lehigh,130103,Lower Macungie 3rd District,President,,Donald J. Trump,Rep,903
Lehigh,130103,Lower Macungie 3rd District,President,,Jo Jorgensen,Lib,19
Lehigh,130104,Lower Macungie 4th District,President,,Joseph R. Biden,Dem,840
Lehigh,130104,Lower Macungie 4th District,President,,Donald J. Trump,Rep,885
Lehigh,130104,Lower Macungie 4th District,President,,Jo Jorgensen,Lib,23
Lehigh,130105,Lower Macungie 5th District,President,,Joseph R. Biden,Dem,685
Lehigh,130105,Lower Macungie 5th District,President,,Donald J. Trump,Rep,690
Lehigh,130105,Lower Macungie 5th District,President,,Jo Jorgensen,Lib,10
Lehigh,130106,Lower Macungie 6th District,President,,Joseph R. Biden,Dem,1465
Lehigh,130106,Lower Macungie 6th District,President,,Donald J. Trump,Rep,1343
Lehigh,130106,Lower Macungie 6th District,President,,Jo Jorgensen,Lib,34
Lehigh,130107,Lower Macungie 7th District,President,,Joseph R. Biden,Dem,926
Lehigh,130107,Lower Macungie 7th District,President,,Donald J. Trump,Rep,758
Lehigh,130107,Lower Macungie 7th District,President,,Jo Jorgensen,Lib,19
Lehigh,130108,Lower Macungie 8th District,President,,Joseph R. Biden,Dem,759
Lehigh,130108,Lower Macungie 8th District,President,,Donald J. Trump,Rep,711
Lehigh,130108,Lower Macungie 8th District,President,,Jo Jorgensen,Lib,9
Lehigh,130109,Lower Macungie 9th District,President,,Joseph R. Biden,Dem,598
Lehigh,130109,Lower Macungie 9th District,President,,Donald J. Trump,Rep,556
Lehigh,130109,Lower Macungie 9th District,President,,Jo Jorgensen,Lib,13
Lehigh,130110,Lower Macungie 10th District,President,,Joseph R. Biden,Dem,945
Lehigh,130110,Lower Macungie 10th District,President,,Donald J. Trump,Rep,943
Lehigh,130110,Lower Macungie 10th District,President,,Jo Jorgensen,Lib,13
Lehigh,140101,Lower Milford,President,,Joseph R. Biden,Dem,946
Lehigh,140101,Lower Milford,President,,Donald J. Trump,Rep,1563
Lehigh,140101,Lower Milford,President,,Jo Jorgensen,Lib,30
Lehigh,150101,Lowhill,President,,Joseph R. Biden,Dem,557
Lehigh,150101,Lowhill,President,,Donald J. Trump,Rep,939
Lehigh,150101,Lowhill,President,,Jo Jorgensen,Lib,13
Lehigh,160101,Lynn New Tripoli District,President,,Joseph R. Biden,Dem,532
Lehigh,160101,Lynn New Tripoli District,President,,Donald J. Trump,Rep,1002
Lehigh,160101,Lynn New Tripoli District,President,,Jo Jorgensen,Lib,33
Lehigh,160102,Lynn Lynnville District,President,,Joseph R. Biden,Dem,144
Lehigh,160102,Lynn Lynnville District,President,,Donald J. Trump,Rep,308
Lehigh,160102,Lynn Lynnville District,President,,Jo Jorgensen,Lib,8
Lehigh,160103,Lynn Jacksonville District,President,,Joseph R. Biden,Dem,186
Lehigh,160103,Lynn Jacksonville District,President,,Donald J. Trump,Rep,449
Lehigh,160103,Lynn Jacksonville District,President,,Jo Jorgensen,Lib,7
Lehigh,170101,North Whitehall 1st District,President,,Joseph R. Biden,Dem,971
Lehigh,170101,North Whitehall 1st District,President,,Donald J. Trump,Rep,1337
Lehigh,170101,North Whitehall 1st District,President,,Jo Jorgensen,Lib,23
Lehigh,170102,North Whitehall 2nd District,President,,Joseph R. Biden,Dem,865
Lehigh,170102,North Whitehall 2nd District,President,,Donald J. Trump,Rep,1281
Lehigh,170102,North Whitehall 2nd District,President,,Jo Jorgensen,Lib,24
Lehigh,170103,North Whitehall 3rd District,President,,Joseph R. Biden,Dem,460
Lehigh,170103,North Whitehall 3rd District,President,,Donald J. Trump,Rep,695
Lehigh,170103,North Whitehall 3rd District,President,,Jo Jorgensen,Lib,9
Lehigh,170104,North Whitehall 4th District,President,,Joseph R. Biden,Dem,635
Lehigh,170104,North Whitehall 4th District,President,,Donald J. Trump,Rep,927
Lehigh,170104,North Whitehall 4th District,President,,Jo Jorgensen,Lib,18
Lehigh,170105,North Whitehall 5th District,President,,Joseph R. Biden,Dem,548
Lehigh,170105,North Whitehall 5th District,President,,Donald J. Trump,Rep,886
Lehigh,170105,North Whitehall 5th District,President,,Jo Jorgensen,Lib,19
Lehigh,170106,North Whitehall 6th District,President,,Joseph R. Biden,Dem,500
Lehigh,170106,North Whitehall 6th District,President,,Donald J. Trump,Rep,651
Lehigh,170106,North Whitehall 6th District,President,,Jo Jorgensen,Lib,15
Lehigh,180101,Salisbury 1st Ward,President,,Joseph R. Biden,Dem,700
Lehigh,180101,Salisbury 1st Ward,President,,Donald J. Trump,Rep,691
Lehigh,180101,Salisbury 1st Ward,President,,Jo Jorgensen,Lib,16
Lehigh,180201,Salisbury 2nd Ward,President,,Joseph R. Biden,Dem,777
