county,precinct,office,district,party,candidate,votes,election_day,absentee,provisional
Cumberland,CAMP HILL 2,U.S. House,10,DEM,EUGENE DEPASQUALE,628,265,358,5
Cumberland,CAMP HILL 2,U.S. House,10,REP,SCOTT PERRY,547,443,98,6
Cumberland,CAMP HILL 2,U.S. House,10,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 2,State Senate,31,DEM,SHANNA DANIELSON,596,253,338,5
Cumberland,CAMP HILL 2,State Senate,31,REP,MIKE REGAN,575,456,113,6
Cumberland,CAMP HILL 2,State Senate,31,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 2,State House,87,DEM,NICOLE MILLER,605,261,340,4
Cumberland,CAMP HILL 2,State House,87,REP,GREG ROTHMAN,555,438,111,6
Cumberland,CAMP HILL 2,State House,87,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 3,Registered Voters,,,,1127,,,
Cumberland,CAMP HILL 3,Ballots Cast,,,,1545,835,694,16
Cumberland,CAMP HILL 3,President,,DEM,Joseph R. Biden,852,308,537,7
Cumberland,CAMP HILL 3,President,,REP,Donald J. Trump,659,503,147,9
Cumberland,CAMP HILL 3,President,,LIB,Jo Jorgensen,21,16,5,0
Cumberland,CAMP HILL 3,President,,,Write-ins,8,5,3,0
Cumberland,CAMP HILL 3,Attorney General,,DEM,JOSH SHAPIRO,813,298,509,6
Cumberland,CAMP HILL 3,Attorney General,,REP,HEATHER HEIDELBAUGH,659,491,159,9
Cumberland,CAMP HILL 3,Attorney General,,LIB,DANIEL WASSMER,28,22,6,0
Cumberland,CAMP HILL 3,Attorney General,,GRN,RICHARD L WEISS,14,7,7,0
Cumberland,CAMP HILL 3,Attorney General,,,Write-ins,2,0,2,0
Cumberland,CAMP HILL 3,Auditor General,,DEM,NINA AHMAD,710,237,468,5
Cumberland,CAMP HILL 3,Auditor General,,REP,TIMOTHY DEFOOR,735,533,192,10
Cumberland,CAMP HILL 3,Auditor General,,LIB,JENNIFER MOORE,47,37,10,0
Cumberland,CAMP HILL 3,Auditor General,,GRN,OLIVIA FAISON,17,10,7,0
Cumberland,CAMP HILL 3,Auditor General,,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 3,State Treasurer,,DEM,JOE TORSELLA,765,269,492,4
Cumberland,CAMP HILL 3,State Treasurer,,REP,STACY L GARRITY,693,511,171,11
Cumberland,CAMP HILL 3,State Treasurer,,LIB,JOE SOLOSKI,27,23,4,0
Cumberland,CAMP HILL 3,State Treasurer,,GRN,TIMOTHY RUNKLE,20,11,9,0
Cumberland,CAMP HILL 3,State Treasurer,,,Write-ins,3,0,3,0
Cumberland,CAMP HILL 3,U.S. House,10,DEM,EUGENE DEPASQUALE,807,281,520,6
Cumberland,CAMP HILL 3,U.S. House,10,REP,SCOTT PERRY,714,542,163,9
Cumberland,CAMP HILL 3,U.S. House,10,,Write-ins,1,0,1,0
Cumberland,CAMP HILL 3,State Senate,31,DEM,SHANNA DANIELSON,760,265,489,6
Cumberland,CAMP HILL 3,State Senate,31,REP,MIKE REGAN,759,561,189,9
Cumberland,CAMP HILL 3,State Senate,31,,Write-ins,4,1,3,0
Cumberland,CAMP HILL 3,State House,87,DEM,NICOLE MILLER,758,263,490,5
Cumberland,CAMP HILL 3,State House,87,REP,GREG ROTHMAN,758,560,188,10
Cumberland,CAMP HILL 3,State House,87,,Write-ins,5,3,2,0
Cumberland,CAMP HILL 4,Registered Voters,,,,1127,,,
Cumberland,CAMP HILL 4,Ballots Cast,,,,638,419,206,13
Cumberland,CAMP HILL 4,President,,DEM,Joseph R. Biden,344,172,169,3
Cumberland,CAMP HILL 4,President,,REP,Donald J. Trump,279,238,34,7
Cumberland,CAMP HILL 4,President,,LIB,Jo Jorgensen,9,6,1,2
Cumberland,CAMP HILL 4,President,,,Write-ins,4,1,2,1
Cumberland,CAMP HILL 4,Attorney General,,DEM,JOSH SHAPIRO,327,166,158,3
Cumberland,CAMP HILL 4,Attorney General,,REP,HEATHER HEIDELBAUGH,273,232,34,7
Cumberland,CAMP HILL 4,Attorney General,,LIB,DANIEL WASSMER,16,12,2,2
Cumberland,CAMP HILL 4,Attorney General,,GRN,RICHARD L WEISS,6,0,6,0
Cumberland,CAMP HILL 4,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 4,Auditor General,,DEM,NINA AHMAD,306,150,154,2
Cumberland,CAMP HILL 4,Auditor General,,REP,TIMOTHY DEFOOR,282,235,40,7
Cumberland,CAMP HILL 4,Auditor General,,LIB,JENNIFER MOORE,28,21,4,3
Cumberland,CAMP HILL 4,Auditor General,,GRN,OLIVIA FAISON,3,1,2,0
Cumberland,CAMP HILL 4,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 4,State Treasurer,,DEM,JOE TORSELLA,312,156,154,2
Cumberland,CAMP HILL 4,State Treasurer,,REP,STACY L GARRITY,276,229,40,7
Cumberland,CAMP HILL 4,State Treasurer,,LIB,JOE SOLOSKI,23,20,0,3
Cumberland,CAMP HILL 4,State Treasurer,,GRN,TIMOTHY RUNKLE,6,2,4,0
Cumberland,CAMP HILL 4,State Treasurer,,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 4,U.S. House,10,DEM,EUGENE DEPASQUALE,327,161,163,3
Cumberland,CAMP HILL 4,U.S. House,10,REP,SCOTT PERRY,295,248,39,8
Cumberland,CAMP HILL 4,U.S. House,10,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 4,State Senate,31,DEM,SHANNA DANIELSON,313,153,157,3
Cumberland,CAMP HILL 4,State Senate,31,REP,MIKE REGAN,310,256,46,8
Cumberland,CAMP HILL 4,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 4,State House,87,DEM,NICOLE MILLER,323,162,158,3
Cumberland,CAMP HILL 4,State House,87,REP,GREG ROTHMAN,298,247,43,8
Cumberland,CAMP HILL 4,State House,87,,Write-ins,0,0,0,0
Cumberland,CAMP HILL 5,Registered Voters,,,,1127,,,
Cumberland,CAMP HILL 5,Ballots Cast,,,,963,525,422,16
Cumberland,CAMP HILL 5,President,,DEM,Joseph R. Biden,568,229,330,9
Cumberland,CAMP HILL 5,President,,REP,Donald J. Trump,360,274,80,6
Cumberland,CAMP HILL 5,President,,LIB,Jo Jorgensen,24,16,7,1
Cumberland,CAMP HILL 5,President,,,Write-ins,6,3,3,0
Cumberland,CAMP HILL 5,Attorney General,,DEM,JOSH SHAPIRO,543,218,317,8
Cumberland,CAMP HILL 5,Attorney General,,REP,HEATHER HEIDELBAUGH,361,269,87,5
Cumberland,CAMP HILL 5,Attorney General,,LIB,DANIEL WASSMER,24,15,7,2
Cumberland,CAMP HILL 5,Attorney General,,GRN,RICHARD L WEISS,16,10,6,0
Cumberland,CAMP HILL 5,Attorney General,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 5,Auditor General,,DEM,NINA AHMAD,516,197,310,9
Cumberland,CAMP HILL 5,Auditor General,,REP,TIMOTHY DEFOOR,379,280,95,4
Cumberland,CAMP HILL 5,Auditor General,,LIB,JENNIFER MOORE,35,26,7,2
Cumberland,CAMP HILL 5,Auditor General,,GRN,OLIVIA FAISON,12,7,5,0
Cumberland,CAMP HILL 5,Auditor General,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 5,State Treasurer,,DEM,JOE TORSELLA,511,202,302,7
Cumberland,CAMP HILL 5,State Treasurer,,REP,STACY L GARRITY,374,277,91,6
Cumberland,CAMP HILL 5,State Treasurer,,LIB,JOE SOLOSKI,34,21,11,2
Cumberland,CAMP HILL 5,State Treasurer,,GRN,TIMOTHY RUNKLE,19,9,10,0
Cumberland,CAMP HILL 5,State Treasurer,,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 5,U.S. House,10,DEM,EUGENE DEPASQUALE,544,216,320,8
Cumberland,CAMP HILL 5,U.S. House,10,REP,SCOTT PERRY,399,293,98,8
Cumberland,CAMP HILL 5,U.S. House,10,,Write-ins,1,1,0,0
Cumberland,CAMP HILL 5,State Senate,31,DEM,SHANNA DANIELSON,537,207,320,10
Cumberland,CAMP HILL 5,State Senate,31,REP,MIKE REGAN,403,302,95,6
Cumberland,CAMP HILL 5,State Senate,31,,Write-ins,2,1,1,0
Cumberland,CAMP HILL 5,State House,87,DEM,NICOLE MILLER,543,217,317,9
Cumberland,CAMP HILL 5,State House,87,REP,GREG ROTHMAN,390,288,96,6
Cumberland,CAMP HILL 5,State House,87,,Write-ins,5,2,3,0
Cumberland,CARLISLE 1-1,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 1-1,Ballots Cast,,,,445,275,161,9
Cumberland,CARLISLE 1-1,President,,DEM,Joseph R. Biden,275,131,136,8
Cumberland,CARLISLE 1-1,President,,REP,Donald J. Trump,162,138,23,1
Cumberland,CARLISLE 1-1,President,,LIB,Jo Jorgensen,7,5,2,0
Cumberland,CARLISLE 1-1,President,,,Write-ins,1,1,0,0
Cumberland,CARLISLE 1-1,Attorney General,,DEM,JOSH SHAPIRO,245,118,120,7
Cumberland,CARLISLE 1-1,Attorney General,,REP,HEATHER HEIDELBAUGH,161,136,24,1
Cumberland,CARLISLE 1-1,Attorney General,,LIB,DANIEL WASSMER,10,6,4,0
Cumberland,CARLISLE 1-1,Attorney General,,GRN,RICHARD L WEISS,10,5,5,0
Cumberland,CARLISLE 1-1,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 1-1,Auditor General,,DEM,NINA AHMAD,233,109,117,7
Cumberland,CARLISLE 1-1,Auditor General,,REP,TIMOTHY DEFOOR,161,138,22,1
Cumberland,CARLISLE 1-1,Auditor General,,LIB,JENNIFER MOORE,16,11,5,0
Cumberland,CARLISLE 1-1,Auditor General,,GRN,OLIVIA FAISON,12,6,6,0
Cumberland,CARLISLE 1-1,Auditor General,,,Write-ins,1,0,1,0
Cumberland,CARLISLE 1-1,State Treasurer,,DEM,JOE TORSELLA,235,113,116,6
Cumberland,CARLISLE 1-1,State Treasurer,,REP,STACY L GARRITY,160,134,25,1
Cumberland,CARLISLE 1-1,State Treasurer,,LIB,JOE SOLOSKI,14,9,5,0
Cumberland,CARLISLE 1-1,State Treasurer,,GRN,TIMOTHY RUNKLE,12,7,4,1
Cumberland,CARLISLE 1-1,State Treasurer,,,Write-ins,1,1,0,0
Cumberland,CARLISLE 1-1,U.S. House,10,DEM,EUGENE DEPASQUALE,264,128,129,7
Cumberland,CARLISLE 1-1,U.S. House,10,REP,SCOTT PERRY,166,138,26,2
Cumberland,CARLISLE 1-1,U.S. House,10,,Write-ins,1,0,1,0
Cumberland,CARLISLE 1-1,State Senate,31,DEM,SHANNA DANIELSON,256,123,126,7
Cumberland,CARLISLE 1-1,State Senate,31,REP,MIKE REGAN,172,143,28,1
Cumberland,CARLISLE 1-1,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CARLISLE 1-1,State House,199,DEM,JANELLE KAYLA CROSSLEY,246,118,122,6
Cumberland,CARLISLE 1-1,State House,199,REP,BARBARA GLEIM,176,145,30,1
Cumberland,CARLISLE 1-1,State House,199,,Write-ins,1,1,0,0
Cumberland,CARLISLE 1-2,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 1-2,Ballots Cast,,,,518,334,179,5
Cumberland,CARLISLE 1-2,President,,DEM,Joseph R. Biden,296,151,140,5
Cumberland,CARLISLE 1-2,President,,REP,Donald J. Trump,212,176,36,0
Cumberland,CARLISLE 1-2,President,,LIB,Jo Jorgensen,9,7,2,0
Cumberland,CARLISLE 1-2,President,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 1-2,Attorney General,,DEM,JOSH SHAPIRO,284,137,142,5
Cumberland,CARLISLE 1-2,Attorney General,,REP,HEATHER HEIDELBAUGH,208,175,33,0
Cumberland,CARLISLE 1-2,Attorney General,,LIB,DANIEL WASSMER,7,6,1,0
Cumberland,CARLISLE 1-2,Attorney General,,GRN,RICHARD L WEISS,7,6,1,0
Cumberland,CARLISLE 1-2,Attorney General,,,Write-ins,1,0,1,0
Cumberland,CARLISLE 1-2,Auditor General,,DEM,NINA AHMAD,253,125,123,5
Cumberland,CARLISLE 1-2,Auditor General,,REP,TIMOTHY DEFOOR,217,173,44,0
Cumberland,CARLISLE 1-2,Auditor General,,LIB,JENNIFER MOORE,26,19,7,0
Cumberland,CARLISLE 1-2,Auditor General,,GRN,OLIVIA FAISON,10,5,5,0
Cumberland,CARLISLE 1-2,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 1-2,State Treasurer,,DEM,JOE TORSELLA,268,129,134,5
Cumberland,CARLISLE 1-2,State Treasurer,,REP,STACY L GARRITY,213,175,38,0
Cumberland,CARLISLE 1-2,State Treasurer,,LIB,JOE SOLOSKI,16,13,3,0
Cumberland,CARLISLE 1-2,State Treasurer,,GRN,TIMOTHY RUNKLE,9,6,3,0
Cumberland,CARLISLE 1-2,State Treasurer,,,Write-ins,2,1,1,0
Cumberland,CARLISLE 1-2,U.S. House,10,DEM,EUGENE DEPASQUALE,285,141,139,5
Cumberland,CARLISLE 1-2,U.S. House,10,REP,SCOTT PERRY,220,181,39,0
Cumberland,CARLISLE 1-2,U.S. House,10,,Write-ins,2,1,1,0
Cumberland,CARLISLE 1-2,State Senate,31,DEM,SHANNA DANIELSON,281,139,137,5
Cumberland,CARLISLE 1-2,State Senate,31,REP,MIKE REGAN,224,184,40,0
Cumberland,CARLISLE 1-2,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CARLISLE 1-2,State House,199,DEM,JANELLE KAYLA CROSSLEY,266,129,132,5
Cumberland,CARLISLE 1-2,State House,199,REP,BARBARA GLEIM,238,191,47,0
Cumberland,CARLISLE 1-2,State House,199,,Write-ins,1,1,0,0
Cumberland,CARLISLE 2,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 2,Ballots Cast,,,,923,540,365,18
Cumberland,CARLISLE 2,President,,DEM,Joseph R. Biden,532,240,283,9
Cumberland,CARLISLE 2,President,,REP,Donald J. Trump,370,283,78,9
Cumberland,CARLISLE 2,President,,LIB,Jo Jorgensen,16,13,3,0
Cumberland,CARLISLE 2,President,,,Write-ins,2,1,1,0
Cumberland,CARLISLE 2,Attorney General,,DEM,JOSH SHAPIRO,497,221,267,9
Cumberland,CARLISLE 2,Attorney General,,REP,HEATHER HEIDELBAUGH,363,274,80,9
Cumberland,CARLISLE 2,Attorney General,,LIB,DANIEL WASSMER,26,17,9,0
Cumberland,CARLISLE 2,Attorney General,,GRN,RICHARD L WEISS,13,9,4,0
Cumberland,CARLISLE 2,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 2,Auditor General,,DEM,NINA AHMAD,485,210,267,8
Cumberland,CARLISLE 2,Auditor General,,REP,TIMOTHY DEFOOR,365,275,81,9
Cumberland,CARLISLE 2,Auditor General,,LIB,JENNIFER MOORE,37,26,10,1
Cumberland,CARLISLE 2,Auditor General,,GRN,OLIVIA FAISON,9,9,0,0
Cumberland,CARLISLE 2,Auditor General,,,Write-ins,1,1,0,0
Cumberland,CARLISLE 2,State Treasurer,,DEM,JOE TORSELLA,494,217,269,8
Cumberland,CARLISLE 2,State Treasurer,,REP,STACY L GARRITY,367,279,78,10
Cumberland,CARLISLE 2,State Treasurer,,LIB,JOE SOLOSKI,28,18,10,0
Cumberland,CARLISLE 2,State Treasurer,,GRN,TIMOTHY RUNKLE,11,8,3,0
Cumberland,CARLISLE 2,State Treasurer,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 2,U.S. House,10,DEM,EUGENE DEPASQUALE,518,236,275,7
Cumberland,CARLISLE 2,U.S. House,10,REP,SCOTT PERRY,384,289,84,11
Cumberland,CARLISLE 2,U.S. House,10,,Write-ins,2,0,2,0
Cumberland,CARLISLE 2,State Senate,31,DEM,SHANNA DANIELSON,511,232,271,8
Cumberland,CARLISLE 2,State Senate,31,REP,MIKE REGAN,386,290,86,10
Cumberland,CARLISLE 2,State Senate,31,,Write-ins,2,0,2,0
Cumberland,CARLISLE 2,State House,199,DEM,JANELLE KAYLA CROSSLEY,496,226,262,8
Cumberland,CARLISLE 2,State House,199,REP,BARBARA GLEIM,402,297,95,10
Cumberland,CARLISLE 2,State House,199,,Write-ins,2,0,2,0
Cumberland,CARLISLE 3-1,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 3-1,Ballots Cast,,,,1151,473,660,18
Cumberland,CARLISLE 3-1,President,,DEM,Joseph R. Biden,844,263,567,14
Cumberland,CARLISLE 3-1,President,,REP,Donald J. Trump,287,202,81,4
Cumberland,CARLISLE 3-1,President,,LIB,Jo Jorgensen,12,6,6,0
Cumberland,CARLISLE 3-1,President,,,Write-ins,5,1,4,0
Cumberland,CARLISLE 3-1,Attorney General,,DEM,JOSH SHAPIRO,800,243,541,16
Cumberland,CARLISLE 3-1,Attorney General,,REP,HEATHER HEIDELBAUGH,282,198,82,2
Cumberland,CARLISLE 3-1,Attorney General,,LIB,DANIEL WASSMER,23,14,9,0
Cumberland,CARLISLE 3-1,Attorney General,,GRN,RICHARD L WEISS,13,4,9,0
Cumberland,CARLISLE 3-1,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-1,Auditor General,,DEM,NINA AHMAD,752,231,507,14
Cumberland,CARLISLE 3-1,Auditor General,,REP,TIMOTHY DEFOOR,314,206,105,3
Cumberland,CARLISLE 3-1,Auditor General,,LIB,JENNIFER MOORE,31,16,14,1
Cumberland,CARLISLE 3-1,Auditor General,,GRN,OLIVIA FAISON,17,5,12,0
Cumberland,CARLISLE 3-1,Auditor General,,,Write-ins,1,1,0,0
Cumberland,CARLISLE 3-1,State Treasurer,,DEM,JOE TORSELLA,761,238,509,14
Cumberland,CARLISLE 3-1,State Treasurer,,REP,STACY L GARRITY,299,198,97,4
Cumberland,CARLISLE 3-1,State Treasurer,,LIB,JOE SOLOSKI,27,15,12,0
Cumberland,CARLISLE 3-1,State Treasurer,,GRN,TIMOTHY RUNKLE,22,6,16,0
Cumberland,CARLISLE 3-1,State Treasurer,,,Write-ins,1,1,0,0
Cumberland,CARLISLE 3-1,U.S. House,10,DEM,EUGENE DEPASQUALE,835,250,570,15
Cumberland,CARLISLE 3-1,U.S. House,10,REP,SCOTT PERRY,296,212,81,3
Cumberland,CARLISLE 3-1,U.S. House,10,,Write-ins,3,1,2,0
Cumberland,CARLISLE 3-1,State Senate,31,DEM,SHANNA DANIELSON,811,256,541,14
Cumberland,CARLISLE 3-1,State Senate,31,REP,MIKE REGAN,308,203,101,4
Cumberland,CARLISLE 3-1,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-1,State House,199,DEM,JANELLE KAYLA CROSSLEY,773,241,518,14
Cumberland,CARLISLE 3-1,State House,199,REP,BARBARA GLEIM,341,217,120,4
Cumberland,CARLISLE 3-1,State House,199,,Write-ins,2,0,2,0
Cumberland,CARLISLE 3-2,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 3-2,Ballots Cast,,,,1433,727,693,13
Cumberland,CARLISLE 3-2,President,,DEM,Joseph R. Biden,821,294,524,3
Cumberland,CARLISLE 3-2,President,,REP,Donald J. Trump,590,420,160,10
Cumberland,CARLISLE 3-2,President,,LIB,Jo Jorgensen,11,7,4,0
Cumberland,CARLISLE 3-2,President,,,Write-ins,8,5,3,0
Cumberland,CARLISLE 3-2,Attorney General,,DEM,JOSH SHAPIRO,773,278,492,3
Cumberland,CARLISLE 3-2,Attorney General,,REP,HEATHER HEIDELBAUGH,588,404,176,8
Cumberland,CARLISLE 3-2,Attorney General,,LIB,DANIEL WASSMER,26,19,6,1
Cumberland,CARLISLE 3-2,Attorney General,,GRN,RICHARD L WEISS,16,8,8,0
Cumberland,CARLISLE 3-2,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-2,Auditor General,,DEM,NINA AHMAD,720,262,455,3
Cumberland,CARLISLE 3-2,Auditor General,,REP,TIMOTHY DEFOOR,613,405,199,9
Cumberland,CARLISLE 3-2,Auditor General,,LIB,JENNIFER MOORE,47,31,16,0
Cumberland,CARLISLE 3-2,Auditor General,,GRN,OLIVIA FAISON,15,9,6,0
Cumberland,CARLISLE 3-2,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-2,State Treasurer,,DEM,JOE TORSELLA,722,253,466,3
Cumberland,CARLISLE 3-2,State Treasurer,,REP,STACY L GARRITY,603,413,181,9
Cumberland,CARLISLE 3-2,State Treasurer,,LIB,JOE SOLOSKI,36,25,11,0
Cumberland,CARLISLE 3-2,State Treasurer,,GRN,TIMOTHY RUNKLE,28,14,14,0
Cumberland,CARLISLE 3-2,State Treasurer,,,Write-ins,3,3,0,0
Cumberland,CARLISLE 3-2,U.S. House,10,DEM,EUGENE DEPASQUALE,781,280,498,3
Cumberland,CARLISLE 3-2,U.S. House,10,REP,SCOTT PERRY,632,436,187,9
Cumberland,CARLISLE 3-2,U.S. House,10,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-2,State Senate,31,DEM,SHANNA DANIELSON,764,276,485,3
Cumberland,CARLISLE 3-2,State Senate,31,REP,MIKE REGAN,642,439,194,9
Cumberland,CARLISLE 3-2,State Senate,31,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-2,State House,199,DEM,JANELLE KAYLA CROSSLEY,734,264,467,3
Cumberland,CARLISLE 3-2,State House,199,REP,BARBARA GLEIM,666,444,213,9
Cumberland,CARLISLE 3-2,State House,199,,Write-ins,2,1,1,0
Cumberland,CARLISLE 3-3,Registered Voters,,,,1127,,,
Cumberland,CARLISLE 3-3,Ballots Cast,,,,1601,709,882,10
Cumberland,CARLISLE 3-3,President,,DEM,Joseph R. Biden,948,284,659,5
Cumberland,CARLISLE 3-3,President,,REP,Donald J. Trump,623,415,204,4
Cumberland,CARLISLE 3-3,President,,LIB,Jo Jorgensen,18,6,11,1
Cumberland,CARLISLE 3-3,President,,,Write-ins,8,2,6,0
Cumberland,CARLISLE 3-3,Attorney General,,DEM,JOSH SHAPIRO,906,272,628,6
Cumberland,CARLISLE 3-3,Attorney General,,REP,HEATHER HEIDELBAUGH,648,418,226,4
Cumberland,CARLISLE 3-3,Attorney General,,LIB,DANIEL WASSMER,17,11,6,0
Cumberland,CARLISLE 3-3,Attorney General,,GRN,RICHARD L WEISS,12,3,9,0
Cumberland,CARLISLE 3-3,Attorney General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-3,Auditor General,,DEM,NINA AHMAD,835,243,587,5
Cumberland,CARLISLE 3-3,Auditor General,,REP,TIMOTHY DEFOOR,698,438,256,4
Cumberland,CARLISLE 3-3,Auditor General,,LIB,JENNIFER MOORE,25,14,10,1
Cumberland,CARLISLE 3-3,Auditor General,,GRN,OLIVIA FAISON,14,4,10,0
Cumberland,CARLISLE 3-3,Auditor General,,,Write-ins,0,0,0,0
Cumberland,CARLISLE 3-3,State Treasurer,,DEM,JOE TORSELLA,843,256,584,3
Cumberland,CARLISLE 3-3,State Treasurer,,REP,STACY L GARRITY,674,423,245,6
Cumberland,CARLISLE 3-3,State Treasurer,,LIB,JOE SOLOSKI,18,13,4,1
Cumberland,CARLISLE 3-3,State Treasurer,,GRN,TIMOTHY RUNKLE,26,3,23,0
Cumberland,CARLISLE 3-3,State Treasurer,,,Write-ins,2,2,0,0
Cumberland,CARLISLE 3-3,U.S. House,10,DEM,EUGENE DEPASQUALE,900,265,631,4
