county,precinct,office,district,party,candidate,election_day,mail_in,absentee,provisional,votes
Westmoreland,Derry Borough - 1St Ward,Ballots Cast,,,,,,,,180
Westmoreland,Derry Borough - 1St Ward,Registered Voters,,,,,,,,544
Westmoreland,Derry Borough - 2Nd Ward,Ballots Cast,,,,,,,,108
Westmoreland,Derry Borough - 2Nd Ward,Registered Voters,,,,,,,,388
Westmoreland,Derry Borough - 3Rd Ward,Ballots Cast,,,,,,,,89
Westmoreland,Derry Borough - 3Rd Ward,Registered Voters,,,,,,,,277
Westmoreland,Derry Borough - 4Th Ward,Ballots Cast,,,,,,,,108
Westmoreland,Derry Borough - 4Th Ward,Registered Voters,,,,,,,,304
Westmoreland,Derry Township - Alters,Ballots Cast,,,,,,,,316
Westmoreland,Derry Township - Alters,Registered Voters,,,,,,,,861
Westmoreland,Derry Township - Bradenville,Ballots Cast,,,,,,,,185
Westmoreland,Derry Township - Bradenville,Registered Voters,,,,,,,,562
Westmoreland,Derry Township - Cokeville,Ballots Cast,,,,,,,,170
Westmoreland,Derry Township - Cokeville,Registered Voters,,,,,,,,488
Westmoreland,Derry Township - Cooperstown,Ballots Cast,,,,,,,,413
Westmoreland,Derry Township - Cooperstown,Registered Voters,,,,,,,,1099
Westmoreland,Derry Township - Kingston,Ballots Cast,,,,,,,,138
Westmoreland,Derry Township - Kingston,Registered Voters,,,,,,,,349
Westmoreland,Derry Township - Loyalhanna,Ballots Cast,,,,,,,,226
Westmoreland,Derry Township - Loyalhanna,Registered Voters,,,,,,,,588
Westmoreland,Derry Township - Millwood,Ballots Cast,,,,,,,,272
Westmoreland,Derry Township - Millwood,Registered Voters,,,,,,,,775
Westmoreland,Derry Township - New Derry,Ballots Cast,,,,,,,,355
Westmoreland,Derry Township - New Derry,Registered Voters,,,,,,,,1168
Westmoreland,Derry Township - Peanut,Ballots Cast,,,,,,,,210
Westmoreland,Derry Township - Peanut,Registered Voters,,,,,,,,565
Westmoreland,Derry Township - Saxman,Ballots Cast,,,,,,,,324
Westmoreland,Derry Township - Saxman,Registered Voters,,,,,,,,950
Westmoreland,Derry Township - Scalp Level,Ballots Cast,,,,,,,,135
Westmoreland,Derry Township - Scalp Level,Registered Voters,,,,,,,,465
Westmoreland,Derry Township - Simpsons,Ballots Cast,,,,,,,,188
Westmoreland,Derry Township - Simpsons,Registered Voters,,,,,,,,525
Westmoreland,Derry Township - Torrance,Ballots Cast,,,,,,,,61
Westmoreland,Derry Township - Torrance,Registered Voters,,,,,,,,195
Westmoreland,Donegal Borough,Ballots Cast,,,,,,,,32
Westmoreland,Donegal Borough,Registered Voters,,,,,,,,69
Westmoreland,Donegal Township - Four Mile Run,Ballots Cast,,,,,,,,314
Westmoreland,Donegal Township - Four Mile Run,Registered Voters,,,,,,,,1011
Westmoreland,Donegal Township - Indian Creek,Ballots Cast,,,,,,,,168
Westmoreland,Donegal Township - Indian Creek,Registered Voters,,,,,,,,470
Westmoreland,East Huntingdon Township Bessemer #1,Ballots Cast,,,,,,,,187
Westmoreland,East Huntingdon Township Bessemer #1,Registered Voters,,,,,,,,472
Westmoreland,East Huntingdon Township Bessemer #2,Ballots Cast,,,,,,,,336
Westmoreland,East Huntingdon Township Bessemer #2,Registered Voters,,,,,,,,980
Westmoreland,E Huntingdon Township - Ruffssale,Ballots Cast,,,,,,,,330
Westmoreland,E Huntingdon Township - Ruffssale,Registered Voters,,,,,,,,1077
Westmoreland,E Huntingdon Township - Stoners,Ballots Cast,,,,,,,,170
Westmoreland,E Huntingdon Township - Stoners,Registered Voters,,,,,,,,483
Westmoreland,E Huntingdon Township - Strohms,Ballots Cast,,,,,,,,203
Westmoreland,E Huntingdon Township - Strohms,Registered Voters,,,,,,,,582
Westmoreland,E Huntingdon Township - Whites,Ballots Cast,,,,,,,,399
Westmoreland,E Huntingdon Township - Whites,Registered Voters,,,,,,,,1176
Westmoreland,E Vandergrift Borough,Ballots Cast,,,,,,,,128
Westmoreland,E Vandergrift Borough,Registered Voters,,,,,,,,378
Westmoreland,Export Borough,Ballots Cast,,,,,,,,153
Westmoreland,Export Borough,Registered Voters,,,,,,,,556
Westmoreland,Fairfield Township - Fairfield,Ballots Cast,,,,,,,,139
Westmoreland,Fairfield Township - Fairfield,Registered Voters,,,,,,,,369
Westmoreland,Fairfield Township - N Fairfield,Ballots Cast,,,,,,,,97
Westmoreland,Fairfield Township - N Fairfield,Registered Voters,,,,,,,,290
Westmoreland,Fairfield Township - S Fairfield,Ballots Cast,,,,,,,,219
Westmoreland,Fairfield Township - S Fairfield,Registered Voters,,,,,,,,664
Westmoreland,City Of Greensburg - 1-1,Ballots Cast,,,,,,,,91
Westmoreland,City Of Greensburg - 1-1,Registered Voters,,,,,,,,309
Westmoreland,City Of Greensburg - 1-2,Ballots Cast,,,,,,,,429
Westmoreland,City Of Greensburg - 1-2,Registered Voters,,,,,,,,1350
Westmoreland,City Of Greensburg - 2-1,Ballots Cast,,,,,,,,60
Westmoreland,City Of Greensburg - 2-1,Registered Voters,,,,,,,,292
Westmoreland,City Of Greensburg - 2-2,Ballots Cast,,,,,,,,188
Westmoreland,City Of Greensburg - 2-2,Registered Voters,,,,,,,,556
Westmoreland,City Of Greensburg - 2-3,Ballots Cast,,,,,,,,362
Westmoreland,City Of Greensburg - 2-3,Registered Voters,,,,,,,,867
Westmoreland,City Of Greensburg - 2-4,Ballots Cast,,,,,,,,696
Westmoreland,City Of Greensburg - 2-4,Registered Voters,,,,,,,,1839
Westmoreland,City Of Greensburg - 3,Ballots Cast,,,,,,,,60
Westmoreland,City Of Greensburg - 3,Registered Voters,,,,,,,,353
Westmoreland,City Of Greensburg - 4-1,Ballots Cast,,,,,,,,141
Westmoreland,City Of Greensburg - 4-1,Registered Voters,,,,,,,,422
Westmoreland,City Of Greensburg - 5-1,Ballots Cast,,,,,,,,186
Westmoreland,City Of Greensburg - 5-1,Registered Voters,,,,,,,,583
Westmoreland,City Of Greensburg - 5-2,Ballots Cast,,,,,,,,98
Westmoreland,City Of Greensburg - 5-2,Registered Voters,,,,,,,,356
Westmoreland,City Of Greensburg - 6,Ballots Cast,,,,,,,,54
Westmoreland,City Of Greensburg - 6,Registered Voters,,,,,,,,263
Westmoreland,City Of Greensburg - 7-1,Ballots Cast,,,,,,,,362
Westmoreland,City Of Greensburg - 7-1,Registered Voters,,,,,,,,973
Westmoreland,City Of Greensburg - 7-2,Ballots Cast,,,,,,,,235
Westmoreland,City Of Greensburg - 7-2,Registered Voters,,,,,,,,622
Westmoreland,City Of Greensburg - 8-1,Ballots Cast,,,,,,,,172
Westmoreland,City Of Greensburg - 8-1,Registered Voters,,,,,,,,553
Westmoreland,City Of Greensburg - 8-2,Ballots Cast,,,,,,,,178
Westmoreland,City Of Greensburg - 8-2,Registered Voters,,,,,,,,432
Westmoreland,Hempfield Township - #1 Foxhill,Ballots Cast,,,,,,,,620
Westmoreland,Hempfield Township - #1 Foxhill,Registered Voters,,,,,,,,1747
Westmoreland,Hempfield Township - #2 Alwine,Ballots Cast,,,,,,,,910
Westmoreland,Hempfield Township - #2 Alwine,Registered Voters,,,,,,,,2451
Westmoreland,Hempfield Township - #3 Maplewood,Ballots Cast,,,,,,,,538
Westmoreland,Hempfield Township - #3 Maplewood,Registered Voters,,,,,,,,1353
Westmoreland,Hempfield Township - #4 Carbon,Ballots Cast,,,,,,,,1005
Westmoreland,Hempfield Township - #4 Carbon,Registered Voters,,,,,,,,2709
Westmoreland,Hempfield Township - #5 Wendel-Herminie,Ballots Cast,,,,,,,,339
Westmoreland,Hempfield Township - #5 Wendel-Herminie,Registered Voters,,,,,,,,879
Westmoreland,Hempfield Township - #6 Luxor,Ballots Cast,,,,,,,,130
Westmoreland,Hempfield Township - #6 Luxor,Registered Voters,,,,,,,,339
Westmoreland,Hempfield Township - #7 Hannastown,Ballots Cast,,,,,,,,101
Westmoreland,Hempfield Township - #7 Hannastown,Registered Voters,,,,,,,,266
Westmoreland,Hempfield Township - #8 Bovard,Ballots Cast,,,,,,,,186
Westmoreland,Hempfield Township - #8 Bovard,Registered Voters,,,,,,,,539
Westmoreland,Hempfield Township - East Adamsburg,Ballots Cast,,,,,,,,508
Westmoreland,Hempfield Township - East Adamsburg,Registered Voters,,,,,,,,1440
Westmoreland,Hempfield Township - Eastview,Ballots Cast,,,,,,,,301
Westmoreland,Hempfield Township - Eastview,Registered Voters,,,,,,,,709
Westmoreland,Hempfield Township - Fort Allen,Ballots Cast,,,,,,,,621
Westmoreland,Hempfield Township - Fort Allen,Registered Voters,,,,,,,,1502
Westmoreland,Hempfield Township - Gayville,Ballots Cast,,,,,,,,115
Westmoreland,Hempfield Township - Gayville,Registered Voters,,,,,,,,312
Westmoreland,Hempfield Township - Grapeville,Ballots Cast,,,,,,,,198
Westmoreland,Hempfield Township - Grapeville,Registered Voters,,,,,,,,509
Westmoreland,Hempfield Township - Haydenville,Ballots Cast,,,,,,,,275
Westmoreland,Hempfield Township - Haydenville,Registered Voters,,,,,,,,843
Westmoreland,Hempfield Township - High Park,Ballots Cast,,,,,,,,118
Westmoreland,Hempfield Township - High Park,Registered Voters,,,,,,,,315
Westmoreland,Hempfield Township - Lincoln Heights East,Ballots Cast,,,,,,,,462
Westmoreland,Hempfield Township - Lincoln Heights East,Registered Voters,,,,,,,,1293
Westmoreland,Hempfield Township - Lincoln Heights West,Ballots Cast,,,,,,,,296
Westmoreland,Hempfield Township - Lincoln Heights West,Registered Voters,,,,,,,,884
Westmoreland,Hempfield Township - Middletown,Ballots Cast,,,,,,,,304
Westmoreland,Hempfield Township - Middletown,Registered Voters,,,,,,,,662
Westmoreland,Hempfield Township - New Stanton,Ballots Cast,,,,,,,,248
Westmoreland,Hempfield Township - New Stanton,Registered Voters,,,,,,,,619
Westmoreland,Hempfield Township - North Carbon,Ballots Cast,,,,,,,,190
Westmoreland,Hempfield Township - North Carbon,Registered Voters,,,,,,,,444
Westmoreland,Hempfield Township - Sibel,Ballots Cast,,,,,,,,65
Westmoreland,Hempfield Township - Sibel,Registered Voters,,,,,,,,212
Westmoreland,Hempfield Township - Todd,Ballots Cast,,,,,,,,536
Westmoreland,Hempfield Township - Todd,Registered Voters,,,,,,,,1531
Westmoreland,Hempfield Township - University,Ballots Cast,,,,,,,,301
Westmoreland,Hempfield Township - University,Registered Voters,,,,,,,,763
Westmoreland,Hempfield Township - Valley,Ballots Cast,,,,,,,,517
Westmoreland,Hempfield Township - Valley,Registered Voters,,,,,,,,1260
Westmoreland,Hempfield Township - Weaver'S Old Stand,Ballots Cast,,,,,,,,489
Westmoreland,Hempfield Township - Weaver'S Old Stand,Registered Voters,,,,,,,,1466
Westmoreland,Hempfield Township - Wegley,Ballots Cast,,,,,,,,118
Westmoreland,Hempfield Township - Wegley,Registered Voters,,,,,,,,1286
Westmoreland,Hempfield Township - West Hempfield,Ballots Cast,,,,,,,,521
Westmoreland,Hempfield Township - West Hempfield,Registered Voters,,,,,,,,359
Westmoreland,Hempfield Township - West Point,Ballots Cast,,,,,,,,884
Westmoreland,Hempfield Township - West Point,Registered Voters,,,,,,,,2157
Westmoreland,Hunker Borough,Ballots Cast,,,,,,,,99
Westmoreland,Hunker Borough,Registered Voters,,,,,,,,203
Westmoreland,Hyde Park Borough,Ballots Cast,,,,,,,,108
Westmoreland,Hyde Park Borough,Registered Voters,,,,,,,,279
Westmoreland,Irwin Borough - 1St Ward,Ballots Cast,,,,,,,,89
Westmoreland,Irwin Borough - 1St Ward,Registered Voters,,,,,,,,324
Westmoreland,Irwin Borough - 2Nd Ward,Ballots Cast,,,,,,,,95
Westmoreland,Irwin Borough - 2Nd Ward,Registered Voters,,,,,,,,323
Westmoreland,Irwin Borough - 3Rd Ward,Ballots Cast,,,,,,,,125
Westmoreland,Irwin Borough - 3Rd Ward,Registered Voters,,,,,,,,368
Westmoreland,Irwin Borough - 4Th Ward,Ballots Cast,,,,,,,,94
Westmoreland,Irwin Borough - 4Th Ward,Registered Voters,,,,,,,,306
Westmoreland,Irwin Borough - 5Th Ward,Ballots Cast,,,,,,,,104
Westmoreland,Irwin Borough - 5Th Ward,Registered Voters,,,,,,,,328
Westmoreland,Irwin Borough - 6Th Ward,Ballots Cast,,,,,,,,164
Westmoreland,Irwin Borough - 6Th Ward,Registered Voters,,,,,,,,470
Westmoreland,Irwin Borough - 7Th Ward,Ballots Cast,,,,,,,,208
Westmoreland,Irwin Borough - 7Th Ward,Registered Voters,,,,,,,,513
Westmoreland,City Of Jeannette - 1,Ballots Cast,,,,,,,,65
Westmoreland,City Of Jeannette - 1,Registered Voters,,,,,,,,300
Westmoreland,City Of Jeannette - 2-1,Ballots Cast,,,,,,,,94
Westmoreland,City Of Jeannette - 2-1,Registered Voters,,,,,,,,317
Westmoreland,City Of Jeannette - 2-2,Ballots Cast,,,,,,,,155
Westmoreland,City Of Jeannette - 2-2,Registered Voters,,,,,,,,537
Westmoreland,City Of Jeannette - 3,Ballots Cast,,,,,,,,269
Westmoreland,City Of Jeannette - 3,Registered Voters,,,,,,,,934
Westmoreland,City Of Jeannette - 4,Ballots Cast,,,,,,,,58
Westmoreland,City Of Jeannette - 4,Registered Voters,,,,,,,,246
Westmoreland,City Of Jeannette - 5-1,Ballots Cast,,,,,,,,206
Westmoreland,City Of Jeannette - 5-1,Registered Voters,,,,,,,,575
Westmoreland,City Of Jeannette - 5-2,Ballots Cast,,,,,,,,418
Westmoreland,City Of Jeannette - 5-2,Registered Voters,,,,,,,,1062
Westmoreland,City Of Jeannette - 6,Ballots Cast,,,,,,,,456
Westmoreland,City Of Jeannette - 6,Registered Voters,,,,,,,,1375
Westmoreland,City Of Latrobe - 1St Ward,Ballots Cast,,,,,,,,421
Westmoreland,City Of Latrobe - 1St Ward,Registered Voters,,,,,,,,1202
Westmoreland,City Of Latrobe - 2Nd Ward,Ballots Cast,,,,,,,,220
Westmoreland,City Of Latrobe - 2Nd Ward,Registered Voters,,,,,,,,630
Westmoreland,City Of Latrobe - 3Rd Ward,Ballots Cast,,,,,,,,343
Westmoreland,City Of Latrobe - 3Rd Ward,Registered Voters,,,,,,,,928
Westmoreland,City Of Latrobe - 4Th Ward,Ballots Cast,,,,,,,,316
Westmoreland,City Of Latrobe - 4Th Ward,Registered Voters,,,,,,,,953
Westmoreland,City Of Latrobe - 5Th Ward,Ballots Cast,,,,,,,,238
Westmoreland,City Of Latrobe - 5Th Ward,Registered Voters,,,,,,,,757
Westmoreland,City Of Latrobe - 6Th Ward,Ballots Cast,,,,,,,,226
Westmoreland,City Of Latrobe - 6Th Ward,Registered Voters,,,,,,,,558
Westmoreland,Laurel Mountain Borough,Ballots Cast,,,,,,,,51
Westmoreland,Laurel Mountain Borough,Registered Voters,,,,,,,,119
Westmoreland,Ligonier Borough,Ballots Cast,,,,,,,,477
Westmoreland,Ligonier Borough,Registered Voters,,,,,,,,1262
Westmoreland,Ligonier Township - Idle Park,Ballots Cast,,,,,,,,362
Westmoreland,Ligonier Township - Idle Park,Registered Voters,,,,,,,,995
Westmoreland,Ligonier Township - Laughlintown,Ballots Cast,,,,,,,,159
Westmoreland,Ligonier Township - Laughlintown,Registered Voters,,,,,,,,440
Westmoreland,Ligonier Township - North Ligonier,Ballots Cast,,,,,,,,593
Westmoreland,Ligonier Township - North Ligonier,Registered Voters,,,,,,,,1560
Westmoreland,Ligonier Township - South Ligonier,Ballots Cast,,,,,,,,168
Westmoreland,Ligonier Township - South Ligonier,Registered Voters,,,,,,,,551
Westmoreland,Ligonier Township - Waterford,Ballots Cast,,,,,,,,283
Westmoreland,Ligonier Township - Waterford,Registered Voters,,,,,,,,808
Westmoreland,Ligonier Township - Wilpen,Ballots Cast,,,,,,,,94
Westmoreland,Ligonier Township - Wilpen,Registered Voters,,,,,,,,281
Westmoreland,City Of Lower Burrell - 1-1,Ballots Cast,,,,,,,,454
Westmoreland,City Of Lower Burrell - 1-1,Registered Voters,,,,,,,,1164
Westmoreland,City Of Lower Burrell - 1-2,Ballots Cast,,,,,,,,609
Westmoreland,City Of Lower Burrell - 1-2,Registered Voters,,,,,,,,1503
Westmoreland,City Of Lower Burrell - 2-1,Ballots Cast,,,,,,,,289
Westmoreland,City Of Lower Burrell - 2-1,Registered Voters,,,,,,,,873
Westmoreland,City Of Lower Burrell - 2-2,Ballots Cast,,,,,,,,210
Westmoreland,City Of Lower Burrell - 2-2,Registered Voters,,,,,,,,638
Westmoreland,City Of Lower Burrell - 2-3,Ballots Cast,,,,,,,,167
Westmoreland,City Of Lower Burrell - 2-3,Registered Voters,,,,,,,,533
Westmoreland,City Of Lower Burrell - 3-1,Ballots Cast,,,,,,,,374
Westmoreland,City Of Lower Burrell - 3-1,Registered Voters,,,,,,,,1073
Westmoreland,City Of Lower Burrell - 3-2,Ballots Cast,,,,,,,,156
Westmoreland,City Of Lower Burrell - 3-2,Registered Voters,,,,,,,,448
Westmoreland,City Of Lower Burrell - 4-1,Ballots Cast,,,,,,,,234
Westmoreland,City Of Lower Burrell - 4-1,Registered Voters,,,,,,,,755
Westmoreland,City Of Lower Burrell - 4-2,Ballots Cast,,,,,,,,328
Westmoreland,City Of Lower Burrell - 4-2,Registered Voters,,,,,,,,844
Westmoreland,Loyalhanna Township - #1,Ballots Cast,,,,,,,,291
Westmoreland,Loyalhanna Township - #1,Registered Voters,,,,,,,,911
Westmoreland,Loyalhanna Township - #2,Ballots Cast,,,,,,,,116
Westmoreland,Loyalhanna Township - #2,Registered Voters,,,,,,,,317
Westmoreland,Madison Borough,Ballots Cast,,,,,,,,107
Westmoreland,Madison Borough,Registered Voters,,,,,,,,273
Westmoreland,Manor Borough,Ballots Cast,,,,,,,,791
Westmoreland,Manor Borough,Registered Voters,,,,,,,,2438
Westmoreland,City Of Monessen - 1-1,Ballots Cast,,,,,,,,105
Westmoreland,City Of Monessen - 1-1,Registered Voters,,,,,,,,440
Westmoreland,City Of Monessen - 1-2,Ballots Cast,,,,,,,,59
Westmoreland,City Of Monessen - 1-2,Registered Voters,,,,,,,,198
Westmoreland,City Of Monessen - 1-3,Ballots Cast,,,,,,,,52
Westmoreland,City Of Monessen - 1-3,Registered Voters,,,,,,,,245
Westmoreland,City Of Monessen - 1-4,Ballots Cast,,,,,,,,186
Westmoreland,City Of Monessen - 1-4,Registered Voters,,,,,,,,505
Westmoreland,City Of Monessen - 1-5,Ballots Cast,,,,,,,,263
Westmoreland,City Of Monessen - 1-5,Registered Voters,,,,,,,,632
Westmoreland,City Of Monessen - 2-1,Ballots Cast,,,,,,,,46
Westmoreland,City Of Monessen - 2-1,Registered Voters,,,,,,,,139
Westmoreland,City Of Monessen - 2-2,Ballots Cast,,,,,,,,78
Westmoreland,City Of Monessen - 2-2,Registered Voters,,,,,,,,237
Westmoreland,City Of Monessen - 2-3,Ballots Cast,,,,,,,,30
Westmoreland,City Of Monessen - 2-3,Registered Voters,,,,,,,,138
Westmoreland,City Of Monessen - 3-2,Ballots Cast,,,,,,,,59
Westmoreland,City Of Monessen - 3-2,Registered Voters,,,,,,,,212
Westmoreland,City Of Monessen - 3-3,Ballots Cast,,,,,,,,76
Westmoreland,City Of Monessen - 3-3,Registered Voters,,,,,,,,289
Westmoreland,City Of Monessen - 3-4,Ballots Cast,,,,,,,,108
Westmoreland,City Of Monessen - 3-4,Registered Voters,,,,,,,,304
Westmoreland,City Of Monessen - 4-2,Ballots Cast,,,,,,,,176
Westmoreland,City Of Monessen - 4-2,Registered Voters,,,,,,,,482
Westmoreland,City Of Monessen - 4-3,Ballots Cast,,,,,,,,311
Westmoreland,City Of Monessen - 4-3,Registered Voters,,,,,,,,825
Westmoreland,Mt. Pleasant Borough 1St Ward,Ballots Cast,,,,,,,,296
Westmoreland,Mt. Pleasant Borough 1St Ward,Registered Voters,,,,,,,,921
Westmoreland,Mt. Pleasant Borough 2Nd Ward,Ballots Cast,,,,,,,,323
Westmoreland,Mt. Pleasant Borough 2Nd Ward,Registered Voters,,,,,,,,948
Westmoreland,Mt. Pleasant Borough 3Rd Ward,Ballots Cast,,,,,,,,267
Westmoreland,Mt. Pleasant Borough 3Rd Ward,Registered Voters,,,,,,,,821
Westmoreland,Mt. Pleasant Township - Bridgeport,Ballots Cast,,,,,,,,75
Westmoreland,Mt. Pleasant Township - Bridgeport,Registered Voters,,,,,,,,193
Westmoreland,Mt. Pleasant Township - Duncan,Ballots Cast,,,,,,,,209
Westmoreland,Mt. Pleasant Township - Duncan,Registered Voters,,,,,,,,643
Westmoreland,Mt. Pleasant Township - Heccla,Ballots Cast,,,,,,,,254
Westmoreland,Mt. Pleasant Township - Heccla,Registered Voters,,,,,,,,768
Westmoreland,Mt. Pleasant Township - Laurel Run,Ballots Cast,,,,,,,,304
Westmoreland,Mt. Pleasant Township - Laurel Run,Registered Voters,,,,,,,,778
Westmoreland,Mt. Pleasant Township - Mammoth,Ballots Cast,,,,,,,,163
Westmoreland,Mt. Pleasant Township - Mammoth,Registered Voters,,,,,,,,496
Westmoreland,Mt. Pleasant Township - Pleasant Valley,Ballots Cast,,,,,,,,262
Westmoreland,Mt. Pleasant Township - Pleasant Valley,Registered Voters,,,,,,,,702
Westmoreland,Mt. Pleasant Township - Ridgeview,Ballots Cast,,,,,,,,184
Westmoreland,Mt. Pleasant Township - Ridgeview,Registered Voters,,,,,,,,465
Westmoreland,Mt. Pleasant Township - Spring Garden,Ballots Cast,,,,,,,,419
Westmoreland,Mt. Pleasant Township - Spring Garden,Registered Voters,,,,,,,,1313
Westmoreland,Mt. Pleasant Township - United,Ballots Cast,,,,,,,,180
Westmoreland,Mt. Pleasant Township - United,Registered Voters,,,,,,,,626
Westmoreland,Mt. Pleasant Township - Westmoreland Homesteads,Ballots Cast,,,,,,,,432
Westmoreland,Mt. Pleasant Township - Westmoreland Homesteads,Registered Voters,,,,,,,,1085
Westmoreland,Municipality Of Murrysville - East Manordale,Ballots Cast,,,,,,,,750
Westmoreland,Municipality Of Murrysville - East Manordale,Registered Voters,,,,,,,,2072
Westmoreland,Municipality Of Murrysville - East Murrysville,Ballots Cast,,,,,,,,559
Westmoreland,Municipality Of Murrysville - East Murrysville,Registered Voters,,,,,,,,1437
Westmoreland,Municipality Of Murrysville - Manordale,Ballots Cast,,,,,,,,514
Westmoreland,Municipality Of Murrysville - Manordale,Registered Voters,,,,,,,,1642
Westmoreland,Municipality Of Murrysville - Newlonsburg #1,Ballots Cast,,,,,,,,610
Westmoreland,Municipality Of Murrysville - Newlonsburg #1,Registered Voters,,,,,,,,1576
Westmoreland,Municipality Of Murrysville - Newlonsburg #2,Ballots Cast,,,,,,,,693
Westmoreland,Municipality Of Murrysville - Newlonsburg #2,Registered Voters,,,,,,,,1730
Westmoreland,Municipality Of Murrysville - Sardis #1,Ballots Cast,,,,,,,,748
Westmoreland,Municipality Of Murrysville - Sardis #1,Registered Voters,,,,,,,,1828
Westmoreland,Municipality Of Murrysville - Sardis #2,Ballots Cast,,,,,,,,620
Westmoreland,Municipality Of Murrysville - Sardis #2,Registered Voters,,,,,,,,1739
Westmoreland,Municipality Of Murrysville - South Murrysville,Ballots Cast,,,,,,,,645
Westmoreland,Municipality Of Murrysville - South Murrysville,Registered Voters,,,,,,,,1768
Westmoreland,Municipality Of Murrysville - West Murrysville,Ballots Cast,,,,,,,,756
Westmoreland,Municipality Of Murrysville - West Murrysville,Registered Voters,,,,,,,,2012
Westmoreland,New Alexandria Borough,Ballots Cast,,,,,,,,177
Westmoreland,New Alexandria Borough,Registered Voters,,,,,,,,365
Westmoreland,New Florence Borough,Ballots Cast,,,,,,,,125
Westmoreland,New Florence Borough,Registered Voters,,,,,,,,387
Westmoreland,City Of New Kensington - 2,Ballots Cast,,,,,,,,51
Westmoreland,City Of New Kensington - 2,Registered Voters,,,,,,,,310
Westmoreland,City Of New Kensington - 3-1,Ballots Cast,,,,,,,,160
Westmoreland,City Of New Kensington - 3-1,Registered Voters,,,,,,,,495
Westmoreland,City Of New Kensington - 3-2,Ballots Cast,,,,,,,,149
Westmoreland,City Of New Kensington - 3-2,Registered Voters,,,,,,,,533
Westmoreland,City Of New Kensington - 3-3,Ballots Cast,,,,,,,,195
Westmoreland,City Of New Kensington - 3-3,Registered Voters,,,,,,,,434
Westmoreland,City Of New Kensington - 3-4,Ballots Cast,,,,,,,,209
Westmoreland,City Of New Kensington - 3-4,Registered Voters,,,,,,,,644
Westmoreland,City Of New Kensington - 4-1,Ballots Cast,,,,,,,,96
Westmoreland,City Of New Kensington - 4-1,Registered Voters,,,,,,,,420
Westmoreland,City Of New Kensington - 4-2,Ballots Cast,,,,,,,,401
Westmoreland,City Of New Kensington - 4-2,Registered Voters,,,,,,,,1038
Westmoreland,City Of New Kensington - 4-3,Ballots Cast,,,,,,,,211
Westmoreland,City Of New Kensington - 4-3,Registered Voters,,,,,,,,726
Westmoreland,City Of New Kensington - 4-4,Ballots Cast,,,,,,,,386
Westmoreland,City Of New Kensington - 4-4,Registered Voters,,,,,,,,876
Westmoreland,City Of New Kensington - 4-5,Ballots Cast,,,,,,,,211
