county,precinct,office,district,party,candidate,election_day,absentee,mail,provisional,votes
Bradford,TOWANDA TOWNSHIP,Registered Voters,,,,,,,,635
Bradford,NORTH TOWANDA TOWNSHIP,Registered Voters,,,,,,,,666
Bradford,TROY BOROUGH,Registered Voters,,,,,,,,739
Bradford,TROY TOWNSHIP,Registered Voters,,,,,,,,1148
Bradford,TUSCARORA TOWNSHIP,Registered Voters,,,,,,,,701
Bradford,ULSTER TOWNSHIP,Registered Voters,,,,,,,,835
Bradford,WARREN TOWNSHIP,Registered Voters,,,,,,,,710
Bradford,WELLS TOWNSHIP,Registered Voters,,,,,,,,772
Bradford,WILMOT TOWNSHIP,Registered Voters,,,,,,,,783
Bradford,WINDHAM TOWNSHIP,Registered Voters,,,,,,,,577
Bradford,WYALUSING BOROUGH,Registered Voters,,,,,,,,378
Bradford,WYALUSING TOWNSHIP,Registered Voters,,,,,,,,843
Bradford,WYSOX TOWNSHIP,Registered Voters,,,,,,,,1040
Bradford,ALBA BOROUGH,Ballots Cast,,,,72,3,4,1,80
Bradford,ALBANY TOWNSHIP,Ballots Cast,,,,391,22,69,5,487
Bradford,ARMENIA TOWNSHIP,Ballots Cast,,,,99,3,8,0,110
Bradford,ASYLUM TOWNSHIP,Ballots Cast,,,,423,15,99,3,540
Bradford,ATHENS BOROUGH 1ST WARD,Ballots Cast,,,,217,12,62,4,295
Bradford,ATHENS BOROUGH 2ND WARD,Ballots Cast,,,,192,11,51,4,258
Bradford,ATHENS BOROUGH 3RD WARD,Ballots Cast,,,,301,12,87,16,416
Bradford,ATHENS BOROUGH 4TH WARD,Ballots Cast,,,,360,15,100,0,475
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,Ballots Cast,,,,771,48,247,11,1077
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,Ballots Cast,,,,903,110,498,21,1532
Bradford,BURLINGTON BOROUGH,Ballots Cast,,,,55,1,10,0,66
Bradford,BURLINGTON TOWNSHIP,Ballots Cast,,,,297,15,70,6,388
Bradford,WEST BURLINGTON TOWNSHIP,Ballots Cast,,,,225,9,25,7,266
Bradford,CANTON BOROUGH,Ballots Cast,,,,599,28,104,9,740
Bradford,CANTON TOWNSHIP,Ballots Cast,,,,784,42,124,13,963
Bradford,COLUMBIA TOWNSHIP,Ballots Cast,,,,478,18,83,8,587
Bradford,FRANKLIN TOWNSHIP,Ballots Cast,,,,265,13,40,3,321
Bradford,GRANVILLE TOWNSHIP,Ballots Cast,,,,374,29,57,1,461
Bradford,HERRICK TOWNSHIP,Ballots Cast,,,,334,14,68,3,419
Bradford,LERAYSVILLE BOROUGH,Ballots Cast,,,,109,5,18,0,132
Bradford,LEROY TOWNSHIP,Ballots Cast,,,,295,9,34,14,352
Bradford,LITCHFIELD TOWNSHIP,Ballots Cast,,,,585,34,108,11,738
Bradford,MONROE BOROUGH,Ballots Cast,,,,184,12,49,4,249
Bradford,MONROE TOWNSHIP,Ballots Cast,,,,460,19,79,9,567
Bradford,NEW ALBANY BOROUGH,Ballots Cast,,,,93,5,5,4,107
Bradford,ORWELL TOWNSHIP,Ballots Cast,,,,512,23,106,12,653
Bradford,OVERTON TOWNSHIP,Ballots Cast,,,,121,0,15,4,140
Bradford,PIKE TOWNSHIP,Ballots Cast,,,,266,12,52,2,332
Bradford,RIDGEBURY TOWNSHIP,Ballots Cast,,,,744,33,161,9,947
Bradford,ROME BOROUGH,Ballots Cast,,,,117,9,16,1,143
Bradford,ROME TOWNSHIP,Ballots Cast,,,,453,17,81,8,559
Bradford,SAYRE BOROUGH 1ST WARD,Ballots Cast,,,,240,18,98,4,360
Bradford,SAYRE BOROUGH 2ND WARD,Ballots Cast,,,,781,53,283,17,1134
Bradford,SAYRE BOROUGH 3RD WARD,Ballots Cast,,,,196,9,33,5,243
Bradford,SAYRE BOROUGH 4TH WARD,Ballots Cast,,,,518,25,120,15,678
Bradford,SAYRE BOROUGH 5TH WARD,Ballots Cast,,,,94,5,20,4,123
Bradford,SHESHEQUIN TOWNSHIP,Ballots Cast,,,,493,24,106,16,639
Bradford,SMITHFIELD TOWNSHIP,Ballots Cast,,,,649,26,138,17,830
Bradford,SOUTH CREEK TOWNSHIP,Ballots Cast,,,,528,16,87,10,641
Bradford,SOUTH WAVERLY BOROUGH,Ballots Cast,,,,455,22,117,0,594
Bradford,SPRINGFIELD TOWNSHIP,Ballots Cast,,,,535,21,85,10,651
Bradford,STANDING STONE TOWNSHIP,Ballots Cast,,,,243,14,46,7,310
Bradford,STEVENS TOWNSHIP,Ballots Cast,,,,199,8,24,7,238
Bradford,SYLVANIA BOROUGH,Ballots Cast,,,,79,2,19,0,100
Bradford,TERRY TOWNSHIP,Ballots Cast,,,,392,18,71,5,486
Bradford,TOWANDA BOROUGH 1ST WARD,Ballots Cast,,,,196,13,47,2,258
Bradford,TOWANDA BOROUGH 2ND WARD,Ballots Cast,,,,273,17,85,5,380
Bradford,TOWANDA BOROUGH 3RD WARD,Ballots Cast,,,,415,44,125,2,586
Bradford,TOWANDA TOWNSHIP,Ballots Cast,,,,354,15,95,5,469
Bradford,NORTH TOWANDA TOWNSHIP,Ballots Cast,,,,287,19,169,14,489
Bradford,TROY BOROUGH,Ballots Cast,,,,445,21,90,11,567
Bradford,TROY TOWNSHIP,Ballots Cast,,,,702,40,145,19,906
Bradford,TUSCARORA TOWNSHIP,Ballots Cast,,,,484,26,60,10,580
Bradford,ULSTER TOWNSHIP,Ballots Cast,,,,509,22,83,15,629
Bradford,WARREN TOWNSHIP,Ballots Cast,,,,476,30,72,7,585
Bradford,WELLS TOWNSHIP,Ballots Cast,,,,517,22,89,4,632
Bradford,WILMOT TOWNSHIP,Ballots Cast,,,,531,16,94,10,651
Bradford,WINDHAM TOWNSHIP,Ballots Cast,,,,367,10,74,6,457
Bradford,WYALUSING BOROUGH,Ballots Cast,,,,222,13,55,6,296
Bradford,WYALUSING TOWNSHIP,Ballots Cast,,,,556,26,103,10,695
Bradford,WYSOX TOWNSHIP,Ballots Cast,,,,560,36,178,7,781
Bradford,ALBA BOROUGH,President,,DEM,Joseph R. Biden,8,2,4,0,14
Bradford,ALBANY TOWNSHIP,President,,DEM,Joseph R. Biden,50,9,37,2,98
Bradford,ARMENIA TOWNSHIP,President,,DEM,Joseph R. Biden,9,2,4,0,15
Bradford,ASYLUM TOWNSHIP,President,,DEM,Joseph R. Biden,66,6,57,0,129
Bradford,ATHENS BOROUGH 1ST WARD,President,,DEM,Joseph R. Biden,72,3,43,2,120
Bradford,ATHENS BOROUGH 2ND WARD,President,,DEM,Joseph R. Biden,69,6,41,2,118
Bradford,ATHENS BOROUGH 3RD WARD,President,,DEM,Joseph R. Biden,67,10,60,7,144
Bradford,ATHENS BOROUGH 4TH WARD,President,,DEM,Joseph R. Biden,98,9,65,0,172
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,President,,DEM,Joseph R. Biden,163,17,169,2,351
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,President,,DEM,Joseph R. Biden,209,66,324,4,603
Bradford,BURLINGTON BOROUGH,President,,DEM,Joseph R. Biden,5,0,4,0,9
Bradford,BURLINGTON TOWNSHIP,President,,DEM,Joseph R. Biden,41,4,48,4,97
Bradford,WEST BURLINGTON TOWNSHIP,President,,DEM,Joseph R. Biden,35,5,17,3,60
Bradford,CANTON BOROUGH,President,,DEM,Joseph R. Biden,89,15,68,2,174
Bradford,CANTON TOWNSHIP,President,,DEM,Joseph R. Biden,71,7,61,2,141
Bradford,COLUMBIA TOWNSHIP,President,,DEM,Joseph R. Biden,79,6,46,3,134
Bradford,FRANKLIN TOWNSHIP,President,,DEM,Joseph R. Biden,33,6,20,1,60
Bradford,GRANVILLE TOWNSHIP,President,,DEM,Joseph R. Biden,43,12,33,0,88
Bradford,HERRICK TOWNSHIP,President,,DEM,Joseph R. Biden,46,4,26,1,77
Bradford,LERAYSVILLE BOROUGH,President,,DEM,Joseph R. Biden,16,1,12,0,29
Bradford,LEROY TOWNSHIP,President,,DEM,Joseph R. Biden,41,1,20,2,64
Bradford,LITCHFIELD TOWNSHIP,President,,DEM,Joseph R. Biden,67,11,47,4,129
Bradford,MONROE BOROUGH,President,,DEM,Joseph R. Biden,35,5,40,0,80
Bradford,MONROE TOWNSHIP,President,,DEM,Joseph R. Biden,77,6,37,3,123
Bradford,NEW ALBANY BOROUGH,President,,DEM,Joseph R. Biden,21,2,3,2,28
Bradford,ORWELL TOWNSHIP,President,,DEM,Joseph R. Biden,87,9,46,3,145
Bradford,OVERTON TOWNSHIP,President,,DEM,Joseph R. Biden,14,0,9,1,24
Bradford,PIKE TOWNSHIP,President,,DEM,Joseph R. Biden,39,4,21,0,64
Bradford,RIDGEBURY TOWNSHIP,President,,DEM,Joseph R. Biden,109,16,95,1,221
Bradford,ROME BOROUGH,President,,DEM,Joseph R. Biden,15,1,11,0,27
Bradford,ROME TOWNSHIP,President,,DEM,Joseph R. Biden,48,7,41,0,96
Bradford,SAYRE BOROUGH 1ST WARD,President,,DEM,Joseph R. Biden,88,10,79,1,178
Bradford,SAYRE BOROUGH 2ND WARD,President,,DEM,Joseph R. Biden,260,33,212,8,513
Bradford,SAYRE BOROUGH 3RD WARD,President,,DEM,Joseph R. Biden,57,5,20,3,85
Bradford,SAYRE BOROUGH 4TH WARD,President,,DEM,Joseph R. Biden,167,18,96,6,287
Bradford,SAYRE BOROUGH 5TH WARD,President,,DEM,Joseph R. Biden,22,3,17,0,42
Bradford,SHESHEQUIN TOWNSHIP,President,,DEM,Joseph R. Biden,56,11,54,3,124
Bradford,SMITHFIELD TOWNSHIP,President,,DEM,Joseph R. Biden,81,11,70,1,163
Bradford,SOUTH CREEK TOWNSHIP,President,,DEM,Joseph R. Biden,58,7,53,0,118
Bradford,SOUTH WAVERLY BOROUGH,President,,DEM,Joseph R. Biden,155,9,82,0,246
Bradford,SPRINGFIELD TOWNSHIP,President,,DEM,Joseph R. Biden,84,11,56,0,151
Bradford,STANDING STONE TOWNSHIP,President,,DEM,Joseph R. Biden,49,7,24,2,82
Bradford,STEVENS TOWNSHIP,President,,DEM,Joseph R. Biden,26,3,17,2,48
Bradford,SYLVANIA BOROUGH,President,,DEM,Joseph R. Biden,15,2,14,0,31
Bradford,TERRY TOWNSHIP,President,,DEM,Joseph R. Biden,45,5,40,0,90
Bradford,TOWANDA BOROUGH 1ST WARD,President,,DEM,Joseph R. Biden,44,6,35,1,86
Bradford,TOWANDA BOROUGH 2ND WARD,President,,DEM,Joseph R. Biden,75,11,57,2,145
Bradford,TOWANDA BOROUGH 3RD WARD,President,,DEM,Joseph R. Biden,99,22,90,0,211
Bradford,TOWANDA TOWNSHIP,President,,DEM,Joseph R. Biden,83,5,62,1,151
Bradford,NORTH TOWANDA TOWNSHIP,President,,DEM,Joseph R. Biden,59,7,94,1,161
Bradford,TROY BOROUGH,President,,DEM,Joseph R. Biden,123,10,60,2,195
Bradford,TROY TOWNSHIP,President,,DEM,Joseph R. Biden,98,14,75,1,188
Bradford,TUSCARORA TOWNSHIP,President,,DEM,Joseph R. Biden,56,9,31,1,97
Bradford,ULSTER TOWNSHIP,President,,DEM,Joseph R. Biden,65,9,54,2,130
Bradford,WARREN TOWNSHIP,President,,DEM,Joseph R. Biden,52,13,40,1,106
Bradford,WELLS TOWNSHIP,President,,DEM,Joseph R. Biden,77,9,53,1,140
Bradford,WILMOT TOWNSHIP,President,,DEM,Joseph R. Biden,71,6,51,0,128
Bradford,WINDHAM TOWNSHIP,President,,DEM,Joseph R. Biden,52,2,28,0,82
Bradford,WYALUSING BOROUGH,President,,DEM,Joseph R. Biden,61,9,33,2,105
Bradford,WYALUSING TOWNSHIP,President,,DEM,Joseph R. Biden,65,9,56,1,131
Bradford,WYSOX TOWNSHIP,President,,DEM,Joseph R. Biden,82,16,100,0,198
Bradford,ALBA BOROUGH,President,,REP,Donald J. Trump,63,1,0,1,65
Bradford,ALBANY TOWNSHIP,President,,REP,Donald J. Trump,335,13,30,3,381
Bradford,ARMENIA TOWNSHIP,President,,REP,Donald J. Trump,89,1,4,0,94
Bradford,ASYLUM TOWNSHIP,President,,REP,Donald J. Trump,345,8,42,3,398
Bradford,ATHENS BOROUGH 1ST WARD,President,,REP,Donald J. Trump,143,9,18,1,171
Bradford,ATHENS BOROUGH 2ND WARD,President,,REP,Donald J. Trump,120,5,9,2,136
Bradford,ATHENS BOROUGH 3RD WARD,President,,REP,Donald J. Trump,229,2,25,9,265
Bradford,ATHENS BOROUGH 4TH WARD,President,,REP,Donald J. Trump,253,6,32,0,291
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,President,,REP,Donald J. Trump,597,27,76,9,709
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,President,,REP,Donald J. Trump,671,41,163,17,892
Bradford,BURLINGTON BOROUGH,President,,REP,Donald J. Trump,48,1,5,0,54
Bradford,BURLINGTON TOWNSHIP,President,,REP,Donald J. Trump,253,11,21,2,287
Bradford,WEST BURLINGTON TOWNSHIP,President,,REP,Donald J. Trump,184,4,7,4,199
Bradford,CANTON BOROUGH,President,,REP,Donald J. Trump,496,12,35,7,550
Bradford,CANTON TOWNSHIP,President,,REP,Donald J. Trump,701,35,60,11,807
Bradford,COLUMBIA TOWNSHIP,President,,REP,Donald J. Trump,386,12,37,4,439
Bradford,FRANKLIN TOWNSHIP,President,,REP,Donald J. Trump,228,7,20,2,257
Bradford,GRANVILLE TOWNSHIP,President,,REP,Donald J. Trump,320,15,22,1,358
Bradford,HERRICK TOWNSHIP,President,,REP,Donald J. Trump,282,10,41,2,335
Bradford,LERAYSVILLE BOROUGH,President,,REP,Donald J. Trump,88,4,5,0,97
Bradford,LEROY TOWNSHIP,President,,REP,Donald J. Trump,245,8,13,11,277
Bradford,LITCHFIELD TOWNSHIP,President,,REP,Donald J. Trump,507,23,58,7,595
Bradford,MONROE BOROUGH,President,,REP,Donald J. Trump,144,7,9,4,164
Bradford,MONROE TOWNSHIP,President,,REP,Donald J. Trump,370,13,39,6,428
Bradford,NEW ALBANY BOROUGH,President,,REP,Donald J. Trump,69,2,0,2,73
Bradford,ORWELL TOWNSHIP,President,,REP,Donald J. Trump,417,13,55,8,493
Bradford,OVERTON TOWNSHIP,President,,REP,Donald J. Trump,105,0,6,3,114
Bradford,PIKE TOWNSHIP,President,,REP,Donald J. Trump,219,6,30,2,257
Bradford,RIDGEBURY TOWNSHIP,President,,REP,Donald J. Trump,621,17,63,8,709
Bradford,ROME BOROUGH,President,,REP,Donald J. Trump,98,7,4,1,110
Bradford,ROME TOWNSHIP,President,,REP,Donald J. Trump,399,10,36,8,453
Bradford,SAYRE BOROUGH 1ST WARD,President,,REP,Donald J. Trump,147,8,19,3,177
Bradford,SAYRE BOROUGH 2ND WARD,President,,REP,Donald J. Trump,501,20,61,9,591
Bradford,SAYRE BOROUGH 3RD WARD,President,,REP,Donald J. Trump,132,4,12,2,150
Bradford,SAYRE BOROUGH 4TH WARD,President,,REP,Donald J. Trump,332,6,21,9,368
Bradford,SAYRE BOROUGH 5TH WARD,President,,REP,Donald J. Trump,68,2,3,4,77
Bradford,SHESHEQUIN TOWNSHIP,President,,REP,Donald J. Trump,422,13,51,13,499
Bradford,SMITHFIELD TOWNSHIP,President,,REP,Donald J. Trump,553,15,65,12,645
Bradford,SOUTH CREEK TOWNSHIP,President,,REP,Donald J. Trump,459,9,31,10,509
Bradford,SOUTH WAVERLY BOROUGH,President,,REP,Donald J. Trump,293,11,35,0,339
Bradford,SPRINGFIELD TOWNSHIP,President,,REP,Donald J. Trump,441,8,29,10,488
Bradford,STANDING STONE TOWNSHIP,President,,REP,Donald J. Trump,185,6,21,5,217
Bradford,STEVENS TOWNSHIP,President,,REP,Donald J. Trump,167,5,6,5,183
Bradford,SYLVANIA BOROUGH,President,,REP,Donald J. Trump,63,0,5,0,68
Bradford,TERRY TOWNSHIP,President,,REP,Donald J. Trump,340,13,29,5,387
Bradford,TOWANDA BOROUGH 1ST WARD,President,,REP,Donald J. Trump,148,5,11,1,165
Bradford,TOWANDA BOROUGH 2ND WARD,President,,REP,Donald J. Trump,185,4,27,3,219
Bradford,TOWANDA BOROUGH 3RD WARD,President,,REP,Donald J. Trump,298,20,30,2,350
Bradford,TOWANDA TOWNSHIP,President,,REP,Donald J. Trump,266,10,32,3,311
Bradford,NORTH TOWANDA TOWNSHIP,President,,REP,Donald J. Trump,225,9,71,13,318
Bradford,TROY BOROUGH,President,,REP,Donald J. Trump,308,10,26,8,352
Bradford,TROY TOWNSHIP,President,,REP,Donald J. Trump,583,24,66,17,690
Bradford,TUSCARORA TOWNSHIP,President,,REP,Donald J. Trump,416,17,26,9,468
Bradford,ULSTER TOWNSHIP,President,,REP,Donald J. Trump,433,13,26,13,485
Bradford,WARREN TOWNSHIP,President,,REP,Donald J. Trump,398,15,29,6,448
Bradford,WELLS TOWNSHIP,President,,REP,Donald J. Trump,430,12,35,3,480
Bradford,WILMOT TOWNSHIP,President,,REP,Donald J. Trump,449,9,42,9,509
Bradford,WINDHAM TOWNSHIP,President,,REP,Donald J. Trump,297,8,44,5,354
Bradford,WYALUSING BOROUGH,President,,REP,Donald J. Trump,153,4,21,3,181
Bradford,WYALUSING TOWNSHIP,President,,REP,Donald J. Trump,485,13,45,9,552
Bradford,WYSOX TOWNSHIP,President,,REP,Donald J. Trump,463,18,74,7,562
Bradford,ALBA BOROUGH,President,,LBT,Jo Jorgensen,1,0,0,0,1
Bradford,ALBANY TOWNSHIP,President,,LBT,Jo Jorgensen,3,0,2,0,5
Bradford,ARMENIA TOWNSHIP,President,,LBT,Jo Jorgensen,1,0,0,0,1
Bradford,ASYLUM TOWNSHIP,President,,LBT,Jo Jorgensen,11,1,0,0,12
Bradford,ATHENS BOROUGH 1ST WARD,President,,LBT,Jo Jorgensen,2,0,1,0,3
Bradford,ATHENS BOROUGH 2ND WARD,President,,LBT,Jo Jorgensen,3,0,0,0,3
Bradford,ATHENS BOROUGH 3RD WARD,President,,LBT,Jo Jorgensen,4,0,1,0,5
Bradford,ATHENS BOROUGH 4TH WARD,President,,LBT,Jo Jorgensen,8,0,2,0,10
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,President,,LBT,Jo Jorgensen,9,4,1,0,14
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,President,,LBT,Jo Jorgensen,18,2,7,0,27
Bradford,BURLINGTON BOROUGH,President,,LBT,Jo Jorgensen,2,0,1,0,3
Bradford,BURLINGTON TOWNSHIP,President,,LBT,Jo Jorgensen,3,0,0,0,3
Bradford,WEST BURLINGTON TOWNSHIP,President,,LBT,Jo Jorgensen,4,0,1,0,5
Bradford,CANTON BOROUGH,President,,LBT,Jo Jorgensen,7,1,1,0,9
Bradford,CANTON TOWNSHIP,President,,LBT,Jo Jorgensen,5,0,1,0,6
Bradford,COLUMBIA TOWNSHIP,President,,LBT,Jo Jorgensen,8,0,0,1,9
Bradford,FRANKLIN TOWNSHIP,President,,LBT,Jo Jorgensen,1,0,0,0,1
Bradford,GRANVILLE TOWNSHIP,President,,LBT,Jo Jorgensen,6,2,0,0,8
Bradford,HERRICK TOWNSHIP,President,,LBT,Jo Jorgensen,3,0,1,0,4
Bradford,LERAYSVILLE BOROUGH,President,,LBT,Jo Jorgensen,2,0,1,0,3
Bradford,LEROY TOWNSHIP,President,,LBT,Jo Jorgensen,6,0,1,0,7
Bradford,LITCHFIELD TOWNSHIP,President,,LBT,Jo Jorgensen,7,0,2,0,9
Bradford,MONROE BOROUGH,President,,LBT,Jo Jorgensen,5,0,0,0,5
Bradford,MONROE TOWNSHIP,President,,LBT,Jo Jorgensen,10,0,1,0,11
Bradford,NEW ALBANY BOROUGH,President,,LBT,Jo Jorgensen,2,1,0,0,3
Bradford,ORWELL TOWNSHIP,President,,LBT,Jo Jorgensen,7,1,1,1,10
Bradford,OVERTON TOWNSHIP,President,,LBT,Jo Jorgensen,2,0,0,0,2
Bradford,PIKE TOWNSHIP,President,,LBT,Jo Jorgensen,8,2,1,0,11
Bradford,RIDGEBURY TOWNSHIP,President,,LBT,Jo Jorgensen,8,0,2,0,10
Bradford,ROME BOROUGH,President,,LBT,Jo Jorgensen,0,0,1,0,1
Bradford,ROME TOWNSHIP,President,,LBT,Jo Jorgensen,4,0,2,0,6
Bradford,SAYRE BOROUGH 1ST WARD,President,,LBT,Jo Jorgensen,3,0,0,0,3
Bradford,SAYRE BOROUGH 2ND WARD,President,,LBT,Jo Jorgensen,17,0,7,0,24
Bradford,SAYRE BOROUGH 3RD WARD,President,,LBT,Jo Jorgensen,5,0,0,0,5
Bradford,SAYRE BOROUGH 4TH WARD,President,,LBT,Jo Jorgensen,12,1,2,0,15
Bradford,SAYRE BOROUGH 5TH WARD,President,,LBT,Jo Jorgensen,4,0,0,0,4
Bradford,SHESHEQUIN TOWNSHIP,President,,LBT,Jo Jorgensen,12,0,1,0,13
Bradford,SMITHFIELD TOWNSHIP,President,,LBT,Jo Jorgensen,7,0,2,2,11
Bradford,SOUTH CREEK TOWNSHIP,President,,LBT,Jo Jorgensen,7,0,1,0,8
Bradford,SOUTH WAVERLY BOROUGH,President,,LBT,Jo Jorgensen,5,2,0,0,7
Bradford,SPRINGFIELD TOWNSHIP,President,,LBT,Jo Jorgensen,4,1,0,0,5
Bradford,STANDING STONE TOWNSHIP,President,,LBT,Jo Jorgensen,8,0,1,0,9
Bradford,STEVENS TOWNSHIP,President,,LBT,Jo Jorgensen,5,0,1,0,6
Bradford,SYLVANIA BOROUGH,President,,LBT,Jo Jorgensen,0,0,0,0,0
Bradford,TERRY TOWNSHIP,President,,LBT,Jo Jorgensen,6,0,2,0,8
Bradford,TOWANDA BOROUGH 1ST WARD,President,,LBT,Jo Jorgensen,2,1,1,0,4
Bradford,TOWANDA BOROUGH 2ND WARD,President,,LBT,Jo Jorgensen,9,2,0,0,11
Bradford,TOWANDA BOROUGH 3RD WARD,President,,LBT,Jo Jorgensen,15,1,3,0,19
Bradford,TOWANDA TOWNSHIP,President,,LBT,Jo Jorgensen,4,0,1,1,6
Bradford,NORTH TOWANDA TOWNSHIP,President,,LBT,Jo Jorgensen,3,3,4,0,10
Bradford,TROY BOROUGH,President,,LBT,Jo Jorgensen,8,1,2,0,11
Bradford,TROY TOWNSHIP,President,,LBT,Jo Jorgensen,16,0,1,1,18
Bradford,TUSCARORA TOWNSHIP,President,,LBT,Jo Jorgensen,6,0,2,0,8
Bradford,ULSTER TOWNSHIP,President,,LBT,Jo Jorgensen,11,0,1,0,12
Bradford,WARREN TOWNSHIP,President,,LBT,Jo Jorgensen,21,2,2,0,25
Bradford,WELLS TOWNSHIP,President,,LBT,Jo Jorgensen,8,1,1,0,10
Bradford,WILMOT TOWNSHIP,President,,LBT,Jo Jorgensen,6,1,1,1,9
Bradford,WINDHAM TOWNSHIP,President,,LBT,Jo Jorgensen,14,0,1,0,15
Bradford,WYALUSING BOROUGH,President,,LBT,Jo Jorgensen,6,0,1,0,7
Bradford,WYALUSING TOWNSHIP,President,,LBT,Jo Jorgensen,4,4,2,0,10
Bradford,WYSOX TOWNSHIP,President,,LBT,Jo Jorgensen,9,2,2,0,13
Bradford,ALBA BOROUGH,President,,,Write-ins,0,0,0,0,0
Bradford,ALBANY TOWNSHIP,President,,,Write-ins,1,0,0,0,1
Bradford,ARMENIA TOWNSHIP,President,,,Write-ins,0,0,0,0,0
Bradford,ASYLUM TOWNSHIP,President,,,Write-ins,0,0,0,0,0
Bradford,ATHENS BOROUGH 1ST WARD,President,,,Write-ins,0,0,0,0,0
Bradford,ATHENS BOROUGH 2ND WARD,President,,,Write-ins,0,0,0,0,0
Bradford,ATHENS BOROUGH 3RD WARD,President,,,Write-ins,0,0,0,0,0
Bradford,ATHENS BOROUGH 4TH WARD,President,,,Write-ins,1,0,0,0,1
Bradford,ATHENS TOWNSHIP 1ST DISTRICT,President,,,Write-ins,1,0,0,0,1
Bradford,ATHENS TOWNSHIP 2ND DISTRICT,President,,,Write-ins,1,0,1,0,2
Bradford,BURLINGTON BOROUGH,President,,,Write-ins,0,0,0,0,0
