county,precinct,office,district,party,candidate,votes,mail,election_day,provisional
Westmoreland,E Vandergrift Borough,President,,DEM,Joseph R Biden,122,40,79,3
Westmoreland,Export Borough,President,,DEM,Joseph R Biden,159,81,73,5
Westmoreland,Fairfield Township - Fairfield,President,,DEM,Joseph R Biden,76,43,33,0
Westmoreland,Fairfield Township - N Fairfield,President,,DEM,Joseph R Biden,60,19,41,0
Westmoreland,Fairfield Township - S Fairfield,President,,DEM,Joseph R Biden,140,58,80,2
Westmoreland,City Of Greensburg - 1-1,President,,DEM,Joseph R Biden,96,50,41,5
Westmoreland,City Of Greensburg - 1-2,President,,DEM,Joseph R Biden,473,293,164,16
Westmoreland,City Of Greensburg - 2-1,President,,DEM,Joseph R Biden,103,44,57,2
Westmoreland,City Of Greensburg - 2-2,President,,DEM,Joseph R Biden,249,142,105,2
Westmoreland,City Of Greensburg - 2-3,President,,DEM,Joseph R Biden,321,199,117,5
Westmoreland,City Of Greensburg - 2-4,President,,DEM,Joseph R Biden,679,436,225,18
Westmoreland,City Of Greensburg - 3,President,,DEM,Joseph R Biden,92,39,52,1
Westmoreland,City Of Greensburg - 4-1,President,,DEM,Joseph R Biden,165,103,59,3
Westmoreland,City Of Greensburg - 5-1,President,,DEM,Joseph R Biden,220,95,123,2
Westmoreland,City Of Greensburg - 5-2,President,,DEM,Joseph R Biden,137,55,75,7
Westmoreland,City Of Greensburg - 6,President,,DEM,Joseph R Biden,72,28,44,0
Westmoreland,City Of Greensburg - 7-1,President,,DEM,Joseph R Biden,386,228,152,6
Westmoreland,City Of Greensburg - 7-2,President,,DEM,Joseph R Biden,264,135,125,4
Westmoreland,City Of Greensburg - 8-1,President,,DEM,Joseph R Biden,206,117,83,6
Westmoreland,City Of Greensburg - 8-2,President,,DEM,Joseph R Biden,203,101,99,3
Westmoreland,Hempfield Township - #1 Foxhill,President,,DEM,Joseph R Biden,525,347,178,0
Westmoreland,Hempfield Township - #2 Alwine,President,,DEM,Joseph R Biden,767,492,265,10
Westmoreland,Hempfield Township - #3 Maplewood,President,,DEM,Joseph R Biden,438,250,185,3
Westmoreland,Hempfield Township - #4 Carbon,President,,DEM,Joseph R Biden,840,627,213,0
Westmoreland,Hempfield Township - #5 Wendel-Herminie,President,,DEM,Joseph R Biden,202,125,72,5
Westmoreland,Hempfield Township - #6 Luxor,President,,DEM,Joseph R Biden,84,36,48,0
Westmoreland,Hempfield Township - #7 Hannastown,President,,DEM,Joseph R Biden,53,17,36,0
Westmoreland,Hempfield Township - #8 Bovard,President,,DEM,Joseph R Biden,143,64,74,5
Westmoreland,Hempfield Township - East Adamsburg,President,,DEM,Joseph R Biden,426,247,176,3
Westmoreland,Hempfield Township - Eastview,President,,DEM,Joseph R Biden,214,142,68,4
Westmoreland,Hempfield Township - Fort Allen,President,,DEM,Joseph R Biden,425,247,176,2
Westmoreland,Hempfield Township - Gayville,President,,DEM,Joseph R Biden,111,60,51,0
Westmoreland,Hempfield Township - Grapeville,President,,DEM,Joseph R Biden,156,76,77,3
Westmoreland,Hempfield Township - Haydenville,President,,DEM,Joseph R Biden,228,132,96,0
Westmoreland,Hempfield Township - High Park,President,,DEM,Joseph R Biden,95,39,53,3
Westmoreland,Hempfield Township - Lincoln Heights East,President,,DEM,Joseph R Biden,407,261,136,10
Westmoreland,Hempfield Township - Lincoln Heights West,President,,DEM,Joseph R Biden,248,134,107,7
Westmoreland,Hempfield Township - Middletown,President,,DEM,Joseph R Biden,126,69,57,0
Westmoreland,Hempfield Township - New Stanton,President,,DEM,Joseph R Biden,132,80,51,1
Westmoreland,Hempfield Township - North Carbon,President,,DEM,Joseph R Biden,140,72,68,0
Westmoreland,Hempfield Township - Sibel,President,,DEM,Joseph R Biden,44,17,27,0
Westmoreland,Hempfield Township - Todd,President,,DEM,Joseph R Biden,486,302,179,5
Westmoreland,Hempfield Township - University,President,,DEM,Joseph R Biden,204,120,83,1
Westmoreland,Hempfield Township - Valley,President,,DEM,Joseph R Biden,458,259,194,5
Westmoreland,Hempfield Township - Weaver'S Old Stand,President,,DEM,Joseph R Biden,301,193,103,5
Westmoreland,Hempfield Township - Wegley,President,,DEM,Joseph R Biden,93,53,39,1
Westmoreland,Hempfield Township - West Hempfield,President,,DEM,Joseph R Biden,419,242,174,3
Westmoreland,Hempfield Township - West Point,President,,DEM,Joseph R Biden,691,493,195,3
Westmoreland,Hunker Borough,President,,DEM,Joseph R Biden,57,17,40,0
Westmoreland,Hyde Park Borough,President,,DEM,Joseph R Biden,83,37,46,0
Westmoreland,Irwin Borough - 1St Ward,President,,DEM,Joseph R Biden,84,28,53,3
Westmoreland,Irwin Borough - 2Nd Ward,President,,DEM,Joseph R Biden,103,51,52,0
Westmoreland,Irwin Borough - 3Rd Ward,President,,DEM,Joseph R Biden,128,68,60,0
Westmoreland,Irwin Borough - 4Th Ward,President,,DEM,Joseph R Biden,103,44,53,6
Westmoreland,Irwin Borough - 5Th Ward,President,,DEM,Joseph R Biden,95,47,44,4
Westmoreland,Irwin Borough - 6Th Ward,President,,DEM,Joseph R Biden,175,103,70,2
Westmoreland,Irwin Borough - 7Th Ward,President,,DEM,Joseph R Biden,187,106,80,1
Westmoreland,City Of Jeannette - 1,President,,DEM,Joseph R Biden,95,38,57,0
Westmoreland,City Of Jeannette - 2-1,President,,DEM,Joseph R Biden,90,26,62,2
Westmoreland,City Of Jeannette - 2-2,President,,DEM,Joseph R Biden,181,85,89,7
Westmoreland,City Of Jeannette - 3,President,,DEM,Joseph R Biden,277,119,153,5
Westmoreland,City Of Jeannette - 4,President,,DEM,Joseph R Biden,101,24,76,1
Westmoreland,City Of Jeannette - 5-1,President,,DEM,Joseph R Biden,162,72,86,4
Westmoreland,City Of Jeannette - 5-2,President,,DEM,Joseph R Biden,334,172,154,8
Westmoreland,City Of Jeannette - 6,President,,DEM,Joseph R Biden,408,226,181,1
Westmoreland,City Of Latrobe - 1St Ward,President,,DEM,Joseph R Biden,424,229,186,9
Westmoreland,City Of Latrobe - 2Nd Ward,President,,DEM,Joseph R Biden,221,118,100,3
Westmoreland,City Of Latrobe - 3Rd Ward,President,,DEM,Joseph R Biden,312,156,154,2
Westmoreland,City Of Latrobe - 4Th Ward,President,,DEM,Joseph R Biden,315,165,146,4
Westmoreland,City Of Latrobe - 5Th Ward,President,,DEM,Joseph R Biden,223,107,113,3
Westmoreland,City Of Latrobe - 6Th Ward,President,,DEM,Joseph R Biden,182,75,101,6
Westmoreland,Laurel Mountain Borough,President,,DEM,Joseph R Biden,58,21,37,0
Westmoreland,Ligonier Borough,President,,DEM,Joseph R Biden,458,234,214,10
Westmoreland,Ligonier Township - Idle Park,President,,DEM,Joseph R Biden,248,120,121,7
Westmoreland,Ligonier Township - Laughlintown,President,,DEM,Joseph R Biden,126,51,73,2
Westmoreland,Ligonier Township - North Ligonier,President,,DEM,Joseph R Biden,436,251,183,2
Westmoreland,Ligonier Township - South Ligonier,President,,DEM,Joseph R Biden,152,83,68,1
Westmoreland,Ligonier Township - Waterford,President,,DEM,Joseph R Biden,196,84,108,4
Westmoreland,Ligonier Township - Wilpen,President,,DEM,Joseph R Biden,65,24,40,1
Westmoreland,City Of Lower Burrell - 1-1,President,,DEM,Joseph R Biden,377,193,174,10
Westmoreland,City Of Lower Burrell - 1-2,President,,DEM,Joseph R Biden,550,268,275,7
Westmoreland,City Of Lower Burrell - 2-1,President,,DEM,Joseph R Biden,295,162,122,11
Westmoreland,City Of Lower Burrell - 2-2,President,,DEM,Joseph R Biden,218,109,104,5
Westmoreland,City Of Lower Burrell - 2-3,President,,DEM,Joseph R Biden,184,87,92,5
Westmoreland,City Of Lower Burrell - 3-1,President,,DEM,Joseph R Biden,319,176,142,1
Westmoreland,City Of Lower Burrell - 3-2,President,,DEM,Joseph R Biden,147,71,73,3
Westmoreland,City Of Lower Burrell - 4-1,President,,DEM,Joseph R Biden,247,131,116,0
Westmoreland,City Of Lower Burrell - 4-2,President,,DEM,Joseph R Biden,279,167,106,6
Westmoreland,Loyalhanna Township - #1,President,,DEM,Joseph R Biden,208,94,114,0
Westmoreland,Loyalhanna Township - #2,President,,DEM,Joseph R Biden,63,35,28,0
Westmoreland,Madison Borough,President,,DEM,Joseph R Biden,92,35,57,0
Westmoreland,Manor Borough,President,,DEM,Joseph R Biden,765,452,311,2
Westmoreland,City Of Monessen - 1-1,President,,DEM,Joseph R Biden,154,70,84,0
Westmoreland,City Of Monessen - 1-2,President,,DEM,Joseph R Biden,74,26,48,0
Westmoreland,City Of Monessen - 1-3,President,,DEM,Joseph R Biden,84,34,48,2
Westmoreland,City Of Monessen - 1-4,President,,DEM,Joseph R Biden,190,95,95,0
Westmoreland,City Of Monessen - 1-5,President,,DEM,Joseph R Biden,264,135,126,3
Westmoreland,City Of Monessen - 2-1,President,,DEM,Joseph R Biden,65,20,45,0
Westmoreland,City Of Monessen - 2-2,President,,DEM,Joseph R Biden,103,36,65,2
Westmoreland,City Of Monessen - 2-3,President,,DEM,Joseph R Biden,58,13,44,1
Westmoreland,City Of Monessen - 3-2,President,,DEM,Joseph R Biden,90,30,59,1
Westmoreland,City Of Monessen - 3-3,President,,DEM,Joseph R Biden,132,51,80,1
Westmoreland,City Of Monessen - 3-4,President,,DEM,Joseph R Biden,122,67,55,0
Westmoreland,City Of Monessen - 4-2,President,,DEM,Joseph R Biden,193,82,111,0
Westmoreland,City Of Monessen - 4-3,President,,DEM,Joseph R Biden,336,185,149,2
Westmoreland,Mt. Pleasant Borough 1St Ward,President,,DEM,Joseph R Biden,264,135,127,2
Westmoreland,Mt. Pleasant Borough 2Nd Ward,President,,DEM,Joseph R Biden,330,149,178,3
Westmoreland,Mt. Pleasant Borough 3Rd Ward,President,,DEM,Joseph R Biden,250,86,158,6
Westmoreland,Mt. Pleasant Township - Bridgeport,President,,DEM,Joseph R Biden,48,18,29,1
Westmoreland,Mt. Pleasant Township - Duncan,President,,DEM,Joseph R Biden,163,76,86,1
Westmoreland,Mt. Pleasant Township - Heccla,President,,DEM,Joseph R Biden,157,69,88,0
Westmoreland,Mt. Pleasant Township - Laurel Run,President,,DEM,Joseph R Biden,152,82,70,0
Westmoreland,Mt. Pleasant Township - Mammoth,President,,DEM,Joseph R Biden,92,38,52,2
Westmoreland,Mt. Pleasant Township - Pleasant Valley,President,,DEM,Joseph R Biden,162,61,100,1
Westmoreland,Mt. Pleasant Township - Ridgeview,President,,DEM,Joseph R Biden,97,37,57,3
Westmoreland,Mt. Pleasant Township - Spring Garden,President,,DEM,Joseph R Biden,327,174,153,0
Westmoreland,Mt. Pleasant Township - United,President,,DEM,Joseph R Biden,139,66,71,2
Westmoreland,Mt. Pleasant Township - Westmoreland Homesteads,President,,DEM,Joseph R Biden,278,164,110,4
Westmoreland,Municipality Of Murrysville - East Manordale,President,,DEM,Joseph R Biden,677,475,190,12
Westmoreland,Municipality Of Murrysville - East Murrysville,President,,DEM,Joseph R Biden,566,354,212,0
Westmoreland,Municipality Of Murrysville - Manordale,President,,DEM,Joseph R Biden,614,405,193,16
Westmoreland,Municipality Of Murrysville - Newlonsburg #1,President,,DEM,Joseph R Biden,564,438,117,9
Westmoreland,Municipality Of Murrysville - Newlonsburg #2,President,,DEM,Joseph R Biden,585,433,143,9
Westmoreland,Municipality Of Murrysville - Sardis #1,President,,DEM,Joseph R Biden,757,588,160,9
Westmoreland,Municipality Of Murrysville - Sardis #2,President,,DEM,Joseph R Biden,552,386,158,8
Westmoreland,Municipality Of Murrysville - South Murrysville,President,,DEM,Joseph R Biden,605,418,183,4
Westmoreland,Municipality Of Murrysville - West Murrysville,President,,DEM,Joseph R Biden,748,523,224,1
Westmoreland,New Alexandria Borough,President,,DEM,Joseph R Biden,106,48,55,3
Westmoreland,New Florence Borough,President,,DEM,Joseph R Biden,67,26,38,3
Westmoreland,City Of New Kensington - 2,President,,DEM,Joseph R Biden,100,43,54,3
Westmoreland,City Of New Kensington - 3-1,President,,DEM,Joseph R Biden,196,74,118,4
Westmoreland,City Of New Kensington - 3-2,President,,DEM,Joseph R Biden,189,99,89,1
Westmoreland,City Of New Kensington - 3-3,President,,DEM,Joseph R Biden,144,75,66,3
Westmoreland,City Of New Kensington - 3-4,President,,DEM,Joseph R Biden,225,105,111,9
Westmoreland,City Of New Kensington - 4-1,President,,DEM,Joseph R Biden,171,57,114,0
Westmoreland,City Of New Kensington - 4-2,President,,DEM,Joseph R Biden,426,191,225,10
Westmoreland,City Of New Kensington - 4-3,President,,DEM,Joseph R Biden,259,128,131,0
Westmoreland,City Of New Kensington - 4-4,President,,DEM,Joseph R Biden,357,203,154,0
Westmoreland,City Of New Kensington - 4-5,President,,DEM,Joseph R Biden,227,141,86,0
Westmoreland,City Of New Kensington - 5,President,,DEM,Joseph R Biden,130,45,82,3
Westmoreland,City Of New Kensington - 6,President,,DEM,Joseph R Biden,188,67,118,3
Westmoreland,City Of New Kensington - 7-1,President,,DEM,Joseph R Biden,222,137,85,0
Westmoreland,City Of New Kensington - 7-2,President,,DEM,Joseph R Biden,230,126,95,9
Westmoreland,New Stanton Borough,President,,DEM,Joseph R Biden,415,184,222,9
Westmoreland,North Belle Vernon - #1,President,,DEM,Joseph R Biden,212,95,112,5
Westmoreland,North Belle Vernon - #2,President,,DEM,Joseph R Biden,194,102,88,4
Westmoreland,N Huntingdon Township - 1-1,President,,DEM,Joseph R Biden,485,306,162,17
Westmoreland,N Huntingdon Township - 1-2,President,,DEM,Joseph R Biden,37,14,23,0
Westmoreland,N Huntingdon Township - 1-3,President,,DEM,Joseph R Biden,452,323,121,8
Westmoreland,N Huntingdon Township - 1-4,President,,DEM,Joseph R Biden,239,130,106,3
Westmoreland,N Huntingdon Township - 2-1,President,,DEM,Joseph R Biden,167,71,86,10
Westmoreland,N Huntingdon Township - 2-2,President,,DEM,Joseph R Biden,489,287,184,18
Westmoreland,N Huntingdon Township - 2-3,President,,DEM,Joseph R Biden,219,98,121,0
Westmoreland,N Huntingdon Township - 3-1,President,,DEM,Joseph R Biden,657,388,269,0
Westmoreland,N Huntingdon Township - 3-2,President,,DEM,Joseph R Biden,679,408,261,10
Westmoreland,N Huntingdon Township - 4-1,President,,DEM,Joseph R Biden,287,173,114,0
Westmoreland,N Huntingdon Township - 4-2,President,,DEM,Joseph R Biden,435,256,179,0
Westmoreland,N Huntingdon Township - 4-3,President,,DEM,Joseph R Biden,147,64,83,0
Westmoreland,N Huntingdon Township - 4-4,President,,DEM,Joseph R Biden,74,40,32,2
Westmoreland,N Huntingdon Township - 5-1,President,,DEM,Joseph R Biden,127,69,58,0
Westmoreland,N Huntingdon Township - 5-2,President,,DEM,Joseph R Biden,456,289,163,4
Westmoreland,N Huntingdon Township - 5-3,President,,DEM,Joseph R Biden,337,211,119,7
Westmoreland,N Huntingdon Township - 6-1,President,,DEM,Joseph R Biden,125,57,62,6
Westmoreland,N Huntingdon Township - 6-2,President,,DEM,Joseph R Biden,183,100,80,3
Westmoreland,N Huntingdon Township - 6-3,President,,DEM,Joseph R Biden,433,256,176,1
Westmoreland,N Huntingdon Township - 6-4,President,,DEM,Joseph R Biden,163,87,74,2
Westmoreland,N Huntingdon Township - 7-1,President,,DEM,Joseph R Biden,140,65,73,2
Westmoreland,N Huntingdon Township - 7-2,President,,DEM,Joseph R Biden,173,70,96,7
Westmoreland,N Huntingdon Township - 7-3,President,,DEM,Joseph R Biden,192,97,92,3
Westmoreland,N Huntingdon Township - 7-4,President,,DEM,Joseph R Biden,212,120,86,6
Westmoreland,N Irwin Borough,President,,DEM,Joseph R Biden,168,60,102,6
Westmoreland,Oklahoma Borough,President,,DEM,Joseph R Biden,152,72,80,0
Westmoreland,Penn Borough,President,,DEM,Joseph R Biden,71,20,51,0
Westmoreland,Penn Township - 1-1,President,,DEM,Joseph R Biden,329,188,135,6
Westmoreland,Penn Township - 1-2,President,,DEM,Joseph R Biden,417,254,154,9
Westmoreland,Penn Township - 2-1,President,,DEM,Joseph R Biden,330,148,175,7
Westmoreland,Penn Township - 2-2,President,,DEM,Joseph R Biden,557,334,219,4
Westmoreland,Penn Township - 3-1,President,,DEM,Joseph R Biden,419,250,165,4
Westmoreland,Penn Township - 3-2,President,,DEM,Joseph R Biden,413,241,169,3
Westmoreland,Penn Township - 3-3,President,,DEM,Joseph R Biden,40,22,16,2
Westmoreland,Penn Township - 4-1,President,,DEM,Joseph R Biden,563,349,202,12
Westmoreland,Penn Township - 4-2,President,,DEM,Joseph R Biden,395,231,157,7
Westmoreland,Penn Township - 5-1,President,,DEM,Joseph R Biden,312,179,131,2
Westmoreland,Penn Township - 5-2,President,,DEM,Joseph R Biden,390,237,146,7
Westmoreland,Penn Township - 5-3,President,,DEM,Joseph R Biden,158,83,67,8
Westmoreland,Rostraver Township - Collinsburg,President,,DEM,Joseph R Biden,203,83,120,0
Westmoreland,Rostraver Township - Concord,President,,DEM,Joseph R Biden,432,251,176,5
Westmoreland,Rostraver Township - Crossroads,President,,DEM,Joseph R Biden,445,269,169,7
Westmoreland,Rostraver Township - Fellsburg,President,,DEM,Joseph R Biden,577,362,205,10
Westmoreland,Rostraver Township - Lynnwood,President,,DEM,Joseph R Biden,161,94,64,3
Westmoreland,Rostraver Township - Pricedale,President,,DEM,Joseph R Biden,244,102,137,5
Westmoreland,Rostraver Township - Van Meter,President,,DEM,Joseph R Biden,34,12,22,0
Westmoreland,Rostraver Township - Webster,President,,DEM,Joseph R Biden,97,31,62,4
Westmoreland,Salem Township - Five Points,President,,DEM,Joseph R Biden,253,134,115,4
Westmoreland,Salem Township - Hugus,President,,DEM,Joseph R Biden,93,43,47,3
Westmoreland,Salem Township - Mechlings,President,,DEM,Joseph R Biden,80,40,40,0
Westmoreland,Salem Township - New Salem,President,,DEM,Joseph R Biden,408,231,172,5
Westmoreland,Salem Township - Slickville,President,,DEM,Joseph R Biden,85,38,46,1
Westmoreland,Salem Township - Steeles,President,,DEM,Joseph R Biden,147,81,66,0
Westmoreland,Salem Township - Trees Mills,President,,DEM,Joseph R Biden,87,36,51,0
Westmoreland,Scottdale Borough - 1St Ward,President,,DEM,Joseph R Biden,196,101,91,4
Westmoreland,Scottdale Borough - 2Nd Ward,President,,DEM,Joseph R Biden,280,151,125,4
Westmoreland,Scottdale Borough - 3Rd Ward,President,,DEM,Joseph R Biden,202,65,133,4
Westmoreland,Scottdale Borough - 4Th Ward,President,,DEM,Joseph R Biden,123,64,59,0
Westmoreland,Seward Borough,President,,DEM,Joseph R Biden,34,18,16,0
Westmoreland,Sewickley Township - East Herminie,President,,DEM,Joseph R Biden,128,58,69,1
Westmoreland,Sewickley Township - Lowber,President,,DEM,Joseph R Biden,143,67,76,0
Westmoreland,Sewickley Township - Rillton,President,,DEM,Joseph R Biden,216,96,117,3
Westmoreland,Sewickley Township - Sewickley,President,,DEM,Joseph R Biden,227,108,114,5
Westmoreland,Sewickley Township - West Herminie,President,,DEM,Joseph R Biden,171,82,86,3
Westmoreland,Sewickley Township - Whyel,President,,DEM,Joseph R Biden,52,23,28,1
Westmoreland,Smithton Borough,President,,DEM,Joseph R Biden,84,27,56,1
Westmoreland,S Greensburg Borough - #1,President,,DEM,Joseph R Biden,286,160,126,0
Westmoreland,S Greensburg Borough - #2,President,,DEM,Joseph R Biden,251,128,123,0
Westmoreland,South Huntingdon Township - Hixon,President,,DEM,Joseph R Biden,64,18,45,1
Westmoreland,South Huntingdon Township - Jacobs Creek,President,,DEM,Joseph R Biden,31,7,24,0
Westmoreland,South Huntingdon Township - Mineral,President,,DEM,Joseph R Biden,83,41,41,1
Westmoreland,South Huntingdon Township - Port Royal,President,,DEM,Joseph R Biden,38,16,22,0
Westmoreland,South Huntingdon Township - South Huntingdon,President,,DEM,Joseph R Biden,195,92,102,1
Westmoreland,South Huntingdon Township - Wayne,President,,DEM,Joseph R Biden,210,92,115,3
Westmoreland,South Huntingdon Township - Wyano,President,,DEM,Joseph R Biden,49,10,38,1
Westmoreland,South Huntingdon Township - Yukon,President,,DEM,Joseph R Biden,90,32,56,2
Westmoreland,Sw Greensburg Borough - #1,President,,DEM,Joseph R Biden,375,183,188,4
Westmoreland,Sw Greensburg Borough - #2,President,,DEM,Joseph R Biden,174,71,101,2
Westmoreland,St Clair Township - - Seward,President,,DEM,Joseph R Biden,82,41,36,5
Westmoreland,St Clair Township - - St Clair,President,,DEM,Joseph R Biden,89,43,42,4
Westmoreland,Sutersville Borough,President,,DEM,Joseph R Biden,75,40,35,0
Westmoreland,Trafford Borough - #1,President,,DEM,Joseph R Biden,344,164,165,15
Westmoreland,Trafford Borough - #2,President,,DEM,Joseph R Biden,350,180,165,5
Westmoreland,Unity Township - Baggaley,President,,DEM,Joseph R Biden,299,171,127,1
Westmoreland,Unity Township - Beatty,President,,DEM,Joseph R Biden,386,246,132,8
Westmoreland,Unity Township - Crabtree,President,,DEM,Joseph R Biden,94,50,42,2
Westmoreland,Unity Township - Dennison,President,,DEM,Joseph R Biden,1054,719,311,24
Westmoreland,Unity Township - Dorothy,President,,DEM,Joseph R Biden,201,113,87,1
Westmoreland,Unity Township - Gravel Hill,President,,DEM,Joseph R Biden,250,157,93,0
Westmoreland,Unity Township - Kuhns,President,,DEM,Joseph R Biden,206,121,81,4
Westmoreland,Unity Township - Lloydsville,President,,DEM,Joseph R Biden,135,65,68,2
Westmoreland,Unity Township - Marguerite,President,,DEM,Joseph R Biden,514,345,166,3
Westmoreland,Unity Township - Mutual,President,,DEM,Joseph R Biden,185,102,82,1
Westmoreland,Unity Township - Pleasant Unity,President,,DEM,Joseph R Biden,186,77,105,4
Westmoreland,Unity Township - Roble,President,,DEM,Joseph R Biden,232,127,100,5
Westmoreland,Unity Township - Whitney,President,,DEM,Joseph R Biden,350,192,152,6
Westmoreland,Upper Burrell Township - # 1,President,,DEM,Joseph R Biden,196,98,94,4
Westmoreland,Upper Burrell Township - # 2,President,,DEM,Joseph R Biden,181,97,81,3
Westmoreland,Vandergrift Borough - 1St Ward,President,,DEM,Joseph R Biden,119,37,79,3
Westmoreland,Vandergrift Borough - 2Nd Ward,President,,DEM,Joseph R Biden,161,59,102,0
Westmoreland,Vandergrift Borough - 3Rd Ward,President,,DEM,Joseph R Biden,170,76,90,4
Westmoreland,Vandergrift Borough - 4Th Ward,President,,DEM,Joseph R Biden,96,43,52,1
Westmoreland,Vandergrift Borough - 5Th Ward,President,,DEM,Joseph R Biden,138,57,76,5
Westmoreland,Vandergrift Borough - 6Th Ward,President,,DEM,Joseph R Biden,171,103,65,3
Westmoreland,Washington Township - Beamers,President,,DEM,Joseph R Biden,450,313,133,4
Westmoreland,Washington Township - North Washington,President,,DEM,Joseph R Biden,248,161,84,3
Westmoreland,Washington Township - Oakland Cross Roads,President,,DEM,Joseph R Biden,268,174,90,4
Westmoreland,Washington Township - Paulton,President,,DEM,Joseph R Biden,207,92,109,6
Westmoreland,W Leechburg Borough,President,,DEM,Joseph R Biden,232,98,131,3
Westmoreland,W Newton Borough - 1St Ward,President,,DEM,Joseph R Biden,215,94,117,4
Westmoreland,W Newton Borough - 2Nd Ward,President,,DEM,Joseph R Biden,145,61,84,0
Westmoreland,W Newton Borough - 3Rd Ward,President,,DEM,Joseph R Biden,181,85,96,0
Westmoreland,Youngstown Borough,President,,DEM,Joseph R Biden,52,17,35,0
Westmoreland,Youngwood Borough - 1St Ward,President,,DEM,Joseph R Biden,229,123,103,3
Westmoreland,Youngwood Borough - 2Nd Ward,President,,DEM,Joseph R Biden,111,50,55,6
Westmoreland,Youngwood Borough - 3Rd Ward,President,,DEM,Joseph R Biden,211,93,115,3
Westmoreland,Adamsburg Borough,President,,REP,Donald J Trump,60,3,56,1
Westmoreland,Allegheny Township #1 Shearers,President,,REP,Donald J Trump,1294,195,1075,24
Westmoreland,Allegheny Township #2 Mckees,President,,REP,Donald J Trump,339,38,297,4
