county,precinct,office,district,party,candidate,votes,election_day,provisional,mail
Mifflin,ARMAGH - EAST,U.S. House,12,,Write-ins,2,2,0,0
Mifflin,ARMAGH - EAST,State House,171,DEM,PETER BUCK,65,35,0,30
Mifflin,ARMAGH - EAST,State House,171,REP,KERRY A BENNINGHOFF,525,466,3,56
Mifflin,ARMAGH - EAST,State House,171,,Write-ins,0,0,0,0
Mifflin,ARMAGH - WEST,Registered Voters,,,,1627,,,
Mifflin,ARMAGH - WEST,Ballots Cast,,,,1267,1029,4,234
Mifflin,ARMAGH - WEST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,ARMAGH - WEST,President,,DEM,Joseph R. Biden,250,123,2,125
Mifflin,ARMAGH - WEST,President,,REP,Donald J. Trump,992,888,2,102
Mifflin,ARMAGH - WEST,President,,LIB,Jo Jorgensen,19,14,0,5
Mifflin,ARMAGH - WEST,President,,,Write-ins,4,4,0,0
Mifflin,ARMAGH - WEST,Attorney General,,DEM,JOSH SHAPIRO,257,136,1,120
Mifflin,ARMAGH - WEST,Attorney General,,REP,HEATHER HEIDELBAUGH,942,840,2,100
Mifflin,ARMAGH - WEST,Attorney General,,LIB,DANIEL WASSMER,25,19,1,5
Mifflin,ARMAGH - WEST,Attorney General,,GRE,RICHARD L WEISS,11,6,0,5
Mifflin,ARMAGH - WEST,Attorney General,,,Write-ins,0,0,0,0
Mifflin,ARMAGH - WEST,Auditor General,,DEM,NINA AHMAD,201,96,1,104
Mifflin,ARMAGH - WEST,Auditor General,,REP,TIMOTHY DEFOOR,961,848,2,111
Mifflin,ARMAGH - WEST,Auditor General,,LIB,JENNIFER MOORE,47,39,1,7
Mifflin,ARMAGH - WEST,Auditor General,,GRE,OLIVIA FAISON,14,11,0,3
Mifflin,ARMAGH - WEST,Auditor General,,,Write-ins,0,0,0,0
Mifflin,ARMAGH - WEST,State Treasurer,,DEM,JOE TORSELLA,235,122,1,112
Mifflin,ARMAGH - WEST,State Treasurer,,REP,STACY L GARRITY,941,835,2,104
Mifflin,ARMAGH - WEST,State Treasurer,,LIB,JOE SOLOSKI,37,30,1,6
Mifflin,ARMAGH - WEST,State Treasurer,,GRE,TIMOTHY RUNKLE,14,9,0,5
Mifflin,ARMAGH - WEST,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,ARMAGH - WEST,U.S. House,12,DEM,LEE GRIFFIN,230,118,2,110
Mifflin,ARMAGH - WEST,U.S. House,12,REP,FRED KELLER,992,874,2,116
Mifflin,ARMAGH - WEST,U.S. House,12,,Write-ins,2,1,0,1
Mifflin,ARMAGH - WEST,State House,171,DEM,PETER BUCK,195,99,2,94
Mifflin,ARMAGH - WEST,State House,171,REP,KERRY A BENNINGHOFF,1049,911,2,136
Mifflin,ARMAGH - WEST,State House,171,,Write-ins,1,1,0,0
Mifflin,BRATTON,Registered Voters,,,,744,,,
Mifflin,BRATTON,Ballots Cast,,,,630,545,7,78
Mifflin,BRATTON,Ballots Cast Blank,,,,0,0,0,0
Mifflin,BRATTON,President,,DEM,Joseph R. Biden,61,36,1,24
Mifflin,BRATTON,President,,REP,Donald J. Trump,561,505,6,50
Mifflin,BRATTON,President,,LIB,Jo Jorgensen,6,4,0,2
Mifflin,BRATTON,President,,,Write-ins,1,0,0,1
Mifflin,BRATTON,Attorney General,,DEM,JOSH SHAPIRO,77,49,2,26
Mifflin,BRATTON,Attorney General,,REP,HEATHER HEIDELBAUGH,529,474,4,51
Mifflin,BRATTON,Attorney General,,LIB,DANIEL WASSMER,7,7,0,0
Mifflin,BRATTON,Attorney General,,GRE,RICHARD L WEISS,3,2,0,1
Mifflin,BRATTON,Attorney General,,,Write-ins,0,0,0,0
Mifflin,BRATTON,Auditor General,,DEM,NINA AHMAD,59,38,1,20
Mifflin,BRATTON,Auditor General,,REP,TIMOTHY DEFOOR,539,478,5,56
Mifflin,BRATTON,Auditor General,,LIB,JENNIFER MOORE,10,9,0,1
Mifflin,BRATTON,Auditor General,,GRE,OLIVIA FAISON,4,3,0,1
Mifflin,BRATTON,Auditor General,,,Write-ins,0,0,0,0
Mifflin,BRATTON,State Treasurer,,DEM,JOE TORSELLA,68,45,1,22
Mifflin,BRATTON,State Treasurer,,REP,STACY L GARRITY,528,469,5,54
Mifflin,BRATTON,State Treasurer,,LIB,JOE SOLOSKI,9,9,0,0
Mifflin,BRATTON,State Treasurer,,GRE,TIMOTHY RUNKLE,7,5,0,2
Mifflin,BRATTON,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,BRATTON,U.S. House,12,DEM,LEE GRIFFIN,55,34,1,20
Mifflin,BRATTON,U.S. House,12,REP,FRED KELLER,558,496,5,57
Mifflin,BRATTON,U.S. House,12,,Write-ins,1,0,0,1
Mifflin,BRATTON,State House,82,REP,JOHN HERSHEY,590,517,7,66
Mifflin,BRATTON,State House,82,,Write-ins,5,2,0,3
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Registered Voters,,,,1430,,,
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Ballots Cast,,,,1143,873,3,267
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Ballots Cast Blank,,,,0,0,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,President,,DEM,Joseph R. Biden,255,107,0,148
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,President,,REP,Donald J. Trump,876,762,3,111
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,President,,LIB,Jo Jorgensen,5,3,0,2
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,President,,,Write-ins,3,0,0,3
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Attorney General,,DEM,JOSH SHAPIRO,256,113,0,143
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Attorney General,,REP,HEATHER HEIDELBAUGH,845,721,3,121
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Attorney General,,LIB,DANIEL WASSMER,13,12,0,1
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Attorney General,,GRE,RICHARD L WEISS,4,3,0,1
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Attorney General,,,Write-ins,1,1,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Auditor General,,DEM,NINA AHMAD,217,85,0,132
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Auditor General,,REP,TIMOTHY DEFOOR,860,731,3,126
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Auditor General,,LIB,JENNIFER MOORE,26,21,0,5
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Auditor General,,GRE,OLIVIA FAISON,7,7,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,Auditor General,,,Write-ins,1,1,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State Treasurer,,DEM,JOE TORSELLA,238,105,0,133
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State Treasurer,,REP,STACY L GARRITY,847,717,3,127
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State Treasurer,,LIB,JOE SOLOSKI,17,14,0,3
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State Treasurer,,GRE,TIMOTHY RUNKLE,10,9,0,1
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State Treasurer,,,Write-ins,1,1,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,U.S. House,12,DEM,LEE GRIFFIN,233,96,0,137
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,U.S. House,12,REP,FRED KELLER,889,757,3,129
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,U.S. House,12,,Write-ins,3,3,0,0
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State House,171,DEM,PETER BUCK,209,83,0,126
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State House,171,REP,KERRY A BENNINGHOFF,922,781,3,138
Mifflin,BROWN - REEDSVILLE/BIG VALLEY,State House,171,,Write-ins,2,1,0,1
Mifflin,BROWN - CHURCH HILL,Registered Voters,,,,1127,,,
Mifflin,BROWN - CHURCH HILL,Ballots Cast,,,,952,663,5,284
Mifflin,BROWN - CHURCH HILL,Ballots Cast Blank,,,,0,0,0,0
Mifflin,BROWN - CHURCH HILL,President,,DEM,Joseph R. Biden,290,105,2,183
Mifflin,BROWN - CHURCH HILL,President,,REP,Donald J. Trump,650,552,3,95
Mifflin,BROWN - CHURCH HILL,President,,LIB,Jo Jorgensen,6,3,0,3
Mifflin,BROWN - CHURCH HILL,President,,,Write-ins,4,2,0,2
Mifflin,BROWN - CHURCH HILL,Attorney General,,DEM,JOSH SHAPIRO,297,124,2,171
Mifflin,BROWN - CHURCH HILL,Attorney General,,REP,HEATHER HEIDELBAUGH,621,518,2,101
Mifflin,BROWN - CHURCH HILL,Attorney General,,LIB,DANIEL WASSMER,12,8,1,3
Mifflin,BROWN - CHURCH HILL,Attorney General,,GRE,RICHARD L WEISS,13,8,0,5
Mifflin,BROWN - CHURCH HILL,Attorney General,,,Write-ins,0,0,0,0
Mifflin,BROWN - CHURCH HILL,Auditor General,,DEM,NINA AHMAD,249,86,3,160
Mifflin,BROWN - CHURCH HILL,Auditor General,,REP,TIMOTHY DEFOOR,650,540,2,108
Mifflin,BROWN - CHURCH HILL,Auditor General,,LIB,JENNIFER MOORE,18,14,0,4
Mifflin,BROWN - CHURCH HILL,Auditor General,,GRE,OLIVIA FAISON,13,5,0,8
Mifflin,BROWN - CHURCH HILL,Auditor General,,,Write-ins,0,0,0,0
Mifflin,BROWN - CHURCH HILL,State Treasurer,,DEM,JOE TORSELLA,268,106,2,160
Mifflin,BROWN - CHURCH HILL,State Treasurer,,REP,STACY L GARRITY,638,525,3,110
Mifflin,BROWN - CHURCH HILL,State Treasurer,,LIB,JOE SOLOSKI,17,14,0,3
Mifflin,BROWN - CHURCH HILL,State Treasurer,,GRE,TIMOTHY RUNKLE,13,8,0,5
Mifflin,BROWN - CHURCH HILL,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,BROWN - CHURCH HILL,U.S. House,12,DEM,LEE GRIFFIN,257,91,3,163
Mifflin,BROWN - CHURCH HILL,U.S. House,12,REP,FRED KELLER,676,558,2,116
Mifflin,BROWN - CHURCH HILL,U.S. House,12,,Write-ins,0,0,0,0
Mifflin,BROWN - CHURCH HILL,State House,171,DEM,PETER BUCK,210,79,3,128
Mifflin,BROWN - CHURCH HILL,State House,171,REP,KERRY A BENNINGHOFF,732,580,2,150
Mifflin,BROWN - CHURCH HILL,State House,171,,Write-ins,1,0,0,1
Mifflin,BURNHAM BORO,Registered Voters,,,,1260,,,
Mifflin,BURNHAM BORO,Ballots Cast,,,,977,767,6,204
Mifflin,BURNHAM BORO,Ballots Cast Blank,,,,0,0,0,0
Mifflin,BURNHAM BORO,President,,DEM,Joseph R. Biden,241,112,1,128
Mifflin,BURNHAM BORO,President,,REP,Donald J. Trump,723,646,5,72
Mifflin,BURNHAM BORO,President,,LIB,Jo Jorgensen,11,8,0,3
Mifflin,BURNHAM BORO,President,,,Write-ins,2,1,0,1
Mifflin,BURNHAM BORO,Attorney General,,DEM,JOSH SHAPIRO,266,144,2,120
Mifflin,BURNHAM BORO,Attorney General,,REP,HEATHER HEIDELBAUGH,684,603,4,77
Mifflin,BURNHAM BORO,Attorney General,,LIB,DANIEL WASSMER,14,11,0,3
Mifflin,BURNHAM BORO,Attorney General,,GRE,RICHARD L WEISS,5,3,0,2
Mifflin,BURNHAM BORO,Attorney General,,,Write-ins,0,0,0,0
Mifflin,BURNHAM BORO,Auditor General,,DEM,NINA AHMAD,208,98,1,109
Mifflin,BURNHAM BORO,Auditor General,,REP,TIMOTHY DEFOOR,695,615,4,76
Mifflin,BURNHAM BORO,Auditor General,,LIB,JENNIFER MOORE,41,32,0,9
Mifflin,BURNHAM BORO,Auditor General,,GRE,OLIVIA FAISON,11,8,0,3
Mifflin,BURNHAM BORO,Auditor General,,,Write-ins,0,0,0,0
Mifflin,BURNHAM BORO,State Treasurer,,DEM,JOE TORSELLA,228,111,1,116
Mifflin,BURNHAM BORO,State Treasurer,,REP,STACY L GARRITY,703,621,5,77
Mifflin,BURNHAM BORO,State Treasurer,,LIB,JOE SOLOSKI,24,18,0,6
Mifflin,BURNHAM BORO,State Treasurer,,GRE,TIMOTHY RUNKLE,10,8,0,2
Mifflin,BURNHAM BORO,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,BURNHAM BORO,U.S. House,12,DEM,LEE GRIFFIN,232,113,1,118
Mifflin,BURNHAM BORO,U.S. House,12,REP,FRED KELLER,736,648,5,83
Mifflin,BURNHAM BORO,U.S. House,12,,Write-ins,1,1,0,0
Mifflin,BURNHAM BORO,State House,82,REP,JOHN HERSHEY,837,698,5,134
Mifflin,BURNHAM BORO,State House,82,,Write-ins,22,12,0,10
Mifflin,DECATUR - EAST,Registered Voters,,,,789,,,
Mifflin,DECATUR - EAST,Ballots Cast,,,,647,536,1,110
Mifflin,DECATUR - EAST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DECATUR - EAST,President,,DEM,Joseph R. Biden,97,47,0,50
Mifflin,DECATUR - EAST,President,,REP,Donald J. Trump,537,480,1,56
Mifflin,DECATUR - EAST,President,,LIB,Jo Jorgensen,8,7,0,1
Mifflin,DECATUR - EAST,President,,,Write-ins,2,0,0,2
Mifflin,DECATUR - EAST,Attorney General,,DEM,JOSH SHAPIRO,114,65,0,49
Mifflin,DECATUR - EAST,Attorney General,,REP,HEATHER HEIDELBAUGH,501,451,1,49
Mifflin,DECATUR - EAST,Attorney General,,LIB,DANIEL WASSMER,5,3,0,2
Mifflin,DECATUR - EAST,Attorney General,,GRE,RICHARD L WEISS,4,1,0,3
Mifflin,DECATUR - EAST,Attorney General,,,Write-ins,0,0,0,0
Mifflin,DECATUR - EAST,Auditor General,,DEM,NINA AHMAD,90,43,0,47
Mifflin,DECATUR - EAST,Auditor General,,REP,TIMOTHY DEFOOR,509,460,1,48
Mifflin,DECATUR - EAST,Auditor General,,LIB,JENNIFER MOORE,16,12,0,4
Mifflin,DECATUR - EAST,Auditor General,,GRE,OLIVIA FAISON,4,3,0,1
Mifflin,DECATUR - EAST,Auditor General,,,Write-ins,0,0,0,0
Mifflin,DECATUR - EAST,State Treasurer,,DEM,JOE TORSELLA,95,55,0,40
Mifflin,DECATUR - EAST,State Treasurer,,REP,STACY L GARRITY,508,454,1,53
Mifflin,DECATUR - EAST,State Treasurer,,LIB,JOE SOLOSKI,9,6,0,3
Mifflin,DECATUR - EAST,State Treasurer,,GRE,TIMOTHY RUNKLE,7,4,0,3
Mifflin,DECATUR - EAST,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,DECATUR - EAST,U.S. House,12,DEM,LEE GRIFFIN,88,44,0,44
Mifflin,DECATUR - EAST,U.S. House,12,REP,FRED KELLER,540,480,1,59
Mifflin,DECATUR - EAST,U.S. House,12,,Write-ins,0,0,0,0
Mifflin,DECATUR - EAST,State House,171,DEM,PETER BUCK,82,42,0,40
Mifflin,DECATUR - EAST,State House,171,REP,KERRY A BENNINGHOFF,546,483,1,62
Mifflin,DECATUR - EAST,State House,171,,Write-ins,0,0,0,0
Mifflin,DECATUR - WEST,Registered Voters,,,,1071,,,
Mifflin,DECATUR - WEST,Ballots Cast,,,,878,722,6,150
Mifflin,DECATUR - WEST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DECATUR - WEST,President,,DEM,Joseph R. Biden,137,63,2,72
Mifflin,DECATUR - WEST,President,,REP,Donald J. Trump,731,652,4,75
Mifflin,DECATUR - WEST,President,,LIB,Jo Jorgensen,8,6,0,2
Mifflin,DECATUR - WEST,President,,,Write-ins,1,1,0,0
Mifflin,DECATUR - WEST,Attorney General,,DEM,JOSH SHAPIRO,138,74,2,62
Mifflin,DECATUR - WEST,Attorney General,,REP,HEATHER HEIDELBAUGH,712,627,4,81
Mifflin,DECATUR - WEST,Attorney General,,LIB,DANIEL WASSMER,7,6,0,1
Mifflin,DECATUR - WEST,Attorney General,,GRE,RICHARD L WEISS,7,4,0,3
Mifflin,DECATUR - WEST,Attorney General,,,Write-ins,1,1,0,0
Mifflin,DECATUR - WEST,Auditor General,,DEM,NINA AHMAD,123,63,1,59
Mifflin,DECATUR - WEST,Auditor General,,REP,TIMOTHY DEFOOR,705,620,4,81
Mifflin,DECATUR - WEST,Auditor General,,LIB,JENNIFER MOORE,21,16,0,5
Mifflin,DECATUR - WEST,Auditor General,,GRE,OLIVIA FAISON,6,4,0,2
Mifflin,DECATUR - WEST,Auditor General,,,Write-ins,1,1,0,0
Mifflin,DECATUR - WEST,State Treasurer,,DEM,JOE TORSELLA,135,71,1,63
Mifflin,DECATUR - WEST,State Treasurer,,REP,STACY L GARRITY,703,621,5,77
Mifflin,DECATUR - WEST,State Treasurer,,LIB,JOE SOLOSKI,14,10,0,4
Mifflin,DECATUR - WEST,State Treasurer,,GRE,TIMOTHY RUNKLE,6,3,0,3
Mifflin,DECATUR - WEST,State Treasurer,,,Write-ins,1,1,0,0
Mifflin,DECATUR - WEST,U.S. House,12,DEM,LEE GRIFFIN,130,65,2,63
Mifflin,DECATUR - WEST,U.S. House,12,REP,FRED KELLER,733,646,4,83
Mifflin,DECATUR - WEST,U.S. House,12,,Write-ins,3,2,0,1
Mifflin,DECATUR - WEST,State House,171,DEM,PETER BUCK,120,60,1,59
Mifflin,DECATUR - WEST,State House,171,REP,KERRY A BENNINGHOFF,748,657,4,87
Mifflin,DECATUR - WEST,State House,171,,Write-ins,1,1,0,0
Mifflin,DERRY - EAST,Registered Voters,,,,1522,,,
Mifflin,DERRY - EAST,Ballots Cast,,,,1258,780,12,466
Mifflin,DERRY - EAST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DERRY - EAST,President,,DEM,Joseph R. Biden,286,53,1,232
Mifflin,DERRY - EAST,President,,REP,Donald J. Trump,951,719,11,221
Mifflin,DERRY - EAST,President,,LIB,Jo Jorgensen,16,8,0,8
Mifflin,DERRY - EAST,President,,,Write-ins,0,0,0,0
Mifflin,DERRY - EAST,Attorney General,,DEM,JOSH SHAPIRO,283,74,2,207
Mifflin,DERRY - EAST,Attorney General,,REP,HEATHER HEIDELBAUGH,921,680,10,231
Mifflin,DERRY - EAST,Attorney General,,LIB,DANIEL WASSMER,20,12,0,8
Mifflin,DERRY - EAST,Attorney General,,GRE,RICHARD L WEISS,10,3,0,7
Mifflin,DERRY - EAST,Attorney General,,,Write-ins,0,0,0,0
Mifflin,DERRY - EAST,Auditor General,,DEM,NINA AHMAD,252,52,2,198
Mifflin,DERRY - EAST,Auditor General,,REP,TIMOTHY DEFOOR,935,686,10,239
Mifflin,DERRY - EAST,Auditor General,,LIB,JENNIFER MOORE,32,22,0,10
Mifflin,DERRY - EAST,Auditor General,,GRE,OLIVIA FAISON,5,1,0,4
Mifflin,DERRY - EAST,Auditor General,,,Write-ins,0,0,0,0
Mifflin,DERRY - EAST,State Treasurer,,DEM,JOE TORSELLA,264,54,1,209
Mifflin,DERRY - EAST,State Treasurer,,REP,STACY L GARRITY,931,692,11,228
Mifflin,DERRY - EAST,State Treasurer,,LIB,JOE SOLOSKI,24,14,0,10
Mifflin,DERRY - EAST,State Treasurer,,GRE,TIMOTHY RUNKLE,11,8,0,3
Mifflin,DERRY - EAST,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,DERRY - EAST,U.S. House,12,DEM,LEE GRIFFIN,260,61,2,197
Mifflin,DERRY - EAST,U.S. House,12,REP,FRED KELLER,974,707,10,257
Mifflin,DERRY - EAST,U.S. House,12,,Write-ins,0,0,0,0
Mifflin,DERRY - EAST,State House,82,REP,JOHN HERSHEY,1123,745,11,367
Mifflin,DERRY - EAST,State House,82,,Write-ins,21,2,0,19
Mifflin,DERRY - NORTH,Registered Voters,,,,1194,,,
Mifflin,DERRY - NORTH,Ballots Cast,,,,975,722,28,225
Mifflin,DERRY - NORTH,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DERRY - NORTH,President,,DEM,Joseph R. Biden,193,75,5,113
Mifflin,DERRY - NORTH,President,,REP,Donald J. Trump,765,633,22,110
Mifflin,DERRY - NORTH,President,,LIB,Jo Jorgensen,13,11,1,1
Mifflin,DERRY - NORTH,President,,,Write-ins,2,2,0,0
Mifflin,DERRY - NORTH,Attorney General,,DEM,JOSH SHAPIRO,205,93,5,107
Mifflin,DERRY - NORTH,Attorney General,,REP,HEATHER HEIDELBAUGH,727,600,23,104
Mifflin,DERRY - NORTH,Attorney General,,LIB,DANIEL WASSMER,14,10,0,4
Mifflin,DERRY - NORTH,Attorney General,,GRE,RICHARD L WEISS,7,6,0,1
Mifflin,DERRY - NORTH,Attorney General,,,Write-ins,0,0,0,0
Mifflin,DERRY - NORTH,Auditor General,,DEM,NINA AHMAD,169,71,4,94
Mifflin,DERRY - NORTH,Auditor General,,REP,TIMOTHY DEFOOR,746,610,24,112
Mifflin,DERRY - NORTH,Auditor General,,LIB,JENNIFER MOORE,27,18,0,9
Mifflin,DERRY - NORTH,Auditor General,,GRE,OLIVIA FAISON,10,9,0,1
Mifflin,DERRY - NORTH,Auditor General,,,Write-ins,0,0,0,0
Mifflin,DERRY - NORTH,State Treasurer,,DEM,JOE TORSELLA,192,85,5,102
Mifflin,DERRY - NORTH,State Treasurer,,REP,STACY L GARRITY,730,601,22,107
Mifflin,DERRY - NORTH,State Treasurer,,LIB,JOE SOLOSKI,15,10,1,4
Mifflin,DERRY - NORTH,State Treasurer,,GRE,TIMOTHY RUNKLE,11,9,0,2
Mifflin,DERRY - NORTH,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,DERRY - NORTH,U.S. House,12,DEM,LEE GRIFFIN,176,74,4,98
Mifflin,DERRY - NORTH,U.S. House,12,REP,FRED KELLER,778,634,24,120
Mifflin,DERRY - NORTH,U.S. House,12,,Write-ins,1,0,0,1
Mifflin,DERRY - NORTH,State House,82,REP,JOHN HERSHEY,870,675,28,167
Mifflin,DERRY - NORTH,State House,82,,Write-ins,15,9,0,6
Mifflin,DERRY - SOUTH,Registered Voters,,,,1318,,,
Mifflin,DERRY - SOUTH,Ballots Cast,,,,1064,750,6,308
Mifflin,DERRY - SOUTH,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DERRY - SOUTH,President,,DEM,Joseph R. Biden,306,136,0,170
Mifflin,DERRY - SOUTH,President,,REP,Donald J. Trump,746,608,6,132
Mifflin,DERRY - SOUTH,President,,LIB,Jo Jorgensen,8,5,0,3
Mifflin,DERRY - SOUTH,President,,,Write-ins,1,1,0,0
Mifflin,DERRY - SOUTH,Attorney General,,DEM,JOSH SHAPIRO,307,135,1,171
Mifflin,DERRY - SOUTH,Attorney General,,REP,HEATHER HEIDELBAUGH,704,575,5,124
Mifflin,DERRY - SOUTH,Attorney General,,LIB,DANIEL WASSMER,19,13,0,6
Mifflin,DERRY - SOUTH,Attorney General,,GRE,RICHARD L WEISS,7,4,0,3
Mifflin,DERRY - SOUTH,Attorney General,,,Write-ins,0,0,0,0
Mifflin,DERRY - SOUTH,Auditor General,,DEM,NINA AHMAD,259,112,1,146
Mifflin,DERRY - SOUTH,Auditor General,,REP,TIMOTHY DEFOOR,718,573,5,140
Mifflin,DERRY - SOUTH,Auditor General,,LIB,JENNIFER MOORE,37,29,0,8
Mifflin,DERRY - SOUTH,Auditor General,,GRE,OLIVIA FAISON,7,4,0,3
Mifflin,DERRY - SOUTH,Auditor General,,,Write-ins,0,0,0,0
Mifflin,DERRY - SOUTH,State Treasurer,,DEM,JOE TORSELLA,276,121,0,155
Mifflin,DERRY - SOUTH,State Treasurer,,REP,STACY L GARRITY,716,570,6,140
Mifflin,DERRY - SOUTH,State Treasurer,,LIB,JOE SOLOSKI,26,19,0,7
Mifflin,DERRY - SOUTH,State Treasurer,,GRE,TIMOTHY RUNKLE,12,11,0,1
Mifflin,DERRY - SOUTH,State Treasurer,,,Write-ins,0,0,0,0
Mifflin,DERRY - SOUTH,U.S. House,12,DEM,LEE GRIFFIN,272,119,0,153
Mifflin,DERRY - SOUTH,U.S. House,12,REP,FRED KELLER,758,606,6,146
Mifflin,DERRY - SOUTH,U.S. House,12,,Write-ins,0,0,0,0
Mifflin,DERRY - SOUTH,State House,82,REP,JOHN HERSHEY,875,662,5,208
Mifflin,DERRY - SOUTH,State House,82,,Write-ins,17,8,0,9
Mifflin,DERRY - WEST,Registered Voters,,,,905,,,
Mifflin,DERRY - WEST,Ballots Cast,,,,722,540,1,181
Mifflin,DERRY - WEST,Ballots Cast Blank,,,,0,0,0,0
Mifflin,DERRY - WEST,President,,DEM,Joseph R. Biden,160,69,0,91
Mifflin,DERRY - WEST,President,,REP,Donald J. Trump,550,465,1,84
Mifflin,DERRY - WEST,President,,LIB,Jo Jorgensen,6,5,0,1
Mifflin,DERRY - WEST,President,,,Write-ins,0,0,0,0
Mifflin,DERRY - WEST,Attorney General,,DEM,JOSH SHAPIRO,196,95,0,101
Mifflin,DERRY - WEST,Attorney General,,REP,HEATHER HEIDELBAUGH,502,426,1,75
Mifflin,DERRY - WEST,Attorney General,,LIB,DANIEL WASSMER,5,4,0,1
Mifflin,DERRY - WEST,Attorney General,,GRE,RICHARD L WEISS,8,6,0,2
Mifflin,DERRY - WEST,Attorney General,,,Write-ins,0,0,0,0
Mifflin,DERRY - WEST,Auditor General,,DEM,NINA AHMAD,147,65,0,82
Mifflin,DERRY - WEST,Auditor General,,REP,TIMOTHY DEFOOR,523,438,1,84
Mifflin,DERRY - WEST,Auditor General,,LIB,JENNIFER MOORE,20,15,0,5
Mifflin,DERRY - WEST,Auditor General,,GRE,OLIVIA FAISON,8,7,0,1
