county,precinct,office,district,party,candidate,votes,mail
Northumberland,Coal Township 3,Attorney General,,DEM,JOSH SHAPIRO,205,76
Northumberland,Coal Township 3,Attorney General,,REP,HEATHER HEIDELBAUGH,295,61
Northumberland,Coal Township 3,Attorney General,,LIB,DANIEL WASSMER,10,0
Northumberland,Coal Township 3,Attorney General,,GRN,RICHARD L WEISS,5,1
Northumberland,Coal Township 3,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 3,Auditor General,,DEM,NINA AHMAD,180,71
Northumberland,Coal Township 3,Auditor General,,REP,TIMOTHY DEFOOR,300,52
Northumberland,Coal Township 3,Auditor General,,LIB,JENNIFER MOORE,18,9
Northumberland,Coal Township 3,Auditor General,,GRN,OLIVIA FAISON,4,2
Northumberland,Coal Township 3,Auditor General,,,Write-ins,0,0
Northumberland,Coal Township 3,State Treasurer,,DEM,JOE TORSELLA,187,69
Northumberland,Coal Township 3,State Treasurer,,REP,STACY L GARRITY,296,55
Northumberland,Coal Township 3,State Treasurer,,LIB,JOE SOLOSKI,17,9
Northumberland,Coal Township 3,State Treasurer,,GRN,TIMOTHY RUNKLE,2,1
Northumberland,Coal Township 3,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 3,U.S. House,9,DEM,GARY WEGMAN,182,73
Northumberland,Coal Township 3,U.S. House,9,REP,DAN MEUSER,321,60
Northumberland,Coal Township 3,U.S. House,9,,Write-ins,0,0
Northumberland,Coal Township 3,State Senate,27,DEM,MICHELLE SIEGEL,198,76
Northumberland,Coal Township 3,State Senate,27,REP,JOHN R GORDNER,306,59
Northumberland,Coal Township 3,State Senate,27,,Write-ins,0,0
Northumberland,Coal Township 3,State House,107,REP,KURT A MASSER,399,98
Northumberland,Coal Township 3,State House,107,LIB,RYAN BOURINSKI,99,26
Northumberland,Coal Township 3,State House,107,,Write-ins,4,1
Northumberland,Coal Township 4-1,Registered Voters,,,,344,
Northumberland,Coal Township 4-1,Ballots Cast,,,,261,46
Northumberland,Coal Township 4-1,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 4-1,President,,DEM,Joseph R. Biden,68,29
Northumberland,Coal Township 4-1,President,,REP,Donald J. Trump,191,17
Northumberland,Coal Township 4-1,President,,LIB,Jo Jorgensen,1,0
Northumberland,Coal Township 4-1,President,,,Write-ins,0,0
Northumberland,Coal Township 4-1,Attorney General,,DEM,JOSH SHAPIRO,84,31
Northumberland,Coal Township 4-1,Attorney General,,REP,HEATHER HEIDELBAUGH,158,12
Northumberland,Coal Township 4-1,Attorney General,,LIB,DANIEL WASSMER,9,1
Northumberland,Coal Township 4-1,Attorney General,,GRN,RICHARD L WEISS,1,0
Northumberland,Coal Township 4-1,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 4-1,Auditor General,,DEM,NINA AHMAD,62,23
Northumberland,Coal Township 4-1,Auditor General,,REP,TIMOTHY DEFOOR,170,17
Northumberland,Coal Township 4-1,Auditor General,,LIB,JENNIFER MOORE,14,3
Northumberland,Coal Township 4-1,Auditor General,,GRN,OLIVIA FAISON,2,0
Northumberland,Coal Township 4-1,Auditor General,,,Write-ins,0,0
Northumberland,Coal Township 4-1,State Treasurer,,DEM,JOE TORSELLA,67,29
Northumberland,Coal Township 4-1,State Treasurer,,REP,STACY L GARRITY,175,16
Northumberland,Coal Township 4-1,State Treasurer,,LIB,JOE SOLOSKI,8,1
Northumberland,Coal Township 4-1,State Treasurer,,GRN,TIMOTHY RUNKLE,3,0
Northumberland,Coal Township 4-1,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 4-1,U.S. House,9,DEM,GARY WEGMAN,63,26
Northumberland,Coal Township 4-1,U.S. House,9,REP,DAN MEUSER,189,19
Northumberland,Coal Township 4-1,U.S. House,9,,Write-ins,0,0
Northumberland,Coal Township 4-1,State Senate,27,DEM,MICHELLE SIEGEL,60,28
Northumberland,Coal Township 4-1,State Senate,27,REP,JOHN R GORDNER,194,17
Northumberland,Coal Township 4-1,State Senate,27,,Write-ins,0,0
Northumberland,Coal Township 4-1,State House,107,REP,KURT A MASSER,225,32
Northumberland,Coal Township 4-1,State House,107,LIB,RYAN BOURINSKI,29,12
Northumberland,Coal Township 4-1,State House,107,,Write-ins,0,0
Northumberland,Coal Township 4-2,Registered Voters,,,,449,
Northumberland,Coal Township 4-2,Ballots Cast,,,,358,76
Northumberland,Coal Township 4-2,Ballots Cast - Blank,,,,1,0
Northumberland,Coal Township 4-2,President,,DEM,Joseph R. Biden,130,50
Northumberland,Coal Township 4-2,President,,REP,Donald J. Trump,225,26
Northumberland,Coal Township 4-2,President,,LIB,Jo Jorgensen,1,0
Northumberland,Coal Township 4-2,President,,,Write-ins,0,0
Northumberland,Coal Township 4-2,Attorney General,,DEM,JOSH SHAPIRO,150,50
Northumberland,Coal Township 4-2,Attorney General,,REP,HEATHER HEIDELBAUGH,191,23
Northumberland,Coal Township 4-2,Attorney General,,LIB,DANIEL WASSMER,7,2
Northumberland,Coal Township 4-2,Attorney General,,GRN,RICHARD L WEISS,1,0
Northumberland,Coal Township 4-2,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 4-2,Auditor General,,DEM,NINA AHMAD,114,42
Northumberland,Coal Township 4-2,Auditor General,,REP,TIMOTHY DEFOOR,208,27
Northumberland,Coal Township 4-2,Auditor General,,LIB,JENNIFER MOORE,12,2
Northumberland,Coal Township 4-2,Auditor General,,GRN,OLIVIA FAISON,4,1
Northumberland,Coal Township 4-2,Auditor General,,,Write-ins,0,0
Northumberland,Coal Township 4-2,State Treasurer,,DEM,JOE TORSELLA,129,43
Northumberland,Coal Township 4-2,State Treasurer,,REP,STACY L GARRITY,209,26
Northumberland,Coal Township 4-2,State Treasurer,,LIB,JOE SOLOSKI,6,5
Northumberland,Coal Township 4-2,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Coal Township 4-2,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 4-2,U.S. House,9,DEM,GARY WEGMAN,116,43
Northumberland,Coal Township 4-2,U.S. House,9,REP,DAN MEUSER,231,32
Northumberland,Coal Township 4-2,U.S. House,9,,Write-ins,0,0
Northumberland,Coal Township 4-2,State Senate,27,DEM,MICHELLE SIEGEL,109,45
Northumberland,Coal Township 4-2,State Senate,27,REP,JOHN R GORDNER,241,30
Northumberland,Coal Township 4-2,State Senate,27,,Write-ins,0,0
Northumberland,Coal Township 4-2,State House,107,REP,KURT A MASSER,275,44
Northumberland,Coal Township 4-2,State House,107,LIB,RYAN BOURINSKI,65,27
Northumberland,Coal Township 4-2,State House,107,,Write-ins,0,0
Northumberland,Coal Township 5,Registered Voters,,,,1016,
Northumberland,Coal Township 5,Ballots Cast,,,,762,163
Northumberland,Coal Township 5,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 5,President,,DEM,Joseph R. Biden,214,97
Northumberland,Coal Township 5,President,,REP,Donald J. Trump,533,65
Northumberland,Coal Township 5,President,,LIB,Jo Jorgensen,9,1
Northumberland,Coal Township 5,President,,,Write-ins,3,0
Northumberland,Coal Township 5,Attorney General,,DEM,JOSH SHAPIRO,269,100
Northumberland,Coal Township 5,Attorney General,,REP,HEATHER HEIDELBAUGH,444,55
Northumberland,Coal Township 5,Attorney General,,LIB,DANIEL WASSMER,19,2
Northumberland,Coal Township 5,Attorney General,,GRN,RICHARD L WEISS,8,2
Northumberland,Coal Township 5,Attorney General,,,Write-ins,1,0
Northumberland,Coal Township 5,Auditor General,,DEM,NINA AHMAD,213,88
Northumberland,Coal Township 5,Auditor General,,REP,TIMOTHY DEFOOR,483,61
Northumberland,Coal Township 5,Auditor General,,LIB,JENNIFER MOORE,27,6
Northumberland,Coal Township 5,Auditor General,,GRN,OLIVIA FAISON,8,2
Northumberland,Coal Township 5,Auditor General,,,Write-ins,1,0
Northumberland,Coal Township 5,State Treasurer,,DEM,JOE TORSELLA,230,95
Northumberland,Coal Township 5,State Treasurer,,REP,STACY L GARRITY,481,58
Northumberland,Coal Township 5,State Treasurer,,LIB,JOE SOLOSKI,18,2
Northumberland,Coal Township 5,State Treasurer,,GRN,TIMOTHY RUNKLE,9,3
Northumberland,Coal Township 5,State Treasurer,,,Write-ins,1,0
Northumberland,Coal Township 5,U.S. House,9,DEM,GARY WEGMAN,219,89
Northumberland,Coal Township 5,U.S. House,9,REP,DAN MEUSER,520,71
Northumberland,Coal Township 5,U.S. House,9,,Write-ins,2,0
Northumberland,Coal Township 5,State Senate,27,DEM,MICHELLE SIEGEL,215,88
Northumberland,Coal Township 5,State Senate,27,REP,JOHN R GORDNER,527,73
Northumberland,Coal Township 5,State Senate,27,,Write-ins,1,0
Northumberland,Coal Township 5,State House,107,REP,KURT A MASSER,566,92
Northumberland,Coal Township 5,State House,107,LIB,RYAN BOURINSKI,157,58
Northumberland,Coal Township 5,State House,107,,Write-ins,4,0
Northumberland,Coal Township 6,Registered Voters,,,,1092,
Northumberland,Coal Township 6,Ballots Cast,,,,792,211
Northumberland,Coal Township 6,Ballots Cast - Blank,,,,0,0
Northumberland,Coal Township 6,President,,DEM,Joseph R. Biden,254,121
Northumberland,Coal Township 6,President,,REP,Donald J. Trump,519,85
Northumberland,Coal Township 6,President,,LIB,Jo Jorgensen,9,3
Northumberland,Coal Township 6,President,,,Write-ins,2,1
Northumberland,Coal Township 6,Attorney General,,DEM,JOSH SHAPIRO,297,129
Northumberland,Coal Township 6,Attorney General,,REP,HEATHER HEIDELBAUGH,434,70
Northumberland,Coal Township 6,Attorney General,,LIB,DANIEL WASSMER,21,6
Northumberland,Coal Township 6,Attorney General,,GRN,RICHARD L WEISS,9,3
Northumberland,Coal Township 6,Attorney General,,,Write-ins,0,0
Northumberland,Coal Township 6,Auditor General,,DEM,NINA AHMAD,243,110
Northumberland,Coal Township 6,Auditor General,,REP,TIMOTHY DEFOOR,463,82
Northumberland,Coal Township 6,Auditor General,,LIB,JENNIFER MOORE,32,9
Northumberland,Coal Township 6,Auditor General,,GRN,OLIVIA FAISON,11,4
Northumberland,Coal Township 6,Auditor General,,,Write-ins,1,0
Northumberland,Coal Township 6,State Treasurer,,DEM,JOE TORSELLA,264,116
Northumberland,Coal Township 6,State Treasurer,,REP,STACY L GARRITY,463,79
Northumberland,Coal Township 6,State Treasurer,,LIB,JOE SOLOSKI,20,6
Northumberland,Coal Township 6,State Treasurer,,GRN,TIMOTHY RUNKLE,9,5
Northumberland,Coal Township 6,State Treasurer,,,Write-ins,0,0
Northumberland,Coal Township 6,U.S. House,9,DEM,GARY WEGMAN,250,113
Northumberland,Coal Township 6,U.S. House,9,REP,DAN MEUSER,513,93
Northumberland,Coal Township 6,U.S. House,9,,Write-ins,2,0
Northumberland,Coal Township 6,State Senate,27,DEM,MICHELLE SIEGEL,231,102
Northumberland,Coal Township 6,State Senate,27,REP,JOHN R GORDNER,529,105
Northumberland,Coal Township 6,State Senate,27,,Write-ins,2,2
Northumberland,Coal Township 6,State House,107,REP,KURT A MASSER,625,153
Northumberland,Coal Township 6,State House,107,LIB,RYAN BOURINSKI,129,50
Northumberland,Coal Township 6,State House,107,,Write-ins,1,0
Northumberland,East Cameron Township,Registered Voters,,,,433,
Northumberland,East Cameron Township,Ballots Cast,,,,354,50
Northumberland,East Cameron Township,Ballots Cast - Blank,,,,0,0
Northumberland,East Cameron Township,President,,DEM,Joseph R. Biden,70,24
Northumberland,East Cameron Township,President,,REP,Donald J. Trump,274,25
Northumberland,East Cameron Township,President,,LIB,Jo Jorgensen,6,1
Northumberland,East Cameron Township,President,,,Write-ins,1,0
Northumberland,East Cameron Township,Attorney General,,DEM,JOSH SHAPIRO,88,24
Northumberland,East Cameron Township,Attorney General,,REP,HEATHER HEIDELBAUGH,244,25
Northumberland,East Cameron Township,Attorney General,,LIB,DANIEL WASSMER,7,1
Northumberland,East Cameron Township,Attorney General,,GRN,RICHARD L WEISS,5,0
Northumberland,East Cameron Township,Attorney General,,,Write-ins,0,0
Northumberland,East Cameron Township,Auditor General,,DEM,NINA AHMAD,61,19
Northumberland,East Cameron Township,Auditor General,,REP,TIMOTHY DEFOOR,249,24
Northumberland,East Cameron Township,Auditor General,,LIB,JENNIFER MOORE,20,1
Northumberland,East Cameron Township,Auditor General,,GRN,OLIVIA FAISON,5,3
Northumberland,East Cameron Township,Auditor General,,,Write-ins,0,0
Northumberland,East Cameron Township,State Treasurer,,DEM,JOE TORSELLA,74,19
Northumberland,East Cameron Township,State Treasurer,,REP,STACY L GARRITY,251,26
Northumberland,East Cameron Township,State Treasurer,,LIB,JOE SOLOSKI,9,0
Northumberland,East Cameron Township,State Treasurer,,GRN,TIMOTHY RUNKLE,10,4
Northumberland,East Cameron Township,State Treasurer,,,Write-ins,0,0
Northumberland,East Cameron Township,U.S. House,9,DEM,GARY WEGMAN,66,21
Northumberland,East Cameron Township,U.S. House,9,REP,DAN MEUSER,277,28
Northumberland,East Cameron Township,U.S. House,9,,Write-ins,0,0
Northumberland,East Cameron Township,State Senate,27,DEM,MICHELLE SIEGEL,65,21
Northumberland,East Cameron Township,State Senate,27,REP,JOHN R GORDNER,278,28
Northumberland,East Cameron Township,State Senate,27,,Write-ins,0,0
Northumberland,East Cameron Township,State House,107,REP,KURT A MASSER,307,40
Northumberland,East Cameron Township,State House,107,LIB,RYAN BOURINSKI,36,9
Northumberland,East Cameron Township,State House,107,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,Registered Voters,,,,606,
Northumberland,Kulpmont Borough 1,Ballots Cast,,,,421,101
Northumberland,Kulpmont Borough 1,Ballots Cast - Blank,,,,0,0
Northumberland,Kulpmont Borough 1,President,,DEM,Joseph R. Biden,142,60
Northumberland,Kulpmont Borough 1,President,,REP,Donald J. Trump,272,41
Northumberland,Kulpmont Borough 1,President,,LIB,Jo Jorgensen,2,0
Northumberland,Kulpmont Borough 1,President,,,Write-ins,3,0
Northumberland,Kulpmont Borough 1,Attorney General,,DEM,JOSH SHAPIRO,174,66
Northumberland,Kulpmont Borough 1,Attorney General,,REP,HEATHER HEIDELBAUGH,216,28
Northumberland,Kulpmont Borough 1,Attorney General,,LIB,DANIEL WASSMER,9,0
Northumberland,Kulpmont Borough 1,Attorney General,,GRN,RICHARD L WEISS,5,0
Northumberland,Kulpmont Borough 1,Attorney General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,Auditor General,,DEM,NINA AHMAD,137,58
Northumberland,Kulpmont Borough 1,Auditor General,,REP,TIMOTHY DEFOOR,238,33
Northumberland,Kulpmont Borough 1,Auditor General,,LIB,JENNIFER MOORE,10,2
Northumberland,Kulpmont Borough 1,Auditor General,,GRN,OLIVIA FAISON,7,0
Northumberland,Kulpmont Borough 1,Auditor General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,State Treasurer,,DEM,JOE TORSELLA,157,58
Northumberland,Kulpmont Borough 1,State Treasurer,,REP,STACY L GARRITY,228,34
Northumberland,Kulpmont Borough 1,State Treasurer,,LIB,JOE SOLOSKI,8,0
Northumberland,Kulpmont Borough 1,State Treasurer,,GRN,TIMOTHY RUNKLE,4,0
Northumberland,Kulpmont Borough 1,State Treasurer,,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,U.S. House,9,DEM,GARY WEGMAN,139,57
Northumberland,Kulpmont Borough 1,U.S. House,9,REP,DAN MEUSER,265,38
Northumberland,Kulpmont Borough 1,U.S. House,9,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,State Senate,27,DEM,MICHELLE SIEGEL,125,46
Northumberland,Kulpmont Borough 1,State Senate,27,REP,JOHN R GORDNER,276,48
Northumberland,Kulpmont Borough 1,State Senate,27,,Write-ins,0,0
Northumberland,Kulpmont Borough 1,State House,107,REP,KURT A MASSER,319,64
Northumberland,Kulpmont Borough 1,State House,107,LIB,RYAN BOURINSKI,69,23
Northumberland,Kulpmont Borough 1,State House,107,,Write-ins,2,2
Northumberland,Kulpmont Borough 2,Registered Voters,,,,630,
Northumberland,Kulpmont Borough 2,Ballots Cast,,,,456,107
Northumberland,Kulpmont Borough 2,Ballots Cast - Blank,,,,0,0
Northumberland,Kulpmont Borough 2,President,,DEM,Joseph R. Biden,167,73
Northumberland,Kulpmont Borough 2,President,,REP,Donald J. Trump,276,33
Northumberland,Kulpmont Borough 2,President,,LIB,Jo Jorgensen,6,0
Northumberland,Kulpmont Borough 2,President,,,Write-ins,2,0
Northumberland,Kulpmont Borough 2,Attorney General,,DEM,JOSH SHAPIRO,171,71
Northumberland,Kulpmont Borough 2,Attorney General,,REP,HEATHER HEIDELBAUGH,248,31
Northumberland,Kulpmont Borough 2,Attorney General,,LIB,DANIEL WASSMER,8,2
Northumberland,Kulpmont Borough 2,Attorney General,,GRN,RICHARD L WEISS,6,0
Northumberland,Kulpmont Borough 2,Attorney General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 2,Auditor General,,DEM,NINA AHMAD,160,64
Northumberland,Kulpmont Borough 2,Auditor General,,REP,TIMOTHY DEFOOR,238,35
Northumberland,Kulpmont Borough 2,Auditor General,,LIB,JENNIFER MOORE,21,3
Northumberland,Kulpmont Borough 2,Auditor General,,GRN,OLIVIA FAISON,6,1
Northumberland,Kulpmont Borough 2,Auditor General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 2,State Treasurer,,DEM,JOE TORSELLA,170,64
Northumberland,Kulpmont Borough 2,State Treasurer,,REP,STACY L GARRITY,236,34
Northumberland,Kulpmont Borough 2,State Treasurer,,LIB,JOE SOLOSKI,16,3
Northumberland,Kulpmont Borough 2,State Treasurer,,GRN,TIMOTHY RUNKLE,5,1
Northumberland,Kulpmont Borough 2,State Treasurer,,,Write-ins,0,0
Northumberland,Kulpmont Borough 2,U.S. House,9,DEM,GARY WEGMAN,162,62
Northumberland,Kulpmont Borough 2,U.S. House,9,REP,DAN MEUSER,268,38
Northumberland,Kulpmont Borough 2,U.S. House,9,,Write-ins,0,0
Northumberland,Kulpmont Borough 2,State Senate,27,DEM,MICHELLE SIEGEL,152,57
Northumberland,Kulpmont Borough 2,State Senate,27,REP,JOHN R GORDNER,282,47
Northumberland,Kulpmont Borough 2,State Senate,27,,Write-ins,0,0
Northumberland,Kulpmont Borough 2,State House,107,REP,KURT A MASSER,339,76
Northumberland,Kulpmont Borough 2,State House,107,LIB,RYAN BOURINSKI,74,22
Northumberland,Kulpmont Borough 2,State House,107,,Write-ins,2,0
Northumberland,Kulpmont Borough 3,Registered Voters,,,,643,
Northumberland,Kulpmont Borough 3,Ballots Cast,,,,485,108
Northumberland,Kulpmont Borough 3,Ballots Cast - Blank,,,,0,0
Northumberland,Kulpmont Borough 3,President,,DEM,Joseph R. Biden,179,72
Northumberland,Kulpmont Borough 3,President,,REP,Donald J. Trump,299,36
Northumberland,Kulpmont Borough 3,President,,LIB,Jo Jorgensen,3,0
Northumberland,Kulpmont Borough 3,President,,,Write-ins,1,0
Northumberland,Kulpmont Borough 3,Attorney General,,DEM,JOSH SHAPIRO,210,76
Northumberland,Kulpmont Borough 3,Attorney General,,REP,HEATHER HEIDELBAUGH,253,28
Northumberland,Kulpmont Borough 3,Attorney General,,LIB,DANIEL WASSMER,6,1
Northumberland,Kulpmont Borough 3,Attorney General,,GRN,RICHARD L WEISS,8,1
Northumberland,Kulpmont Borough 3,Attorney General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 3,Auditor General,,DEM,NINA AHMAD,172,64
Northumberland,Kulpmont Borough 3,Auditor General,,REP,TIMOTHY DEFOOR,271,36
Northumberland,Kulpmont Borough 3,Auditor General,,LIB,JENNIFER MOORE,18,2
Northumberland,Kulpmont Borough 3,Auditor General,,GRN,OLIVIA FAISON,4,0
Northumberland,Kulpmont Borough 3,Auditor General,,,Write-ins,0,0
Northumberland,Kulpmont Borough 3,State Treasurer,,DEM,JOE TORSELLA,179,68
Northumberland,Kulpmont Borough 3,State Treasurer,,REP,STACY L GARRITY,275,35
Northumberland,Kulpmont Borough 3,State Treasurer,,LIB,JOE SOLOSKI,12,2
Northumberland,Kulpmont Borough 3,State Treasurer,,GRN,TIMOTHY RUNKLE,9,0
Northumberland,Kulpmont Borough 3,State Treasurer,,,Write-ins,0,0
Northumberland,Kulpmont Borough 3,U.S. House,9,DEM,GARY WEGMAN,160,65
Northumberland,Kulpmont Borough 3,U.S. House,9,REP,DAN MEUSER,311,39
Northumberland,Kulpmont Borough 3,U.S. House,9,,Write-ins,0,0
Northumberland,Kulpmont Borough 3,State Senate,27,DEM,MICHELLE SIEGEL,149,60
Northumberland,Kulpmont Borough 3,State Senate,27,REP,JOHN R GORDNER,327,47
Northumberland,Kulpmont Borough 3,State Senate,27,,Write-ins,0,0
Northumberland,Kulpmont Borough 3,State House,107,REP,KURT A MASSER,377,66
Northumberland,Kulpmont Borough 3,State House,107,LIB,RYAN BOURINSKI,87,33
Northumberland,Kulpmont Borough 3,State House,107,,Write-ins,3,1
Northumberland,Marion Heights Borough,Registered Voters,,,,414,
Northumberland,Marion Heights Borough,Ballots Cast,,,,298,46
Northumberland,Marion Heights Borough,Ballots Cast - Blank,,,,0,0
Northumberland,Marion Heights Borough,President,,DEM,Joseph R. Biden,110,30
Northumberland,Marion Heights Borough,President,,REP,Donald J. Trump,180,16
Northumberland,Marion Heights Borough,President,,LIB,Jo Jorgensen,7,0
Northumberland,Marion Heights Borough,President,,,Write-ins,0,0
Northumberland,Marion Heights Borough,Attorney General,,DEM,JOSH SHAPIRO,127,32
Northumberland,Marion Heights Borough,Attorney General,,REP,HEATHER HEIDELBAUGH,154,12
Northumberland,Marion Heights Borough,Attorney General,,LIB,DANIEL WASSMER,5,1
Northumberland,Marion Heights Borough,Attorney General,,GRN,RICHARD L WEISS,5,0
Northumberland,Marion Heights Borough,Attorney General,,,Write-ins,0,0
Northumberland,Marion Heights Borough,Auditor General,,DEM,NINA AHMAD,110,29
Northumberland,Marion Heights Borough,Auditor General,,REP,TIMOTHY DEFOOR,157,14
Northumberland,Marion Heights Borough,Auditor General,,LIB,JENNIFER MOORE,13,0
Northumberland,Marion Heights Borough,Auditor General,,GRN,OLIVIA FAISON,3,0
Northumberland,Marion Heights Borough,Auditor General,,,Write-ins,0,0
Northumberland,Marion Heights Borough,State Treasurer,,DEM,JOE TORSELLA,113,28
Northumberland,Marion Heights Borough,State Treasurer,,REP,STACY L GARRITY,162,16
Northumberland,Marion Heights Borough,State Treasurer,,LIB,JOE SOLOSKI,7,0
Northumberland,Marion Heights Borough,State Treasurer,,GRN,TIMOTHY RUNKLE,2,0
Northumberland,Marion Heights Borough,State Treasurer,,,Write-ins,0,0
Northumberland,Marion Heights Borough,U.S. House,9,DEM,GARY WEGMAN,103,27
Northumberland,Marion Heights Borough,U.S. House,9,REP,DAN MEUSER,182,18
Northumberland,Marion Heights Borough,U.S. House,9,,Write-ins,0,0
