    county,precinct,office,district,party,candidate,election_day,mail_in,provisional,military,votes
    Cumberland,CAMP HILL 1,General Assembly,87,DEM,Sean Patrick Quinlan,33,83,0,0,116
    Cumberland,CAMP HILL 1,General Assembly,87,DEM,Heather Macdonald,18,54,1,0,73
    Cumberland,CAMP HILL 1,General Assembly,87,DEM,Write-In,1,0,0,0,1
    Cumberland,CAMP HILL 2,Registered Voters,,DEM,,,,,,550
    Cumberland,CAMP HILL 2,Ballots Cast,,DEM,,76,246,2,1,325
    Cumberland,CAMP HILL 2,President,,DEM,Bernie Sanders,28,33,0,0,61
    Cumberland,CAMP HILL 2,President,,DEM,Joseph R Biden,42,206,1,1,250
    Cumberland,CAMP HILL 2,President,,DEM,Tulsi Gabbard,4,3,1,0,8
    Cumberland,CAMP HILL 2,President,,DEM,Write-In,1,3,0,0,4
    Cumberland,CAMP HILL 2,Attorney General,,DEM,Josh Shapiro,69,229,2,0,300
    Cumberland,CAMP HILL 2,Attorney General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 2,Auditor General,,DEM,H Scott Conklin,12,21,0,0,33
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Michael Lamb,6,36,0,0,42
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Tracie Fountain,17,78,1,0,96
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Rose Rosie Marie Davis,2,4,0,0,6
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Nina Ahmad,25,47,1,0,73
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Christina M Hartman,8,42,0,0,50
    Cumberland,CAMP HILL 2,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 2,State Treasurer,,DEM,Joe Torsella,69,221,2,0,292
    Cumberland,CAMP HILL 2,State Treasurer,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 2,U.S. House,10,DEM,Tom Brier,36,71,1,1,109
    Cumberland,CAMP HILL 2,U.S. House,10,DEM,Eugene Depasquale,36,168,1,0,205
    Cumberland,CAMP HILL 2,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 2,State Senate,31,DEM,Rick Coplen,34,92,0,0,126
    Cumberland,CAMP HILL 2,State Senate,31,DEM,Shanna Danielson,33,106,2,0,141
    Cumberland,CAMP HILL 2,State Senate,31,DEM,John D Bosha,4,32,0,0,36
    Cumberland,CAMP HILL 2,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 2,General Assembly,87,DEM,Nicole Miller,9,57,1,0,67
    Cumberland,CAMP HILL 2,General Assembly,87,DEM,Sean Patrick Quinlan,40,137,0,0,177
    Cumberland,CAMP HILL 2,General Assembly,87,DEM,Heather Macdonald,26,43,1,0,70
    Cumberland,CAMP HILL 2,General Assembly,87,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 3,Registered Voters,,DEM,,,,,,741
    Cumberland,CAMP HILL 3,Ballots Cast,,DEM,,86,360,7,0,453
    Cumberland,CAMP HILL 3,President,,DEM,Bernie Sanders,22,66,2,0,90
    Cumberland,CAMP HILL 3,President,,DEM,Joseph R Biden,56,281,5,0,342
    Cumberland,CAMP HILL 3,President,,DEM,Tulsi Gabbard,8,2,0,0,10
    Cumberland,CAMP HILL 3,President,,DEM,Write-In,0,7,0,0,7
    Cumberland,CAMP HILL 3,Attorney General,,DEM,Josh Shapiro,77,332,6,0,415
    Cumberland,CAMP HILL 3,Attorney General,,DEM,Write-In,2,1,0,0,3
    Cumberland,CAMP HILL 3,Auditor General,,DEM,H Scott Conklin,15,42,2,0,59
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Michael Lamb,8,40,0,0,48
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Tracie Fountain,21,116,0,0,137
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Rose Rosie Marie Davis,9,6,0,0,15
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Nina Ahmad,23,61,3,0,87
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Christina M Hartman,7,74,0,0,81
    Cumberland,CAMP HILL 3,Auditor General,,DEM,Write-In,1,1,0,0,2
    Cumberland,CAMP HILL 3,State Treasurer,,DEM,Joe Torsella,78,332,6,0,416
    Cumberland,CAMP HILL 3,State Treasurer,,DEM,Write-In,2,1,0,0,3
    Cumberland,CAMP HILL 3,U.S. House,10,DEM,Tom Brier,44,108,2,0,154
    Cumberland,CAMP HILL 3,U.S. House,10,DEM,Eugene Depasquale,41,241,4,0,286
    Cumberland,CAMP HILL 3,U.S. House,10,DEM,Write-In,1,2,0,0,3
    Cumberland,CAMP HILL 3,State Senate,31,DEM,Rick Coplen,35,123,5,0,163
    Cumberland,CAMP HILL 3,State Senate,31,DEM,Shanna Danielson,34,171,2,0,207
    Cumberland,CAMP HILL 3,State Senate,31,DEM,John D Bosha,15,55,0,0,70
    Cumberland,CAMP HILL 3,State Senate,31,DEM,Write-In,1,2,0,0,3
    Cumberland,CAMP HILL 3,General Assembly,87,DEM,Nicole Miller,13,88,0,0,101
    Cumberland,CAMP HILL 3,General Assembly,87,DEM,Sean Patrick Quinlan,39,176,4,0,219
    Cumberland,CAMP HILL 3,General Assembly,87,DEM,Heather Macdonald,31,85,2,0,118
    Cumberland,CAMP HILL 3,General Assembly,87,DEM,Write-In,1,2,0,0,3
    Cumberland,CAMP HILL 4,Registered Voters,,DEM,,,,,,337
    Cumberland,CAMP HILL 4,Ballots Cast,,DEM,,46,117,3,0,166
    Cumberland,CAMP HILL 4,President,,DEM,Bernie Sanders,8,29,2,0,39
    Cumberland,CAMP HILL 4,President,,DEM,Joseph R Biden,36,81,1,0,118
    Cumberland,CAMP HILL 4,President,,DEM,Tulsi Gabbard,1,4,0,0,5
    Cumberland,CAMP HILL 4,President,,DEM,Write-In,0,3,0,0,3
    Cumberland,CAMP HILL 4,Attorney General,,DEM,Josh Shapiro,38,109,3,0,150
    Cumberland,CAMP HILL 4,Attorney General,,DEM,Write-In,0,1,0,0,1
    Cumberland,CAMP HILL 4,Auditor General,,DEM,H Scott Conklin,2,8,0,0,10
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Michael Lamb,9,9,0,0,18
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Tracie Fountain,14,36,1,0,51
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Rose Rosie Marie Davis,1,5,0,0,6
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Nina Ahmad,11,27,1,0,39
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Christina M Hartman,6,23,1,0,30
    Cumberland,CAMP HILL 4,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 4,State Treasurer,,DEM,Joe Torsella,40,107,3,0,150
    Cumberland,CAMP HILL 4,State Treasurer,,DEM,Write-In,0,1,0,0,1
    Cumberland,CAMP HILL 4,U.S. House,10,DEM,Tom Brier,23,49,2,0,74
    Cumberland,CAMP HILL 4,U.S. House,10,DEM,Eugene Depasquale,21,63,1,0,85
    Cumberland,CAMP HILL 4,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 4,State Senate,31,DEM,Rick Coplen,19,34,2,0,55
    Cumberland,CAMP HILL 4,State Senate,31,DEM,Shanna Danielson,14,57,1,0,72
    Cumberland,CAMP HILL 4,State Senate,31,DEM,John D Bosha,10,21,0,0,31
    Cumberland,CAMP HILL 4,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 4,General Assembly,87,DEM,Nicole Miller,14,30,0,0,44
    Cumberland,CAMP HILL 4,General Assembly,87,DEM,Sean Patrick Quinlan,19,56,1,0,76
    Cumberland,CAMP HILL 4,General Assembly,87,DEM,Heather Macdonald,11,27,2,0,40
    Cumberland,CAMP HILL 4,General Assembly,87,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 5,Registered Voters,,DEM,,,,,,558
    Cumberland,CAMP HILL 5,Ballots Cast,,DEM,,71,217,0,0,288
    Cumberland,CAMP HILL 5,President,,DEM,Bernie Sanders,15,45,0,0,60
    Cumberland,CAMP HILL 5,President,,DEM,Joseph R Biden,49,161,0,0,210
    Cumberland,CAMP HILL 5,President,,DEM,Tulsi Gabbard,4,7,0,0,11
    Cumberland,CAMP HILL 5,President,,DEM,Write-In,1,1,0,0,2
    Cumberland,CAMP HILL 5,Attorney General,,DEM,Josh Shapiro,65,193,0,0,258
    Cumberland,CAMP HILL 5,Attorney General,,DEM,Write-In,0,2,0,0,2
    Cumberland,CAMP HILL 5,Auditor General,,DEM,H Scott Conklin,6,22,0,0,28
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Michael Lamb,10,25,0,0,35
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Tracie Fountain,28,64,0,0,92
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Rose Rosie Marie Davis,3,4,0,0,7
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Nina Ahmad,17,32,0,0,49
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Christina M Hartman,4,43,0,0,47
    Cumberland,CAMP HILL 5,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 5,State Treasurer,,DEM,Joe Torsella,63,188,0,0,251
    Cumberland,CAMP HILL 5,State Treasurer,,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 5,U.S. House,10,DEM,Tom Brier,36,73,0,0,109
    Cumberland,CAMP HILL 5,U.S. House,10,DEM,Eugene Depasquale,33,133,0,0,166
    Cumberland,CAMP HILL 5,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CAMP HILL 5,State Senate,31,DEM,Rick Coplen,23,78,0,0,101
    Cumberland,CAMP HILL 5,State Senate,31,DEM,Shanna Danielson,25,102,0,0,127
    Cumberland,CAMP HILL 5,State Senate,31,DEM,John D Bosha,19,26,0,0,45
    Cumberland,CAMP HILL 5,State Senate,31,DEM,Write-In,0,1,0,0,1
    Cumberland,CAMP HILL 5,General Assembly,87,DEM,Nicole Miller,23,52,0,0,75
    Cumberland,CAMP HILL 5,General Assembly,87,DEM,Sean Patrick Quinlan,34,111,0,0,145
    Cumberland,CAMP HILL 5,General Assembly,87,DEM,Heather Macdonald,13,47,0,0,60
    Cumberland,CAMP HILL 5,General Assembly,87,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,Registered Voters,,DEM,,,,,,358
    Cumberland,CARLISLE 1-1,Ballots Cast,,DEM,,19,73,1,0,93
    Cumberland,CARLISLE 1-1,President,,DEM,Bernie Sanders,10,17,0,0,27
    Cumberland,CARLISLE 1-1,President,,DEM,Joseph R Biden,8,54,1,0,63
    Cumberland,CARLISLE 1-1,President,,DEM,Tulsi Gabbard,1,0,0,0,1
    Cumberland,CARLISLE 1-1,President,,DEM,Write-In,0,2,0,0,2
    Cumberland,CARLISLE 1-1,Attorney General,,DEM,Josh Shapiro,16,67,0,0,83
    Cumberland,CARLISLE 1-1,Attorney General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,H Scott Conklin,2,5,0,0,7
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Michael Lamb,2,5,0,0,7
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Tracie Fountain,3,26,0,0,29
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Rose Rosie Marie Davis,2,4,0,0,6
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Nina Ahmad,5,21,0,0,26
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Christina M Hartman,4,8,0,0,12
    Cumberland,CARLISLE 1-1,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,State Treasurer,,DEM,Joe Torsella,17,69,0,0,86
    Cumberland,CARLISLE 1-1,State Treasurer,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,U.S. House,10,DEM,Tom Brier,7,38,0,0,45
    Cumberland,CARLISLE 1-1,U.S. House,10,DEM,Eugene Depasquale,11,31,0,0,42
    Cumberland,CARLISLE 1-1,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,State Senate,31,DEM,Rick Coplen,8,39,0,0,47
    Cumberland,CARLISLE 1-1,State Senate,31,DEM,Shanna Danielson,5,26,0,0,31
    Cumberland,CARLISLE 1-1,State Senate,31,DEM,John D Bosha,5,7,0,0,12
    Cumberland,CARLISLE 1-1,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-1,General Assembly,199,DEM,Janelle Kayla Crossley,17,69,0,0,86
    Cumberland,CARLISLE 1-1,General Assembly,199,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-2,Registered Voters,,DEM,,,,,,367
    Cumberland,CARLISLE 1-2,Ballots Cast,,DEM,,35,81,1,0,117
    Cumberland,CARLISLE 1-2,President,,DEM,Bernie Sanders,12,20,1,0,33
    Cumberland,CARLISLE 1-2,President,,DEM,Joseph R Biden,22,59,0,0,81
    Cumberland,CARLISLE 1-2,President,,DEM,Tulsi Gabbard,1,1,0,0,2
    Cumberland,CARLISLE 1-2,President,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 1-2,Attorney General,,DEM,Josh Shapiro,31,75,1,0,107
    Cumberland,CARLISLE 1-2,Attorney General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,H Scott Conklin,3,12,0,0,15
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Michael Lamb,0,5,0,0,5
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Tracie Fountain,16,31,0,0,47
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Rose Rosie Marie Davis,2,2,0,0,4
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Nina Ahmad,4,12,1,0,17
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Christina M Hartman,6,17,0,0,23
    Cumberland,CARLISLE 1-2,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-2,State Treasurer,,DEM,Joe Torsella,28,76,1,0,105
    Cumberland,CARLISLE 1-2,State Treasurer,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 1-2,U.S. House,10,DEM,Tom Brier,21,34,0,0,55
    Cumberland,CARLISLE 1-2,U.S. House,10,DEM,Eugene Depasquale,8,43,1,0,52
    Cumberland,CARLISLE 1-2,U.S. House,10,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 1-2,State Senate,31,DEM,Rick Coplen,19,43,1,0,63
    Cumberland,CARLISLE 1-2,State Senate,31,DEM,Shanna Danielson,9,23,0,0,32
    Cumberland,CARLISLE 1-2,State Senate,31,DEM,John D Bosha,5,15,0,0,20
    Cumberland,CARLISLE 1-2,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 1-2,General Assembly,199,DEM,Janelle Kayla Crossley,32,77,1,0,110
    Cumberland,CARLISLE 1-2,General Assembly,199,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 2,Registered Voters,,DEM,,,,,,624
    Cumberland,CARLISLE 2,Ballots Cast,,DEM,,66,167,7,0,240
    Cumberland,CARLISLE 2,President,,DEM,Bernie Sanders,19,36,3,0,58
    Cumberland,CARLISLE 2,President,,DEM,Joseph R Biden,40,127,4,0,171
    Cumberland,CARLISLE 2,President,,DEM,Tulsi Gabbard,4,0,0,0,4
    Cumberland,CARLISLE 2,President,,DEM,Write-In,1,3,0,0,4
    Cumberland,CARLISLE 2,Attorney General,,DEM,Josh Shapiro,53,162,5,0,220
    Cumberland,CARLISLE 2,Attorney General,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 2,Auditor General,,DEM,H Scott Conklin,12,12,1,0,25
    Cumberland,CARLISLE 2,Auditor General,,DEM,Michael Lamb,7,19,1,0,27
    Cumberland,CARLISLE 2,Auditor General,,DEM,Tracie Fountain,19,57,1,0,77
    Cumberland,CARLISLE 2,Auditor General,,DEM,Rose Rosie Marie Davis,4,3,0,0,7
    Cumberland,CARLISLE 2,Auditor General,,DEM,Nina Ahmad,13,45,1,0,59
    Cumberland,CARLISLE 2,Auditor General,,DEM,Christina M Hartman,6,27,2,0,35
    Cumberland,CARLISLE 2,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 2,State Treasurer,,DEM,Joe Torsella,58,161,6,0,225
    Cumberland,CARLISLE 2,State Treasurer,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 2,U.S. House,10,DEM,Tom Brier,32,54,4,0,90
    Cumberland,CARLISLE 2,U.S. House,10,DEM,Eugene Depasquale,26,111,2,0,139
    Cumberland,CARLISLE 2,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 2,State Senate,31,DEM,Rick Coplen,33,93,3,0,129
    Cumberland,CARLISLE 2,State Senate,31,DEM,Shanna Danielson,16,51,2,0,69
    Cumberland,CARLISLE 2,State Senate,31,DEM,John D Bosha,16,21,2,0,39
    Cumberland,CARLISLE 2,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 2,General Assembly,199,DEM,Janelle Kayla Crossley,55,160,6,0,221
    Cumberland,CARLISLE 2,General Assembly,199,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-1,Registered Voters,,DEM,,,,,,2295
    Cumberland,CARLISLE 3-1,Ballots Cast,,DEM,,54,311,2,2,369
    Cumberland,CARLISLE 3-1,President,,DEM,Bernie Sanders,21,94,1,0,116
    Cumberland,CARLISLE 3-1,President,,DEM,Joseph R Biden,28,211,1,1,241
    Cumberland,CARLISLE 3-1,President,,DEM,Tulsi Gabbard,3,3,0,0,6
    Cumberland,CARLISLE 3-1,President,,DEM,Write-In,1,1,0,0,2
    Cumberland,CARLISLE 3-1,Attorney General,,DEM,Josh Shapiro,45,290,2,0,337
    Cumberland,CARLISLE 3-1,Attorney General,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,H Scott Conklin,7,17,0,0,24
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Michael Lamb,4,17,0,0,21
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Tracie Fountain,15,96,0,0,111
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Rose Rosie Marie Davis,3,11,0,0,14
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Nina Ahmad,19,115,1,0,135
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Christina M Hartman,2,34,1,0,37
    Cumberland,CARLISLE 3-1,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-1,State Treasurer,,DEM,Joe Torsella,47,288,2,0,337
    Cumberland,CARLISLE 3-1,State Treasurer,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 3-1,U.S. House,10,DEM,Tom Brier,28,192,1,2,223
    Cumberland,CARLISLE 3-1,U.S. House,10,DEM,Eugene Depasquale,24,110,1,0,135
    Cumberland,CARLISLE 3-1,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-1,State Senate,31,DEM,Rick Coplen,24,147,2,0,173
    Cumberland,CARLISLE 3-1,State Senate,31,DEM,Shanna Danielson,18,141,0,0,159
    Cumberland,CARLISLE 3-1,State Senate,31,DEM,John D Bosha,11,16,0,0,27
    Cumberland,CARLISLE 3-1,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-1,General Assembly,199,DEM,Janelle Kayla Crossley,43,286,2,0,331
    Cumberland,CARLISLE 3-1,General Assembly,199,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-2,Registered Voters,,DEM,,,,,,847
    Cumberland,CARLISLE 3-2,Ballots Cast,,DEM,,82,287,6,0,375
    Cumberland,CARLISLE 3-2,President,,DEM,Bernie Sanders,33,52,2,0,87
    Cumberland,CARLISLE 3-2,President,,DEM,Joseph R Biden,46,219,3,0,268
    Cumberland,CARLISLE 3-2,President,,DEM,Tulsi Gabbard,1,9,0,0,10
    Cumberland,CARLISLE 3-2,President,,DEM,Write-In,1,5,0,0,6
    Cumberland,CARLISLE 3-2,Attorney General,,DEM,Josh Shapiro,77,275,5,0,357
    Cumberland,CARLISLE 3-2,Attorney General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,H Scott Conklin,9,22,0,0,31
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Michael Lamb,9,21,1,0,31
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Tracie Fountain,25,110,2,0,137
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Rose Rosie Marie Davis,4,14,0,0,18
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Nina Ahmad,23,61,1,0,85
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Christina M Hartman,10,40,2,0,52
    Cumberland,CARLISLE 3-2,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-2,State Treasurer,,DEM,Joe Torsella,78,270,6,0,354
    Cumberland,CARLISLE 3-2,State Treasurer,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-2,U.S. House,10,DEM,Tom Brier,47,110,2,0,159
    Cumberland,CARLISLE 3-2,U.S. House,10,DEM,Eugene Depasquale,31,167,4,0,202
    Cumberland,CARLISLE 3-2,U.S. House,10,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 3-2,State Senate,31,DEM,Rick Coplen,47,162,2,0,211
    Cumberland,CARLISLE 3-2,State Senate,31,DEM,Shanna Danielson,22,99,3,0,124
    Cumberland,CARLISLE 3-2,State Senate,31,DEM,John D Bosha,12,24,1,0,37
    Cumberland,CARLISLE 3-2,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-2,General Assembly,199,DEM,Janelle Kayla Crossley,75,270,6,0,351
    Cumberland,CARLISLE 3-2,General Assembly,199,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-3,Registered Voters,,DEM,,,,,,875
    Cumberland,CARLISLE 3-3,Ballots Cast,,DEM,,84,461,5,0,550
    Cumberland,CARLISLE 3-3,President,,DEM,Bernie Sanders,26,58,4,0,88
    Cumberland,CARLISLE 3-3,President,,DEM,Joseph R Biden,54,385,1,0,440
    Cumberland,CARLISLE 3-3,President,,DEM,Tulsi Gabbard,4,8,0,0,12
    Cumberland,CARLISLE 3-3,President,,DEM,Write-In,0,6,0,0,6
    Cumberland,CARLISLE 3-3,Attorney General,,DEM,Josh Shapiro,69,431,4,0,504
    Cumberland,CARLISLE 3-3,Attorney General,,DEM,Write-In,0,3,1,0,4
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,H Scott Conklin,9,45,0,0,54
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Michael Lamb,7,59,0,0,66
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Tracie Fountain,25,152,2,0,179
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Rose Rosie Marie Davis,4,16,0,0,20
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Nina Ahmad,21,105,3,0,129
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Christina M Hartman,6,54,0,0,60
    Cumberland,CARLISLE 3-3,Auditor General,,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-3,State Treasurer,,DEM,Joe Torsella,70,423,5,0,498
    Cumberland,CARLISLE 3-3,State Treasurer,,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 3-3,U.S. House,10,DEM,Tom Brier,51,167,1,0,219
    Cumberland,CARLISLE 3-3,U.S. House,10,DEM,Eugene Depasquale,29,278,4,0,311
    Cumberland,CARLISLE 3-3,U.S. House,10,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-3,State Senate,31,DEM,Rick Coplen,50,315,4,0,369
    Cumberland,CARLISLE 3-3,State Senate,31,DEM,Shanna Danielson,22,109,1,0,132
    Cumberland,CARLISLE 3-3,State Senate,31,DEM,John D Bosha,9,25,0,0,34
    Cumberland,CARLISLE 3-3,State Senate,31,DEM,Write-In,0,0,0,0,0
    Cumberland,CARLISLE 3-3,General Assembly,199,DEM,Janelle Kayla Crossley,71,423,5,0,499
    Cumberland,CARLISLE 3-3,General Assembly,199,DEM,Write-In,0,1,0,0,1
    Cumberland,CARLISLE 4-1,Registered Voters,,DEM,,,,,,450
    Cumberland,CARLISLE 4-1,Ballots Cast,,DEM,,31,73,2,1,107
    Cumberland,CARLISLE 4-1,President,,DEM,Bernie Sanders,8,20,2,0,30
    Cumberland,CARLISLE 4-1,President,,DEM,Joseph R Biden,21,52,0,0,73
    Cumberland,CARLISLE 4-1,President,,DEM,Tulsi Gabbard,1,0,0,0,1
    Cumberland,CARLISLE 4-1,President,,DEM,Write-In,0,0,0,1,1
    Cumberland,CARLISLE 4-1,Attorney General,,DEM,Josh Shapiro,20,66,1,0,87
    Cumberland,CARLISLE 4-1,Attorney General,,DEM,Write-In,1,0,0,0,1
    Cumberland,CARLISLE 4-1,Auditor General,,DEM,H Scott Conklin,8,10,1,0,19
    Cumberland,CARLISLE 4-1,Auditor General,,DEM,Michael Lamb,4,3,0,0,7
