county,party,office,district,candidate,precinct,votes
Pike,R,President,,Roque Rocky De La Fuente,MILFORD BORO,1
Pike,R,President,,Bill Weld,MILFORD BORO,6
Pike,R,President,,Donald J. Trump,MILFORD TWP,191
Pike,R,President,,Roque Rocky De La Fuente,MILFORD TWP,2
Pike,R,President,,Bill Weld,MILFORD TWP,5
Pike,R,President,,Donald J. Trump,PALMYRA TWP,465
Pike,R,President,,Roque Rocky De La Fuente,PALMYRA TWP,6
Pike,R,President,,Bill Weld,PALMYRA TWP,28
Pike,R,President,,Donald J. Trump,PORTER TWP,57
Pike,R,President,,Roque Rocky De La Fuente,PORTER TWP,1
Pike,R,President,,Bill Weld,PORTER TWP,1
Pike,R,President,,Donald J. Trump,SHOHOLA TWP,282
Pike,R,President,,Roque Rocky De La Fuente,SHOHOLA TWP,1
Pike,R,President,,Bill Weld,SHOHOLA TWP,15
Pike,R,President,,Donald J. Trump,WESTFALL TWP,247
Pike,R,President,,Roque Rocky De La Fuente,WESTFALL TWP,0
Pike,R,President,,Bill Weld,WESTFALL TWP,12
Pike,R,Attorney General,,Heather Heidelbaugh,BLOOMING GROVE TWP,405
Pike,R,Attorney General,,Heather Heidelbaugh,DELAWARE TWP #1,277
Pike,R,Attorney General,,Heather Heidelbaugh,DELAWARE TWP #2,267
Pike,R,Attorney General,,Heather Heidelbaugh,DINGMAN TWP #1,502
Pike,R,Attorney General,,Heather Heidelbaugh,DINGMAN TWP #2,442
Pike,R,Attorney General,,Heather Heidelbaugh,GREENE TWP,411
Pike,R,Attorney General,,Heather Heidelbaugh,LACKAWAXEN TWP #1,256
Pike,R,Attorney General,,Heather Heidelbaugh,LACKAWAXEN TWP #2,312
Pike,R,Attorney General,,Heather Heidelbaugh,LEHMAN TWP #1,220
Pike,R,Attorney General,,Heather Heidelbaugh,LEHMAN TWP #2,201
Pike,R,Attorney General,,Heather Heidelbaugh,MATAMORAS  BORO # 1,87
Pike,R,Attorney General,,Heather Heidelbaugh,MATAMORAS  BORO # 2,88
Pike,R,Attorney General,,Heather Heidelbaugh,MILFORD BORO,89
Pike,R,Attorney General,,Heather Heidelbaugh,MILFORD TWP,163
Pike,R,Attorney General,,Heather Heidelbaugh,PALMYRA TWP,452
Pike,R,Attorney General,,Heather Heidelbaugh,PORTER TWP,51
Pike,R,Attorney General,,Heather Heidelbaugh,SHOHOLA TWP,239
Pike,R,Attorney General,,Heather Heidelbaugh,WESTFALL TWP,229
Pike,R,Auditor General,,Timothy DeFoor,BLOOMING GROVE TWP,412
Pike,R,Auditor General,,Timothy DeFoor,DELAWARE TWP #1,278
Pike,R,Auditor General,,Timothy DeFoor,DELAWARE TWP #2,278
Pike,R,Auditor General,,Timothy DeFoor,DINGMAN TWP #1,504
Pike,R,Auditor General,,Timothy DeFoor,DINGMAN TWP #2,444
Pike,R,Auditor General,,Timothy DeFoor,GREENE TWP,410
Pike,R,Auditor General,,Timothy DeFoor,LACKAWAXEN TWP #1,246
Pike,R,Auditor General,,Timothy DeFoor,LACKAWAXEN TWP #2,306
Pike,R,Auditor General,,Timothy DeFoor,LEHMAN TWP #1,222
Pike,R,Auditor General,,Timothy DeFoor,LEHMAN TWP #2,202
Pike,R,Auditor General,,Timothy DeFoor,MATAMORAS  BORO # 1,87
Pike,R,Auditor General,,Timothy DeFoor,MATAMORAS  BORO # 2,89
Pike,R,Auditor General,,Timothy DeFoor,MILFORD BORO,92
Pike,R,Auditor General,,Timothy DeFoor,MILFORD TWP,165
Pike,R,Auditor General,,Timothy DeFoor,PALMYRA TWP,452
Pike,R,Auditor General,,Timothy DeFoor,PORTER TWP,51
Pike,R,Auditor General,,Timothy DeFoor,SHOHOLA TWP,246
Pike,R,Auditor General,,Timothy DeFoor,WESTFALL TWP,229
Pike,R,State Treasurer,,Stacy L. Garrity,BLOOMING GROVE TWP,405
Pike,R,State Treasurer,,Stacy L. Garrity,DELAWARE TWP #1,279
Pike,R,State Treasurer,,Stacy L. Garrity,DELAWARE TWP #2,276
Pike,R,State Treasurer,,Stacy L. Garrity,DINGMAN TWP #1,501
Pike,R,State Treasurer,,Stacy L. Garrity,DINGMAN TWP #2,437
Pike,R,State Treasurer,,Stacy L. Garrity,GREENE TWP,401
Pike,R,State Treasurer,,Stacy L. Garrity,LACKAWAXEN TWP #1,247
Pike,R,State Treasurer,,Stacy L. Garrity,LACKAWAXEN TWP #2,306
Pike,R,State Treasurer,,Stacy L. Garrity,LEHMAN TWP #1,221
Pike,R,State Treasurer,,Stacy L. Garrity,LEHMAN TWP #2,201
Pike,R,State Treasurer,,Stacy L. Garrity,MATAMORAS  BORO # 1,85
Pike,R,State Treasurer,,Stacy L. Garrity,MATAMORAS  BORO # 2,88
Pike,R,State Treasurer,,Stacy L. Garrity,MILFORD BORO,91
Pike,R,State Treasurer,,Stacy L. Garrity,MILFORD TWP,170
Pike,R,State Treasurer,,Stacy L. Garrity,PALMYRA TWP,453
Pike,R,State Treasurer,,Stacy L. Garrity,PORTER TWP,51
Pike,R,State Treasurer,,Stacy L. Garrity,SHOHOLA TWP,244
Pike,R,State Treasurer,,Stacy L. Garrity,WESTFALL TWP,225
Pike,R,U.S. House,8,Harry Haas,BLOOMING GROVE TWP,38
Pike,R,U.S. House,8,Teddy Daniels,BLOOMING GROVE TWP,103
Pike,R,U.S. House,8,Jim Bognet,BLOOMING GROVE TWP,136
Pike,R,U.S. House,8,Mike Cammisa,BLOOMING GROVE TWP,10
Pike,R,U.S. House,8,Mike Marsicano,BLOOMING GROVE TWP,74
Pike,R,U.S. House,8,Earl Granville,BLOOMING GROVE TWP,93
Pike,R,U.S. House,8,Harry Haas,DELAWARE TWP #1,23
Pike,R,U.S. House,8,Teddy Daniels,DELAWARE TWP #1,145
Pike,R,U.S. House,8,Jim Bognet,DELAWARE TWP #1,66
Pike,R,U.S. House,8,Mike Cammisa,DELAWARE TWP #1,8
Pike,R,U.S. House,8,Mike Marsicano,DELAWARE TWP #1,30
Pike,R,U.S. House,8,Earl Granville,DELAWARE TWP #1,46
Pike,R,U.S. House,8,Harry Haas,DELAWARE TWP #2,29
Pike,R,U.S. House,8,Teddy Daniels,DELAWARE TWP #2,121
Pike,R,U.S. House,8,Jim Bognet,DELAWARE TWP #2,66
Pike,R,U.S. House,8,Mike Cammisa,DELAWARE TWP #2,2
Pike,R,U.S. House,8,Mike Marsicano,DELAWARE TWP #2,31
Pike,R,U.S. House,8,Earl Granville,DELAWARE TWP #2,46
Pike,R,U.S. House,8,Harry Haas,DINGMAN TWP #1,32
Pike,R,U.S. House,8,Teddy Daniels,DINGMAN TWP #1,193
Pike,R,U.S. House,8,Jim Bognet,DINGMAN TWP #1,137
Pike,R,U.S. House,8,Mike Cammisa,DINGMAN TWP #1,42
Pike,R,U.S. House,8,Mike Marsicano,DINGMAN TWP #1,74
Pike,R,U.S. House,8,Earl Granville,DINGMAN TWP #1,86
Pike,R,U.S. House,8,Harry Haas,DINGMAN TWP #2,25
Pike,R,U.S. House,8,Teddy Daniels,DINGMAN TWP #2,182
Pike,R,U.S. House,8,Jim Bognet,DINGMAN TWP #2,99
Pike,R,U.S. House,8,Mike Cammisa,DINGMAN TWP #2,21
Pike,R,U.S. House,8,Mike Marsicano,DINGMAN TWP #2,81
Pike,R,U.S. House,8,Earl Granville,DINGMAN TWP #2,68
Pike,R,U.S. House,8,Harry Haas,GREENE TWP,31
Pike,R,U.S. House,8,Teddy Daniels,GREENE TWP,143
Pike,R,U.S. House,8,Jim Bognet,GREENE TWP,146
Pike,R,U.S. House,8,Mike Cammisa,GREENE TWP,6
Pike,R,U.S. House,8,Mike Marsicano,GREENE TWP,66
Pike,R,U.S. House,8,Earl Granville,GREENE TWP,74
Pike,R,U.S. House,8,Harry Haas,LACKAWAXEN TWP #1,12
Pike,R,U.S. House,8,Teddy Daniels,LACKAWAXEN TWP #1,73
Pike,R,U.S. House,8,Jim Bognet,LACKAWAXEN TWP #1,88
Pike,R,U.S. House,8,Mike Cammisa,LACKAWAXEN TWP #1,6
Pike,R,U.S. House,8,Mike Marsicano,LACKAWAXEN TWP #1,50
Pike,R,U.S. House,8,Earl Granville,LACKAWAXEN TWP #1,57
Pike,R,U.S. House,8,Harry Haas,LACKAWAXEN TWP #2,20
Pike,R,U.S. House,8,Teddy Daniels,LACKAWAXEN TWP #2,126
Pike,R,U.S. House,8,Jim Bognet,LACKAWAXEN TWP #2,67
Pike,R,U.S. House,8,Mike Cammisa,LACKAWAXEN TWP #2,9
Pike,R,U.S. House,8,Mike Marsicano,LACKAWAXEN TWP #2,52
Pike,R,U.S. House,8,Earl Granville,LACKAWAXEN TWP #2,85
Pike,R,U.S. House,8,Harry Haas,LEHMAN TWP #1,18
Pike,R,U.S. House,8,Teddy Daniels,LEHMAN TWP #1,55
Pike,R,U.S. House,8,Jim Bognet,LEHMAN TWP #1,58
Pike,R,U.S. House,8,Mike Cammisa,LEHMAN TWP #1,10
Pike,R,U.S. House,8,Mike Marsicano,LEHMAN TWP #1,44
Pike,R,U.S. House,8,Earl Granville,LEHMAN TWP #1,57
Pike,R,U.S. House,8,Harry Haas,LEHMAN TWP #2,16
Pike,R,U.S. House,8,Teddy Daniels,LEHMAN TWP #2,55
Pike,R,U.S. House,8,Jim Bognet,LEHMAN TWP #2,66
Pike,R,U.S. House,8,Mike Cammisa,LEHMAN TWP #2,6
Pike,R,U.S. House,8,Mike Marsicano,LEHMAN TWP #2,32
Pike,R,U.S. House,8,Earl Granville,LEHMAN TWP #2,34
Pike,R,U.S. House,8,Harry Haas,MATAMORAS  BORO # 1,30
Pike,R,U.S. House,8,Teddy Daniels,MATAMORAS  BORO # 1,20
Pike,R,U.S. House,8,Jim Bognet,MATAMORAS  BORO # 1,12
Pike,R,U.S. House,8,Mike Cammisa,MATAMORAS  BORO # 1,6
Pike,R,U.S. House,8,Mike Marsicano,MATAMORAS  BORO # 1,5
Pike,R,U.S. House,8,Earl Granville,MATAMORAS  BORO # 1,20
Pike,R,U.S. House,8,Harry Haas,MATAMORAS  BORO # 2,29
Pike,R,U.S. House,8,Teddy Daniels,MATAMORAS  BORO # 2,34
Pike,R,U.S. House,8,Jim Bognet,MATAMORAS  BORO # 2,11
Pike,R,U.S. House,8,Mike Cammisa,MATAMORAS  BORO # 2,3
Pike,R,U.S. House,8,Mike Marsicano,MATAMORAS  BORO # 2,10
Pike,R,U.S. House,8,Earl Granville,MATAMORAS  BORO # 2,15
Pike,R,U.S. House,8,Harry Haas,MILFORD BORO,14
Pike,R,U.S. House,8,Teddy Daniels,MILFORD BORO,30
Pike,R,U.S. House,8,Jim Bognet,MILFORD BORO,34
Pike,R,U.S. House,8,Mike Cammisa,MILFORD BORO,1
Pike,R,U.S. House,8,Mike Marsicano,MILFORD BORO,10
Pike,R,U.S. House,8,Earl Granville,MILFORD BORO,14
Pike,R,U.S. House,8,Harry Haas,MILFORD TWP,22
Pike,R,U.S. House,8,Teddy Daniels,MILFORD TWP,52
Pike,R,U.S. House,8,Jim Bognet,MILFORD TWP,64
Pike,R,U.S. House,8,Mike Cammisa,MILFORD TWP,5
Pike,R,U.S. House,8,Mike Marsicano,MILFORD TWP,14
Pike,R,U.S. House,8,Earl Granville,MILFORD TWP,32
Pike,R,U.S. House,8,Harry Haas,PALMYRA TWP,30
Pike,R,U.S. House,8,Teddy Daniels,PALMYRA TWP,115
Pike,R,U.S. House,8,Jim Bognet,PALMYRA TWP,145
Pike,R,U.S. House,8,Mike Cammisa,PALMYRA TWP,11
Pike,R,U.S. House,8,Mike Marsicano,PALMYRA TWP,70
Pike,R,U.S. House,8,Earl Granville,PALMYRA TWP,110
Pike,R,U.S. House,8,Harry Haas,PORTER TWP,6
Pike,R,U.S. House,8,Teddy Daniels,PORTER TWP,13
Pike,R,U.S. House,8,Jim Bognet,PORTER TWP,21
Pike,R,U.S. House,8,Mike Cammisa,PORTER TWP,2
Pike,R,U.S. House,8,Mike Marsicano,PORTER TWP,6
Pike,R,U.S. House,8,Earl Granville,PORTER TWP,7
Pike,R,U.S. House,8,Harry Haas,SHOHOLA TWP,11
Pike,R,U.S. House,8,Teddy Daniels,SHOHOLA TWP,95
Pike,R,U.S. House,8,Jim Bognet,SHOHOLA TWP,84
Pike,R,U.S. House,8,Mike Cammisa,SHOHOLA TWP,4
Pike,R,U.S. House,8,Mike Marsicano,SHOHOLA TWP,46
Pike,R,U.S. House,8,Earl Granville,SHOHOLA TWP,46
Pike,R,U.S. House,8,Harry Haas,WESTFALL TWP,20
Pike,R,U.S. House,8,Teddy Daniels,WESTFALL TWP,83
Pike,R,U.S. House,8,Jim Bognet,WESTFALL TWP,49
Pike,R,U.S. House,8,Mike Cammisa,WESTFALL TWP,6
Pike,R,U.S. House,8,Mike Marsicano,WESTFALL TWP,31
Pike,R,U.S. House,8,Earl Granville,WESTFALL TWP,56
Pike,R,General Assembly,139,Mike Peifer,BLOOMING GROVE TWP,468
Pike,R,General Assembly,139,Mike Peifer,DINGMAN TWP #1,567
Pike,R,General Assembly,139,Mike Peifer,DINGMAN TWP #2,484
Pike,R,General Assembly,139,Mike Peifer,GREENE TWP,454
Pike,R,General Assembly,139,Mike Peifer,LACKAWAXEN TWP #1,289
Pike,R,General Assembly,139,Mike Peifer,LACKAWAXEN TWP #2,361
Pike,R,General Assembly,139,Mike Peifer,MATAMORAS  BORO # 1,94
Pike,R,General Assembly,139,Mike Peifer,MATAMORAS  BORO # 2,102
Pike,R,General Assembly,139,Mike Peifer,MILFORD BORO,97
Pike,R,General Assembly,139,Mike Peifer,MILFORD TWP,185
Pike,R,General Assembly,139,Mike Peifer,PALMYRA TWP,488
Pike,R,General Assembly,139,Mike Peifer,SHOHOLA TWP,273
Pike,R,General Assembly,139,Mike Peifer,WESTFALL TWP,245
Pike,R,General Assembly,189,Rosemary Brown,DELAWARE TWP #1,313
Pike,R,General Assembly,189,Rosemary Brown,DELAWARE TWP #2,301
Pike,R,General Assembly,189,Rosemary Brown,LEHMAN TWP #1,259
Pike,R,General Assembly,189,Rosemary Brown,LEHMAN TWP #2,228
Pike,R,General Assembly,189,Rosemary Brown,PORTER TWP,56
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,BLOOMING GROVE TWP,106
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,BLOOMING GROVE TWP,138
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,BLOOMING GROVE TWP,154
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,BLOOMING GROVE TWP,84
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,BLOOMING GROVE TWP,143
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,BLOOMING GROVE TWP,123
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",BLOOMING GROVE TWP,85
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,BLOOMING GROVE TWP,119
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,BLOOMING GROVE TWP,153
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,DELAWARE TWP #1,55
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #1,96
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DELAWARE TWP #1,90
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DELAWARE TWP #1,49
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,DELAWARE TWP #1,91
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,DELAWARE TWP #1,118
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #1,35
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,DELAWARE TWP #1,40
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DELAWARE TWP #1,83
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,DELAWARE TWP #2,59
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DELAWARE TWP #2,92
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DELAWARE TWP #2,78
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DELAWARE TWP #2,45
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,DELAWARE TWP #2,103
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,DELAWARE TWP #2,93
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DELAWARE TWP #2,63
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,DELAWARE TWP #2,51
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DELAWARE TWP #2,76
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,DINGMAN TWP #1,137
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #1,178
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DINGMAN TWP #1,169
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DINGMAN TWP #1,80
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,DINGMAN TWP #1,205
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,DINGMAN TWP #1,173
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #1,98
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,DINGMAN TWP #1,95
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DINGMAN TWP #1,152
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,DINGMAN TWP #2,97
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,DINGMAN TWP #2,166
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,DINGMAN TWP #2,141
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,DINGMAN TWP #2,74
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,DINGMAN TWP #2,163
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,DINGMAN TWP #2,135
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",DINGMAN TWP #2,96
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,DINGMAN TWP #2,82
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,DINGMAN TWP #2,112
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,GREENE TWP,92
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,GREENE TWP,143
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,GREENE TWP,120
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,GREENE TWP,60
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,GREENE TWP,142
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,GREENE TWP,97
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",GREENE TWP,82
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,GREENE TWP,102
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,GREENE TWP,118
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,LACKAWAXEN TWP #1,49
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #1,86
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LACKAWAXEN TWP #1,65
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LACKAWAXEN TWP #1,41
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,LACKAWAXEN TWP #1,95
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,LACKAWAXEN TWP #1,71
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #1,47
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,LACKAWAXEN TWP #1,72
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,LACKAWAXEN TWP #1,68
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,LACKAWAXEN TWP #2,97
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LACKAWAXEN TWP #2,102
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LACKAWAXEN TWP #2,92
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LACKAWAXEN TWP #2,45
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,LACKAWAXEN TWP #2,132
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,LACKAWAXEN TWP #2,79
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LACKAWAXEN TWP #2,47
Pike,R,R - DELEGATE NATL CONVENTION,,Paul Defabo,LACKAWAXEN TWP #2,95
Pike,R,R - DELEGATE NATL CONVENTION,,Josephine Ferro,LACKAWAXEN TWP #2,83
Pike,R,R - DELEGATE NATL CONVENTION,,Dolores Strish,LEHMAN TWP #1,48
Pike,R,R - DELEGATE NATL CONVENTION,,James Paul Hutchison,LEHMAN TWP #1,78
Pike,R,R - DELEGATE NATL CONVENTION,,Annmarie Tyler,LEHMAN TWP #1,76
Pike,R,R - DELEGATE NATL CONVENTION,,T. Lynette Villano,LEHMAN TWP #1,35
Pike,R,R - DELEGATE NATL CONVENTION,,Doug Miller,LEHMAN TWP #1,66
Pike,R,R - DELEGATE NATL CONVENTION,,John Wells,LEHMAN TWP #1,59
Pike,R,R - DELEGATE NATL CONVENTION,,"Dominic J. Mastri, III",LEHMAN TWP #1,42
