county,precinct,office,district,party,candidate,vote_for,votes,election_day,mail,provisional
Lackawanna,Archbald W-01 P-02,JUDGE OF THE SUPERIOR COURT,,LIB,DANIEL WASSMER,1,16,13,3,0
Lackawanna,Archbald W-01 P-02,JUDGE OF THE SUPERIOR COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,JUDGE OF THE COMMONWEALTH COURT,,DEM,STELLA TSAI,1,407,250,155,2
Lackawanna,Archbald W-01 P-02,JUDGE OF THE COMMONWEALTH COURT,,REP,MATT WOLFORD,1,292,245,45,2
Lackawanna,Archbald W-01 P-02,JUDGE OF THE COMMONWEALTH COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,JUDGE OF THE COURT OF COMMON PLEAS,,DNR,MARK POWELL,1,600,408,188,4
Lackawanna,Archbald W-01 P-02,JUDGE OF THE COURT OF COMMON PLEAS,,,Write-In Totals,1,10,9,1,0
Lackawanna,Archbald W-01 P-02,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,DEM,THOM WELBY,1,203,112,91,0
Lackawanna,Archbald W-01 P-02,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,REP,CHET MERLI,1,271,231,38,2
Lackawanna,Archbald W-01 P-02,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,AAI,MICHAEL P. CAPPELLINI,1,255,176,77,2
Lackawanna,Archbald W-01 P-02,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,DEM,LAUREN BIEBER MAILEN,1,313,185,127,1
Lackawanna,Archbald W-01 P-02,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,REP,SUSANNE PREAMBO GREEN,1,226,195,29,2
Lackawanna,Archbald W-01 P-02,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,DISTRICT ATTORNEY,,DNR,BRIAN GALLAGHER,1,594,404,186,4
Lackawanna,Archbald W-01 P-02,DISTRICT ATTORNEY,,,Write-In Totals,1,9,9,0,0
Lackawanna,Archbald W-01 P-02,SHERIFF,,DEM,MARK P. MCANDREW,1,591,405,184,2
Lackawanna,Archbald W-01 P-02,SHERIFF,,REP,GLENN CAPMAN,1,132,111,19,2
Lackawanna,Archbald W-01 P-02,SHERIFF,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,RECORDER OF DEEDS,,DEM,EVIE RAFALKO MCNULTY,1,480,304,174,2
Lackawanna,Archbald W-01 P-02,RECORDER OF DEEDS,,REP,SHARON SOLTIS SPARANO,1,229,195,32,2
Lackawanna,Archbald W-01 P-02,RECORDER OF DEEDS,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-01 P-02,REGISTER OF WILLS,,DEM,FRAN KOVALESKI,1,477,302,172,3
Lackawanna,Archbald W-01 P-02,REGISTER OF WILLS,,REP,VANESSA LIENERT,1,213,180,32,1
Lackawanna,Archbald W-01 P-02,REGISTER OF WILLS,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-01 P-02,MAYOR ARCHBALD,,DEM,SHIRLEY BARRETT,1,404,248,155,1
Lackawanna,Archbald W-01 P-02,MAYOR ARCHBALD,,REP,CYNTHIA SNYDER,1,309,263,43,3
Lackawanna,Archbald W-01 P-02,MAYOR ARCHBALD,,,Write-In Totals,1,2,2,0,0
Lackawanna,Archbald W-01 P-02,TAX COLLECTOR ARCHBALD,,DNR,KATIE GROGAN NOLDY,1,635,432,200,3
Lackawanna,Archbald W-01 P-02,TAX COLLECTOR ARCHBALD,,,Write-In Totals,1,7,7,0,0
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,DEM,MARIE COOKE ANDREOLI,3,353,206,147,0
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,DNR,TOM ANISKA,3,466,328,136,2
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,DEM,FRANCIS BURKE,3,330,200,130,0
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,REP,LOUIS J. RAPOCH,3,361,295,62,4
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,REP,BRUCE WALDER,3,226,192,31,3
Lackawanna,Archbald W-01 P-02,COUNCIL ARCHBALD,,,Write-In Totals,3,31,22,8,1
Lackawanna,Archbald W-01 P-02,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,JOSEPH A. FARRELL,2,328,206,122,0
Lackawanna,Archbald W-01 P-02,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,TOM OWEN,2,371,281,87,3
Lackawanna,Archbald W-01 P-02,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,IND,JULIE BUDD-KULENICH,2,303,211,89,3
Lackawanna,Archbald W-01 P-02,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,,Write-In Totals,2,18,12,6,0
Lackawanna,Archbald W-01 P-02,JUDGE OF ELECTION Archbald W-01 P-02,,DEM,FRANCES FRAN,1,602,413,186,3
Lackawanna,Archbald W-01 P-02,JUDGE OF ELECTION Archbald W-01 P-02,,,Write-In Totals,1,11,10,1,0
Lackawanna,Archbald W-01 P-02,INSPECTOR OF ELECTION Archbald W-01 P-02,,DNR,ARRGENIA SEYMORE,1,535,363,170,2
Lackawanna,Archbald W-01 P-02,INSPECTOR OF ELECTION Archbald W-01 P-02,,,Write-In Totals,1,11,11,0,0
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,YES,1,458,292,164,2
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - CHRISTINE DONOHUE,,,NO,1,224,193,29,2
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,YES,1,455,293,160,2
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - KEVIN M. DOUGHERTY,,,NO,1,227,192,33,2
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - DAVID WECHT,,,YES,1,452,287,163,2
Lackawanna,Archbald W-01 P-02,SUPREME COURT RETENTION - DAVID WECHT,,,NO,1,223,193,28,2
Lackawanna,Archbald W-01 P-02,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,YES,1,436,282,152,2
Lackawanna,Archbald W-01 P-02,SUPERIOR COURT RETENTION - ALICE BECK DUBOW,,,NO,1,214,179,33,2
Lackawanna,Archbald W-01 P-02,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,YES,1,435,284,149,2
Lackawanna,Archbald W-01 P-02,COMMONWEALTH COURT RETENTION - MICHAEL H. WOJCIK,,,NO,1,214,175,37,2
Lackawanna,Archbald W-01 P-02,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,YES,1,480,336,142,2
Lackawanna,Archbald W-01 P-02,COURT OF COMMON PLEAS RETENTION - ANDY JARBOLA,,,NO,1,193,142,49,2
Lackawanna,Archbald W-02 P-01,,,,Registered Voters,,809,,,
Lackawanna,Archbald W-02 P-01,,,,Ballots Cast,,399,294,102,3
Lackawanna,Archbald W-02 P-01,,,,Ballots Cast - Blank,,0,0,0,0
Lackawanna,Archbald W-02 P-01,JUDGE OF THE SUPERIOR COURT,,DEM,BRANDON NEUMAN,1,231,154,75,2
Lackawanna,Archbald W-02 P-01,JUDGE OF THE SUPERIOR COURT,,REP,MARIA BATTISTA,1,117,104,12,1
Lackawanna,Archbald W-02 P-01,JUDGE OF THE SUPERIOR COURT,,LIB,DANIEL WASSMER,1,11,8,3,0
Lackawanna,Archbald W-02 P-01,JUDGE OF THE SUPERIOR COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-02 P-01,JUDGE OF THE COMMONWEALTH COURT,,DEM,STELLA TSAI,1,236,155,79,2
Lackawanna,Archbald W-02 P-01,JUDGE OF THE COMMONWEALTH COURT,,REP,MATT WOLFORD,1,123,110,12,1
Lackawanna,Archbald W-02 P-01,JUDGE OF THE COMMONWEALTH COURT,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-02 P-01,JUDGE OF THE COURT OF COMMON PLEAS,,DNR,MARK POWELL,1,323,226,94,3
Lackawanna,Archbald W-02 P-01,JUDGE OF THE COURT OF COMMON PLEAS,,,Write-In Totals,1,3,3,0,0
Lackawanna,Archbald W-02 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,DEM,THOM WELBY,1,130,85,43,2
Lackawanna,Archbald W-02 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,REP,CHET MERLI,1,130,119,10,1
Lackawanna,Archbald W-02 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,AAI,MICHAEL P. CAPPELLINI,1,129,84,45,0
Lackawanna,Archbald W-02 P-01,COUNTY COMMISSIONER TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-02 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,DEM,LAUREN BIEBER MAILEN,1,168,120,46,2
Lackawanna,Archbald W-02 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,REP,SUSANNE PREAMBO GREEN,1,107,97,9,1
Lackawanna,Archbald W-02 P-01,CLERK OF JUDICIAL RECORDS TWO YEAR UNEXPIRED TERM,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-02 P-01,DISTRICT ATTORNEY,,DNR,BRIAN GALLAGHER,1,321,224,94,3
Lackawanna,Archbald W-02 P-01,DISTRICT ATTORNEY,,,Write-In Totals,1,3,3,0,0
Lackawanna,Archbald W-02 P-01,SHERIFF,,DEM,MARK P. MCANDREW,1,318,222,93,3
Lackawanna,Archbald W-02 P-01,SHERIFF,,REP,GLENN CAPMAN,1,72,65,7,0
Lackawanna,Archbald W-02 P-01,SHERIFF,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-02 P-01,RECORDER OF DEEDS,,DEM,EVIE RAFALKO MCNULTY,1,257,172,83,2
Lackawanna,Archbald W-02 P-01,RECORDER OF DEEDS,,REP,SHARON SOLTIS SPARANO,1,112,96,15,1
Lackawanna,Archbald W-02 P-01,RECORDER OF DEEDS,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-02 P-01,REGISTER OF WILLS,,DEM,FRAN KOVALESKI,1,253,168,84,1
Lackawanna,Archbald W-02 P-01,REGISTER OF WILLS,,REP,VANESSA LIENERT,1,108,95,12,1
Lackawanna,Archbald W-02 P-01,REGISTER OF WILLS,,,Write-In Totals,1,1,1,0,0
Lackawanna,Archbald W-02 P-01,MAYOR ARCHBALD,,DEM,SHIRLEY BARRETT,1,230,159,69,2
Lackawanna,Archbald W-02 P-01,MAYOR ARCHBALD,,REP,CYNTHIA SNYDER,1,158,130,27,1
Lackawanna,Archbald W-02 P-01,MAYOR ARCHBALD,,,Write-In Totals,1,0,0,0,0
Lackawanna,Archbald W-02 P-01,TAX COLLECTOR ARCHBALD,,DNR,KATIE GROGAN NOLDY,1,349,252,94,3
Lackawanna,Archbald W-02 P-01,TAX COLLECTOR ARCHBALD,,,Write-In Totals,1,3,2,1,0
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,DEM,MARIE COOKE ANDREOLI,3,220,150,68,2
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,DNR,TOM ANISKA,3,201,147,53,1
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,DEM,FRANCIS BURKE,3,168,107,59,2
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,REP,LOUIS J. RAPOCH,3,191,151,39,1
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,REP,BRUCE WALDER,3,121,104,16,1
Lackawanna,Archbald W-02 P-01,COUNCIL ARCHBALD,,,Write-In Totals,3,23,18,4,1
Lackawanna,Archbald W-02 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,JOSEPH A. FARRELL,2,204,138,65,1
Lackawanna,Archbald W-02 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,DNR,TOM OWEN,2,184,137,45,2
Lackawanna,Archbald W-02 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,IND,JULIE BUDD-KULENICH,2,139,105,32,2
Lackawanna,Archbald W-02 P-01,VALLEY VIEW SCHOOL DIRECTOR REGION 1,,,Write-In Totals,2,5,4,1,0
Lackawanna,Archbald W-02 P-01,JUDGE OF ELECTION Archbald W-02 P-01,,,Write-In Totals,1,12,8,4,0
Lackawanna,Archbald W-02 P-01,INSPECTOR OF ELECTION Archbald W-02 P-01,,,Write-In Totals,1,12,8,4,0
