county,office,district,party,candidate,votes,mail,election_day,provisional
Fulton,Belfast Township Supervisor Six Year Term,,REP,THOMAS K MORTON,262,21,241,0
Fulton,Belfast Township Auditor Six Year Term,,,,0,0,0,0
Fulton,Belfast Township Tax Collector Four Year Term,,REP,G JEAN MORTON,282,27,255,0
Fulton,Belfast Township Judge Of Elections Four Year Term,,REP,VIVIAN KAY BERNHARD,260,17,243,0
Fulton,Belfast Township Inspector Of Elections Four Year Term,,REP,KELLY S MILLER,269,17,252,0
Fulton,Bethel Township Supervisor Six Year Term,,REP,CLARENCE O WEICHT III,226,21,205,0
Fulton,Bethel Township Auditor Six Year Term,,DEM,ANGELA BOOTH,161,31,130,0
Fulton,Bethel Township Tax Collector Four Year Term,,REP,KATERINA E WEICHT,251,27,224,0
Fulton,Bethel Township Judge Of Elections Four Year Term,,,,0,0,0,0
Fulton,Bethel Township Inspector Of Elections Four Year Term,,,,0,0,0,0
Fulton,Brush Creek Township Supervisor Six Year Term,,DEM/ REP,DAVID MICHAEL WHITESIDE,170,22,148,0
Fulton,Brush Creek Township Auditor Six Year Term,,REP,STEPHEN D DENEEN,178,18,160,0
Fulton,Brush Creek Township Tax Collector Four Year Term,,REP,MARY WILDENA TRUAX,185,21,164,0
Fulton,Brush Creek Township Judge Of Elections Four Year Term,,REP,MAXINE P BARTON,186,20,166,0
Fulton,Brush Creek Township Inspector Of Elections Four Year Term,,DEM,BESSIE HILDA WAGNER,31,8,23,0
Fulton,Brush Creek Township Inspector Of Elections Four Year Term,,REP,MARY ANN MILLS,162,17,145,0
Fulton,Dublin Township Supervisor Six Year Term,,REP,THOMAS M TAYLOR,205,27,178,0
Fulton,Dublin Township Auditor Six Year Term,,,,0,0,0,0
Fulton,Dublin Township Tax Collector Four Year Term,,REP,TONYA TAWNIE K HOUSE,238,30,208,0
Fulton,Dublin Township Constable Six Year Term,,,,0,0,0,0
Fulton,Dublin Township Judge Of Elections Four Year Term,,REP,LUCINDA G KNEPPER,235,29,206,0
Fulton,Dublin Township Inspector Of Elections Four Year Term,,DEM,SHELBY R KNEPPER,39,9,30,0
Fulton,Dublin Township Inspector Of Elections Four Year Term,,REP,FRANCES J HOOVER,206,22,184,0
Fulton,Licking Creek Township Supervisor Six Year Term,,REP,JASON W GORDON,186,22,164,0
Fulton,Licking Creek Township Auditor Six Year Term,,REP,PEGGY WAGNER,369,31,338,0
Fulton,Licking Creek Township Tax Collector Four Year Term,,REP,LORI A HELSER,369,28,341,0
Fulton,Licking Creek Township Judge Of Elections Four Year Term,,,,0,0,0,0
Fulton,Licking Creek Township Inspector Of Elections Four Year Term,,,,0,0,0,0
Fulton,Mcconnellsburg Borough Mayor Four Year Term,,REP,JEREMY A HOLLINSHEAD,161,24,137,0
Fulton,Mcconnellsburg Borough Council Four Year Term,,REP,JAMES H SMITH,138,19,119,0
Fulton,Mcconnellsburg Borough Council Four Year Term,,REP,PATRICK S BOOTH,138,22,116,0
Fulton,Mcconnellsburg Borough Auditor Six Year Term,,,,0,0,0,0
Fulton,Mcconnellsburg Borough Tax Collector Four Year Term,,REP,JESSA W CREAGER,175,26,149,0
Fulton,Mcconnellsburg Borough Constable Six Year Term,,,,0,0,0,0
Fulton,Mcconnellsburg Borough Judge Of Elections Four Year Term,,DEM,WILDA CHARLENE GORDON,149,24,125,0
Fulton,Mcconnellsburg Borough Inspector Of Elections Four Year Term,,DEM,SHERRI L FORD,62,16,46,0
Fulton,Mcconnellsburg Borough Inspector Of Elections Four Year Term,,REP,BRENDA J GORDON,135,16,119,0
Fulton,Taylor Township Supervisor Six Year Term,,REP,WILLIAM T GRESS JR,212,39,173,0
Fulton,Taylor Township Auditor Six Year Term,,,,0,0,0,0
Fulton,Taylor Township Tax Collector Four Year Term,,REP,PATRICIA S HANN,227,44,183,0
Fulton,Taylor Township Judge Of Elections Four Year Term,,DEM,DAVID E GOURLEY,125,30,95,0
Fulton,Taylor Township Inspector Of Elections Four Year Term,,DEM,JULIA M BERKSTRESSER,164,35,129,0
Fulton,Thompson Township Supervisor Six Year Term,,REP,THOMAS S MELLOTT,257,22,235,0
Fulton,Thompson Township Auditor Six Year Term,,REP,KRISTIE M GREGORY,252,23,229,0
Fulton,Thompson Township Tax Collector Four Year Term,,REP,BETTY J SWADLEY,265,24,241,0
Fulton,Thompson Township Judge Of Elections Four Year Term,,REP,CORRIE R GEARHART,249,21,228,0
Fulton,Thompson Township Inspector Of Elections Four Year Term,,DEM,NANCY E YOUNKER,105,15,90,0
Fulton,Thompson Township Inspector Of Elections Four Year Term,,REP,DEBORAH L MORTON,171,14,157,0
Fulton,Todd Township Supervisor Six Year Term,,DEM/ REP,GEORGE R RICHARDS,321,49,272,0
Fulton,Todd Township Supervisor Two Year Term,,REP,STUART LEE ULSH,125,27,98,0
Fulton,Todd Township Supervisor Two Year Term,,NON,SIDNEY M MCCONAHY,244,30,214,0
Fulton,Todd Township Auditor Six Year Term,,,,0,0,0,0
Fulton,Todd Township Tax Collector Four Year Term,,REP,S HEIDI NEWMAN,343,51,292,0
Fulton,Todd Township Judge Of Elections Four Year Term,,,,0,0,0,0
Fulton,Todd Township Inspector Of Elections Four Year Term,,,,0,0,0,0
Fulton,Union Township Supervisor Six Year Term,,REP,V LEVI WILSON,116,13,103,0
Fulton,Union Township Auditor Six Year Term,,REP,SUSAN E POWELL,168,16,152,0
Fulton,Union Township Tax Collector Four Year Term,,REP,KAYLIE OAKMAN,186,17,169,0
Fulton,Union Township Constable Six Year Term,,,,0,0,0,0
Fulton,Union Township Judge Of Elections Four Year Term,,REP,DONNA D BEALE,174,12,162,0
Fulton,Union Township Inspector Of Elections Four Year Term,,,,0,0,0,0
Fulton,Valley Hi Borough Mayor Four Year Term,,,,0,0,0,0
Fulton,Valley Hi Borough Council Four Year Term,,,,0,0,0,0
Fulton,Valley Hi Borough Auditor Six Year Term,,,,0,0,0,0
Fulton,Valley Hi Borough Tax Collector Four Year Term,,REP,MARY WILDENA TRUAX,6,3,3,0
Fulton,Valley Hi Borough Judge Of Elections Four Year Term,,REP,MAXINE P BARTON,5,3,2,0
Fulton,Valley Hi Borough Inspector Of Elections Four Year Term,,DEM,BESSIE HILDA WAGNER,6,2,4,0
Fulton,Valley Hi Borough Inspector Of Elections Four Year Term,,REP,MARY ANN MILLS,2,1,1,0
Fulton,Wells Township Supervisor Six Year Term,,REP,CHESTER P COLLEDGE,94,8,86,0
Fulton,Wells Township Auditor Six Year Term,,,,0,0,0,0
Fulton,Wells Township Auditor Four Year Term,,,,0,0,0,0
Fulton,Wells Township Auditor Two Year Term,,,,0,0,0,0
Fulton,Wells Township Tax Collector Four Year Term,,REP,RHONDA MICHELLE NEWMAN,112,10,102,0
Fulton,Wells Township Constable Six Year Term,,,,0,0,0,0
Fulton,Wells Township Judge Of Elections Four Year Term,,REP,KRISTEN D EARLEY,119,9,110,0
Fulton,Wells Township Inspector Of Elections Four Year Term,,REP,PEGGY GRACE,117,9,108,0
Fulton,Supreme Court Retention Election Question:,,,YES,946,226,720,0
Fulton,Supreme Court Retention Election Question:,,,NO,2269,195,2074,0
Fulton,Supreme Court Retention Election Question:,,,YES,927,227,700,0
Fulton,Supreme Court Retention Election Question:,,,NO,2279,194,2085,0
Fulton,Supreme Court Retention Election Question:,,,YES,945,229,716,0
Fulton,Supreme Court Retention Election Question:,,,NO,2264,193,2071,0
Fulton,Superior Court Retention Election Question:,,,YES,993,232,761,0
Fulton,Superior Court Retention Election Question:,,,NO,2128,169,1959,0
Fulton,Commonwealth Court Retention Election Question:,,,YES,1049,229,820,0
Fulton,Commonwealth Court Retention Election Question:,,,NO,2044,169,1875,0
Fulton,Court Of Common Pleas 39Th District Retention Election Question:,,,YES,1751,270,1481,0
Fulton,Court Of Common Pleas 39Th District Retention Election Question:,,,NO,1339,125,1214,0
