county,office,district,party,candidate,election_day,mail,provisional,votes
Warren,Tax Collector Clarendon Borough,,REP,JENNIFER ALBAUGH,62,4,0,66
Warren,Judge of Election Clarendon Boro,,REP,SUSAN LANE,62,3,0,65
Warren,Inspector of Election Clarendon Boro,,REP,KIM ARTHUR,62,3,0,65
Warren,Borough Council,Sugar Grove Borough,REP,RYAN HOFFMAN,140,18,1,159
Warren,Tax Collector Sugar Grove Borough,,REP,MICHELLE L ENOS,148,20,1,169
Warren,Mayor,Tidioute Borough,REP,HENRY O BROWN,114,8,1,123
Warren,Borough Council,Tidioute Borough,REP,HEATHER CASS,84,8,1,93
Warren,Borough Council,Tidioute Borough,REP,LINDA REED,93,7,1,101
Warren,Borough Council,Tidioute Borough,REP,TRISHA J HULINGS,81,9,1,91
Warren,Borough Council,Tidioute Borough,REP,JAMES KLOS,90,8,1,99
Warren,Tax Collector Tidioute Borough,,REP,SANDY MARTIN,129,10,1,140
Warren,Mayor,Youngsville Borough,DEM/REP,CATRINA LEAMON,399,73,0,472
Warren,Borough Council,Youngsville Borough,DEM/REP,STACEY ROBINAULT,371,83,0,454
Warren,Borough Council,Youngsville Borough,REP,NICOLE COWAN,332,51,0,383
Warren,Borough Council,Youngsville Borough,REP,SHARON SVEDA,337,47,0,384
Warren,Borough Council,Youngsville Borough,REP,ERIC E MINEWEASER,331,52,0,383
Warren,Judge of Election Youngsville Boro,,REP,TERRYJANE CHIARAVALLOTI,349,48,0,397
Warren,Supervisor (6 Year Term) Brokenstraw Township,,REP,RICHARD LAUGER,321,68,0,389
Warren,Tax Collector Brokenstraw Township,,REP,NICOLE COPE,328,69,0,397
Warren,Inspector of Election Brokenstraw Twp,,DEM,DEBRA HENRY,148,62,0,210
Warren,Inspector of Election Brokenstraw Twp,,REP,ANNETTE Y HUTLEY,206,37,0,243
Warren,Supervisor (6 Year Term) Cherry Grove Township,,REP,JEFF BOUTELLE,57,6,0,63
Warren,Tax Collector Cherry Grove Township,,REP,LINDA BOUTELLE,59,7,0,66
Warren,Inspector of Election Cherry Grove Twp,,REP,CAROL JEAN BLOOM,59,7,0,66
Warren,Supervisor (6 Year Term) Columbus Township,,DEM/REP,TIM YETZER,354,46,2,402
Warren,Tax Collector Columbus Township,,REP,CHRIS LYON,345,41,2,388
Warren,Judge of Election Columbus Twp,,REP,SHANDON CROSS,315,36,3,354
Warren,Inspector of Election Columbus Twp,,REP,MAGGIE CURTIS,342,37,2,381
Warren,Supervisor (6 Year Term) Conewango Township,,DEM,BRUCE SWANSON,279,132,2,413
Warren,Supervisor (6 Year Term) Conewango Township,,REP,VINCENT P DUCKETT,404,78,0,482
Warren,Tax Collector Conewango Township,,DEM,CHERRY MCINTYRE,541,196,2,739
Warren,Supervisor (6 Year Term) Deerfield Township,,REP,DANIEL RALSTON,27,13,0,40
Warren,Tax Collector Deerfield Township,,REP,APRIL D GAZALIE,65,17,1,83
Warren,Supervisor (6 Year Term) Eldred Township,,REP,CHRISTOPHER M MCKEAN,97,12,0,109
Warren,Tax Collector Elk Township,,DEM,CHERYL REAGLE,138,25,0,163
Warren,Tax Collector Farmington Township,,REP,MARCY STANTON,258,44,0,302
Warren,Judge of Election Farmington Twp,,REP,ANDREA GENUNG,245,41,0,286
Warren,Inspector of Election Farmington Twp,,REP,SHERRY JOHNSON,250,43,0,293
Warren,Supervisor (6 Year Term) Freehold Township,,DEM/REP,JUSTIN GURDAK,236,21,1,258
Warren,Tax Collector Freehold Township,,REP,JUDITH A LITTLE,259,21,1,281
Warren,Judge of Election Freehold Twp,,REP,SUZANNE E MILLER,252,19,1,272
Warren,Inspector of Election Freehold Twp,,REP,JUDITH BENEDICT,257,21,1,279
Warren,Supervisor (6 Year Term) Glade Township,,DEM,DAVID OBERG,174,76,2,252
Warren,Supervisor (6 Year Term) Glade Township,,REP,DUANE C SCHMADER,337,44,1,382
Warren,Tax Collector Glade Township,,REP,CAROLINE BENSON,456,84,2,542
Warren,Tax Collector Limestone Township,,REP,DONNA SWARTZ,103,11,1,115
Warren,Supervisor (6 Year Term) Mead Township,,REP,AL FOX,221,36,0,257
Warren,Tax Collector Mead Township,,REP,KAREN VILE,235,40,0,275
Warren,Constable (6 Year Term) Mead Township,,REP,JERI FOX,215,34,0,249
Warren,Inspector of Election Mead Twp,,REP,JOYCE FITZGERALD,230,38,0,268
Warren,Supervisor (6 Year Term) Pine Grove Township,,DEM,LINDA L FARNSWORTH,552,165,0,717
Warren,Tax Collector Pine Grove Township,,REP,JULIE PARMENTER,676,158,0,834
Warren,Judge of Election Pine Grove Twp,,DEM,JENNIFER A WHITEMAN,507,163,0,670
Warren,Inspector of Election Pine Grove Twp,,REP,PRISCILLA P POWLEY,656,140,1,797
Warren,Supervisor (6 Year Term) Pittsfield Township,,REP,WILLIAM L KIBBEY,251,36,1,288
Warren,Tax Collector Pittsfield Township,,REP,MARLENE BYLER,258,39,1,298
Warren,Supervisor (6 Year Term) Pleasant Township,,REP,JOHN R PHILLIPS,430,116,2,548
Warren,Tax Collector Pleasant Township,,REP,PATRICIA CAMERON,453,137,2,592
Warren,Supervisor (6 Year Term) Sheffield Township,,DEM,GARY C COCHRAN,207,51,0,258
Warren,Supervisor (6 Year Term) Sheffield Township,,REP,JAMES LEICHTENBERGER,184,18,0,202
Warren,Supervisor Sheffield Township,,DEM/REP,ALYSSA MCDOWELL,323,64,0,387
Warren,Tax Collector Sheffield Township,,REP,CARA SCHRADER,336,50,0,386
Warren,Tax Collector Southwest Township,,REP,SHARON B SAVITZ,81,6,0,87
Warren,Supervisor (6 Year Term) Spring Creek Township,,REP,JEFFREY L THOMAS,171,14,0,185
Warren,Tax Collector Spring Creek Township,,REP,DARLEEN K MULLIGAN,177,14,0,191
Warren,Supervisor (6 Year Term) Sugar Grove Township,,REP,PETER MORRISON,324,91,1,416
Warren,Tax Collector Sugar Grove Township,,REP,DONNA CLARK,334,54,0,388
Warren,Supervisor (6 Year Term) Triumph Township,,REP,MARK E MCCANN II,66,7,1,74
Warren,Judge of Election Triumph Twp,,REP,CAROL JEAN SARVER,59,6,1,66
Warren,Supervisor (6 Year Term) Watson Township,,REP,ALBERT E HENDRICKS,67,6,0,73
Warren,Tax Collector Watson Township,,REP,DONNA M LANE,68,8,0,76
Warren,Judge of Election Watson Twp,,DEM,NANCY BURRIS,52,14,0,66
Warren,Inspector of Election Watson Twp,,DEM,MELISSA KOSZEWSKI,49,12,0,61
Warren,Supreme Court Retention- Christine Donohue,,,YES,3659,1264,12,4935
Warren,Supreme Court Retention- Christine Donohue,,,NO,4533,591,8,5132
Warren,Supreme Court Retention- Kevin M Dougherty,,,YES,3653,1264,12,4929
Warren,Supreme Court Retention- Kevin M Dougherty,,,NO,4532,586,8,5126
Warren,Supreme Court Retention- David Wecht,,,YES,3585,1267,12,4864
Warren,Supreme Court Retention- David Wecht,,,NO,4533,591,9,5133
Warren,Superior Court Retention- Alice Beck Dubow,,,YES,3651,1142,12,4805
Warren,Superior Court Retention- Alice Beck Dubow,,,NO,4349,616,8,4973
Warren,Commonwealth Court Retention- Michael H Wojcik,,,YES,3836,1127,12,4975
Warren,Commonwealth Court Retention- Michael H Wojcik,,,NO,4220,621,9,4850
